@relation data

@attribute id string
@attribute 10113 numeric
@attribute 10130 numeric
@attribute 10134 numeric
@attribute 10273 numeric
@attribute 10277 numeric
@attribute 10294 numeric
@attribute 10299 numeric
@attribute 10427 numeric
@attribute 10477 numeric
@attribute 10483 numeric
@attribute 10484 numeric
@attribute 10525 numeric
@attribute 10802 numeric
@attribute 10808 numeric
@attribute 10905 numeric
@attribute 10952 numeric
@attribute 10956 numeric
@attribute 10960 numeric
@attribute 10961 numeric
@attribute 10970 numeric
@attribute 11231 numeric
@attribute 11253 numeric
@attribute 118424 numeric
@attribute 1388 numeric
@attribute 1409 numeric
@attribute 1410 numeric
@attribute 143630 numeric
@attribute 1603 numeric
@attribute 1649 numeric
@attribute 1650 numeric
@attribute 1965 numeric
@attribute 201595 numeric
@attribute 2081 numeric
@attribute 22824 numeric
@attribute 22872 numeric
@attribute 22926 numeric
@attribute 23193 numeric
@attribute 23471 numeric
@attribute 23480 numeric
@attribute 23640 numeric
@attribute 23645 numeric
@attribute 258010 numeric
@attribute 25956 numeric
@attribute 26232 numeric
@attribute 26270 numeric
@attribute 267 numeric
@attribute 27102 numeric
@attribute 27248 numeric
@attribute 285126 numeric
@attribute 2923 numeric
@attribute 29927 numeric
@attribute 29978 numeric
@attribute 29979 numeric
@attribute 30001 numeric
@attribute 3300 numeric
@attribute 3301 numeric
@attribute 3303 numeric
@attribute 3304 numeric
@attribute 3305 numeric
@attribute 3306 numeric
@attribute 3309 numeric
@attribute 3310 numeric
@attribute 3320 numeric
@attribute 3337 numeric
@attribute 3703 numeric
@attribute 3998 numeric
@attribute 4121 numeric
@attribute 4217 numeric
@attribute 4287 numeric
@attribute 440275 numeric
@attribute 4780 numeric
@attribute 5034 numeric
@attribute 50613 numeric
@attribute 5071 numeric
@attribute 51009 numeric
@attribute 51128 numeric
@attribute 51360 numeric
@attribute 51465 numeric
@attribute 51619 numeric
@attribute 51726 numeric
@attribute 54431 numeric
@attribute 54788 numeric
@attribute 55176 numeric
@attribute 55432 numeric
@attribute 55666 numeric
@attribute 55741 numeric
@attribute 55757 numeric
@attribute 55768 numeric
@attribute 55829 numeric
@attribute 5589 numeric
@attribute 55968 numeric
@attribute 5599 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 5609 numeric
@attribute 5610 numeric
@attribute 5611 numeric
@attribute 56605 numeric
@attribute 56681 numeric
@attribute 56886 numeric
@attribute 57134 numeric
@attribute 573 numeric
@attribute 581 numeric
@attribute 5886 numeric
@attribute 5887 numeric
@attribute 596 numeric
@attribute 6184 numeric
@attribute 6185 numeric
@attribute 6238 numeric
@attribute 6396 numeric
@attribute 6400 numeric
@attribute 64215 numeric
@attribute 64374 numeric
@attribute 6500 numeric
@attribute 6745 numeric
@attribute 6746 numeric
@attribute 6747 numeric
@attribute 6748 numeric
@attribute 7095 numeric
@attribute 7184 numeric
@attribute 7186 numeric
@attribute 7321 numeric
@attribute 7322 numeric
@attribute 7323 numeric
@attribute 7324 numeric
@attribute 7325 numeric
@attribute 7326 numeric
@attribute 7327 numeric
@attribute 7353 numeric
@attribute 7415 numeric
@attribute 7466 numeric
@attribute 7494 numeric
@attribute 7841 numeric
@attribute 79139 numeric
@attribute 79748 numeric
@attribute 7991 numeric
@attribute 80267 numeric
@attribute 80331 numeric
@attribute 80700 numeric
@attribute 811 numeric
@attribute 81567 numeric
@attribute 821 numeric
@attribute 823 numeric
@attribute 824 numeric
@attribute 84447 numeric
@attribute 8454 numeric
@attribute 85479 numeric
@attribute 8720 numeric
@attribute 91319 numeric
@attribute 92552 numeric
@attribute 9373 numeric
@attribute 9451 numeric
@attribute 9532 numeric
@attribute 9601 numeric
@attribute 9632 numeric
@attribute 9695 numeric
@attribute 9709 numeric
@attribute 9871 numeric
@attribute 9978 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,1.3894158900,2.7847569748,1.9698491497,2.1355477291,1.0157477244,1.4457770446,0.7895205822,2.0252591504,0.3139503612,1.8484936357,1.5414222963,1.4668676779,1.2218088883,2.0560726629,0.5546985432,1.1931825579,1.1799461609,1.9678361119,1.7143063495,1.8275922046,0.7938093867,0.3709723238,0.3719827726,-0.0197759837,-0.2312468512,1.1778719558,-0.0464297208,1.9699300528,0.3162898661,1.9668634574,2.5917396498,1.8611056705,0.0918811075,0.9113611185,1.0243665780,0.4084887078,1.5233512186,2.3514651655,2.7900924947,0.7782287001,0.1243643542,1.5550965212,0.1327687509,0.5252483867,0.3106741222,0.2227104484,2.0377430321,1.8900252991,-0.1179238446,1.4069550224,1.0668082037,1.4194623813,2.2904384320,2.0288446511,0.8384667561,2.5655581421,2.9697711170,1.7846097918,-0.0071032289,0.4555979681,1.3437435329,0.0636480931,3.7246808213,1.6863476568,1.6636074440,0.0660713161,-0.0702132928,0.5599281276,0.4264738240,0.5980447877,1.0545438702,1.5328593521,-0.1148669626,-0.0858659869,2.6150823236,1.1569349146,0.0678792963,1.0750996671,0.4481766238,2.4265039233,1.4193814620,0.8135325401,0.7848789144,0.4023202288,1.4666441281,0.5230867116,0.3422905025,0.8155933678,1.8315589030,2.0027784631,0.9105807955,0.7139937217,0.6164951165,-0.1298536299,0.2957080686,1.9213543832,0.2271777431,-0.0786438796,2.3479317029,0.8138185906,-0.0078868776,1.7812102177,0.9030967818,1.0353372290,1.8379024251,0.0813294935,1.8672905118,2.7005053448,0.3048277173,1.9423495000,0.7477937749,0.5951524836,1.0388246210,2.4757785698,2.3719055578,2.1536146072,0.9746213956,3.4345342217,1.6180713565,1.6445929098,-0.0161119644,1.2271330356,1.0816749091,1.0736087839,0.8301977615,0.9352262216,1.5849706904,1.3198193088,2.4928319453,1.0759276102,0.8646310541,1.9168124123,0.8195461725,1.5597498248,-0.0558696179,0.8772926440,0.7550571349,1.3419721554,0.6496596866,1.9767761031,0.9612040492,2.2184926470,1.5029412508,1.5374995036,0.6675420212,1.3170545794,-0.0385978392,0.4200120803,-0.0832909024,-0.2002493660,0.9278916512,0.9271493068,0.1131725563,2.1441301536,1.1592429083,0.6766032761,1.2469023494,0.1368578522,2.1878641161,BRCA
GSM480985,1.2297473029,3.0374328079,1.9329895973,1.6584542991,0.8926516992,1.4342297139,0.9495233351,2.0259675317,0.3739662241,1.5831410487,1.5478701208,1.5234047546,1.2134013629,1.5554596185,0.4140426692,1.1865292098,2.0516935918,2.1429573596,2.0158099258,2.1850140165,0.9248061377,0.4401557104,0.2450936343,0.0284021263,-0.2101691496,2.7269714143,-0.0139994223,2.1830931158,0.6385892361,2.0368755381,2.0516016627,1.8666827282,0.1928818175,0.7666637905,1.2762295308,0.3327239693,1.6394105889,2.7740104681,2.4977891843,0.1966896107,0.2054742003,1.0193264738,0.9619395138,1.0256619450,0.6235125050,0.2628724739,2.1499958336,2.0701735428,-0.1584894629,1.4568618787,0.9131046054,1.4141475176,2.0019393563,1.9623218495,1.1465334520,2.0789860751,3.1069582999,2.0404402000,0.0544814206,0.6992694347,1.7148520948,0.0881125467,3.8482525347,1.6759655740,1.6671235731,0.0748611193,0.1422952883,0.7985456627,0.4335482651,0.7150775671,1.2984543913,1.8859113780,-0.0950697936,-0.1151121933,2.5791365206,0.9996706187,0.0141965119,1.0339014455,0.2851513733,1.9263726208,1.4461602792,0.8035316964,0.7272808337,0.3827732932,1.4348741771,0.7525669186,0.3406098527,0.8607312848,1.6315931014,2.2115897237,0.7567992519,0.7487222366,0.6136501327,-0.1761504112,0.2382422053,1.9373695652,0.2893151663,-0.1106839146,2.2475125722,0.6582562519,-0.1356543502,1.3429450082,0.8407814422,0.7040009779,1.8124208847,0.1096045168,1.8932690175,3.2699497990,0.3836942333,1.7024325531,0.7955455012,0.7640175283,1.3442485598,2.5891925593,2.1810117419,2.3275146152,0.9960336602,3.8863099514,1.8001971320,2.1266038791,0.0039439453,1.1064503991,0.8752448660,1.3911518581,0.8842334832,0.8445148958,1.4278726280,0.9669884886,1.7343258460,0.8026826606,0.9085570740,1.9058995218,0.7031969914,1.3576694153,-0.0562023689,1.2656774872,0.5896114820,1.1554426224,0.9424133913,2.3356797743,0.8455186985,2.2574458645,1.3053511068,1.7509559828,0.7253116252,1.1303715957,-0.1067737248,0.5973031759,-0.0795176310,-0.1482731994,0.6612679510,1.1344667301,0.0558044996,2.1073852894,0.9894401233,0.6658019292,1.4102896362,0.2791022700,1.9761838061,BRCA
GSM480986,1.4868193491,2.7723191796,2.1974978447,2.1657803410,1.0538736153,1.5910292864,0.8072884354,1.8423482841,0.2739789109,1.7166613886,1.4904946037,1.5796370658,1.2324194104,1.8947388354,0.5419254959,0.8799029211,1.6447026166,2.2012572290,1.6025874118,2.0370303778,0.7040142958,0.4946726680,0.3000567875,-0.0190281065,-0.1936341908,1.3998902042,-0.1182710320,2.2396790535,0.1360661163,1.9878354828,2.4968324184,1.6399954258,0.0120643017,0.8831574954,1.1761376859,0.3709188627,1.7054221034,2.5852905958,2.7146082057,0.6014826744,0.0989944148,1.0770299382,0.3554603342,1.0119625271,0.5852895197,0.3937983410,2.2547901124,1.7799711898,-0.0978949191,1.4593290027,1.0993036077,1.5864978444,2.2363862418,2.1524461929,1.1273061595,2.2958302368,3.0790505111,1.9584478553,0.0013618719,0.8233810456,1.4107512236,0.0197932966,3.6994577250,1.7723171248,1.6420686840,-0.0022263279,-0.0404659507,0.5228419722,0.4197810604,0.9581417178,1.1007079047,1.5750445736,-0.0890617300,-0.1044490912,2.4954488276,1.2931885208,0.0338140404,1.0570714950,0.3786613477,1.8983361456,1.2231868331,1.0055556310,0.7252431518,0.4420072057,1.5936854217,0.4429541054,0.2372799693,0.7088214930,1.7328022519,2.2723037229,1.0545645831,0.7966307569,0.5081571897,-0.1388460667,0.2837639618,2.0651082593,0.2630233377,-0.1342796193,2.2612515754,0.5586410222,-0.0700683540,1.8642330894,0.9887473217,0.9486312184,1.8531489549,-0.0262396362,1.9739366247,2.9069251185,0.3244333124,1.8930395708,0.7513997359,0.6659646576,1.3087377282,2.5094936490,2.3228824175,2.3439924849,0.9781758522,3.6223053934,1.4799882136,1.4456891002,0.0043865108,1.2738880120,1.0551407962,1.0080466762,0.8453545825,0.7808611208,1.6226263344,1.2201881828,2.3659087820,1.2832195939,1.1771135796,1.8185918995,0.8829072269,1.6684209839,-0.0608559344,0.9316402685,0.5167735988,1.4756849885,0.9614117471,2.1202563883,0.8858468954,2.1939437280,1.5890601946,1.6413515536,0.5268185338,0.9907254267,-0.0429489370,0.4916633206,-0.0691278379,-0.1756723291,0.6829293079,0.7755073346,0.0793597738,1.9184296652,1.0157447490,0.6005155569,1.0855541721,0.0415927741,1.9765978370,BRCA
GSM480987,1.2690572479,2.8674215512,2.1645497480,2.2763948230,1.0852051875,1.6472093989,0.6645529454,1.8815761408,0.1865863178,1.1038286822,2.2231557835,1.6997795106,0.9490220282,1.6777915113,0.3986102731,0.6763234174,1.3337935342,1.9134993405,1.7150436565,3.2504913668,0.7103984569,0.3442429576,0.2325008147,-0.0412006623,-0.2594971565,1.2758006191,-0.1268198087,2.4646718649,0.8750442774,1.7473507723,2.8311268234,1.4154981898,0.2302921038,0.2718492447,1.2823834317,0.3023561172,1.6665363462,2.8625691496,2.7484077347,0.5192158186,0.5446104223,0.0667734141,-0.0045993192,0.1596206194,-0.0177196988,0.4479865013,2.1629027127,1.8687342033,-0.1384451340,1.1068538898,1.0775355785,1.4925350819,2.1106514725,1.6133185485,0.6417185357,2.6069085201,2.8797291519,1.6363823860,0.0847624176,0.8027994977,2.1148679256,0.0891156542,3.8704057537,1.1356274733,1.7756165649,0.1068876048,0.4714478331,0.3928613255,0.2849918558,0.6955175438,0.9615304780,1.5317680506,-0.1202365114,-0.1130505014,2.8599848151,0.8640214294,0.0133570232,1.1094228152,0.3668149261,1.5693722300,1.2170526907,0.5456839818,0.5373348325,0.2215055301,1.4150931969,0.4442568711,0.1186303217,0.6586992232,1.9784452253,2.5138707384,0.5631604958,0.7170214796,0.3891538004,-0.0662291722,0.2364959457,2.3265610238,0.1211269893,-0.0929528397,2.5955140458,0.5183554088,-0.0074998954,0.9889725803,0.7455377609,1.0001280454,2.0374762537,0.1066961603,2.1855512709,2.7497141672,0.1902529052,2.1241777074,0.7981740415,0.8682648363,1.2833463849,2.1274220248,2.4656244685,2.4575012624,1.1821172305,3.8684757649,1.6511683181,1.3072991300,0.0084098196,1.2198705722,1.0011097885,0.8781640282,0.8293035800,0.7896718872,1.5617455778,1.1341211768,2.2714945473,1.0604751343,1.3467354748,2.2619498073,0.5972705984,1.6715078812,0.0115619403,0.7842241760,0.5213577312,1.0328981608,0.9591760504,2.0685987108,1.1900740553,2.3793313574,0.7115278509,1.6044461300,0.5874036534,1.0421429781,-0.0611264969,0.4096391248,-0.0980841769,-0.1547281499,0.5634741810,0.4352403332,0.4881578455,1.7253923277,0.6831220653,0.7730902523,1.5654303072,0.1043552747,1.9492992501,BRCA
GSM480988,1.5473178550,2.7247799401,1.7346886793,1.9362636033,0.7990094673,1.3469137654,0.4586940395,1.7822329469,0.0418030097,1.6618849139,1.3339184977,1.3336183839,1.1515634303,1.9966597626,0.3537337067,0.6894601251,1.9121293392,1.7764047979,1.3349240555,2.2082130139,0.5231509470,0.2478637170,0.1563640363,-0.0733392719,-0.1607525460,2.0544315443,-0.0705001470,1.8617910519,0.1136429184,1.8736962837,2.2427152109,1.5523570925,-0.0011077128,0.9400585087,1.2664819067,0.2876141963,1.6211805994,2.7748212999,2.2843650911,0.5825269002,0.1932905825,0.8398368732,0.4749467057,0.8112162671,0.1535778391,0.1667105572,2.4792207031,1.7251801676,-0.0450502927,1.5577739948,0.7438578577,1.4348258777,2.0200664079,1.8681937982,0.6615467570,1.7810123033,3.0691732914,0.9329245273,0.1092327345,1.0987868772,1.9312407853,0.0164984320,3.7638259730,1.6426966986,1.1992541487,0.0380739404,-0.0861498193,0.5021468532,0.2286128861,0.7001526007,1.1705383668,1.1282438765,-0.1246302723,-0.0961962392,2.2395826430,1.1105213626,0.0362145284,0.8747351678,0.1327330871,1.4758051103,1.1200860006,0.9454804703,0.8260832275,0.3751103908,1.2321518428,0.3283837470,0.2460581810,0.8418387034,1.8600470424,2.0742203444,0.9017745002,0.6912962379,0.5512484685,-0.0789457363,0.0441387518,2.2814113895,0.2102310309,-0.1158492447,2.2297065291,0.5557793650,0.0021325615,1.8569600790,0.6583364474,0.7381307262,1.8315355692,-0.0332379836,1.6625033320,3.4532210517,0.3287036226,1.7840417308,0.7577392301,0.5989770903,1.1606190751,2.4852908452,2.1914195400,2.2738744400,0.7486081768,3.1550753712,1.4657878354,1.4915258108,0.1082906400,1.0683849145,0.8264960605,0.7864399559,0.6334023171,0.6307762043,1.4466884285,0.8733580569,2.3731327057,0.7970693269,1.0802255552,1.9865948990,0.6178366179,1.2784955825,-0.0587888845,0.9011919138,0.4277840378,0.9591079876,0.5579891498,2.0855021606,0.7548881449,2.0492791145,1.1413141820,1.6884383965,0.5710134653,0.8163855404,-0.0525851799,0.5873937022,-0.0900984099,-0.0655660441,0.5933713827,0.6306084554,0.0589595471,2.0314033116,0.9206583979,0.5529441132,1.0496074203,0.0467337489,1.5272548286,BRCA
GSM480989,1.7800260484,2.9048764597,2.5531369050,2.4736484289,1.2157026310,1.1757015095,0.7219135649,1.4247320956,0.0571013271,1.2815344048,1.1582150052,1.7168906034,0.9277049428,1.1059853996,0.2100899461,0.7041647984,1.4769086589,2.6588561535,1.8385076772,2.2630338388,0.3322916882,0.4517145028,0.2367078032,-0.0083233074,-0.4109784076,2.6103217470,-0.1108341318,2.2886388751,-0.0173105554,2.3206034820,2.0098380756,1.1450096605,0.0173955873,0.4767526921,0.8265206872,0.2400322893,2.0939539931,2.2896947302,2.6193431220,0.6414131450,0.0428730735,0.5997913064,0.0923351397,0.8230018186,0.5646382836,0.5071909077,2.4858520030,1.3320705033,-0.0777778767,1.3642723748,1.2424295257,1.2705890801,1.7179184946,1.3026606914,1.2724416406,1.7232230239,3.3498574794,2.0035465757,0.0953085466,1.2457128407,1.4224224628,0.0795537012,3.6763444743,1.9172364407,1.9853780951,0.0156392594,-0.1433043550,0.2859210503,0.1275877912,0.6658834294,0.6430470458,1.9386812449,-0.1692222099,-0.1092558474,2.4453170449,0.8147783511,0.0132337940,0.7689067522,0.3492339504,1.7353957361,0.4432620554,1.2226315913,0.6319682348,0.0641480261,1.8030238086,0.5340253339,0.0625483191,0.3326879664,1.7877735297,2.9311645999,1.0199559329,0.5911021925,0.2192373374,-0.0408563306,0.3176934777,2.0604030293,0.0827285565,-0.0242295356,2.2600252563,0.4067188366,0.1188592721,1.7812420828,1.2923590124,1.1954116613,1.5273169972,0.0373846114,2.1413994879,2.9606493710,0.2917970385,2.0274226798,0.5043937016,0.3839757951,1.6154223383,2.0783520440,2.2291503009,2.8124038048,0.6538239832,4.1926942169,0.9889747232,1.1037889700,0.0247480945,0.8720524803,0.9241799649,0.6202233106,0.5489501137,0.5133821761,1.5781718058,1.2497944358,2.7510140737,1.1779492232,1.4443649168,1.9923595215,0.8900586255,1.8237688964,-0.0829212452,0.6665016988,0.2354242733,1.8301629781,1.3337280767,2.6896760001,0.7990202320,1.9101020234,2.0479208729,1.5784802766,0.7388435611,0.7408097406,-0.0205345656,0.4112571797,-0.0844116260,-0.1615002456,0.3278499120,0.4521916940,-0.0240562422,2.3811508184,1.0381895700,0.4468669647,1.3543483278,-0.0155695163,1.6914763451,BRCA
GSM480990,1.4401035385,2.7764461764,2.5661988260,2.7583735551,1.1558745809,1.2623581781,0.6940185870,1.6565523279,0.2518645030,1.0848874102,1.7807074459,1.3654086554,0.9505396919,1.7121720701,0.2774098944,0.8263249386,1.1038630621,2.5017820744,1.5766568383,2.7943574400,0.5957490486,0.3034673474,0.3304817325,-0.0169672672,-0.2318159322,1.3155078458,-0.1323430553,2.3492275477,-0.0729412074,1.9711953302,2.4013878107,1.2243213595,0.0173742709,0.6621710620,0.9808925113,0.1012666546,1.7877432983,2.5151966289,2.8850317400,0.7966520198,0.1104939548,0.5936016790,0.0607445438,0.8202816050,0.2303378776,0.4552039101,2.4378441723,1.3674829192,-0.0735393847,0.9842895301,1.3228924858,1.3771769529,1.9173170832,1.4174538430,0.9262097441,1.8297690021,3.3278006017,2.2106347414,-0.0515089416,0.6718396539,1.1399651318,-0.0107263610,4.0356965860,1.9918926753,1.8670071960,0.0336671085,0.0904253711,0.2198563085,0.1984312274,0.4603899568,0.8184778913,1.5550282671,-0.1043634632,-0.1532758123,2.5331967472,0.8115026998,0.0249962021,0.8176078507,0.3063906060,1.7129632498,0.8275837650,0.7693997882,0.6217327880,0.2267810066,1.8282032279,0.4580769296,0.1366668267,0.3914043398,1.5190020073,3.1013482363,0.8780349783,0.5124700949,0.1815268757,-0.1292774052,0.3639611033,2.0639327617,0.0058727936,-0.2177467300,2.0835027560,0.4016342539,-0.0243437942,1.2953263353,1.0487284085,1.1606316156,1.7644531222,-0.0140931005,1.7615152895,2.6224155478,0.2108405577,2.0131594538,0.5234402841,0.4602238877,1.3617478808,2.0042174558,2.1370810308,2.5219705831,0.8613149457,4.2856628297,1.2142090328,1.0189311559,-0.0334197225,1.0599642131,1.0237821375,0.7390017950,0.5578367829,0.7570559921,1.5502818178,1.1364236277,2.5175417263,1.0558596552,1.5428221914,1.6655334680,0.9829091878,1.5781596168,-0.0328749531,0.3707732521,0.5463146539,1.8097857813,1.2358297607,2.2032395589,0.5647266576,2.0418515467,1.9365718021,1.5348875898,0.7771078103,0.6449577310,0.0297547362,0.2887244498,-0.0639397562,-0.1622437627,0.5331513629,0.3504422927,0.1092627218,2.0512681985,0.8928467880,0.6471017046,1.1534874941,0.0160536472,1.3563763670,Control
GSM480991,1.5549851656,2.8179563284,2.5179651577,2.4901622604,1.0714324920,1.4333401814,0.7274846149,1.7416227526,0.2170048687,1.5826752360,1.3618269091,1.6734859496,1.1588247937,1.3728299176,0.3895309643,0.8890118968,1.7258729073,2.4054155350,1.7694390863,2.4982506105,0.6224437138,0.5669757447,0.3006010337,-0.0160849727,-0.3452549795,2.6820660830,-0.0409631706,2.3179078104,0.0590506798,2.1123010516,2.1625981141,1.3596132521,0.0571117513,0.6441965950,1.1537960200,0.3021015003,1.7336973678,2.5458986797,2.5197238392,0.5474605021,0.2412708266,0.9602421155,0.0284566863,1.0670240886,0.8590044777,0.4305225837,2.2510998548,1.8154490329,-0.0658687047,1.3944124172,1.1898251353,1.5447534682,2.0359609380,1.8973108039,1.2731384300,1.9405208297,3.2851191164,2.1332542748,0.0895354379,0.8998768803,1.3146805762,0.0308038716,3.8149829707,1.9529137810,1.6964930040,0.0156766495,0.0799307362,0.4909439993,0.2405632407,0.7673887505,0.8930941075,1.7709699494,-0.0906028237,-0.1261657920,2.4342525454,1.1558382069,0.0235692874,0.8980810035,0.4006881257,1.7205505371,1.0118883029,0.9872244122,0.7107860651,0.2185729148,1.7774206002,0.6028235926,0.1031511037,0.4904639465,1.7579967314,2.5319436862,1.0149016030,0.7236467786,0.3723191662,-0.1158871563,0.2691069538,2.0421963037,0.1217097460,-0.0575208531,2.2410085002,0.5074266649,-0.0151344462,1.8394012995,1.0059922760,1.1134613665,1.6959036587,-0.0490740068,2.2334600538,2.8864376027,0.3415252672,1.9556462831,0.6010460952,0.6291811103,1.6926737031,2.3222305478,2.2418033276,2.3555235464,0.7466232612,3.9558751882,1.3019688576,1.1575133137,0.0421075354,1.2248839183,1.0118649729,0.8216986111,0.6704295634,0.7758533469,1.5996244749,1.0941234408,2.5406226317,1.1071207804,1.4206407281,1.8424356033,0.8565616495,1.7223947310,0.0516570739,0.7581120449,0.5198236830,1.7037383534,1.1669701608,2.2356395307,0.7225126972,2.0410270457,2.0525238499,1.6580978928,0.8037237602,0.7302720172,-0.0503223946,0.3889648581,-0.0542548817,-0.1608298184,0.5765020947,0.5005850600,0.0419276834,2.0610685579,0.9959561030,0.5447005589,1.1958774883,0.0413361060,1.6609341250,Control
GSM480992,1.3562658541,2.7674509719,2.6792759103,2.7304454339,1.2902376043,1.2575873838,0.6456114212,2.1145675711,0.2283805209,1.2491104368,1.2401665874,1.6405373290,1.3108204955,1.4966690609,0.3404023560,0.6316780888,1.4567315412,2.6716833115,1.6836297312,2.2842289315,0.6997080373,0.5205769003,0.4411841333,0.0619762302,-0.3000941009,2.4350451230,-0.0254641359,1.9685224743,-0.0686665535,2.3340092539,1.8185823321,1.1963107933,0.0535378589,0.7867078278,1.0788992679,0.1400579621,1.9259546064,2.0963073466,2.7686602274,0.9986011121,0.0743751466,0.5467126001,-0.0498581683,1.0417640938,0.9364025229,0.4664337396,2.4316266029,1.4405137897,-0.0887462139,1.1541444032,1.3033220395,1.7638021382,1.9904396992,1.5044269948,1.3873506859,1.4208682776,3.4385763109,2.3896104942,0.0592270871,0.7089384481,0.9087282598,0.0500175453,3.8272416590,1.9623468519,1.3341184343,-0.0085690144,-0.0543105385,0.3903702807,0.2992908493,0.4629498967,0.9866153462,1.8154973764,-0.0759934522,-0.0754970524,2.1675147712,0.8917669511,0.0341423549,0.7446319660,0.2556412023,1.8363900451,0.6391135945,1.0969940788,0.5944259647,0.1896244478,1.8702373902,0.4538363740,0.0548121853,0.4852546499,1.6740539606,3.0675697327,1.0226256520,0.4097217267,0.3079451628,-0.0921796232,0.3634628315,1.8933416455,0.1070859335,-0.0554641056,1.9020201267,0.4552671386,0.0331085514,1.7859032517,1.2841898705,1.2862649812,1.7593381206,-0.0325755605,2.0193383171,2.9703271597,0.4708434191,2.1416437559,0.3718657205,0.3463937833,1.5738657946,1.8556330402,2.2022176962,2.5073349939,0.6751901335,4.1796427071,0.8153917012,1.0693919968,-0.0174076045,1.0488702043,1.0629730740,0.5722984955,0.6707829465,0.6011726930,1.6022511596,1.1474594036,2.4884173870,1.0274345345,1.7562052708,1.5420574768,0.9908735530,1.5604244280,-0.0189551616,0.4310079664,0.3786308558,1.9259846344,1.4746079347,2.3307807697,0.7271751387,1.7407998750,2.3691224593,1.6187331443,0.9385153470,0.6086787910,-0.0016820206,0.3556168783,-0.0913710135,-0.1905253539,0.3551590245,0.6378022171,0.0016419444,1.9696451531,1.1319536799,0.4206504495,1.0171376913,0.0362117192,1.2825294479,Control
GSM480993,1.5853546486,2.8576375102,2.4116198223,2.3258002646,1.0325920362,1.5608902258,0.8144856729,1.6957834827,0.1956635060,1.8007059643,1.3976245817,1.7445416450,1.2926552033,1.4666606713,0.2669773286,1.0488315020,1.6406413383,2.4194868655,1.6490807880,2.4172598264,0.5511456473,0.5450291492,0.3338969566,-0.0178379441,-0.2489412166,1.9734023147,-0.0220654988,2.0909907370,0.1652565432,2.1725716671,2.3556275273,1.7830165971,0.0905608096,0.7738174937,1.0739304933,0.3852488138,1.9106474371,2.4762750230,2.5144177676,0.7943180949,0.1893168108,0.8608657946,0.0308680897,1.1009024460,0.7855327581,0.4531168457,2.4065892846,1.6761186383,-0.1039431617,1.3653207704,1.0987313149,1.4930519096,2.0964782582,1.7075254952,0.9098224230,1.9086114698,3.1655949354,2.1218675299,0.2261703166,0.9498438941,1.5506032942,-0.0929784321,3.7825589180,1.7056288986,1.8673807637,-0.0309135742,-0.0190762198,0.3858281619,0.2458222186,0.7125177241,0.7775779021,1.5572309970,-0.0877025523,-0.1223478035,2.4734705986,1.1397753424,0.0400740035,1.0072587585,0.3712007970,1.9237644936,0.6703464060,1.1220232659,0.8016523107,0.3134804108,1.7377616566,0.5117802953,0.1264802895,0.6317516507,1.7478563919,2.7416284158,0.9047727731,0.7140314231,0.5537918077,-0.0937452182,0.2558302714,1.9780568280,0.1171423185,-0.1028217406,2.2557182444,0.4766170799,-0.0631987458,1.7073124647,1.1132435460,1.1436000362,1.8857055148,0.0269303651,2.1106003002,2.9166408984,0.3160132435,1.9161924984,0.6517544783,0.5390271124,1.5399958856,2.1322508257,2.3147425167,2.5288224020,0.9026408827,3.8124904335,1.1446949053,1.2305398534,0.1364159654,1.0870003260,1.1453981154,0.8504563663,0.7763172075,0.7718781810,1.7395867581,1.1375252786,2.3233578997,1.1831437266,1.2873407759,2.1041099963,0.8734390625,1.7491131449,0.0542784102,0.8141845279,0.4239952010,1.5327767849,1.1409804156,2.5175289595,0.9016363684,2.0684187575,1.8428623692,1.5484726103,0.6691972274,0.9380837589,-0.0432868245,0.4843746291,-0.0413147971,-0.1441605313,0.6167092687,0.6201864443,0.0242725314,2.0757233369,1.0129059320,0.4971996957,1.1812055788,0.0632921980,1.5892600333,Control
