@relation data

@attribute id string
@attribute 27010 numeric
@attribute 79178 numeric
@attribute 84284 numeric
@attribute 9054 numeric
@attribute Class {Control,BRCA}

@data
GSM427158,6.4746317545,6.205212267,10.09896674,6.173138744,Control
GSM427159,6.688755905,6.023649715,9.27436716,6.77608941567,BRCA
GSM427160,6.3697416885,6.223234887,10.09517319,6.92796459633,BRCA
GSM427162,6.8502243795,5.776111392,10.20019398,7.113615558,Control
GSM427163,6.2325881455,5.645882653,10.257176,7.00712668,BRCA
GSM427164,6.926215236,6.483780011,9.435228075,6.912347766,BRCA
GSM427165,6.6993253445,5.63866126,9.672814749,7.081297831,BRCA
GSM427166,6.4724649375,6.112601751,9.978925319,6.59223761867,Control
GSM427167,6.9532024205,6.28540742,10.43894285,6.80598756667,BRCA
GSM427169,6.320289461,6.687659557,10.31437963,6.76159906767,BRCA
GSM427170,6.6250058575,6.840466774,10.33591539,6.87975948633,BRCA
GSM427171,6.8902599525,5.866667704,9.992443121,6.37019407,Control
GSM427172,6.6697618155,6.785652306,10.24862174,6.606435629,Control
GSM427178,6.7440224505,6.629324286,9.541484409,6.45752972467,BRCA
GSM427181,6.974906572,5.497621346,9.735031788,6.40664331,BRCA
GSM427182,6.692457312,6.029679945,10.04873245,6.54738937333,BRCA
GSM427183,6.5059289915,6.528497576,10.068557,6.54123247467,BRCA
GSM427187,6.6616934265,6.529552075,10.16928652,6.80955845433,BRCA
GSM427189,6.7241740545,6.789178633,10.59389087,6.42033734467,BRCA
GSM427193,6.6605981345,5.797798494,8.28912106,5.82007349333,BRCA
