@relation data

@attribute id string
@attribute 3566 numeric
@attribute 3596 numeric
@attribute 3597 numeric
@attribute 3598 numeric
@attribute 3716 numeric
@attribute 3717 numeric
@attribute 7297 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.7614912264,-0.0840812914,1.0689384535,-0.1248229234,0.5082450581,0.0485487563,1.3983509587,BRCA
GSM481003,0.4453759759,-0.0543713750,0.5155252637,-0.1398445160,0.4776535522,0.0121588141,1.6564943293,BRCA
GSM481004,0.7294014046,0.0425960776,0.7834595079,-0.1467750474,0.5671119911,0.1063429446,1.6212597584,BRCA
GSM481005,0.4434519666,-0.0997576411,0.9203541487,0.0317989019,0.5830370403,0.0221718806,1.4486135101,BRCA
GSM481006,0.5230445001,-0.0221030360,0.7216811898,0.0441370774,0.5490418825,0.0171736931,1.1674732929,BRCA
GSM481007,0.4993439765,0.0722521155,0.3756938733,-0.0744933807,0.2825788311,0.0266022543,1.4454073766,BRCA
GSM481008,0.6907179117,-0.0122994950,0.5872246644,-0.0833381776,0.4309778051,0.0374788624,1.9935437673,Control
GSM481009,0.5125457647,-0.0348780382,0.7604960026,-0.1394561206,0.4693481246,0.0230332860,1.0330606219,Control
GSM481010,0.5562831773,-0.0184666414,1.1553400818,0.1026742317,0.6016551096,-0.0186596700,1.4427850469,Control
GSM481011,0.5297162981,0.0439800650,0.4510598880,0.2015348819,0.3680541691,0.0504960761,1.7791477543,Control
GSM481012,0.6203711240,-0.1119649983,1.2308973363,-0.0167832483,0.5566328427,0.0850258547,1.5261692640,Control
GSM481013,0.4824112685,0.0373882981,0.4023896125,0.2976979138,0.3336732206,-0.0107482306,1.8359116581,Control
GSM481014,0.5872165185,-0.0182434290,0.6996738410,0.3720839306,0.4573446206,0.0364320597,1.4343880778,BRCA
GSM481015,0.5926894421,-0.0369198726,0.7266436354,0.1871862212,0.4442043349,0.0352191013,1.6245575382,BRCA
GSM481016,0.7428201635,0.0058691820,0.9345173868,0.0333190648,0.5840072209,0.0166699116,1.3602366564,BRCA
GSM481017,0.5776904026,-0.1316462811,1.2523580626,0.6973737081,0.5594045820,0.2420565581,1.0148024319,BRCA
GSM481018,0.2299973559,-0.1617591805,0.3318372140,-0.1062721839,0.5066691867,0.0515010548,1.3760871682,BRCA
GSM481019,0.5034410851,0.0023012285,0.7127549178,1.4127084216,0.4720759611,0.0446857553,1.5765954708,BRCA
