@relation data

@attribute id string
@attribute 1610 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.0226,Control
Utah__A02,-0.0032,Control
Utah__A03,-0.064,Control
Utah__A04,-0.0509,Control
Utah__A05,-0.0624,Control
Utah__A06,-0.0503,Control
Utah__A07,-0.1154,Control
Utah__A08,-0.0329,Control
Utah__A09,-0.0343,Control
Utah__A10,-0.0089,Control
Utah__A11,0.0715,Control
Utah__A12,0.0585,Control
Utah__B01,0.0761,Control
Utah__B02,0.039,Control
Utah__B03,0.0504,BRCACancer
Utah__B04,-0.0523,BRCACancer
Utah__B05,0.0229,BRCACancer
Utah__B06,0.2463,BRCACancer
Utah__B07,-0.0867,BRCACancer
Utah__B08,-0.0165,Control
Utah__B09,-0.0371,Control
Utah__B10,-0.0146,Control
Utah__B11,-0.1161,Control
Utah__B12,0.0316,Control
Utah__C01,-0.0576,BRCACancer
Utah__C02,-0.0844,BRCACancer
Utah__C03,-0.059,BRCACancer
Utah__C04,0.0298,Control
Utah__C05,-0.1035,BRCACancer
Utah__C06,0.0069,Control
Utah__C07,-0.0634,Control
Utah__C08,-0.0171,Control
Utah__C09,0.0114,Control
Utah__C10,-0.0927,BRCACancer
Utah__C11,0.0523,Control
Utah__C12,0.0046,BRCACancer
Utah__D01,0.0223,BRCACancer
Utah__D02,0.0239,BRCACancer
Utah__D03,-0.0338,BRCACancer
Utah__D04,-0.0241,BRCACancer
Utah__D05,-0.0789,BRCACancer
Utah__D06,0.0281,BRCACancer
Utah__D07,0.0018,Control
Utah__D08,0.0566,Control
Utah__D09,-0.026,Control
Utah__D10,-0.0347,Control
Utah__D11,0.0517,Control
Utah__D12,0.1107,Control
Utah__E01,-0.0237,BRCACancer
Utah__E02,-0.0377,Control
Utah__E03,-0.0322,Control
Utah__E04,0.0125,Control
Utah__E05,-0.0626,Control
Utah__E06,0.0634,BRCACancer
Utah__E07,-0.05,BRCACancer
Utah__E08,-0.0475,Control
Utah__E09,-0.0994,BRCACancer
Utah__E10,-0.0542,BRCACancer
Utah__E11,-0.1502,Control
Utah__E12,0.2254,BRCACancer
Utah__F01,0.006,Control
Utah__F02,-0.0345,Control
Utah__F03,-0.0571,Control
Utah__F04,-0.0434,Control
Utah__F05,-0.0203,Control
Utah__F06,0.0215,Control
Utah__F07,0.0178,Control
Utah__F09,-0.0795,Control
Utah__F10,0.0231,Control
Utah__F11,-0.0174,Control
Utah__F12,-0.0128,Control
Utah__G01,0.0042,Control
Utah__G02,-0.0537,Control
Utah__G03,-0.0682,Control
Utah__G04,0.0107,BRCACancer
Utah__G05,0.1674,BRCACancer
Utah__G06,-0.071,BRCACancer
Utah__G07,0.0444,Control
Utah__G08,0.0152,Control
Utah__G09,-0.0687,Control
Utah__G10,0.0878,BRCACancer
Utah__G11,0.328,BRCACancer
Utah__G12,-0.0591,BRCACancer
Utah__H01,-0.1472,Control
Utah__H02,0.0103,Control
Utah__H03,-0.0133,Control
Utah__H04,-0.0322,Control
