@relation data

@attribute id string
@attribute 2820 numeric
@attribute 291 numeric
@attribute 4694 numeric
@attribute 54205 numeric
@attribute 6390 numeric
@attribute 6391 numeric
@attribute 7384 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,1.1379685361,1.5245117468,2.5790731379,0.2962079536,0.6201968742,0.9449959803,0.3596358622,BRCA
GSM480985,1.3776919842,1.2195487900,2.6998609303,0.0386221876,0.5398994706,0.9822114862,0.1494129637,BRCA
GSM480986,0.9289905751,1.5319489472,2.6965588994,0.3220589667,0.4918469413,1.1145135098,0.3865470647,BRCA
GSM480987,0.7344900124,0.8868841687,2.7444951138,0.4047028517,0.4667196364,0.8301454794,0.1892731293,BRCA
GSM480988,1.0054011428,1.4778905808,2.7243874206,0.0992772953,0.5242627501,1.1902519783,0.1912600433,BRCA
GSM480989,0.7177382867,1.3813472157,2.7105823359,0.0888926102,0.4818084316,0.9822125902,0.2875250331,BRCA
GSM480990,0.7374464305,0.9187243581,2.7939025824,0.0356193407,0.3949826356,0.9301648117,0.2102089732,Control
GSM480991,0.7318699939,1.4454906350,2.6590077480,0.1039387215,0.4224859876,1.2209260207,0.3686100013,Control
GSM480992,0.6010586516,0.9809066461,2.2498565252,-0.0133180718,0.3062242891,0.8876542938,0.6358898381,Control
GSM480993,1.0434282847,1.2801744139,2.5379271111,0.1211480606,0.4951463326,1.0565381431,0.4122679911,Control
GSM480994,0.7499368148,1.1634579509,2.8249722189,-0.0075297437,0.5186442389,1.0696717573,0.4349392768,Control
GSM480995,0.7805890674,1.6963872511,2.3993474379,0.1076373107,0.4563885848,1.2250706102,0.2650142943,Control
GSM480996,0.7076082393,1.7193755507,2.6664193470,0.1708083691,0.5700456126,0.9773613778,0.6154206460,BRCA
GSM480997,0.2615920571,1.4629515710,2.7674904930,0.0524748518,0.4159542177,0.8522625938,0.2085849398,BRCA
GSM480998,0.9002430238,1.3335188528,2.5053688687,0.1941751484,0.4535192626,0.6273732723,0.5003883223,BRCA
GSM480999,1.2027193827,1.4902062318,2.6783123416,0.1530278662,0.5057706451,0.8268907997,0.3106574921,BRCA
GSM481000,0.8877892282,1.6570651399,2.4911904867,0.1535479922,0.5992922511,0.9108167593,0.3619687772,BRCA
GSM481001,0.9039488227,1.3768570374,2.3404978513,0.2695131105,0.4844878204,1.0592881224,0.2486179503,BRCA
