@relation data

@attribute id string
@attribute 1610 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,-0.2169278152,BRCA
GSM481003,-0.1070485529,BRCA
GSM481004,-0.1785407320,BRCA
GSM481005,-0.1948261913,BRCA
GSM481006,-0.1286396232,BRCA
GSM481007,-0.0768630319,BRCA
GSM481008,-0.2347276659,Control
GSM481009,-0.2448282801,Control
GSM481010,-0.1928928605,Control
GSM481011,-0.1253942754,Control
GSM481012,-0.1358476662,Control
GSM481013,-0.1390106804,Control
GSM481014,-0.1636763894,BRCA
GSM481015,-0.1875748736,BRCA
GSM481016,-0.1360662566,BRCA
GSM481017,-0.1948760961,BRCA
GSM481018,-0.2299646879,BRCA
GSM481019,-0.0973488271,BRCA
