@relation data

@attribute id string
@attribute 1977 numeric
@attribute 1978 numeric
@attribute 1981 numeric
@attribute 208 numeric
@attribute 2475 numeric
@attribute 29904 numeric
@attribute 51422 numeric
@attribute 51719 numeric
@attribute 53632 numeric
@attribute 5494 numeric
@attribute 5562 numeric
@attribute 5563 numeric
@attribute 5564 numeric
@attribute 5565 numeric
@attribute 5571 numeric
@attribute 57521 numeric
@attribute 6009 numeric
@attribute 6194 numeric
@attribute 6198 numeric
@attribute 64223 numeric
@attribute 6794 numeric
@attribute 7248 numeric
@attribute 7249 numeric
@attribute 81617 numeric
@attribute 92335 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.8597522228,1.4740312099,1.6980434832,0.1866127024,0.2820005649,1.6441098186,0.7942531938,1.3731179661,-0.1903709059,1.2078851795,0.6972816498,0.5368377324,0.2999920529,0.5431077458,1.3033668929,0.4376529633,0.5011467330,1.9786010299,1.0731972919,0.4520576176,0.5271620488,0.7897334355,0.1938736673,0.0081437587,0.4151548941,BRCA
GSM480985,0.5953675452,1.3213309200,1.1983822426,0.2867683454,0.2869626373,1.4036846343,0.6079364413,1.2413109362,-0.1687008130,1.1445890237,0.8830770498,0.5711894630,0.3504684004,0.7091160180,1.2706286577,0.2968498417,0.3480824724,1.3981124721,1.1561554869,0.2324328587,0.6093504278,0.8176683512,0.2345843728,0.1540126286,0.6066386350,BRCA
GSM480986,0.7773986020,1.2712737771,1.6997357923,0.2145363198,0.3590194074,1.7274898837,0.8370573357,1.3210873517,-0.1877095143,1.2538033398,0.6173110976,0.4924874472,0.3304187802,0.4465487137,1.4931620293,0.5801334640,0.4292566602,2.0648790811,0.9039376048,0.5213745431,0.6143145962,0.8369606192,0.2363372804,0.0726626408,0.5164339242,BRCA
GSM480987,0.6698617379,1.8638020904,1.5315433110,0.2593453904,0.3142830003,1.7524254223,0.4190751875,0.9581088146,-0.1255765253,1.3119391145,0.5598070415,0.1182318989,0.2737920291,0.4880580428,1.2468129198,0.5878419488,0.4548907419,1.7945703094,0.7655862770,0.5380178713,0.5815484327,0.8187753238,0.0932189133,-0.0177000490,0.4295428320,BRCA
GSM480988,0.5148736254,1.1551737766,1.0212418811,0.1712146028,0.3580759724,1.7065514632,0.7425629368,1.2014169749,-0.0784951129,1.0668525188,0.5218059314,0.4654544679,0.4236023692,0.3572364971,0.7106158957,0.6544386181,0.2701222841,1.1622598935,1.0328786273,0.2623723376,0.4373966316,1.0524424439,0.0900821621,0.0908581125,0.7315496320,BRCA
GSM480989,0.4703791842,1.9222560303,1.7066463195,0.2270790681,0.2633598632,1.5978745951,0.8018479110,1.0167765478,-0.2168305382,0.7920295680,0.4183589999,0.2841369687,0.3537920004,0.3215075144,1.5055198472,0.5023262206,0.4436409829,1.5248417939,0.2883380064,0.4247554607,0.6818606048,0.7036933890,0.2283198774,-0.0009576898,0.4106374845,BRCA
GSM480990,0.5808486115,1.7020355538,1.8287894392,0.2749733657,0.3352952178,1.6698938061,0.5004763796,1.2829894094,-0.1984981659,0.9960498380,0.4202362334,0.0393349569,0.2651418656,0.2109162985,1.0926298862,0.4544873537,0.3061526690,1.7433930315,0.6969770806,0.5090261073,0.8286488369,0.7404210174,0.2879380461,-0.0157510355,0.5627660641,Control
GSM480991,0.6048336293,1.6131960900,1.7079852364,0.2449685031,0.3894767673,1.5292178656,0.7138718524,1.1787281285,-0.2136778654,1.1397887210,0.5643821552,0.3465647588,0.3778735274,0.3635253890,1.3601767089,0.5647792676,0.4086606375,1.5108800084,0.6293849200,0.5430102912,0.6071250964,0.8705600685,0.3037084810,0.1331185111,0.6440939855,Control
GSM480992,0.5169219855,1.7438820154,2.2112330549,0.3295684198,0.3958090664,1.6847831909,0.6387557607,1.2440570120,-0.2237809359,1.0353381065,0.3441480973,0.1885730066,0.2391999368,0.2324048330,1.0753398239,0.7170494109,0.2475422347,1.5021562358,0.6317377240,0.7602454607,0.7492861549,0.7955047986,0.3770529599,0.0003179602,0.6690385207,Control
GSM480993,0.6632197241,1.7381645814,1.6924103990,0.3003267815,0.3445785162,1.9036231869,0.7082894048,1.0560864289,-0.1266901352,1.1864769247,0.5277534072,0.4264199110,0.3573280849,0.2972319146,1.3913483091,0.6339994388,0.4085757997,1.9926175220,0.5767357118,0.5801787774,0.6791911472,0.7766399224,0.2714700667,0.0898754366,0.4197096896,Control
GSM480994,0.5539001322,1.7538931593,1.6814029602,0.1553611641,0.3299252589,1.6000574097,0.6234211546,1.0530931308,-0.2760747604,0.9133282048,0.3731841612,0.2612826399,0.2498709644,0.2844126239,1.2566497260,0.5328149021,0.3664583241,1.5656565736,0.5851660909,0.4402484396,0.7513561728,0.6835792970,0.1985795051,0.0194486689,0.4756830896,Control
GSM480995,0.6038034500,1.0732225756,1.9769839469,0.2290969502,0.3326354056,1.2739031828,0.7675013125,1.3966734112,-0.2542851722,1.2153126516,0.4931355914,0.2811864093,0.4225850208,0.7655463663,1.6988410157,0.5375779352,0.5404149378,1.5552684729,0.6536443566,0.3373310781,0.5722651154,0.7508807975,0.2038932479,0.0816352203,0.3899278095,Control
