@relation data

@attribute id string
@attribute 1147 numeric
@attribute 1616 numeric
@attribute 1676 numeric
@attribute 1677 numeric
@attribute 2934 numeric
@attribute 317 numeric
@attribute 329 numeric
@attribute 330 numeric
@attribute 331 numeric
@attribute 355 numeric
@attribute 356 numeric
@attribute 397 numeric
@attribute 4000 numeric
@attribute 4001 numeric
@attribute 4193 numeric
@attribute 4214 numeric
@attribute 4217 numeric
@attribute 4790 numeric
@attribute 4792 numeric
@attribute 4926 numeric
@attribute 5062 numeric
@attribute 54205 numeric
@attribute 5580 numeric
@attribute 5591 numeric
@attribute 5599 numeric
@attribute 5609 numeric
@attribute 5663 numeric
@attribute 5664 numeric
@attribute 5747 numeric
@attribute 5921 numeric
@attribute 5925 numeric
@attribute 596 numeric
@attribute 5970 numeric
@attribute 637 numeric
@attribute 6709 numeric
@attribute 71 numeric
@attribute 7124 numeric
@attribute 7132 numeric
@attribute 7133 numeric
@attribute 7185 numeric
@attribute 7186 numeric
@attribute 835 numeric
@attribute 836 numeric
@attribute 839 numeric
@attribute 840 numeric
@attribute 841 numeric
@attribute 842 numeric
@attribute 84823 numeric
@attribute 8717 numeric
@attribute 8737 numeric
@attribute 8738 numeric
@attribute 8772 numeric
@attribute 8837 numeric
@attribute 9020 numeric
@attribute 9530 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,1.5553736859,0.6902029403,0.8219632786,1.3562898702,0.1981429978,0.2989577477,1.4761933286,0.7196765877,0.6591489996,0.5622643714,-0.0677221629,1.7438162040,1.0035073719,2.2340153156,-0.0070708373,0.8951084466,0.5599281276,0.4754300158,0.8049394469,0.2469235983,1.9176566821,0.2962079536,0.0410287807,0.9789680260,0.7139937217,0.2957080686,0.4306773639,0.2940756359,0.3606912876,1.2399614989,0.9448039957,0.0813294935,0.8525465690,0.7954551236,0.9525858890,3.6226621756,-0.0286056817,0.9943679759,0.0818973198,-0.0706938679,-0.0161119644,0.1166489638,0.4014198135,0.8588852247,1.0425204001,0.2062981343,0.2530695895,1.1580279271,0.4405293713,0.3025678801,0.4118056942,1.0118299987,0.2891910347,0.0120870491,-0.0158269554,BRCA
GSM480985,1.1625347307,0.5630448351,0.4940670051,1.0382587114,0.2915093994,0.3494800181,1.9360077248,1.7912453411,0.7464130471,0.6094995523,-0.0922413117,2.0093426846,0.6331189783,0.9480292702,-0.0835794543,1.0636305118,0.7985456627,0.4509238059,0.9412159958,0.3514763170,1.5525041097,0.0386221876,0.0470336382,0.5501537389,0.7487222366,0.2382422053,0.4775120358,0.2073089417,0.4434307657,1.6289936866,0.7302493976,0.1096045168,0.8536376064,0.8824251903,1.2506461444,3.7874552336,0.0503361004,0.8512390850,0.0937775947,-0.0181744963,0.0039439453,0.0901692665,0.3647103445,1.0974155774,1.2673644275,0.1230658667,0.2134292614,0.4798040614,0.7702170055,0.3405707169,0.4327876920,0.9433996992,0.7033090449,0.1944893691,0.1528651454,BRCA
GSM480986,1.3508609449,0.9167026343,0.8810630536,1.0956824224,0.1853134645,0.2234449131,1.3394183649,0.7991103493,0.8325190790,0.4264019540,-0.0697262036,1.7773910656,0.7987302632,2.0511318817,0.0441754822,0.7935199528,0.5228419722,0.3572855135,0.9283377825,0.2916952178,2.0052070367,0.3220589667,0.1376239613,0.6285869678,0.7966307569,0.2837639618,0.4260402334,0.4096347002,0.2375885064,1.0477451485,0.8574318311,-0.0262396362,0.9353946786,1.1835862659,1.3520656727,3.6462782948,-0.0117659394,1.0988370049,-0.0235445299,-0.0581219053,0.0043865108,0.1933903277,0.2347654519,1.1415667872,1.1672225745,0.1717739808,0.4383908262,1.0673339002,0.8699044535,0.3061211907,0.3950133331,1.1722454262,0.3971310668,0.0711415219,0.0980685593,BRCA
GSM480987,0.9561490119,0.8676597425,0.7898034717,0.9964570336,-0.0087194403,0.1720295425,1.0348310271,-0.0337228885,0.7040909265,0.5515944428,-0.0680922132,0.1825958533,0.6519408185,1.7293552122,0.0336754173,0.5396577952,0.3928613255,0.2389650019,1.1037804131,0.2119094323,1.8267602669,0.4047028517,-0.0638800151,0.7003769937,0.7170214796,0.2364959457,0.3273552372,0.3864956428,0.2307216385,0.3419302189,0.5479266424,0.1066961603,0.8780260834,1.0083390245,0.9907094884,3.9579671080,-0.0407701192,1.2855681681,0.3446434658,-0.0693753648,0.0084098196,0.1489806325,0.2230391835,0.5030375027,1.3617466612,0.1670144839,0.1857093530,0.9955708717,0.5612895813,0.2509096731,0.4318752642,1.2946500264,0.1308179210,0.0186210414,0.0675018278,BRCA
GSM480988,1.0976330084,0.9553799635,0.7003005376,0.9722278052,0.1401436306,0.2048250465,1.0180345278,0.5330373620,0.2873332743,0.2691697425,-0.0621939344,1.5149353971,0.6097793105,1.8363362403,-0.0762924356,0.7586201133,0.5021468532,0.2502003758,0.7093335530,0.2475287636,1.9803916247,0.0992772953,0.1020999426,0.6491715091,0.6912962379,0.0441387518,0.2225401956,0.1904675350,0.3012423917,1.0833758790,0.6159016014,-0.0332379836,0.6707278885,1.0864184139,1.6180760887,4.0240748362,0.0001304974,0.9984557778,0.0156573691,-0.0738617644,0.1082906400,0.1777602493,0.1758982928,0.9760163357,0.8498932711,0.2149495928,0.4995689597,0.7524257854,0.7674596748,0.2956867596,0.3035130608,1.1240172577,0.2134835936,0.0445076557,0.1040891222,BRCA
GSM480989,0.6682628254,0.9731549913,0.7707026811,1.4159827828,0.3169035358,0.2827313408,0.5974664341,0.3198674378,0.4871916152,0.2305710107,-0.0434693121,2.2144975032,1.0251753460,2.0576279089,-0.0633361472,0.6540494401,0.2859210503,0.1723780840,1.0994870811,0.2991239973,1.8099314634,0.0888926102,-0.0322800519,0.5417129318,0.5911021925,0.3176934777,0.4050124762,0.3592420754,0.1835803039,0.8259597769,0.4999280601,0.0373846114,1.1224099571,1.1803532361,1.2766650192,4.1692070311,-0.0217998318,1.1939883348,0.1105701827,-0.1025152588,0.0247480945,0.2671450338,0.1138846011,1.0338136663,0.9651047886,0.1998820402,0.5414225689,1.1761347321,0.9244262918,0.1041393924,0.3090408782,1.3094834884,0.3479697749,-0.0409931634,0.1566991294,BRCA
GSM480990,0.8183849113,0.9972239329,0.8894835735,1.0432805152,0.1196123258,0.2409829762,1.0544136399,0.2184910625,0.5567332020,0.3596986547,-0.0242624128,1.7403273654,1.0428094412,1.8361590654,-0.0377953903,0.6895217888,0.2198563085,0.3219937040,1.2569765001,0.2585018284,2.1385234782,0.0356193407,0.0342884361,0.6662868585,0.5124700949,0.3639611033,0.2569054178,0.2532056378,0.2556535407,0.7633490191,0.8644990985,-0.0140931005,1.1399565821,0.5828239298,1.2300627898,4.4571284381,-0.0152148257,1.1523818072,0.1467166150,-0.0768418162,-0.0334197225,0.1861562266,0.0401264709,0.7887910386,0.7934966236,0.0764739330,0.3181734394,1.3965021703,0.9544915450,0.0876675515,0.3235256798,1.3122771946,0.2711160333,-0.0165585492,0.1786299971,Control
GSM480991,1.0469395604,0.8308391752,0.8289711413,0.9980369673,0.3437153258,0.1191125174,1.1403018867,1.0789077615,0.6502202311,0.3676016834,-0.0387195160,2.0877452246,0.9744097795,0.9310791286,-0.0037197388,0.8135851005,0.4909439993,0.3367405246,1.2472408378,0.3081528060,1.9004271532,0.1039387215,0.0229694380,0.4531482731,0.7236467786,0.2691069538,0.3933905798,0.4332083487,0.2348265328,0.9700415278,0.7603944621,-0.0490740068,1.0769064036,1.2640591513,1.5558186108,4.1061814696,0.1726690396,1.1897217152,0.1265208385,0.0105028899,0.0421075354,0.2463971335,0.1772719718,1.0622444002,1.1244575976,0.2183779771,0.5430663557,0.7673042666,0.9954326866,0.2397026908,0.4217668849,1.1380086821,0.4669592679,0.0821979287,0.1731070736,Control
GSM480992,0.6665939561,0.9343769022,0.8639072258,0.8184984393,0.1875599245,0.0999823145,0.7287117838,0.0761861219,0.4538401720,0.1906451891,-0.0268258417,1.9305089571,1.2713552237,2.0671053601,-0.0464381419,0.6908869928,0.3903702807,0.1333302662,0.8925691490,0.3710603786,2.0045540961,-0.0133180718,0.1067663197,0.7389148599,0.4097217267,0.3634628315,0.3361732716,0.2220148885,0.1477922502,0.8188718937,0.8413598781,-0.0325755605,1.2896809784,0.7394272332,1.4653365954,4.3697378854,-0.0538811761,1.3154176546,0.1332247741,-0.0856816104,-0.0174076045,0.2303380465,0.0732875811,0.5849737667,0.5313503416,0.1025927702,0.4716532580,1.2289090686,1.0342417146,0.2120288617,0.4598112149,1.1863660183,0.2941609059,0.0293533208,0.0784736290,Control
GSM480993,1.1139041867,1.0452470036,0.9237758369,1.0230447188,0.2191697203,0.2123312633,0.9733922681,0.5281633499,0.6618218835,0.2692942816,-0.0520990045,1.8903626624,0.9385050160,2.3362839819,0.0065748730,0.8665301368,0.3858281619,0.2735164897,0.9085881339,0.2813471717,1.9982736738,0.1211480606,0.0480869768,0.6867501248,0.7140314231,0.2558302714,0.4258051752,0.3069662438,0.3103372069,0.8916519929,0.8349784980,0.0269303651,0.9961075650,1.0875472625,1.3821796289,3.9780380943,-0.0270253466,0.9243113236,0.0828548684,-0.0234169937,0.1364159654,0.2515041795,0.1338819088,1.0152393227,1.0948829279,0.1875540034,0.4849967851,1.1730470988,0.8602189127,0.3169923441,0.3236319403,1.3608774774,0.3669146274,0.0159192843,0.1748103037,Control
