@relation data

@attribute id string
@attribute 10000 numeric
@attribute 10672 numeric
@attribute 1742 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 23646 numeric
@attribute 4018 numeric
@attribute 4214 numeric
@attribute 4217 numeric
@attribute 4790 numeric
@attribute 4791 numeric
@attribute 4792 numeric
@attribute 4793 numeric
@attribute 4794 numeric
@attribute 4795 numeric
@attribute 4796 numeric
@attribute 5163 numeric
@attribute 5256 numeric
@attribute 5266 numeric
@attribute 5267 numeric
@attribute 5291 numeric
@attribute 5337 numeric
@attribute 5338 numeric
@attribute 5599 numeric
@attribute 5747 numeric
@attribute 596 numeric
@attribute 5962 numeric
@attribute 6093 numeric
@attribute 6416 numeric
@attribute 6722 numeric
@attribute 6915 numeric
@attribute 9475 numeric
@attribute 998 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.3397790969,0.4578120967,0.1665452991,1.9397812022,0.1866127024,0.3039141226,-0.1217864901,0.8951084466,0.5599281276,0.4754300158,0.0179940055,0.8049394469,0.6222571999,0.3252477609,0.1872152034,0.1316801912,0.9942950769,0.1440184546,2.2220174370,-0.0359800111,0.0817053106,0.1259317763,0.2181753710,0.7139937217,0.3606912876,0.0813294935,2.0807089253,0.0312767470,0.8519533800,0.6201772619,0.3861785235,-0.0796944764,0.2693405723,BRCA
GSM480985,0.6712534413,0.4435243180,0.1851502992,1.4054429928,0.2867683454,0.5894631867,-0.1864940508,1.0636305118,0.7985456627,0.4509238059,0.0645904077,0.9412159958,0.5609422953,0.5135553388,0.1450815188,0.0109823528,0.8471601896,0.1415158003,2.4462108544,-0.0687625508,0.1992576002,0.2222447299,0.3984574054,0.7487222366,0.4434307657,0.1096045168,1.8865753881,0.0755929606,0.9115112276,0.5771414831,0.5949207893,-0.0687286226,0.2437138550,BRCA
GSM480986,0.3637514705,0.4806629056,0.0373472180,1.7577156492,0.2145363198,0.3465022776,-0.0871982598,0.7935199528,0.5228419722,0.3572855135,-0.0042790188,0.9283377825,0.7128700620,0.3070080325,0.0804402734,0.1051305198,1.0312913730,0.1961503486,2.9664281960,-0.0357712944,0.0859145318,0.1510642664,0.1932115100,0.7966307569,0.2375885064,-0.0262396362,1.8536622610,0.0069230790,0.8755208067,0.6410997946,0.3776374397,-0.0732849970,0.2337614380,BRCA
GSM480987,0.4741756265,0.5034895418,0.1237357168,1.6769249506,0.2593453904,0.3503395428,-0.0233214091,0.5396577952,0.3928613255,0.2389650019,-0.0041532980,1.1037804131,0.7524098709,0.1756962026,0.1045573228,-0.0373976370,0.5568740662,0.0320354344,1.0151106578,-0.0636228614,-0.0142156617,-0.0163439327,0.0163941771,0.7170214796,0.2307216385,0.1066961603,1.9487962127,0.0234027272,0.4823463641,0.7558240294,0.5854230129,-0.0519221399,0.2226472523,BRCA
GSM480988,0.3666419161,0.4307299531,0.0792691462,1.1675294143,0.1712146028,0.2739402649,-0.1209293899,0.7586201133,0.5021468532,0.2502003758,-0.0381616795,0.7093335530,0.5546799707,0.3219356285,0.0269270807,0.0851208736,0.9700278779,0.1963387873,2.0492829626,-0.0206483678,0.1213094126,0.2451317272,0.0793868326,0.6912962379,0.3012423917,-0.0332379836,1.5620394614,0.0022991031,0.8547642460,0.5435365841,0.6749088877,-0.0317350667,0.1930281139,BRCA
GSM480989,0.2517094096,0.2197947438,0.2458340079,2.3074461223,0.2270790681,0.5296821348,-0.0532483476,0.6540494401,0.2859210503,0.1723780840,-0.0009295910,1.0994870811,0.6648718736,0.5292995301,0.1555565664,0.0882319674,0.8723785451,0.1375677007,2.9592114276,-0.0541823168,-0.0454611126,0.0289337283,0.1779847840,0.5911021925,0.1835803039,0.0373846114,1.4454832779,0.0616616788,0.4700387904,0.7745955205,0.9202104920,-0.1349797046,0.2852107126,BRCA
GSM480990,0.3166647480,0.4218256780,0.2119237644,2.3939645291,0.2749733657,0.4151322373,-0.0192887962,0.6895217888,0.2198563085,0.3219937040,0.0472149767,1.2569765001,0.7222510494,0.3757311289,0.0951571770,0.0059864997,0.3677679448,0.0500234758,3.2175734220,-0.0551456771,0.1950829520,0.0492130012,0.0875241920,0.5124700949,0.2556535407,-0.0140931005,2.1232715676,0.0384436129,0.3495328669,0.8723921379,0.6230213183,-0.1541326487,0.1617002876,Control
GSM480991,0.2500861962,0.3797784107,0.1213872813,1.8290236989,0.2449685031,0.5023394971,-0.0631787018,0.8135851005,0.4909439993,0.3367405246,0.0648689188,1.2472408378,0.8390529259,0.5165406483,0.1116894392,0.0044421042,0.6418447939,0.0847416197,3.1593996651,0.0031712950,0.0580118667,0.0450446508,0.2226377079,0.7236467786,0.2348265328,-0.0490740068,1.6708834554,0.0374511476,0.4903383693,0.6263118941,0.4659910406,-0.0669590193,0.2150321878,Control
GSM480992,0.2476967987,0.4350302649,0.2280438674,2.3328941266,0.3295684198,0.4883497191,-0.0650397394,0.6908869928,0.3903702807,0.1333302662,0.0450259004,0.8925691490,0.7926203149,0.3600742080,0.2369409949,0.1249185544,0.5632396906,0.1271233572,3.5150150491,-0.0180827361,-0.0417928508,0.0517022698,0.2308788326,0.4097217267,0.1477922502,-0.0325755605,1.5654868016,-0.0010797481,0.3735262640,0.7898053639,0.4419980078,-0.1714860920,0.2135051408,Control
GSM480993,0.3786722400,0.4619793950,0.1730288758,1.9907199673,0.3003267815,0.4424425927,-0.0862826121,0.8665301368,0.3858281619,0.2735164897,0.0865606131,0.9085881339,0.8274797584,0.3331510317,0.2005417107,0.2439132695,1.0416793153,0.1685671199,2.8665367503,-0.0306857341,-0.0141177758,0.0950189573,0.1120100428,0.7140314231,0.3103372069,0.0269303651,1.6697199131,0.0340418489,0.6978857851,0.6733015714,0.8586612726,-0.1117413986,0.2080415856,Control
GSM480994,0.2401695627,0.3251078802,0.1449259340,2.2647942436,0.1553611641,0.4766910599,-0.1163547982,0.7033401395,0.2925534053,0.1787086215,0.0241691775,0.7630755900,0.6812152300,0.3560556479,0.2168381918,0.0751697779,0.6738723560,0.0525804023,3.6058579365,-0.0791067814,-0.0213671374,0.0779974775,0.2151213884,0.3175909795,0.1898239563,-0.0009334706,1.7297644360,0.0345375247,0.4248315496,0.6063042286,0.8600478465,0.0014386426,0.2430260461,Control
GSM480995,0.4409180506,0.4463828500,0.2024889490,2.2447793616,0.2290969502,0.3143225341,-0.1383605227,0.8727676467,0.4561771737,0.3540730737,0.1996929896,1.5879044235,0.5905611118,0.6144397921,0.1812322362,-0.0616130906,0.5285094039,0.1487913238,2.6258472886,-0.1966257030,0.1018878077,0.0744226263,0.0418705328,0.8682190766,0.3844956729,-0.0677927909,1.9274798631,-0.0266048582,0.6676811743,1.1702717529,0.7069110702,-0.0649031331,0.2598533510,Control
GSM480996,0.3018407680,0.4381089798,0.0867406594,2.1184759934,0.2087806824,0.5092985962,-0.0056302824,0.6049608211,0.2477553471,0.1904408052,0.1311434403,1.0681144075,0.7899594791,0.4613711387,0.1741588186,0.0307075427,0.8655701839,0.1057454391,3.3532660390,-0.0201282316,-0.0157742867,0.2302093240,0.2675477967,0.6656352630,0.2123995517,0.0301983259,1.5447477507,-0.0457660437,0.6275773479,0.9676386322,0.1443584398,-0.1195415663,0.2174085535,BRCA
GSM480997,0.5942143687,0.3610225479,0.3939571524,2.3593104947,0.3575331336,0.7384307467,-0.0579787553,0.2922959110,0.2034713752,0.1267871698,0.1079068591,1.5878493340,0.5418173529,0.5562560316,0.2995042264,-0.0125600165,0.8389165051,0.1616285182,0.8693434472,-0.0860277040,0.0323345262,0.0201516690,0.0261189764,0.6271673251,0.2051827405,-0.0789440982,1.3982345396,-0.0453751971,0.3560235684,1.0725838222,1.7088958221,-0.0816729241,0.2149437333,BRCA
GSM480998,0.3346834291,0.3406713253,0.1547025965,2.0572760636,0.4557905310,0.5363092944,-0.0638847221,0.6783624879,0.4133488700,0.1354134279,0.0889261751,0.8054925223,0.8579030307,0.5070878732,0.2649870152,0.0507466484,1.1851907893,0.1495077468,2.5349773449,-0.0431244618,-0.0445457813,0.0863764813,0.2806543212,0.6147042501,0.1946123678,-0.0368336106,1.9425655219,0.0820538429,0.7248375769,0.8840516842,0.7421371309,-0.0619967856,0.1704691498,BRCA
GSM480999,0.5223618987,0.5154520888,0.0916521696,1.6031868988,0.2200205550,0.4472657277,-0.1022515447,1.0949276908,0.5791671695,0.7189646635,0.0043318147,0.8425852770,0.6585155572,0.5462035955,0.0962439899,-0.0700832045,0.6935693534,0.2255635112,2.6180583740,-0.0880482769,0.4350583694,0.1242170710,0.2363815212,0.6894101039,0.3826780218,0.1652119465,1.5649000800,-0.0289491191,0.9160205947,0.7456622764,0.5713218110,-0.0558391554,0.2164244493,BRCA
GSM481000,0.3423136670,0.6000172430,0.1301261216,1.3439433907,0.2485156906,0.5020112416,-0.0954241288,0.9999615188,0.6174514233,0.4366804063,0.0645896079,1.0661682747,0.7139076193,0.4846177735,0.1334186261,-0.0837737026,0.8199817641,0.2218296337,2.5248228540,-0.0734509319,0.0936185880,0.0405861897,0.3643224419,0.6225341240,0.3141139373,0.0770338026,1.8227874763,-0.0158603596,0.9592679587,0.6238147462,0.5213090035,-0.0831775717,0.2896259160,BRCA
GSM481001,0.5873012014,0.5351165200,-0.0159743170,1.9257329968,0.1908817230,0.3154630934,-0.0759023759,1.0739376077,0.5343349559,0.5967181248,0.1030355871,1.2998180016,0.4678161129,0.5439346435,0.0967027450,-0.1861752266,0.7100406484,0.0348668569,3.2884899160,-0.1188791505,0.1291845596,0.0151969343,0.1066183338,0.7868789858,0.3840656285,0.0035275387,2.4770059586,0.0272794109,0.8885551411,0.7877539688,0.5569520821,-0.1728520066,0.2179456402,BRCA
