@relation data

@attribute id string
@attribute 1017 numeric
@attribute 10393 numeric
@attribute 10459 numeric
@attribute 107 numeric
@attribute 10734 numeric
@attribute 108 numeric
@attribute 109 numeric
@attribute 10971 numeric
@attribute 111 numeric
@attribute 112 numeric
@attribute 11261 numeric
@attribute 113 numeric
@attribute 114 numeric
@attribute 115 numeric
@attribute 151648 numeric
@attribute 163688 numeric
@attribute 196883 numeric
@attribute 23291 numeric
@attribute 245711 numeric
@attribute 25847 numeric
@attribute 26271 numeric
@attribute 27127 numeric
@attribute 27330 numeric
@attribute 286151 numeric
@attribute 29882 numeric
@attribute 29945 numeric
@attribute 3479 numeric
@attribute 3480 numeric
@attribute 367 numeric
@attribute 3708 numeric
@attribute 3709 numeric
@attribute 3710 numeric
@attribute 4085 numeric
@attribute 4342 numeric
@attribute 51433 numeric
@attribute 51434 numeric
@attribute 51529 numeric
@attribute 51806 numeric
@attribute 5241 numeric
@attribute 5347 numeric
@attribute 5499 numeric
@attribute 5500 numeric
@attribute 5501 numeric
@attribute 5515 numeric
@attribute 5516 numeric
@attribute 5518 numeric
@attribute 5519 numeric
@attribute 5525 numeric
@attribute 5526 numeric
@attribute 5527 numeric
@attribute 5528 numeric
@attribute 5530 numeric
@attribute 5532 numeric
@attribute 5533 numeric
@attribute 5534 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5613 numeric
@attribute 6195 numeric
@attribute 6196 numeric
@attribute 6197 numeric
@attribute 6300 numeric
@attribute 63928 numeric
@attribute 6500 numeric
@attribute 6790 numeric
@attribute 699 numeric
@attribute 7529 numeric
@attribute 7531 numeric
@attribute 7532 numeric
@attribute 7533 numeric
@attribute 801 numeric
@attribute 805 numeric
@attribute 808 numeric
@attribute 810 numeric
@attribute 815 numeric
@attribute 816 numeric
@attribute 817 numeric
@attribute 818 numeric
@attribute 8243 numeric
@attribute 8454 numeric
@attribute 8697 numeric
@attribute 8881 numeric
@attribute 891 numeric
@attribute 8945 numeric
@attribute 898 numeric
@attribute 89869 numeric
@attribute 9088 numeric
@attribute 9126 numeric
@attribute 9133 numeric
@attribute 9134 numeric
@attribute 9700 numeric
@attribute 9748 numeric
@attribute 983 numeric
@attribute 995 numeric
@attribute 996 numeric
@attribute 9978 numeric
@attribute 9985 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.5834629533,0.4409035541,0.7932892770,-0.0680557761,0.0421635017,-0.0785590173,0.7727496513,0.8977078460,-0.1577812994,0.3797550982,0.7714346136,0.5154408196,-0.0726066500,0.1941818817,0.3057522086,-0.1416283464,-0.0095319855,1.4073050071,-0.0846526457,0.9389354935,0.6818020262,-0.0483725835,0.4624164514,0.0060386393,0.2199296023,1.9304640218,-0.0297777642,0.4079252350,-0.0646295228,0.1313168648,0.1067213277,0.5609436097,2.0403915793,-0.2854914674,0.9917680114,0.9448870902,0.8361155502,-0.0195479401,-0.1775301832,0.3271421172,1.8940309816,2.7014698649,3.1685768234,1.7623662382,0.3081120378,0.7647704655,0.7174999820,0.9490801855,0.0047996029,0.7051099895,0.3854039603,1.1392389064,1.3485143633,0.9049248654,0.5655952376,0.5931362181,0.6055969648,-0.0123531642,0.5276523813,0.4586358647,0.9930449004,0.8590166551,0.4753331980,0.3490809082,-0.0068966250,-0.1348413536,2.4757785698,2.3390612877,0.3780691968,2.8649117788,2.1320210693,3.3017348942,0.2840659279,1.5891594400,0.9537983259,2.1997757852,0.2531493374,-0.0635502934,-0.0643923931,0.6420336235,0.1409569047,0.6856161449,1.3170545794,1.3282124261,1.1286486791,1.6099218839,0.0014613103,1.8834737148,-0.0622069501,1.2342656804,1.2716441132,0.4087540737,0.5398516901,0.5581111865,2.0306330621,1.5315232102,0.0840558490,0.7639295043,2.1878641161,0.1947545829,BRCA
GSM480985,0.4411996799,0.2836712234,0.7315369438,-0.1146877620,-0.0184209397,-0.1466375627,0.5223725109,0.7658785862,-0.1766650246,0.4228589949,0.8597149872,0.3467999483,-0.1656008608,0.2055798990,-0.0501801897,-0.0916407251,-0.0878300879,1.4699914407,-0.1880800491,0.9378317617,0.1514162898,-0.1500861431,0.2194411271,-0.1073607708,0.3074832453,1.8535176105,-0.0726949804,0.3550249918,-0.0604974341,0.4415400387,0.5849629343,0.3553600297,1.2221845852,-0.2697433812,0.9222089273,0.7172891102,0.7083795841,-0.1604685536,-0.1803756609,0.0282611265,1.3149515258,2.9909083748,3.0398633216,1.5972294421,0.2363182238,0.5275128255,0.4824771165,1.4096147597,-0.0356001569,0.7057918679,0.3409020890,1.0624773818,1.2292638585,0.8493034308,0.4722626175,0.7376574537,0.7695002645,-0.1038192192,0.4521202200,0.5649788797,1.1653226431,0.5620005916,0.4960677786,0.3743994703,-0.0052304801,-0.1474278699,2.5891925593,1.0868779604,-0.0416451805,2.6496851841,2.1926461853,3.3812768759,0.2868869492,1.2845784730,0.9828057632,1.9199515841,0.0051101413,-0.0360112713,-0.0954384340,0.7133841506,0.1554803168,0.3150689427,1.1303715957,1.0570350599,1.3236240174,0.5083322379,0.0644135960,0.6753045402,-0.2096112036,0.3690489507,0.9292611400,0.1234224694,0.0240563192,0.1291205412,1.5698869526,0.5325953874,-0.0960567832,0.6719289484,1.9761838061,0.1515603755,BRCA
GSM480986,0.4792193069,0.2770791709,0.7353933247,-0.0866454035,-0.0234406963,-0.1313444398,0.6232914684,0.8961630866,-0.1350317207,0.1785444665,0.8397588544,0.5399395962,-0.1195620130,0.1296261391,0.1005151441,-0.1414109196,0.0055539080,1.4744531103,-0.1252004756,0.9442136763,0.4085294145,-0.0231603069,0.4537448762,-0.0472919641,0.2555351971,1.2999433465,-0.0318582082,0.3144797006,-0.1253770366,0.2835222208,0.1536485495,0.6212419597,1.7196805031,-0.2311957016,0.8772804238,0.9094667012,0.8184140831,-0.0450191986,-0.1526520786,0.2725377393,1.8601526020,2.6549670554,3.1685580942,1.6820185006,0.3124934828,0.7615997205,0.7131900114,0.9288615450,0.0688032554,0.7133226926,0.3827300649,1.1325124873,1.4755984701,0.6729391185,0.5177595145,0.6712817949,0.7078176651,-0.0887387330,0.5276161861,0.5706250406,0.9547375822,0.7839062919,0.4085617637,0.3229744066,0.0253748071,-0.1310103294,2.5094936490,2.2035584816,0.2267855712,3.0484460116,2.5239436627,3.5162105559,0.2451798338,1.6418533209,0.7694473286,2.1900971755,0.3643759714,-0.1068710505,-0.0770829322,0.6441054073,0.1217694167,0.6740737191,0.9907254267,1.1701710971,1.1886514017,1.5251714177,0.1160914501,1.0686674790,-0.0108246852,0.9635322857,1.0411500615,0.3442725355,0.2420500529,0.4426802661,1.5083096325,1.0733144594,0.1225732032,0.6501435057,1.9765978370,0.0995148761,BRCA
GSM480987,0.4050084262,0.1030770908,0.7467774327,0.0948443130,-0.0322308403,-0.0932495861,0.9581980763,0.9140171910,-0.1124067577,0.0528845680,0.6984377671,0.8650637666,-0.1120932270,0.1242048581,-0.0882992123,-0.1414936161,0.2631349051,1.6044796897,-0.0829071411,1.0239138736,0.3330961292,-0.0557049575,0.5711384810,-0.1565542630,0.1278045057,1.0467505306,-0.0316742232,0.2098507082,0.5083821279,0.3327935711,-0.0104492808,0.3998152808,1.4934895566,-0.2787967930,0.7967465467,0.6658706113,0.6754066329,-0.0718489090,-0.0987152297,0.0617001100,1.3803235757,2.4641138791,3.2913799816,1.7100764543,0.3315473428,0.6131601911,0.5315221477,0.4929498471,-0.0061240092,0.4414973196,0.3297560222,0.7104099762,1.6084967972,0.9346764925,0.4873980932,0.4481176670,1.0939444790,-0.0234222412,0.4570317386,0.5260457562,0.2135299446,0.1390306237,0.8660132522,0.2145047075,0.1567118048,-0.1119046295,2.1274220248,1.9012766987,0.0794345130,2.8611823956,2.3751924037,3.7342699767,0.1725909245,1.3375803794,0.6854064385,1.7749855086,-0.0393749357,-0.0885894268,-0.0640990646,0.8422779248,0.0131572660,0.4889129165,1.0421429781,1.0625366549,1.1344062175,0.9127785694,0.0502347329,1.3236865311,-0.1184092452,0.7444165131,0.7235422715,0.1234770612,0.0952624018,0.1665571800,0.8334669991,0.5592251090,-0.0151769519,0.5981840252,1.9492992501,-0.1023015964,BRCA
GSM480988,0.4529012942,0.3265746919,0.1624195477,-0.1114876393,0.0685289303,-0.0557560889,0.3484778570,0.7300454369,-0.0759397257,0.2434777927,0.8607449488,0.2204383947,-0.0361867587,0.1508974081,0.2669096164,-0.1606387714,0.0293470489,1.3966947863,-0.0918606020,0.5981008170,0.3438225459,-0.0340003062,0.3494939344,-0.0911302340,0.2286313987,1.2620835994,-0.0315514604,0.2816516543,-0.0792272906,0.1991312819,0.2297151421,0.5623337450,1.3826761571,-0.2513950848,0.7773246126,0.8999751241,0.5026008045,-0.1077501489,-0.1853938969,0.4299748017,1.2907627622,2.4521004939,3.1034910150,1.5759464525,0.3109120772,0.4110367248,0.6810503945,1.0736490343,-0.0025899021,0.5714537580,0.2888080597,1.0280710610,1.3750535183,0.7414630045,0.1617906544,0.3137383716,0.5631931945,-0.0202760463,0.4923907940,0.4829891018,0.7728505326,0.6210581084,0.2209763757,0.3158808795,-0.0337513612,-0.1084911532,2.4852908452,2.5191878092,0.0854778354,2.7963664452,1.9517735643,3.2479327320,0.1968091326,1.4518957679,0.8568994044,2.2009519134,0.1184602400,-0.0432362018,-0.1012624690,0.6047102776,0.1260813951,0.5968683377,0.8163855404,1.0799297678,1.3538805558,1.3155103103,0.0174755329,1.0074813106,-0.0965033044,1.1078227310,1.0980431750,0.3815990660,0.1240088557,0.8211949573,1.3774822875,1.2855403286,0.2038557315,0.4672004229,1.5272548286,0.2571247734,BRCA
GSM480989,0.6269943672,0.1542069719,0.8557678048,-0.0620193510,0.1945495070,-0.0467369777,1.0119184052,0.9536321424,-0.1447008381,0.2998246142,1.0229797038,0.3220232484,-0.0685872297,0.2054151728,0.1400421810,-0.1988541156,-0.1595958304,1.4009669611,-0.0430113674,0.3530826610,0.2356479479,0.0870149819,0.0917087290,-0.0170879435,0.2868395569,0.6100390129,-0.0311918096,0.3475496019,-0.0249334271,0.2200210720,0.0458035868,0.4976210030,1.2374490658,-0.3099519338,0.7178259777,0.5049602511,0.9969219018,-0.0660787014,-0.2988325481,0.4868759042,2.4784270126,2.2944378067,3.1681633526,1.3931663536,0.0226131609,1.0587791578,0.5312064313,0.7545787605,0.0049876286,0.5964250152,0.4202536828,0.8617932616,1.4386271053,0.5870933372,0.4391528262,0.9056678476,0.3538124809,0.0047141360,0.4168803811,0.8519349658,0.8033357407,1.0677040443,0.3754435785,0.1254392710,0.0401129422,-0.0811708468,2.0783520440,2.0389452531,0.1205833226,2.9099976381,2.5266134737,3.6160825491,0.3122929088,1.5590544180,0.7983118814,2.9188919440,0.4245331458,-0.0476141433,-0.1131204681,0.5547810792,0.1083134365,0.4940575337,0.7408097406,1.0437201172,0.8178940727,1.5206583849,0.0230541362,1.4748466095,-0.1553231908,1.3226608802,0.5545799394,0.2909707397,-0.0059800904,0.5450500698,0.9818071610,0.8374702217,0.1241921768,0.2994629071,1.6914763451,0.1859088306,BRCA
GSM480990,0.5995322283,0.0896775553,0.9672808566,-0.0744136228,-0.0056307180,-0.0817924930,1.0164559484,0.8753826609,-0.1368300982,0.1709839052,0.8392681946,0.5393573991,-0.1056272242,0.2828586080,0.1223127836,-0.1820909605,-0.0106996141,1.4480954722,-0.1836526199,0.7284176501,0.2370208031,0.0077143629,0.2400898547,-0.0432186393,0.2114747107,0.7194065476,-0.0190866980,0.4230530610,-0.1192657911,0.1628782986,0.0021861719,0.5061100200,1.5971515954,-0.2304606814,0.6037310200,0.4951959255,0.7316155964,0.0198499129,-0.0990054984,0.3875403267,2.2206121683,2.6859600878,3.1901607512,1.4343192951,0.2047472435,0.9752111733,0.4948035199,0.6389422269,0.0617652096,0.6573617734,0.4702045261,0.9861059069,1.2886391192,0.5830522417,0.4347083518,0.8428640298,0.7935236208,-0.0195084080,0.4040678319,0.5468216389,0.5710339894,1.0079710025,0.7074387894,0.2346333858,0.1445519146,-0.1053477980,2.0042174558,2.3325213835,0.1584268574,3.0515313069,2.2605771227,3.8424132466,0.2054380223,1.4453520321,0.6829452796,2.5856389926,0.4549186632,-0.0387971694,-0.0783020266,0.5480292028,0.0558532586,0.3740858549,0.6449577310,0.7841279359,0.7411978359,0.9279535208,0.0038495344,1.1184334419,-0.1451698444,1.1998328257,0.8589074262,0.1946728425,-0.0066530572,0.2173018729,1.4906253666,0.8005220020,0.0490310384,0.4244345206,1.3563763670,0.5425490815,Control
GSM480991,0.2669265534,0.1927069870,0.6776759127,-0.0467888096,0.1277916147,-0.0623631008,0.4249343571,0.8124476158,-0.1120446003,0.2858755783,0.9410596814,0.5548712921,-0.1251052238,0.2768006893,-0.0560154777,-0.1618150806,-0.0189355184,1.4586376352,-0.1310999329,0.8649037049,0.0301259013,0.0506500816,0.3509049253,-0.0249142321,0.3797990847,0.8341484769,-0.0214013296,0.2360625108,-0.0878314436,0.2311761151,0.1075655196,0.7279821927,1.0395429118,-0.3074102319,0.7988008477,0.6980592062,0.8588123652,-0.0048325991,-0.1813042999,-0.0314091450,2.0201644632,2.5304952479,3.0472761524,1.4974810705,0.1986639752,0.9436757888,0.6351671688,0.8343841075,0.1168246841,0.6418374375,0.4595783168,1.0007687234,1.3283271537,0.6608008562,0.3957455124,0.7147501284,0.6564376624,-0.0500267771,0.5071865046,0.6482640730,0.7389248726,0.7941210804,0.5811723371,0.2548893520,0.1220167010,-0.1263488267,2.3222305478,1.4037622031,-0.0760407465,2.9438177745,2.2935149670,3.5766208769,0.2894791155,1.5451146222,0.7246558555,2.3986895680,0.5203580332,-0.0434597657,-0.0664389667,0.5891530063,0.1548473247,0.3540252291,0.7302720172,0.9970192195,0.9492498922,0.5849728780,0.0277498589,1.0403012996,-0.0336492464,0.5882473241,0.5861385325,0.0515380543,-0.0570300089,0.0786895355,1.3668048086,0.3363024906,-0.0679689009,0.3992910188,1.6609341250,0.1491107261,Control
GSM480992,0.4398213812,0.0852505762,0.8706505829,-0.0848685851,0.0516766647,-0.1067906695,0.8758288564,0.9112154756,-0.1194200918,0.5049739010,0.9758864265,0.4127616239,-0.0951718734,0.4200474990,0.0603457407,-0.1319793334,0.0041698367,1.4558703804,-0.0827070754,0.6212351461,0.1584149181,0.0883042365,0.2719361378,-0.0569621512,0.3162242127,0.5504623074,-0.0093784845,0.3775521221,-0.1062374386,0.0994592431,0.0161160152,0.7308892569,1.3981403853,-0.2628098992,0.5765747834,0.5188744855,0.9538249318,0.0357248699,-0.0713198923,0.5542901803,2.4939962627,2.5394816064,3.1168344284,1.2969635930,0.1431735181,1.1712464989,0.5340362522,0.5707024353,0.0651173290,0.6351517523,0.4955356443,1.0355044920,1.4482076389,0.4972681324,0.4195187698,1.1381731691,0.5008515699,0.0557855016,0.4130200728,0.9082788116,0.8443388831,1.0579590626,0.5338543657,0.2154794810,0.0927470139,-0.0713407049,1.8556330402,1.8732539508,0.0246661814,3.0823179564,2.0128209990,3.8861452936,0.2041087145,1.4246134289,0.7415068230,2.6897532866,0.7067827030,-0.0718402782,-0.0227440883,0.5535295457,0.0925191902,0.6237603474,0.6086787910,0.7880503898,0.8010663307,0.9908523523,0.0437098363,1.1468315460,-0.1336589761,1.5028773955,0.6884968201,0.2822151612,0.0095680614,0.4596101454,1.2747794016,0.5412993354,-0.0625000057,0.4381850472,1.2825294479,0.1718676010,Control
GSM480993,0.6524033558,0.2232425609,0.7836148512,-0.0384183934,-0.0355289503,-0.1120296282,0.7973100805,1.0168038179,-0.1578653891,0.2520091683,0.8986200048,0.4410814088,-0.0471520076,0.3209931134,0.1609049639,-0.1592113870,-0.0442055219,1.6422861704,-0.1318137752,0.7155261789,0.3248435988,-0.0484653959,0.1394531711,-0.0815083465,0.3382211334,0.9454233330,-0.0238642222,0.3445043971,-0.1055219161,0.1916949626,0.1179360291,0.7271375300,1.7694959269,-0.2912094129,0.8754696113,0.7753788841,0.8852437508,-0.0363483728,-0.1373249696,0.6193341165,2.0125354662,2.6022748709,3.2201224698,1.6592786313,0.2477899835,0.7930191697,0.5554828322,0.9574886425,0.0632081772,0.6700381332,0.4348709144,1.0264566022,1.5829170607,0.7091649962,0.5504608139,0.8387103804,0.5521481080,-0.0571271274,0.4741801064,0.7940912880,1.0441827782,0.8928548188,0.5429977189,0.2677287386,0.0791702164,-0.0537399848,2.1322508257,2.3205154125,0.1895267602,2.9598939657,2.5240129627,3.6253513395,0.2556822760,1.5856227239,0.8005855027,2.4490207491,0.3821579109,-0.0968572793,-0.0807639728,0.6798162911,0.1127858115,0.6830126347,0.9380837589,1.1154803497,1.0936671454,1.7259579934,0.0424645376,1.2135973303,-0.0540328135,1.4383683690,0.7606667034,0.4679560592,0.1897053587,0.5397577281,1.1697033865,0.8794380091,0.2543221465,0.5287257336,1.5892600333,0.2449023895,Control
