@relation data

@attribute id string
@attribute 1050 numeric
@attribute 1147 numeric
@attribute 1432 numeric
@attribute 1616 numeric
@attribute 1950 numeric
@attribute 1956 numeric
@attribute 2113 numeric
@attribute 2114 numeric
@attribute 2353 numeric
@attribute 3204 numeric
@attribute 3265 numeric
@attribute 355 numeric
@attribute 3551 numeric
@attribute 356 numeric
@attribute 3725 numeric
@attribute 4214 numeric
@attribute 4217 numeric
@attribute 4790 numeric
@attribute 4792 numeric
@attribute 5515 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5580 numeric
@attribute 5581 numeric
@attribute 5582 numeric
@attribute 5583 numeric
@attribute 5588 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5599 numeric
@attribute 5603 numeric
@attribute 5606 numeric
@attribute 5608 numeric
@attribute 5609 numeric
@attribute 5894 numeric
@attribute 596 numeric
@attribute 5970 numeric
@attribute 6416 numeric
@attribute 6667 numeric
@attribute 7124 numeric
@attribute 7132 numeric
@attribute 7133 numeric
@attribute 7186 numeric
@attribute 8737 numeric
@attribute 9020 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,-0.1180834439,0.2841429040,0.4174692793,0.8197669268,-0.0304579000,0.1537555695,0.6599186520,0.3814288916,-0.0801269710,0.4189913811,0.8212452234,0.2668822305,0.2679063242,-0.0072285445,1.7024177213,0.4242359363,0.0368593611,0.0372776528,0.8098630121,1.2238418325,0.2608651281,-0.0981862237,-0.2977016700,-0.0506832049,-0.0750473595,0.0066980679,-0.0339868274,0.3768321643,1.1201675758,0.6904673187,0.5395283599,2.1106193876,-0.0407187870,0.2973419841,0.3860900013,-0.0618729870,1.2157194917,0.2565123712,0.0595711066,-0.1203307158,1.4667636421,0.0407503399,-0.0815773857,0.1502289322,-0.0869741337,BRCA
GSM481003,-0.0157824914,0.2877502063,0.3061586227,0.8100307297,0.6191529817,0.0484339897,0.6237332566,0.4191916969,-0.1516893194,0.3062097435,0.9474795161,0.0943974674,0.4162924297,-0.1151960538,2.4163282448,0.4940745450,0.0367393828,0.0608519517,1.4016762564,1.1675652556,0.2829620648,-0.0518483993,0.0215140560,-0.0892191342,-0.0337643415,0.0138004763,0.0360388891,0.4223379152,1.1333078442,0.6729280780,0.7071057357,2.3991614866,-0.0629141957,0.2656726797,0.2815908568,-0.0646676839,1.5458108518,0.2222999979,-0.0351264818,0.3678463830,1.3210169064,-0.0150242090,0.0369979428,0.0927192407,-0.0357208771,BRCA
GSM481004,-0.0789709471,0.3929689074,0.4136280409,1.3887278959,0.1518570445,0.2059234660,0.7373587678,0.3883402856,-0.2391101478,0.6887451205,0.8814408686,0.0639764964,0.4565757285,-0.0492128852,1.9569436598,0.2035975778,0.1053847389,0.1890115326,1.3433312625,1.2944579630,0.4684481415,-0.1085750333,0.0147397074,-0.0517781934,-0.0723416345,0.0446798782,-0.0419302782,0.5495924441,1.3982536542,0.6871232500,0.5545792864,2.1534173294,-0.0351111331,0.1269719892,0.4157156661,-0.0883470983,1.4715695732,0.2880970038,0.0548720956,-0.0368083989,1.4022095196,0.8039232566,0.0960737533,0.1418394002,-0.0263448778,BRCA
GSM481005,-0.0691447504,0.7559128657,0.3984561536,0.6996099856,0.4012778942,0.2165325873,0.7758311061,0.2874780373,-0.1103455591,0.5215576973,0.8521304950,0.5774546972,0.3903404364,-0.0388775236,1.9105042447,0.5196754609,-0.0674943316,0.0661443981,0.7793831442,1.2343815744,0.3166812967,-0.0871069950,-0.1249405209,-0.0404298417,-0.0307554886,0.0215786458,-0.0755055607,0.4403047296,1.3712493853,0.8086081992,0.6868093671,2.4669886416,-0.0686842084,0.2336956347,0.3888399490,-0.0833753531,1.2129281088,0.4676337253,0.0303003707,-0.1027448054,1.3140131507,0.1196174981,-0.0153414088,0.1484226488,-0.0220388942,BRCA
GSM481006,-0.0752461007,0.5505344721,0.3921763096,0.8282176453,0.3139419490,0.1430200110,0.7909106975,0.5916935448,-0.1162875150,0.7432317006,0.8876503406,0.3577389630,0.2354427614,-0.0263599712,1.8248747664,0.4536705289,0.0920476306,0.1223146532,1.0869957842,1.1296645254,0.2588561041,-0.1044239603,-0.0314743914,-0.0173448764,-0.0489088737,0.0121872263,-0.0672901499,0.3909603753,0.9865753614,0.7695189350,0.4674810317,2.6787843870,-0.0781638251,0.3444300745,0.3354175018,-0.0787858003,1.3122026393,0.3639865402,0.1612338818,-0.0591356744,1.1998099668,0.3729235640,-0.0463810288,0.1076701371,0.0114785338,BRCA
GSM481007,0.3331640382,0.2756707471,0.2309822093,0.8751958659,0.0250401876,0.1262126311,0.4737584961,0.6349983699,-0.0361999132,0.8001035904,1.1560421735,0.0829495256,0.2572633833,0.0419518193,2.0019709589,0.3479610627,0.1340240605,0.0016019143,1.3999506757,0.9218534496,0.2214731303,-0.0580448157,-0.0982368374,-0.0485247119,-0.0014222495,-0.0214686184,-0.0740866984,0.2606000659,1.0516917631,0.3326362380,1.1163454109,2.6515267472,-0.0757599017,0.3625428115,0.2957258879,-0.0395099294,1.4910032429,0.2094873252,-0.0017480281,0.1398046748,1.5900844355,0.1503481193,0.1268612003,0.0681875506,0.1004429882,BRCA
GSM481008,-0.0723455251,0.9329660580,0.3457279783,1.3893046330,-0.0105014925,0.2092566926,0.9258098590,0.4702847108,-0.1402303537,0.8090879966,1.2938889639,0.1062172761,0.3088421996,-0.0779219265,2.1130765477,0.3505251462,0.3502357583,0.2086261566,1.2762110606,1.4909315973,0.2738108856,-0.1056714096,-0.0061865102,-0.0029593862,-0.1196029719,-0.0105476909,-0.0904428245,0.4047704326,1.0726860836,0.7429268004,0.2473534204,2.4015404396,0.0051592408,0.1903686590,0.3589827556,-0.0483734958,1.3571830794,0.3020598857,0.0078846254,-0.0821399172,1.2373752406,1.1995626164,0.3151042461,0.0933854235,0.2346038541,Control
GSM481009,-0.1463405704,0.4141671401,0.2764711754,0.5448543259,0.1017885568,0.0047963763,0.5121091778,0.1692619418,-0.1590186953,0.7271234218,0.5253295350,0.3526260266,0.1725846681,-0.1702981595,1.1429168019,0.3211863863,-0.0540037800,0.0623427681,0.6739098801,1.1786218321,0.3586061170,-0.1066654161,-0.3899831788,-0.1031874010,-0.1903911113,-0.0269158378,-0.0895921919,0.2795271149,0.7096309500,0.6203827706,0.2551399111,2.2685457769,-0.0175848331,0.0094476892,0.2270372226,-0.1458780054,0.9630623995,0.0517636729,0.0614860544,-0.1245508698,1.0942457432,0.3269099770,-0.4913612215,0.0010559037,-0.0646528106,Control
GSM481010,-0.1358522807,0.8322192047,0.3582406002,1.0247067609,0.0557148577,0.2403421661,0.8731768961,0.3927229669,-0.0893704778,0.3517626494,0.9039840400,0.2218772557,0.3174347172,-0.0221168976,2.0214559557,0.6825766645,0.2321009186,0.1809599443,1.1876550054,1.5060444668,0.3844459151,-0.1128206664,0.0060768109,-0.0862323466,-0.0485023446,0.0610624454,-0.0383458782,0.5158594621,1.1154199801,0.8636795770,0.3259510165,2.2875249785,-0.0755643150,0.1599105977,0.3965836786,-0.0879259115,1.2152642781,0.7657218578,0.1369810397,-0.0689478631,1.2312859525,0.1169206984,-0.1288154235,0.2645242032,0.0612938021,Control
GSM481011,-0.0141221937,0.2562781054,0.1895736574,1.0044699116,0.0734742197,0.1001883706,0.6215403894,0.2394369738,-0.1973138971,0.8386233981,1.1300241724,0.2600723965,0.2600992171,-0.0394266611,1.9929131126,0.1779143085,0.1257654843,0.0443784665,1.0963865406,1.1535155438,0.2189997299,-0.0728182171,-0.0719123300,-0.0933449689,-0.0513703098,0.0073254529,-0.0510652071,0.3978262835,1.5733309313,0.4733123278,0.6543249066,2.7065248585,-0.0282108063,0.2778184532,0.2711141126,-0.0457399186,1.4994342731,0.1213096739,-0.0164723152,-0.0423061008,1.2472988190,0.4780643796,-0.0234986019,0.1111272328,0.0021628746,Control
