@relation data

@attribute id string
@attribute 27165 numeric
@attribute 2744 numeric
@attribute 2746 numeric
@attribute 2747 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.0564222516,0.6879529299,0.9690072418,0.0360190485,BRCA
GSM480985,0.0318350454,0.7644824283,0.8180924685,0.0732971649,BRCA
GSM480986,0.0676437850,0.8092909971,0.9964981594,0.0982461111,BRCA
GSM480987,-0.0690542175,0.3543531300,1.1611173602,0.1582679011,BRCA
GSM480988,0.2504433668,0.6910725139,0.6000073742,0.1011693099,BRCA
GSM480989,0.0246971188,0.4444297865,0.8029992030,0.0369959866,BRCA
GSM480990,0.0120239981,0.6063650150,0.9064934546,-0.0345381376,Control
GSM480991,-0.0015521856,0.7714438242,1.0236855373,-0.0010625116,Control
GSM480992,-0.0555899561,0.6296331289,0.8552267413,-0.0141617971,Control
GSM480993,0.1145954085,0.5561323376,0.9877843097,0.1070061547,Control
GSM480994,-0.0073745698,0.5002944002,1.0222324363,-0.0330394105,Control
GSM480995,-0.0724569061,0.8050709057,1.0196961058,0.0180211234,Control
GSM480996,0.1647897582,0.8625154597,1.1735839518,0.0099953193,BRCA
GSM480997,0.0926266452,0.6697132319,0.7402838063,0.0701052547,BRCA
GSM480998,0.0595123627,0.4909609682,0.8345507287,0.0100608122,BRCA
GSM480999,0.0264735817,0.6109216252,0.8525081165,0.2495969665,BRCA
GSM481000,0.0812243247,0.6235170643,0.7607963613,0.1385346194,BRCA
GSM481001,0.0845079157,1.0762759245,0.9352418060,0.0377866655,BRCA
