@relation data

@attribute id string
@attribute 10746 numeric
@attribute 11221 numeric
@attribute 1386 numeric
@attribute 1647 numeric
@attribute 1738 numeric
@attribute 1846 numeric
@attribute 1850 numeric
@attribute 207 numeric
@attribute 2549 numeric
@attribute 2645 numeric
@attribute 3554 numeric
@attribute 3725 numeric
@attribute 4214 numeric
@attribute 4215 numeric
@attribute 4216 numeric
@attribute 4217 numeric
@attribute 4293 numeric
@attribute 4294 numeric
@attribute 4296 numeric
@attribute 4775 numeric
@attribute 5069 numeric
@attribute 50804 numeric
@attribute 51776 numeric
@attribute 5598 numeric
@attribute 5599 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 5607 numeric
@attribute 5609 numeric
@attribute 6416 numeric
@attribute 6464 numeric
@attribute 6885 numeric
@attribute 7157 numeric
@attribute 7182 numeric
@attribute 7786 numeric
@attribute 9175 numeric
@attribute 998 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.3091622756,0.5279439170,-0.0693077171,1.7342155276,1.9244245523,2.4721218571,0.1331852980,1.9397812022,0.1568159528,-0.1242674589,0.1592604196,0.7463167697,0.8951084466,0.3787751014,0.4718900632,0.5599281276,-0.0706247181,0.0883500256,0.0753846229,0.2362634120,0.4029867578,0.9763302986,0.5402998515,0.3851125020,0.7139937217,0.6164951165,-0.1298536299,0.2663556504,0.2957080686,0.8519533800,1.9096234484,0.9587464938,0.8841919228,0.6449646591,1.1450156502,0.1513356138,0.2693405723,BRCA
GSM480985,0.2725222850,0.8837315238,-0.0377684418,2.0508048685,1.4256233209,2.1904622241,0.3444608328,1.4054429928,0.2529188136,-0.1258860016,0.3991615606,0.9612028782,1.0636305118,0.4294276544,0.4727194903,0.7985456627,-0.1241579509,0.0586287371,0.0758796589,0.2200896420,0.8348607831,1.2750605761,0.3944308310,0.3733170288,0.7487222366,0.6136501327,-0.1761504112,0.4751552710,0.2382422053,0.9115112276,1.9413004944,0.8959703881,0.5955694337,0.6904704840,1.0725496198,0.2751692959,0.2437138550,BRCA
GSM480986,0.2780386316,0.5402901306,-0.0624373969,1.2829225361,1.7199706966,2.3349008746,0.2850319742,1.7577156492,0.1934399384,-0.0910298228,0.1585425509,0.9059672051,0.7935199528,0.5148679294,0.2991475913,0.5228419722,-0.0475382011,0.0992714276,0.1436086895,0.2269383226,0.9360006790,0.8794695547,0.5289732566,0.5725946952,0.7966307569,0.5081571897,-0.1388460667,0.3229785034,0.2837639618,0.8755208067,2.0243224118,0.6764137213,0.8508987498,0.5398537159,1.2117185703,0.1600570796,0.2337614380,BRCA
GSM480987,0.2132891920,0.9408565302,-0.0562811985,2.1893143059,1.3682376973,1.0657314784,-0.0343881751,1.6769249506,0.0150168047,0.0194667790,1.0325531543,1.2356612913,0.5396577952,0.4137938658,0.2010282312,0.3928613255,-0.0989867281,0.0601638184,0.0145609602,0.0944943196,1.5257654509,0.3491986339,0.6525622005,0.7588645808,0.7170214796,0.3891538004,-0.0662291722,0.3089098648,0.2364959457,0.4823463641,1.9975022057,0.5847795974,0.8372933389,0.5027399423,1.3044489910,-0.0061974662,0.2226472523,BRCA
GSM480988,0.1208812303,0.3759544350,0.0156358049,1.1994663142,1.4409479541,2.4576389789,0.0660940789,1.1675294143,0.0162218561,-0.0952093873,0.0948672309,0.5378554523,0.7586201133,0.3390561431,0.3150320912,0.5021468532,-0.0919630591,0.0366229486,0.0438061742,0.1802544055,0.7417013627,0.3087169466,0.3756089064,0.6892718586,0.6912962379,0.5512484685,-0.0789457363,0.2162846135,0.0441387518,0.8547642460,1.9610705971,0.5952524423,0.6972457048,0.4535660542,1.1777274084,0.2057580681,0.1930281139,BRCA
GSM480989,0.1793149316,0.6133340862,-0.1955304281,1.1784485579,1.0125810863,2.6208845302,0.2366579891,2.3074461223,0.0295218532,-0.0005144539,0.0895403457,0.5993327181,0.6540494401,0.5309217395,0.0776419029,0.2859210503,-0.0771703162,0.0758564228,0.1568608022,0.2260949284,0.3785000003,0.6295522225,0.2077346589,0.5325530826,0.5911021925,0.2192373374,-0.0408563306,0.2186570357,0.3176934777,0.4700387904,1.9755967301,0.3143859178,1.2405139033,0.3778633349,1.5505398976,0.0388591908,0.2852107126,BRCA
GSM480990,0.1569616343,0.6600859803,-0.0857716558,1.7728323936,1.2734934124,2.3965424226,0.2040135605,2.3939645291,0.0224591854,-0.0437816894,0.1091753253,0.9502829010,0.6895217888,0.5942403616,0.1658170566,0.2198563085,-0.0066950272,0.0592130132,0.1800916980,0.1574504853,0.4455555754,0.3098940203,0.5624162205,0.5505317761,0.5124700949,0.1815268757,-0.1292774052,0.3530097061,0.3639611033,0.3495328669,2.5765053460,0.4204747106,1.1059742302,0.2868301138,1.5238695139,-0.0037574829,0.1617002876,Control
GSM480991,0.2283889583,0.8047891748,-0.1043765836,1.6012346595,1.3897725733,2.5888637975,0.5742399727,1.8290236989,0.1424582922,-0.0791121414,0.1313952931,0.9142568514,0.8135851005,0.4128448678,0.2642605963,0.4909439993,-0.0248315398,0.1091547249,0.3443709544,0.1718903794,0.8955564863,0.7329746555,0.2982015196,0.4671709960,0.7236467786,0.3723191662,-0.1158871563,0.3133865415,0.2691069538,0.4903383693,2.1101571236,0.5598204840,0.9629745603,0.3808204745,1.2177600396,0.1151479567,0.2150321878,Control
GSM480992,0.1509911763,0.4814461043,-0.0885431109,1.2786797881,1.1771644925,2.6123112814,0.5042151763,2.3328941266,0.1112684448,-0.0514066756,0.1233649662,0.5848525959,0.6908869928,0.5196288524,0.3327612144,0.3903702807,-0.0224562006,0.1522124278,0.3190093574,0.1676517359,0.9023536931,0.3833045261,0.3096531946,0.6848330431,0.4097217267,0.3079451628,-0.0921796232,0.3583373172,0.3634628315,0.3735262640,2.4270785623,0.4415234548,1.0991194739,0.3940109675,1.4642601496,0.0893796958,0.2135051408,Control
GSM480993,0.2146910506,0.5314575680,-0.0518364091,1.5869673565,1.2907769317,2.6500993669,0.5128464804,1.9907199673,0.1246793050,-0.0899998086,0.1403786020,1.0657076714,0.8665301368,0.5198314885,0.2775530238,0.3858281619,-0.0388474704,0.0306407107,0.2086930149,0.2689028373,0.6381782440,0.8072516527,0.3953303263,0.6592196021,0.7140314231,0.5537918077,-0.0937452182,0.3932155144,0.2558302714,0.6978857851,2.0765592329,0.4999517977,1.0900611624,0.4735476100,1.2550463987,0.1159020322,0.2080415856,Control
