@relation data

@attribute id string
@attribute 10000 numeric
@attribute 1019 numeric
@attribute 1021 numeric
@attribute 1026 numeric
@attribute 1029 numeric
@attribute 163688 numeric
@attribute 1869 numeric
@attribute 1870 numeric
@attribute 1871 numeric
@attribute 1950 numeric
@attribute 1956 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 23533 numeric
@attribute 2475 numeric
@attribute 25759 numeric
@attribute 2885 numeric
@attribute 3265 numeric
@attribute 3479 numeric
@attribute 3480 numeric
@attribute 369 numeric
@attribute 3845 numeric
@attribute 399694 numeric
@attribute 4193 numeric
@attribute 4893 numeric
@attribute 5154 numeric
@attribute 5155 numeric
@attribute 5156 numeric
@attribute 5159 numeric
@attribute 51806 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 5335 numeric
@attribute 53358 numeric
@attribute 5336 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5582 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5605 numeric
@attribute 5728 numeric
@attribute 5894 numeric
@attribute 5925 numeric
@attribute 595 numeric
@attribute 6464 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 673 numeric
@attribute 7039 numeric
@attribute 7157 numeric
@attribute 801 numeric
@attribute 805 numeric
@attribute 808 numeric
@attribute 810 numeric
@attribute 815 numeric
@attribute 816 numeric
@attribute 817 numeric
@attribute 818 numeric
@attribute 8503 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.6797332095,1.6509813072,0.1233450275,3.3594499677,0.9588716673,-0.1286174089,0.1608625433,-0.1044139307,0.7531173030,-0.0304579000,0.1537555695,2.3584245311,0.3070585448,-0.0131690648,0.3341965944,-0.1456060512,1.6104626348,0.8212452234,-0.0070168312,0.2267118200,0.6620092707,0.1314761901,0.0600588270,-0.0354759898,0.8848718814,1.2706931260,-0.0929542914,1.1882759057,1.9228566142,-0.0724848310,0.3417825494,-0.1444193100,0.8497827404,-0.0743738270,0.0027666772,1.1555331424,0.8370002049,0.1584505707,0.1043059106,0.2608651281,-0.0981862237,-0.0750473595,0.3768321643,1.1201675758,0.1390805759,0.1344134227,0.3860900013,0.4170598776,1.4593906332,2.2882412161,-0.0234144181,0.2904654710,0.1777965052,-0.1242455302,0.9853307140,1.3564936234,0.8265591783,2.7038153726,-0.1556674652,-0.0715993912,-0.0731259508,0.5784964499,-0.0098517653,-0.0795126762,BRCA
GSM481003,0.3007907103,2.0218701660,0.2763891428,3.0403829142,1.5168189790,-0.0698493385,0.3838606802,0.0454944650,0.6776998944,0.6191529817,0.0484339897,2.5114432043,0.3973698837,-0.0067144994,0.2224102620,0.3687587061,1.7524189089,0.9474795161,0.0254755334,0.1801413333,0.6213931068,0.0738842817,0.0609809078,-0.0666174864,0.9542065300,1.4126835802,0.2806381032,0.8321520830,0.5265011630,-0.0365504050,0.1791957579,-0.1042557524,1.4233998538,-0.0506758328,0.0220997693,1.4443705760,0.9900261754,0.1618364114,0.1816668325,0.2829620648,-0.0518483993,-0.0337643415,0.4223379152,1.1333078442,0.1453346393,0.0819050467,0.2815908568,0.4086979734,1.6346685103,2.4272642752,-0.0553885548,0.0839562974,0.0848102706,0.1140757244,0.9925875762,1.1557139689,0.7173366560,2.6004273182,-0.0292245170,-0.0022023061,0.0580019309,0.4392622436,0.0177999127,0.1190332978,BRCA
GSM481004,0.4733082638,2.4203961939,0.1680494515,3.0274459125,1.3482990906,-0.2321383340,0.4496613113,-0.0162955371,0.6400350525,0.1518570445,0.2059234660,2.2194539971,0.4676012300,-0.0146582856,0.2934368548,0.3231435837,1.7306030480,0.8814408686,-0.0085871777,0.2059222442,0.7447423427,0.0657351969,0.0458456214,-0.0436277898,0.9630198516,0.8181429756,-0.0037518531,1.3243709992,1.1819554152,-0.1118533504,0.1934292825,-0.0326631340,1.4479867770,-0.1540841441,0.0015714503,1.2018412555,1.0766678804,0.3960925107,0.0046874581,0.4684481415,-0.1085750333,-0.0723416345,0.5495924441,1.3982536542,0.0639251527,0.1194911064,0.4157156661,0.2011434678,1.6619296756,2.7043259995,-0.0500999228,0.1372055122,0.1890694758,-0.0684127074,0.8802483742,1.0442493542,0.7713027104,2.5539644831,-0.0862486411,-0.0441430938,-0.0617234432,0.5186807821,0.0930184553,0.1043470586,BRCA
GSM481005,0.7983672971,1.6965493859,0.4926643759,3.2873637975,1.3626846816,-0.2486192649,0.3527724375,-0.1165471179,0.9084757619,0.4012778942,0.2165325873,2.3890128664,0.4302809539,0.0304015636,0.2603539082,0.2984071820,1.6458761891,0.8521304950,0.0353970129,0.2587755207,0.7021117498,0.1621117626,-0.0029305460,-0.0388047886,0.8978069759,0.9901911059,-0.0792964379,1.5465550827,1.8927819729,-0.0858997872,0.2936143763,-0.0949890131,1.0055721670,-0.1223234448,0.3289049813,0.9524374414,0.8211322722,0.3167094880,-0.0240801696,0.3166812967,-0.0871069950,-0.0307554886,0.4403047296,1.3712493853,0.0764267961,0.1420803729,0.3888399490,0.7030548256,2.1236051734,2.3308550971,0.0180744121,0.2881692323,0.1629802437,-0.1050281481,0.9015575944,1.5244798356,0.8702989420,2.5885585249,-0.0754524312,-0.0436124759,-0.0344820515,0.6463682539,0.0669458035,0.0457376592,BRCA
GSM481006,0.6102282105,2.0035383105,0.3021721042,3.2162807881,1.1842627120,-0.1689911806,0.3129080268,-0.0882029533,0.9511518584,0.3139419490,0.1430200110,2.7993582883,0.4174783649,0.0247047886,0.2802438269,0.6224567819,1.6704388113,0.8876503406,0.2205455596,0.2402696524,0.7695110285,0.1676137317,0.1210638009,0.0404348410,0.6079864987,1.3985878927,0.0098966052,1.0082624361,1.8247335090,-0.0696378198,0.2433270854,-0.0674328190,1.3385462081,-0.0515387084,0.2390861619,1.1112498336,0.9354205676,0.1586954411,0.0274722780,0.2588561041,-0.1044239603,-0.0489088737,0.3909603753,0.9865753614,0.1169393467,0.1587185629,0.3354175018,0.6889269474,1.6552993021,2.3295555881,0.0128678733,0.2175775908,0.2528915434,-0.0318370369,1.3752852871,1.3858446989,0.8328808705,2.7229726611,-0.0663055833,-0.0572130085,-0.0572261756,0.6276549524,0.0269040916,0.1659671659,BRCA
GSM481007,0.3836162349,2.3997609466,0.3125831992,3.1362124086,1.5764191804,-0.2028048244,0.4946888254,-0.0467773227,0.8479955071,0.0250401876,0.1262126311,2.4604020782,0.2757121727,0.0693962222,0.0997455566,1.1539923084,1.7786090209,1.1560421735,0.0681594072,0.1352442852,0.9390580363,0.1433539864,0.0987798262,-0.0409890643,0.8448888773,1.1189648246,0.0529967257,0.7691124505,1.3500028468,-0.0462129366,0.1014056848,-0.0381952070,1.4767880777,-0.1263724936,0.1471414633,1.4279245571,1.0210435065,0.1051575886,0.1631172095,0.2214731303,-0.0580448157,-0.0014222495,0.2606000659,1.0516917631,0.1837086821,0.0631843703,0.2957258879,0.6629691342,1.2351145123,2.3985712954,-0.0621160632,0.2030390211,0.2699643974,-0.0008672641,1.2977375326,0.8527704083,0.7908645495,2.4574012124,-0.0312364085,-0.0056203018,-0.0304605411,0.5291107847,0.0170823853,0.0523188741,BRCA
GSM481008,0.5217626055,2.6693531871,0.1836714248,2.8834402039,2.0075535520,-0.1190311949,1.5586611688,0.2831019114,0.8295916561,-0.0105014925,0.2092566926,2.1300801171,0.4476290999,-0.0033952392,0.1532034397,-0.0374337450,1.6622805248,1.2938889639,-0.0105432316,0.2740164896,0.8205010526,0.1743810166,0.2995089881,-0.0201522052,0.9191996994,1.1268164873,-0.0861223581,1.0284593088,1.9141057492,-0.1202880517,0.1758980179,-0.0852505426,1.1338950680,-0.0720937303,0.0879067641,1.1462765579,0.8990125299,0.2534119720,-0.0617019828,0.2738108856,-0.1056714096,-0.1196029719,0.4047704326,1.0726860836,0.1199409844,0.1297484952,0.3589827556,0.6538910852,1.6781765093,2.4446920753,0.0012555714,0.1490175020,0.1605632000,-0.0821376034,0.9878225434,0.9964291379,0.7930964681,2.4189842773,-0.0432700947,-0.0415118158,-0.0830571034,0.1656969287,0.0952502571,0.0282589524,Control
GSM481009,0.5489170128,1.6445278376,0.0485912423,3.1617967563,0.5626646933,-0.3763604151,0.0817014255,-0.0379079583,0.7245613783,0.1017885568,0.0047963763,1.7882246540,0.1436777954,-0.0460119554,0.1104632507,-0.2635303903,1.3427748691,0.5253295350,0.4388621020,0.1506341084,0.6588328657,0.1793832846,-0.0263681967,-0.0891779845,0.7767756040,1.2916804486,-0.1890939915,1.1036103142,2.0970718728,-0.1908497260,0.2437746771,-0.0950082633,0.4174557194,-0.1321362915,0.1336468826,0.6547553167,0.4572595951,0.0973739212,0.0492418256,0.3586061170,-0.1066654161,-0.1903911113,0.2795271149,0.7096309500,-0.0310865428,0.0174211498,0.2270372226,0.6089003728,0.9449293574,2.4154436141,-0.0048567386,0.0807280921,-0.0320870272,-0.1305698780,0.9829903326,1.0664309090,0.7962288941,2.6979478374,-0.1461619418,-0.1110477333,-0.0924537415,0.4795865551,-0.0723620999,0.0289410084,Control
GSM481010,0.6249280034,1.7503523453,0.5237364813,2.8992610497,1.0465271884,-0.1971198924,0.3816741023,-0.0103132259,0.8406108043,0.0557148577,0.2403421661,2.1086231072,0.3798376370,0.0036142197,0.3681621031,0.3951061078,1.7509254467,0.9039840400,0.1285491438,0.1246120071,0.5558823925,0.1744263203,-0.0524235679,-0.0505959386,1.2621549368,1.0661633827,-0.0580621935,1.3947409310,0.6096389277,0.0077531713,0.2892597577,0.0721562371,1.1752510060,-0.0223426086,0.1319778106,1.1194783820,0.7915824455,0.1761760920,-0.0599373686,0.3844459151,-0.1128206664,-0.0485023446,0.5158594621,1.1154199801,0.1620686616,0.1197620314,0.3965836786,0.6300583106,1.1449683505,2.2814118394,0.0688335455,0.2435579410,0.2509317977,-0.0392967260,0.7534921082,1.4629609655,0.8582563715,2.5320026251,-0.0911880921,-0.0057435957,-0.0126254933,0.7562955471,0.0440597638,0.2118905579,Control
GSM481011,0.3773361022,2.3434683681,0.1649496774,3.6372286978,1.3616899894,-0.1730886077,0.7909900944,-0.0416797744,0.5251184477,0.0734742197,0.1001883706,2.7272794777,0.4895673924,0.0986143788,0.1710649889,0.1114175908,1.9492786230,1.1300241724,-0.0327065625,0.1413541586,0.8748071725,0.1905613793,-0.0295763075,-0.0865562696,0.7011700384,0.5065772017,-0.0816099351,0.8596753620,1.6658263603,-0.0055239440,0.2223992294,-0.1192103243,0.9093435548,-0.0940577877,0.0018939260,1.3710955015,0.8280705125,0.1995841336,0.0042137171,0.2189997299,-0.0728182171,-0.0513703098,0.3978262835,1.5733309313,0.2404869166,0.1251327870,0.2711141126,0.2998918322,2.1114134911,2.8155515152,-0.0475626586,0.0857347009,0.2114646371,-0.0928352306,0.9952894231,1.0243768138,0.8445791476,2.9243183808,-0.0738799619,-0.0260395241,-0.0681232988,0.5062603640,0.0608758262,-0.0562693753,Control
