@relation data

@attribute id string
@attribute 10011 numeric
@attribute 10013 numeric
@attribute 10014 numeric
@attribute 10498 numeric
@attribute 10891 numeric
@attribute 11331 numeric
@attribute 126961 numeric
@attribute 1387 numeric
@attribute 190 numeric
@attribute 2033 numeric
@attribute 2071 numeric
@attribute 2099 numeric
@attribute 23013 numeric
@attribute 23426 numeric
@attribute 27043 numeric
@attribute 2957 numeric
@attribute 2960 numeric
@attribute 2962 numeric
@attribute 3065 numeric
@attribute 3066 numeric
@attribute 4208 numeric
@attribute 51564 numeric
@attribute 5430 numeric
@attribute 5469 numeric
@attribute 55869 numeric
@attribute 595 numeric
@attribute 672 numeric
@attribute 6908 numeric
@attribute 79885 numeric
@attribute 8204 numeric
@attribute 83933 numeric
@attribute 8841 numeric
@attribute 9612 numeric
@attribute 9734 numeric
@attribute 9759 numeric
@attribute Class {Control,BRCA}

@data
GSM427170,7.85096288,9.918602815,6.770007855,11.20993781,7.505535937,11.82578773,4.761566465,8.6873024975,6.189879523,8.279449386,10.65722043,9.325171145,10.74066222,4.424648213,9.965265227,6.18872641367,8.110550027,10.79666855,12.2076581,10.81229788,8.155224442,7.331547866,11.4243108,7.577959591,7.527870126,13.46367638,5.86365203,9.676966886,7.81672949,10.31728008,6.740661566,10.65887222,9.71978379333,5.2750790446,7.963634691,BRCA
GSM427171,7.057441725,9.530002016,6.2132718515,11.34349681,7.709361509,11.36309182,5.21024395,9.023964326,5.801553978,9.378501395,10.16944939,8.794335545,11.09339134,5.75402647,8.645353223,6.66739253233,8.649382947,10.27729935,12.30454677,10.75450781,9.539333865,6.6725362605,11.55629063,8.197119763,7.819989237,12.99332148,6.07698827325,9.878403925,6.892789063,10.96733275,5.862830272,10.09500831,9.64927309867,5.40446793,7.649240232,Control
GSM427172,7.3963201725,9.547512066,6.2837857225,11.55392216,7.865023539,11.36547782,4.985740915,8.87704806,5.685036955,9.675384217,10.08514084,8.872275583,11.31587145,5.383886777,8.900112912,6.611321398,8.621302014,10.38624004,12.29242381,10.41875948,9.778192608,7.3950788675,11.66558698,8.080472632,7.606666382,13.31043176,6.113923111,9.64691917,6.99712619,11.00891197,6.328679975,10.07481084,9.650336593,5.4337960234,7.429555554,Control
GSM427178,7.7033118175,10.64717983,6.91939558,12.23236854,7.208968629,11.3382407,4.184130008,8.924929238,6.0664182,9.604664936,10.93024227,10.5927189,11.84250171,6.122057273,9.00192967,5.532633969,8.809061578,10.41629907,13.00770101,9.618973255,8.108238405,7.3476135805,12.19128143,6.088105148,8.250702417,13.18898907,5.954637597,10.21839405,8.077191083,10.33270825,7.035297081,10.85319669,10.5399980683,5.3116432942,5.676811285,BRCA
GSM427181,7.661501704,9.943244144,6.5335608605,12.39411974,8.117774412,11.29220962,5.114899242,8.787588937,5.873451033,9.80990119,11.10864878,9.968379206,11.50810934,6.160330933,9.056692662,5.76435993667,8.501002294,10.04182378,12.8865864,10.22292804,9.473467881,7.2329874095,11.14770754,6.801647336,8.340541268,14.23655206,6.0130931845,9.772562477,8.15920422,11.24903656,6.339320583,10.88054035,9.69454428667,5.3892152472,5.456979618,BRCA
GSM427182,7.308538338,10.00278026,6.9570606425,12.23463043,7.367329836,11.57911804,4.518505219,8.856661681,5.915886099,9.987029866,10.88769302,10.64831289,11.74892461,5.967520965,9.032542472,5.68797612733,9.069960645,10.80422,12.99983714,9.81654816,9.134080446,7.248190004,11.96009799,5.979345877,8.068094548,13.61588998,6.07672616175,10.26730203,7.949915873,10.78457782,6.748263724,10.69578097,9.88162942267,5.4542530844,5.551524668,BRCA
GSM427183,7.7537292895,10.3854637,7.0306546165,12.17497101,7.743186956,11.45478009,4.907144547,9.171450661,5.9893725,9.985543523,10.61346285,11.63993091,11.78440594,6.005406303,8.827502388,5.68737918733,9.096966204,10.86526952,13.28052217,9.2623422,8.150027916,7.0891518875,12.44988381,6.40650744,7.710291801,13.2267238,6.2494944275,10.29166028,8.122285912,10.79412363,7.191160718,11.01054579,10.8669942003,5.3653876152,5.728744494,BRCA
GSM427187,7.5911282015,10.07596747,6.4570048145,12.12322914,8.266295947,11.72725479,5.547365958,8.4836949415,5.825538406,9.618225404,10.55979796,10.2570139,11.62934992,6.135150694,8.985629305,5.66673193633,9.182779884,10.72254311,12.86051578,9.794773703,8.700336649,7.0686209525,11.89363345,5.887653968,8.021134232,14.16199356,5.8834702945,10.09627409,7.949419847,11.04264453,6.732747864,10.88857795,9.74419115733,5.1509871956,5.960819372,BRCA
GSM427189,7.580512641,10.33318922,6.886594582,11.69149721,6.995657284,11.56134298,5.274831217,8.813489955,5.965790776,9.505712886,10.83660293,11.79340834,11.39453251,5.923393601,8.892346339,5.66898314867,9.118948289,10.84822018,12.95454627,9.832961643,7.013297895,7.0241706645,12.2142175,6.240415109,7.807710923,14.14434519,6.10202210975,10.30144507,8.462462524,11.75528414,7.358126164,10.87439376,10.8745894117,5.2847594106,5.476714818,BRCA
GSM427193,8.002756761,10.87818911,6.8797549975,12.60891324,8.348220383,9.805280816,5.065239741,8.456160299,6.807551749,10.42139193,10.83158062,7.825835106,11.05666838,4.779274646,9.349160193,5.634660947,8.280493715,11.03013967,12.5801856,6.718605223,8.817064493,7.7280817035,12.06768485,5.312983894,8.510191648,13.03513077,5.64060950825,8.402085935,9.32218794,11.09730811,5.495224459,11.63297943,9.047381277,5.169041231,5.587673458,BRCA
