@relation data

@attribute id string
@attribute 10488 numeric
@attribute 10540 numeric
@attribute 10671 numeric
@attribute 109 numeric
@attribute 112 numeric
@attribute 115 numeric
@attribute 1385 numeric
@attribute 140735 numeric
@attribute 148327 numeric
@attribute 1639 numeric
@attribute 1778 numeric
@attribute 1780 numeric
@attribute 1781 numeric
@attribute 1783 numeric
@attribute 2778 numeric
@attribute 359 numeric
@attribute 360 numeric
@attribute 361 numeric
@attribute 396 numeric
@attribute 397 numeric
@attribute 4905 numeric
@attribute 51143 numeric
@attribute 51164 numeric
@attribute 51626 numeric
@attribute 551 numeric
@attribute 554 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5613 numeric
@attribute 5868 numeric
@attribute 5869 numeric
@attribute 5878 numeric
@attribute 64764 numeric
@attribute 6810 numeric
@attribute 6844 numeric
@attribute 79659 numeric
@attribute 84516 numeric
@attribute 84699 numeric
@attribute 8766 numeric
@attribute 90993 numeric
@attribute 9230 numeric
@attribute 9586 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.3815667658,1.6551436992,1.7326154113,0.7727496513,0.3797550982,0.1941818817,0.3960468965,0.6545094989,0.4324676931,0.6141309441,0.4649081777,-0.1242686171,0.7458755770,2.2687866762,1.1579167798,-0.0865748356,1.1459191817,-0.2063436529,0.9291107720,1.7438162040,1.3583514206,0.9446553708,0.7386631710,0.4402770253,-0.1985035242,-0.1270831722,0.5931362181,0.6055969648,-0.0123531642,0.9930449004,0.6075369654,2.0492663681,1.0918344888,0.3152622613,0.4426934742,0.8580837143,0.1201500808,0.9114707231,-0.1487493155,2.4664297179,-0.0174615441,0.4322477259,0.0516735649,BRCA
GSM480985,0.3347815426,1.6748339324,1.6176637635,0.5223725109,0.4228589949,0.2055798990,0.2730189453,0.5626409157,0.6414855157,0.6725253059,0.3873582805,-0.1153712359,0.6248434173,2.3106513098,1.3204932428,-0.1243207537,0.8675074425,-0.1252668334,0.5272688764,2.0093426846,1.5010695189,0.7150818252,0.7433564544,0.6016870018,-0.1838939624,-0.1221172726,0.7376574537,0.7695002645,-0.1038192192,1.1653226431,0.6375350535,2.4413572296,0.8155272795,0.3790893998,0.5790682562,0.9750290668,0.0464685108,0.7521523048,-0.1609337199,2.5510712863,0.1022394958,0.4262975734,0.0775757754,BRCA
GSM480986,0.4146094497,1.7319517696,1.3231719061,0.6232914684,0.1785444665,0.1296261391,0.3807973232,0.7801658012,0.5051812299,0.7560914932,0.5150030641,-0.0354662694,0.5423151253,2.1435127431,1.3325283364,-0.1237393600,0.9077808785,-0.1349955358,0.8898346081,1.7773910656,1.4772161901,0.9644635727,0.8773709982,0.2313267340,-0.1376522854,-0.1008414116,0.6712817949,0.7078176651,-0.0887387330,0.9547375822,0.4979175688,2.2429037691,1.2441045095,0.2990014297,0.5242969324,0.8724778892,0.1082214148,0.9239713740,-0.1188547389,2.5390196815,-0.0348307964,0.4947752959,0.0308706047,BRCA
GSM480987,0.3269995508,1.7404912465,1.2215401977,0.9581980763,0.0528845680,0.1242048581,0.2020458693,0.6791869249,0.1715833164,0.8101824470,0.4802005321,0.0349005139,0.5073835093,2.1670586093,1.2904711387,-0.1206724326,0.1788703848,-0.1463557830,0.7011845975,0.1825958533,1.0836961991,0.8611548155,0.9256034701,0.1087966555,-0.1600902959,-0.1506906622,0.4481176670,1.0939444790,-0.0234222412,0.2135299446,0.3543124227,2.0837068451,1.2096861226,0.5076620199,0.3689057801,0.6637983796,0.2199993448,0.7795122158,-0.1063571130,1.9483775944,0.9356209931,0.2888403776,0.1920744523,BRCA
GSM480988,0.2138069177,1.5440768224,1.1557581536,0.3484778570,0.2434777927,0.1508974081,0.2373043370,0.5836941418,0.5885914663,0.7460294472,0.2362936193,-0.0456227380,0.7218236230,1.9469437144,1.4781041429,-0.0876906679,0.8030458462,-0.1525637659,0.2936686126,1.5149353971,1.6950709760,0.7554656035,0.6742666115,0.3224149705,-0.2237228405,-0.1105253156,0.3137383716,0.5631931945,-0.0202760463,0.7728505326,0.2872674861,1.9439897537,0.8276696512,0.4309267108,0.6164792296,0.3810517959,0.0752019532,0.9064501199,-0.0920105386,2.3724091723,-0.0643338695,0.1355606532,-0.0728814765,BRCA
GSM480989,0.7048604438,1.9144665739,0.7750706596,1.0119184052,0.2998246142,0.2054151728,0.1316228062,0.9194895384,0.8300564586,0.8214460839,0.3414745039,-0.0383854818,0.4356158302,1.9038151192,1.3912816293,-0.0546883810,1.4938235387,-0.2116736251,1.1628082786,2.2144975032,1.2401829392,0.5990352581,0.5860029755,0.0258697836,-0.2803452209,-0.1943601094,0.9056678476,0.3538124809,0.0047141360,0.8033357407,0.3360150366,2.7608228071,1.4573610425,0.3739883590,0.6425094682,1.1429643371,-0.0504930199,1.0828041786,-0.1536060213,2.5628502594,0.0136455202,0.7814924485,-0.0303864510,BRCA
GSM480990,0.4908841857,1.7949899865,0.9366629570,1.0164559484,0.1709839052,0.2828586080,0.1244135859,0.7850042028,0.4503709624,0.7919079556,0.3467443985,-0.0393427715,0.4017979578,2.1135556126,1.4284008093,-0.0291059639,1.2859096960,-0.1581952049,1.2969043776,1.7403273654,0.7803548574,0.6834114789,0.6039520681,0.0594527673,-0.3086688440,-0.1103549005,0.8428640298,0.7935236208,-0.0195084080,0.5710339894,0.3968275713,2.4835986494,1.3745097716,0.3921857966,0.2772898571,1.1297013738,0.1582630366,0.7689477424,-0.1508253020,2.2534600458,-0.0245269577,0.6739437032,0.0738705947,Control
GSM480991,0.6921047724,1.7983003819,1.1066310777,0.4249343571,0.2858755783,0.2768006893,0.1756075131,0.9531700880,0.3233080879,1.0528161596,0.3902867216,-0.0420119226,0.5857728795,2.0036391840,1.4307339596,-0.0770211555,1.3684561840,-0.1771611009,1.0530577270,2.0877452246,1.2567977992,0.8514383524,0.7944203773,0.2061693141,-0.2208380925,-0.1492491726,0.7147501284,0.6564376624,-0.0500267771,0.7389248726,0.4750065618,2.5275594591,1.3862332976,0.3321251441,0.5642864476,1.3279897193,0.0067366285,0.9658076873,-0.0862467503,2.5592668430,-0.0080728859,0.5879167079,0.0730779654,Control
GSM480992,0.5746289731,2.2438123751,0.9675615429,0.8758288564,0.5049739010,0.4200474990,0.1568766059,1.0135374924,0.6199766166,0.9327535874,0.4413584043,-0.0234218442,0.2657823163,1.9620572552,1.5164660945,-0.0823838324,1.8018101966,-0.1406825582,1.3773560506,1.9305089571,1.1221307751,0.5703970560,0.5780809758,0.0840955936,-0.1969375982,-0.1652789577,1.1381731691,0.5008515699,0.0557855016,0.8443388831,0.4015203798,2.5706607104,1.5691242666,0.4350632561,0.5417193432,1.3015146424,0.0282923674,0.5090474908,-0.1332132256,2.3490240686,0.0737559236,0.9140884798,0.0023715713,Control
GSM480993,0.5301898761,1.9645072571,1.1038882956,0.7973100805,0.2520091683,0.3209931134,0.2239596708,0.9398610898,0.5772579810,0.9134941435,0.3662855091,-0.0102032625,0.2328714168,1.9277327073,1.3899838875,-0.1103739621,0.8809167575,-0.1267566967,1.0427533333,1.8903626624,1.3218134940,0.8704264067,0.8068547136,0.1549370687,-0.1716663985,-0.1556547169,0.8387103804,0.5521481080,-0.0571271274,1.0441827782,0.4996459948,2.3244809424,1.2453332606,0.4178303835,0.5690560057,1.1745911652,0.0181578997,0.8360021853,-0.0949833814,2.5703833550,0.0388459695,0.6874444225,0.0852198344,Control
