@relation data

@attribute id string
@attribute 10161 numeric
@attribute 10681 numeric
@attribute 10800 numeric
@attribute 1081 numeric
@attribute 10886 numeric
@attribute 10911 numeric
@attribute 1128 numeric
@attribute 1131 numeric
@attribute 1133 numeric
@attribute 11343 numeric
@attribute 115557 numeric
@attribute 1241 numeric
@attribute 128674 numeric
@attribute 146 numeric
@attribute 147 numeric
@attribute 148 numeric
@attribute 156 numeric
@attribute 1606 numeric
@attribute 1607 numeric
@attribute 1608 numeric
@attribute 160851 numeric
@attribute 1609 numeric
@attribute 183 numeric
@attribute 185 numeric
@attribute 1902 numeric
@attribute 1906 numeric
@attribute 1907 numeric
@attribute 1908 numeric
@attribute 1909 numeric
@attribute 1910 numeric
@attribute 2147 numeric
@attribute 2149 numeric
@attribute 2150 numeric
@attribute 2151 numeric
@attribute 221955 numeric
@attribute 222545 numeric
@attribute 23236 numeric
@attribute 23566 numeric
@attribute 2358 numeric
@attribute 23620 numeric
@attribute 257313 numeric
@attribute 2641 numeric
@attribute 27334 numeric
@attribute 2767 numeric
@attribute 2769 numeric
@attribute 2776 numeric
@attribute 2782 numeric
@attribute 2783 numeric
@attribute 2784 numeric
@attribute 2785 numeric
@attribute 2786 numeric
@attribute 2788 numeric
@attribute 2791 numeric
@attribute 2792 numeric
@attribute 2793 numeric
@attribute 2798 numeric
@attribute 2828 numeric
@attribute 2829 numeric
@attribute 2837 numeric
@attribute 2840 numeric
@attribute 2846 numeric
@attribute 2862 numeric
@attribute 2864 numeric
@attribute 2867 numeric
@attribute 2869 numeric
@attribute 2922 numeric
@attribute 2925 numeric
@attribute 29933 numeric
@attribute 301 numeric
@attribute 3060 numeric
@attribute 3061 numeric
@attribute 3062 numeric
@attribute 3269 numeric
@attribute 3356 numeric
@attribute 3357 numeric
@attribute 3358 numeric
@attribute 3708 numeric
@attribute 3709 numeric
@attribute 3710 numeric
@attribute 3814 numeric
@attribute 3827 numeric
@attribute 4295 numeric
@attribute 4828 numeric
@attribute 4829 numeric
@attribute 4922 numeric
@attribute 4923 numeric
@attribute 5020 numeric
@attribute 5021 numeric
@attribute 5028 numeric
@attribute 5029 numeric
@attribute 5031 numeric
@attribute 51764 numeric
@attribute 5290 numeric
@attribute 5295 numeric
@attribute 5330 numeric
@attribute 5331 numeric
@attribute 5332 numeric
@attribute 54331 numeric
@attribute 551 numeric
@attribute 552 numeric
@attribute 553 numeric
@attribute 55970 numeric
@attribute 56413 numeric
@attribute 57105 numeric
@attribute 5724 numeric
@attribute 5731 numeric
@attribute 5737 numeric
@attribute 59345 numeric
@attribute 60675 numeric
@attribute 623 numeric
@attribute 624 numeric
@attribute 6368 numeric
@attribute 6375 numeric
@attribute 64106 numeric
@attribute 6863 numeric
@attribute 6865 numeric
@attribute 6866 numeric
@attribute 6869 numeric
@attribute 6870 numeric
@attribute 6915 numeric
@attribute 7200 numeric
@attribute 7201 numeric
@attribute 7204 numeric
@attribute 747 numeric
@attribute 8111 numeric
@attribute 84109 numeric
@attribute 84432 numeric
@attribute 846 numeric
@attribute 84634 numeric
@attribute 8477 numeric
@attribute 8525 numeric
@attribute 8526 numeric
@attribute 8527 numeric
@attribute 8620 numeric
@attribute 885 numeric
@attribute 886 numeric
@attribute 887 numeric
@attribute 8997 numeric
@attribute 9162 numeric
@attribute 9170 numeric
@attribute 94233 numeric
@attribute 94235 numeric
@attribute 9630 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.5746468231,0.0798089453,-0.0920155605,-0.1434850633,-0.0306070652,-0.1399482436,-0.1619208433,-0.0026418594,-0.0690919708,0.3770990206,-0.0294753160,-0.0142083534,-0.2328088945,-0.1454127704,-0.2607897557,-0.0935220944,0.0613674166,0.6964127130,-0.1426376413,-0.0953498588,-0.0189863854,0.1055467611,-0.0169406613,-0.0660282744,-0.0427237502,0.6381982602,-0.0689055292,-0.1967705299,-0.0426772024,-0.0414549883,-0.1416186203,0.3371361091,0.5004865723,-0.0526896823,0.0922120410,-0.0534920694,0.4097788456,0.0078456048,-0.0938534298,-0.1398059956,-0.2086760512,-0.1739749070,-0.0988792733,0.9435579393,0.6687801071,0.5726595125,0.7260348580,0.4609933963,0.0313797501,0.0069233231,-0.1135279069,-0.1004975033,0.1466962866,-0.1126273656,0.0373789289,-0.1029105678,0.0023213353,-0.0849724504,-0.1250978478,-0.0939994380,-0.0087556608,-0.2306524687,-0.1096839769,-0.1054835931,0.1259236523,-0.0424008099,-0.1251922093,0.0114362071,1.2363096072,-0.0930368328,-0.2605598707,-0.0740072866,0.0224567085,-0.0976008454,1.0445375377,-0.0832084007,0.1313168648,0.1067213277,0.5609436097,-0.0675131776,-0.1335369201,-0.2053172411,0.3957878474,-0.1356222890,-0.0920184026,-0.0819268209,-0.1413657349,-0.0766445261,-0.0082673394,0.2637962403,0.1127704464,-0.1072939529,0.6502234032,0.7694715564,-0.0776044747,1.6300333739,0.0394911230,-0.0862014922,-0.1985035242,-0.1313831829,-0.1073155943,1.4999495165,-0.2025793062,-0.0656232484,0.0295342779,-0.1687936856,0.1150225955,0.7363625108,-0.1236074913,-0.0538726114,-0.1067344390,-0.1140365333,0.0136218391,-0.2203163818,-0.0952203497,-0.1473383922,-0.1271256804,-0.0295175633,-0.1757594240,0.3861785235,-0.1350606339,-0.0773427564,0.4171443486,0.0098835883,-0.0355111381,-0.0230231195,-0.1079541478,-0.1040417177,0.1198894925,-0.0864770017,0.2246479315,0.3706158894,0.5603605120,0.1528078236,0.0994244421,-0.0798831077,-0.0641601761,0.0297496429,-0.1149689322,0.3217888184,-0.0827151820,-0.0889600241,-0.0552152459,BRCA
GSM480985,1.0005645054,0.0826668575,-0.1343126106,-0.1042820176,-0.1038682276,-0.1748065096,-0.1306135587,-0.0499261388,-0.1067520682,0.2636717989,0.1343447814,0.0212497760,-0.2404273474,-0.1237601434,-0.0679585067,-0.1189502689,0.0616458725,0.7917072178,-0.1380662203,-0.1256694401,0.0012701846,0.0980978623,0.2199821969,-0.0510698676,0.0847782912,1.3853836805,-0.0212500074,-0.2115289741,0.0085917020,-0.0747167063,-0.1930294107,0.3332767281,0.2450861909,-0.0158890861,0.1667097103,-0.1220010614,0.7330552477,-0.1162863757,-0.0623157245,-0.1574310779,-0.0517595260,-0.1718670516,-0.1742400641,0.7473870953,0.5145152025,0.6760796893,0.6644044377,0.2952377253,0.0823840736,-0.0457163846,-0.1205803433,-0.1089069453,0.7772403410,-0.1372473919,0.0545901309,-0.1128852048,-0.0900569478,-0.1580957706,-0.1369703773,-0.1444636728,-0.0673813214,-0.2187439117,-0.1134289850,-0.1144777462,0.1828171729,-0.0959633005,-0.1937128762,0.0225007142,1.1761803799,-0.1345350791,-0.2444795295,-0.1227302626,-0.0248246092,-0.1108308566,0.6140555739,-0.1432452348,0.4415400387,0.5849629343,0.3553600297,-0.1172086170,-0.1607838665,-0.2416012261,0.5226115443,-0.1339710808,-0.1090996844,-0.0480878233,-0.0510479906,0.0083752434,-0.1323119104,0.0456691036,0.3774715070,-0.1532745592,0.8534231111,1.5476133191,-0.0930615631,1.0536758155,-0.0840634818,-0.0875385542,-0.1838939624,-0.1124612015,-0.0848188568,1.8644070503,-0.2123473038,-0.0909650374,-0.0936589178,-0.2119480757,0.0477393804,0.4920368270,-0.1385459250,-0.0944877458,-0.0566931768,-0.1000910964,-0.0894775749,-0.1803997403,-0.1676365483,-0.1010577609,-0.0940644190,-0.1125852546,-0.1609504881,0.5949207893,-0.0733108384,-0.0748652280,0.5500678910,-0.0125233678,0.0109059889,-0.1010726185,-0.1508950049,-0.1123119008,-0.1182433215,-0.1762922026,0.0955536924,0.1519350324,0.4711917172,0.1494615128,-0.1807823804,-0.1508943820,-0.1115183458,0.0021793675,0.1023831313,0.2105409234,-0.0717636731,-0.1309516296,-0.0842593635,BRCA
GSM480986,0.4004773261,0.1311043079,-0.1294981106,-0.1055345169,-0.0828728701,-0.1497126606,-0.1474494587,-0.0250283858,-0.0531280179,0.2904256147,0.0380057420,0.0096945050,-0.1745456940,-0.1680865280,-0.2459315690,-0.1068715813,0.0565127540,0.7270491856,-0.0760821453,-0.1051775170,0.0742146982,0.1734412838,0.0197999421,-0.1267201663,-0.0512837897,0.7647701036,0.0126594798,-0.1439900116,-0.0792635307,-0.0603378373,-0.1844459021,0.2808904654,0.3515329372,-0.0873086066,0.1976977067,-0.0417518822,0.5153439700,0.0149327791,-0.1041163704,-0.1094457339,-0.1937449242,-0.1276569829,-0.0761089489,0.9827568145,0.7615300009,0.5903858004,0.6901387549,0.3422224569,0.0011673622,-0.0624810754,-0.0875566416,-0.1140261693,0.0591031552,-0.0677840849,-0.0889708259,-0.0981416926,-0.0254840258,-0.0536161733,-0.1265574002,-0.0986520284,-0.0771844494,-0.1853852717,-0.1832109491,-0.1268137937,0.2416203742,-0.0741884299,-0.1440439617,0.0292905840,1.1035130613,-0.1223602634,-0.2398746217,-0.0809684127,0.0766175308,-0.0625668951,0.9790341390,-0.0916200509,0.2835222208,0.1536485495,0.6212419597,-0.0674752197,-0.1717571287,-0.2093536050,0.6946161869,-0.1483280330,-0.0908076204,-0.0371209739,-0.0826369262,0.0026635997,0.0235216386,0.2930685307,0.5992163597,-0.0778376792,0.3758222094,0.9370587028,-0.0521149571,1.4571645670,0.0685284909,-0.0920514730,-0.1376522854,-0.1153147269,-0.0903473842,1.6156421010,-0.1722396869,-0.1206062309,-0.0010679700,-0.1365451619,0.1646975392,0.8650141478,-0.1143586874,-0.0031443414,-0.0836302262,-0.1171871980,-0.0955030181,-0.1996072730,-0.1060572342,-0.1694120130,-0.1366709531,-0.0810648357,-0.0839603460,0.3776374397,-0.0990252657,-0.1381700193,0.3095813899,0.0594013676,0.0212659952,0.0271423116,-0.1466417399,-0.0993287511,0.0196240133,-0.0844735720,0.2269858237,0.2520632934,0.4720611820,0.0553007835,0.0515270517,-0.0442002359,-0.1133117351,-0.0049749665,-0.0927709044,0.2998220533,-0.0503337762,-0.0372388086,-0.0063657825,BRCA
GSM480987,0.0148103069,0.0622019586,-0.0724528802,-0.0277956750,-0.0799535456,-0.1089262976,-0.1147351010,-0.0959010905,-0.1105577687,0.5594803033,0.1199399764,-0.1156842238,-0.2332169736,-0.1718098959,-0.2929299294,-0.1012728426,0.0246040256,0.2181412509,-0.0710832519,-0.0982101164,-0.0023267549,0.0906401386,0.8610898719,1.3864176907,1.4062388072,0.0137137714,0.0178448251,-0.2040391197,0.3667438397,1.0950507612,-0.2081336734,0.1564254856,0.0696635291,0.1676650669,0.1100982133,-0.0550481607,0.1668422063,-0.0027016237,-0.1184499666,-0.1667700688,-0.0867293977,-0.1741403383,-0.1287539891,0.8988900241,-0.1050357214,0.6081153182,0.7412058433,0.2116768266,0.1327404538,-0.0773168238,-0.1215972648,-0.1148385397,2.7066964706,-0.0742860082,0.0348619162,-0.0789527817,-0.0243009618,-0.0701072943,-0.1074732443,-0.0831679678,0.0590129514,-0.1262895811,-0.1271762681,-0.0949196906,0.2540245684,-0.0174603070,-0.1876137192,-0.0172225448,1.0236850700,-0.2295613275,-0.2588109019,-0.0928773616,0.4239188454,0.0193127421,0.5367014407,-0.0542399500,0.3327935711,-0.0104492808,0.3998152808,-0.0967340038,-0.1545500847,-0.1603291115,0.6579448994,-0.1580761306,-0.1207334221,-0.1413338144,-0.0182440970,-0.0642594881,-0.0332727001,-0.0845631484,0.1194017043,-0.1143018794,0.4246866423,0.9460729968,-0.1041722893,0.9919344300,0.0007446416,0.3232544249,-0.1600902959,-0.1435724976,-0.1243694431,1.7940059026,-0.1883864139,-0.0933924810,-0.0923504682,-0.1216018796,0.1103578364,0.9243028046,-0.0826674460,0.1562617372,0.3591053056,-0.0944521126,-0.1034242198,-0.1273729833,0.5642278749,-0.1231179440,-0.0686110671,-0.0820127244,-0.0855954864,0.5854230129,-0.0943293444,-0.0375172116,0.3203727863,0.0917756127,-0.0238127970,-0.1174157521,-0.0747444552,-0.1179159402,-0.1195047754,-0.0923652086,0.1429315017,0.2413244858,0.4341546498,-0.0124440417,0.2891979931,-0.0539220013,-0.1526730830,0.0071413818,0.4270084886,-0.0322408988,-0.0728865829,-0.1600573949,0.0616499349,BRCA
GSM480988,0.4565513990,0.1375192484,-0.1342665495,-0.0943072840,0.0218251289,-0.1339569830,-0.1393317472,-0.0031355581,-0.0546103753,0.2037352240,0.0590396886,-0.0092012321,-0.2000955064,-0.0769617077,-0.2928545728,-0.0663915564,0.0194978538,0.7332848575,-0.0796529795,-0.1106746151,0.1118362027,0.1645765964,0.0694702046,-0.1249507846,-0.0821234680,0.7892006804,-0.0012944503,-0.0761197892,-0.0807218904,-0.0594985227,-0.1149176441,0.1770760837,0.2727547838,-0.0414356186,0.0915333995,-0.0731382400,0.4406262552,0.0306869019,-0.1113544273,-0.0325913971,-0.0922959407,-0.1276119560,-0.1125802883,0.8038834569,0.6342148269,0.4102926908,0.5931581249,0.0215888636,0.1052846566,-0.0282164784,-0.0825194422,-0.0999999979,-0.0600983379,-0.1394877574,-0.0426573925,-0.0989957088,-0.0995322918,-0.0480088662,-0.1921597156,-0.0713868291,-0.0573055947,-0.0995019216,-0.0547037764,-0.1059993280,0.2454303563,-0.0239245575,-0.0976835200,0.0130049108,1.0322436528,-0.0797741013,-0.2947027402,-0.0695602174,0.0308063126,-0.1026419042,0.7009843852,-0.1451770102,0.1991312819,0.2297151421,0.5623337450,-0.1315826336,-0.1194969818,-0.1263181390,0.6490956511,-0.0648412833,-0.0546455008,-0.0850351313,-0.0918647053,0.0554047047,-0.1260832903,0.0439125536,0.5902664158,-0.1443745749,0.5025178531,0.6583551200,-0.0521348746,1.0592323652,0.0395486050,-0.0541173976,-0.2237228405,-0.0952754712,-0.1600154638,1.2631580537,-0.1256110203,-0.0142175482,-0.0835414014,-0.2634340136,0.0621818518,0.6169386619,-0.1747162891,-0.0790956322,-0.0509742122,-0.0613574249,0.0697807837,-0.1339333577,-0.0943551554,-0.1460040842,-0.1360901136,-0.1078101047,-0.1311318614,0.6749088877,-0.0452028244,-0.0673567240,0.2437453907,0.0813474394,-0.0634283188,0.0237053381,-0.1107793518,-0.0924796264,0.0245987739,-0.0963718259,0.2001647330,0.4229581737,0.3834461230,0.1104467190,-0.0223079990,-0.0760035643,-0.0900217592,0.0027147152,0.0142835818,0.0845703789,-0.0599082787,-0.1318603578,-0.1176030564,BRCA
GSM480989,0.0823772719,0.1395655114,-0.0921735682,-0.1766031547,-0.0348331894,-0.1628344891,-0.2411943911,-0.0173162452,-0.0454000407,0.4996525099,0.0013469336,-0.1832189437,-0.2783736224,-0.1651676230,-0.3741454063,-0.0618072206,-0.0124492099,0.8237829176,-0.0209701677,-0.1045073111,-0.1291753983,0.1285873807,0.2477838278,-0.1383574481,-0.0482632292,0.7516749007,-0.0578267188,-0.1568802391,-0.0624036275,-0.0467954570,-0.2880127502,0.3635552958,0.4194182012,-0.0372670215,0.1862054420,-0.0829239973,0.1935005427,-0.0261596206,-0.0743556214,-0.1343919862,-0.3120634407,-0.1843411558,-0.0784265559,1.2212249650,0.8208826111,0.5169472916,0.7107484369,0.4922151650,0.0310324050,-0.0245108759,-0.1035838998,-0.0584708151,-0.1600497482,-0.2168419232,-0.0442354612,-0.1154122444,-0.0401447790,-0.1588812983,-0.3710534804,-0.0529012369,-0.0039515460,-0.2529164924,-0.1428879228,-0.1082041881,0.2166172721,-0.1136408788,-0.1698167392,-0.0259483970,0.9041998454,-0.2432093946,-0.4052337626,0.0596484508,-0.0635467705,-0.1277992185,0.3194897579,-0.1136690129,0.2200210720,0.0458035868,0.4976210030,-0.1066227654,-0.1463200598,-0.2357010217,0.6588499330,-0.1121132053,-0.1118270039,-0.0796510523,-0.2105429024,-0.1884659553,-0.1432126447,0.4500584410,0.5205172211,-0.2324207872,0.3040667095,0.5104212239,-0.1177975059,1.6992731094,-0.0830072642,0.0358164425,-0.2803452209,-0.1009641805,-0.2349294503,1.1070811011,-0.3231358080,-0.0669197080,0.0282243394,-0.3019229550,-0.1082116006,0.3556060205,-0.1250760186,-0.0548816000,-0.1240823438,-0.1103430773,0.0051501514,-0.2379179667,-0.1780167094,-0.0815175774,-0.1933315406,-0.1244634624,-0.1565779780,0.9202104920,-0.1788021773,-0.0663329675,0.2010125937,0.0490641337,0.0041956398,-0.0081581863,-0.1564396181,-0.1151748345,0.2023744304,-0.1904307166,0.1798113384,0.3548537527,0.2892783897,-0.0426005717,-0.1525505436,0.0038121423,-0.0312968602,0.0182626838,-0.0686880408,0.3808027974,-0.1575005003,-0.1777083731,-0.1355556808,BRCA
GSM480990,0.3673110200,0.0819088728,-0.0685780187,-0.1825207448,-0.0549286677,-0.1459499684,-0.1883684787,-0.0820140148,-0.0552342306,0.4820753720,0.0474706023,0.0945944620,-0.2631931720,-0.1342321904,-0.2662499343,-0.0833874178,0.0427824349,0.7542289495,-0.1003466001,-0.0757923236,0.0629833424,0.1596049388,0.0095471656,-0.0846046932,0.2878210504,0.2123640113,0.0464156857,-0.1554256202,0.3471388185,-0.0288492947,-0.2131876319,0.0029791925,0.2241937101,-0.0814260791,0.1683053165,0.0054210018,0.0480474158,0.9516326717,-0.0732902082,-0.1454427744,-0.0848963648,-0.1080523094,-0.0959536414,1.2928899753,1.3805175386,0.5721652171,0.8782710590,0.5025454419,0.0722035417,-0.0313524033,-0.0925484677,-0.1273939656,0.4092192144,-0.1018510503,-0.0283261156,-0.0881275130,-0.0146842379,-0.0324880726,-0.0802514131,-0.0779046966,0.0067459802,-0.1838165837,-0.1142955390,-0.0512174919,0.2705223011,-0.0760750725,-0.0999201559,-0.0159670604,0.9121540105,-0.1426971309,-0.2580944282,-0.0576468229,0.0695548750,-0.0703890364,0.8174539939,-0.1357530457,0.1628782986,0.0021861719,0.5061100200,-0.0782104227,-0.1518631868,-0.2169007408,0.5235358310,-0.1277219337,-0.1145618611,-0.1112774610,-0.0028508619,-0.0423688294,-0.0716131718,0.1172085397,0.2532940124,0.0065605761,0.4307222246,0.5701667320,-0.0345598439,1.9801055864,-0.1134931392,0.0663741883,-0.3086688440,-0.1265983370,-0.1592453867,1.3161279748,-0.2435234600,-0.0782670219,-0.0354455684,-0.1713031864,-0.0417913903,0.7182087007,-0.0856813081,0.0902333170,0.0414263996,-0.1380040694,0.0724735516,-0.1923789916,-0.1116719333,-0.1362692845,-0.1420924096,-0.0814985610,-0.1215099872,0.6230213183,-0.1519786479,-0.0500842994,0.3424984821,-0.0136916090,0.2695413937,-0.0330627107,-0.0906103200,-0.0800506048,0.0473166091,-0.1432536073,0.2009610060,0.0431760593,0.2722333059,-0.0479154513,-0.0883776675,-0.0496487726,-0.0935953847,-0.0309724548,-0.1609762849,0.2072359417,-0.0460413391,-0.0808738950,-0.0157200603,Control
GSM480991,0.3663979891,0.1006723062,-0.0577123923,-0.1340164009,0.0263101801,-0.1692361043,-0.1935854171,-0.0352015647,-0.0682548661,0.5779419777,0.0785020052,-0.0177358068,-0.2818432656,-0.1532790764,-0.1923856140,-0.0979512800,0.0358211818,0.7508979689,-0.0823391770,-0.0725986806,-0.0833072413,0.2274458459,0.2282817443,-0.0877550375,-0.0016063352,0.9155950824,0.0872542981,-0.1720165332,0.0086765222,-0.0446889103,-0.2291514151,0.2079766272,0.3487482565,-0.0615348046,0.2165610865,-0.0956766420,0.2907817717,0.1773718190,-0.1264348168,-0.1642433356,-0.1336657628,-0.1554298614,-0.1127149351,1.1701500476,1.3113478908,0.6132513040,0.7888649646,0.5062835034,-0.0499887214,0.0187707844,-0.1110699204,-0.0938462643,-0.0797904123,-0.1039781785,-0.0162116344,-0.0901950746,-0.0608578754,-0.0976622928,-0.1953957510,-0.0779611012,0.0177508810,-0.2863800282,-0.1073906913,-0.0901267744,0.2960247948,-0.0687696419,-0.1768563847,0.0191896358,1.2725081419,-0.1722618293,-0.2748617623,-0.0835208112,0.0415523219,-0.0953200421,0.5806073944,-0.0895572991,0.2311761151,0.1075655196,0.7279821927,-0.0737325829,-0.1317327398,-0.1886437462,0.8542998683,-0.0615224287,-0.1407256800,0.0341314024,-0.1564806074,-0.0317089216,-0.0587887172,0.3769463019,0.6015919753,-0.0443711671,0.3718392522,0.6246844594,-0.0434485409,1.5307328514,-0.0085634497,0.0453277426,-0.2208380925,-0.1521725042,-0.1429618048,1.4828155484,-0.2579949679,-0.0376351527,-0.0153840022,-0.1577403541,-0.1177097265,0.5407913685,-0.0814614362,-0.0634286657,-0.0002323736,-0.1212421894,0.0066270428,-0.1614007814,-0.1762015762,-0.1066264879,-0.1525370569,-0.0649153345,-0.0520367600,0.4659910406,-0.0236394316,-0.0960262769,0.2702305519,0.1199261673,0.0259287439,-0.0491971269,-0.1787857078,-0.1013490297,0.1448629222,-0.1106437971,0.3244404042,0.2163628256,0.4738269630,-0.0062667552,0.0526364144,-0.0075314583,-0.0781041756,0.1075860330,-0.0519983042,0.2961593186,-0.0773187740,-0.0904390580,-0.0553188407,Control
GSM480992,0.2027478450,0.0885527289,-0.1072460953,-0.1276378398,-0.0064310049,-0.1796186366,-0.2077428772,-0.0506951533,-0.0427721866,0.4152236397,0.0214499460,0.0291847911,-0.2233370915,-0.1545757106,-0.3040914222,-0.0772373637,0.0810610809,0.8125386136,-0.0808625008,-0.1312173466,-0.0784235274,0.3054054988,-0.0145717701,-0.1288262847,-0.0106906830,0.3392567319,0.0665877527,-0.1958095446,0.0177572168,-0.0313304170,-0.2514961897,0.0639579646,0.1905092262,-0.0574106353,0.1801604765,-0.0421718359,0.0814318765,0.1821253296,-0.0640197296,-0.1365506312,-0.1866250335,-0.1580686406,-0.0385594025,1.2670981353,1.0945445186,0.4795048717,0.7672556795,0.6768512727,0.0298872434,-0.0393678868,-0.1060098494,-0.1138909129,-0.0873010754,-0.1357910544,0.0018078210,-0.0475628227,-0.0465698084,-0.0569445094,-0.1744705404,-0.0577472335,-0.0759096720,-0.2022492733,-0.1485647180,-0.1628306139,0.3783828214,-0.0808286395,-0.1210673274,0.0148398574,0.9409589815,-0.1255429521,-0.2510681467,-0.0806270126,-0.0392591483,-0.0516557560,0.2360801543,-0.1007516642,0.0994592431,0.0161160152,0.7308892569,-0.0668513128,-0.1015912014,-0.2608047123,0.8803402251,-0.0973130456,-0.0556972433,-0.0321306584,-0.0677243815,-0.0550815976,-0.1152000926,0.2374271466,0.8539457136,0.0178685737,0.3555988693,0.5310987036,-0.0266702802,1.8464471474,-0.0424288371,-0.0904213050,-0.1969375982,-0.1208472597,-0.1568970238,0.8826477632,-0.2282042719,-0.0912113808,0.0041532588,-0.1863375044,0.0219956290,0.5452613432,-0.0894711329,0.0057880569,-0.0495075427,-0.0804981054,0.0619052880,-0.2234283519,-0.1277610016,-0.1478239674,-0.0824742487,-0.0666496685,-0.0902361296,0.4419980078,-0.1035209148,-0.0627194268,0.2013769452,0.1058996763,-0.0010447550,-0.0210482881,-0.1605532542,-0.0908635620,0.2294427309,-0.0291303279,0.4934956760,0.0807077732,0.4585221774,0.0556422980,-0.0616393499,-0.0677043643,-0.0978973657,-0.0315034958,-0.0917853638,0.4284762153,-0.0865290397,-0.0972539801,-0.0611096598,Control
GSM480993,0.1911299434,0.1116843061,-0.0795628036,-0.1552988416,-0.1098782891,-0.1351665141,-0.1791548298,-0.0085595848,-0.1262633274,0.4455764085,-0.0574945215,0.0010186662,-0.2053859804,-0.1500173039,-0.2613555731,-0.1229865019,0.0427927107,0.7431466213,-0.0555049286,-0.1125563217,-0.0356420063,0.1181743469,0.1377103847,-0.0761828409,-0.0042879188,0.7532246475,0.0272780148,-0.1184342998,0.0848687456,-0.0545884828,-0.1717529876,0.4986232755,0.4062435923,-0.0493948066,0.2219733610,-0.0515701994,0.2383615070,0.0477123858,-0.0944343356,-0.0850691539,-0.1995737068,-0.1616904707,-0.0946105162,0.9880169092,0.7957346365,0.5834782023,0.7363728955,0.4144046013,0.0388465096,-0.0594869954,-0.1183751102,-0.0490935803,0.0096267843,-0.0948902335,0.0077307280,-0.1021119428,-0.0319439904,-0.0815916520,-0.1733824130,-0.0676543483,-0.0473565049,-0.1442495929,-0.1324142372,-0.1326811802,0.2470591317,-0.0779097100,-0.1282871900,0.0283385082,0.8423999977,-0.2057905541,-0.2169617082,-0.1521538496,-0.0362457621,-0.0657494664,0.6600011322,-0.0804203933,0.1916949626,0.1179360291,0.7271375300,-0.0520203868,-0.1651523414,-0.1899146304,0.8044436740,-0.1203154406,-0.0547610761,-0.0891423493,-0.0954308749,-0.0728788437,-0.0969738438,0.2097344236,0.2001831287,-0.1602199334,0.3556248992,0.7338769277,-0.0896386958,1.4765024371,0.0611034877,-0.0759411633,-0.1716663985,-0.0993765834,-0.1525545241,1.3067279573,-0.2108684164,-0.1203235611,-0.0238642192,-0.1313564162,-0.0656898694,0.7518640363,-0.0781244859,0.0930547727,-0.0023920666,-0.0922089426,-0.0960875132,-0.1894402762,-0.1347956509,-0.1344800386,-0.1029989483,-0.1157988038,-0.0601008180,0.8586612726,-0.1471691314,-0.1364161210,0.2619925587,0.0211995858,0.0103759486,0.0462421135,-0.1720737203,-0.1192375570,0.1690042850,-0.0984603977,0.3586990287,0.1615769068,0.4276143277,0.0431137578,-0.0372367574,-0.0150249350,-0.0999339594,0.0017784773,-0.0083652670,0.4013802316,-0.0115347740,-0.1367339711,-0.0614343684,Control
