@relation data

@attribute id string
@attribute 51085 numeric
@attribute 5207 numeric
@attribute 5208 numeric
@attribute 5209 numeric
@attribute 5210 numeric
@attribute 5515 numeric
@attribute 5516 numeric
@attribute 5518 numeric
@attribute 5519 numeric
@attribute 5528 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,-0.2120121776,-0.1417844107,0.4699186207,3.0937554572,0.5190832701,1.7623662382,0.3081120378,0.7647704655,0.7174999820,0.3854039603,BRCA
GSM480985,-0.1753758630,-0.1452084794,0.4710485845,3.1987189454,0.3793049705,1.5972294421,0.2363182238,0.5275128255,0.4824771165,0.3409020890,BRCA
GSM480986,-0.1497422561,-0.1256008816,0.3849032834,3.3293409082,0.7578100929,1.6820185006,0.3124934828,0.7615997205,0.7131900114,0.3827300649,BRCA
GSM480987,-0.0890637037,-0.1750976512,0.1733124284,3.2338553269,0.2841628347,1.7100764543,0.3315473428,0.6131601911,0.5315221477,0.3297560222,BRCA
GSM480988,-0.0679580540,-0.1267963599,0.3327508624,3.3426210880,0.6619650228,1.5759464525,0.3109120772,0.4110367248,0.6810503945,0.2888080597,BRCA
GSM480989,-0.1090746008,-0.2014268915,0.2918639932,3.7055528693,0.9326477847,1.3931663536,0.0226131609,1.0587791578,0.5312064313,0.4202536828,BRCA
GSM480990,-0.2175378701,-0.1539241340,0.2124590095,3.8149700431,0.5195826526,1.4343192951,0.2047472435,0.9752111733,0.4948035199,0.4702045261,Control
GSM480991,-0.1138387791,-0.1328258199,0.4201692762,3.4244513777,0.6647858409,1.4974810705,0.1986639752,0.9436757888,0.6351671688,0.4595783168,Control
GSM480992,-0.1072729434,-0.1978659131,0.2263130796,3.5782756804,0.7507210554,1.2969635930,0.1431735181,1.1712464989,0.5340362522,0.4955356443,Control
GSM480993,-0.1790842509,-0.0819883886,0.3327328570,3.1475992467,0.6820447637,1.6592786313,0.2477899835,0.7930191697,0.5554828322,0.4348709144,Control
GSM480994,-0.2392416852,-0.1392222774,0.3127669427,3.5156292387,0.6093794789,1.6759646504,0.2664022011,0.9055424756,0.4926413219,0.4565135546,Control
GSM480995,-0.1592493264,-0.2016998847,0.4305760308,3.4631973372,0.4744134179,1.5356110527,0.2454925682,0.8721428895,0.5961678888,0.4027617828,Control
GSM480996,-0.1483109801,-0.1576653131,0.3904754848,3.4550234477,0.5678367990,1.6932988838,0.2750430175,1.1106318519,0.7246434699,0.5333127729,BRCA
GSM480997,-0.0913045386,-0.1856484670,-0.0313811067,3.3948826524,0.7201374374,1.1570019613,0.0920963011,1.1568185835,0.5226170965,0.4310134170,BRCA
GSM480998,-0.1259667466,-0.0881463163,0.2075602658,3.5703486071,0.7094456914,1.7485351502,0.3250773137,1.2047639366,0.7425047187,0.5371631093,BRCA
GSM480999,-0.1745029140,-0.1065825814,0.4344901591,3.1853550274,0.4722304028,1.6111203642,0.2881960685,0.8158688321,0.7160343779,0.3745637252,BRCA
GSM481000,-0.0921783294,-0.1167886798,0.4592654174,3.1844036316,0.4864329706,1.7189759345,0.3074889228,0.8109120733,0.7148345892,0.3462204135,BRCA
GSM481001,-0.1681375531,-0.1883557101,0.4588344440,3.2349420652,0.2571629751,1.5139088801,0.2513544284,0.9059308171,0.7407277192,0.3652560064,BRCA
