@relation data

@attribute id string
@attribute 10728 numeric
@attribute 1081 numeric
@attribute 120227 numeric
@attribute 147323 numeric
@attribute 15 numeric
@attribute 1583 numeric
@attribute 1584 numeric
@attribute 1585 numeric
@attribute 1586 numeric
@attribute 1588 numeric
@attribute 1591 numeric
@attribute 1594 numeric
@attribute 1621 numeric
@attribute 1644 numeric
@attribute 1733 numeric
@attribute 1734 numeric
@attribute 1735 numeric
@attribute 240 numeric
@attribute 2488 numeric
@attribute 2638 numeric
@attribute 2687 numeric
@attribute 3283 numeric
@attribute 3284 numeric
@attribute 3290 numeric
@attribute 3293 numeric
@attribute 389434 numeric
@attribute 3972 numeric
@attribute 4036 numeric
@attribute 4048 numeric
@attribute 4056 numeric
@attribute 4363 numeric
@attribute 5122 numeric
@attribute 5409 numeric
@attribute 5443 numeric
@attribute 5740 numeric
@attribute 5742 numeric
@attribute 5743 numeric
@attribute 64174 numeric
@attribute 6528 numeric
@attribute 6770 numeric
@attribute 6916 numeric
@attribute 7054 numeric
@attribute 7166 numeric
@attribute 7173 numeric
@attribute 7252 numeric
@attribute 8029 numeric
@attribute 80765 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.1093311062,-0.1587199451,0.0868344907,-0.0349269800,-0.2969099286,0.2353533340,-0.0011465516,-0.2058887339,-0.0406988340,-0.0615510701,-0.0739673766,-0.1429896526,-0.1071769282,-0.0875897597,-0.1080367695,-0.1073253838,-0.1228950368,-0.1034603474,-0.1703783210,-0.0740523386,-0.1206031229,-0.1008323712,-0.0784336954,0.2430292445,-0.2061913170,-0.1796036596,-0.2340588926,-0.0498406056,1.7677214740,-0.3295252024,2.7100641696,-0.0024681094,-0.0597783029,-0.4464550632,1.1765972163,0.7079251005,0.4811786679,-0.0842984236,0.0019510652,0.4221629353,-0.0439210698,-0.2512615576,-0.0815516752,-0.2022863563,0.0925200145,-0.1487150699,0.8290183942,BRCA
GSM481003,0.0120835822,-0.1356473458,0.0449426010,-0.0442318151,-0.2091025279,0.7111172624,-0.0518124921,-0.0954000986,0.1459725039,-0.0745473365,0.1272453122,-0.0520076970,0.0190064174,-0.0910439536,-0.0534822429,-0.0713239086,-0.0492305516,-0.1211986249,-0.0667625878,-0.1180637551,-0.0852208941,0.0143925741,-0.0891692233,0.0173036371,-0.1003461719,-0.1273479543,-0.0944340721,0.3000750277,1.7173959613,-0.0808182491,2.8366129548,0.0233264604,-0.0281594202,-0.3510430108,1.4035428422,0.7174149484,0.2336032408,-0.0286342961,0.0535199220,1.7918880667,-0.0787621621,-0.1495431560,-0.1266653358,-0.2082409407,0.0790879139,-0.1038941213,0.6070648001,BRCA
GSM481004,0.0951576858,-0.1157818614,0.0688788848,-0.0976428829,-0.2227873971,0.2291380776,-0.0486124425,-0.1469067232,-0.0908768072,-0.0855385190,-0.0155101796,-0.1267450474,-0.0422159154,-0.0636410970,-0.0924181707,-0.1017333495,-0.0899858449,-0.0498099645,-0.1245853845,-0.0261192938,0.0985939238,-0.0555198338,-0.0591964350,0.6162283122,-0.2007689392,-0.1441900420,-0.1214202430,-0.0145691001,1.7263911218,-0.2045751710,2.7756512990,-0.0534643850,-0.1103307949,-0.2996371787,1.2576344863,0.6887745815,0.8012255923,-0.0912608575,0.0116432662,0.1835680473,-0.0892489246,-0.1139772636,-0.1699495448,-0.2222200623,0.0611667626,-0.0040577353,0.9322015610,BRCA
GSM481005,0.1071149741,-0.1617871445,0.0690960492,0.0194675384,-0.2292530868,0.3747484484,-0.0230421538,-0.1113116707,-0.0806143372,-0.0873725256,-0.0033135027,-0.0943443225,-0.0242268404,-0.1217813995,-0.2042715035,-0.0379661999,-0.1438631050,-0.1011029818,-0.0202543511,-0.0994317102,-0.1441247781,-0.0642539543,-0.0735476630,0.0278948636,-0.1215889524,-0.0872444762,-0.2267522514,0.3789513107,1.5656620486,-0.1482289869,2.7080872674,0.0291837189,0.0219535819,-0.2859061821,1.1628527148,0.4668393488,0.9504078202,-0.0754445335,-0.0891438230,0.1129940811,-0.0372197082,-0.1839957377,-0.0960581243,-0.2046659691,0.0117488538,0.0231341529,1.1078805726,BRCA
GSM481006,-0.0862695598,-0.1103160821,-0.0392495405,-0.0703240053,-0.2480588514,0.3947202909,-0.0696502582,-0.0606648440,0.1072177865,-0.0895474828,-0.0020298010,-0.1223943415,-0.0296859952,-0.0822029562,-0.0864698874,-0.0002163540,0.0334800012,-0.0996842520,-0.1274666446,-0.0993540125,0.0443164714,0.0391537433,-0.0185594172,0.3049068704,-0.0647574978,-0.1246039948,-0.0999755903,0.0074984329,1.8579623996,-0.1652822842,2.7901409430,-0.0907283894,-0.0854933924,-0.3419980726,1.1273412171,0.9706695579,0.4449323208,-0.0891083126,-0.1663582601,0.7107960421,-0.1255421034,-0.1161467007,-0.1475777855,-0.3066764671,-0.0832168390,-0.0998419351,0.8569635400,BRCA
GSM481007,0.0121077811,-0.1200273781,0.0895016208,-0.0539814127,-0.1865704814,0.4647745607,-0.0832454785,-0.1846859630,0.1161774131,-0.0822251005,0.1351980328,-0.1453005634,-0.0196187584,-0.0765860844,-0.0798710340,-0.0862574437,-0.0858526008,-0.0997862081,-0.0866338995,-0.0391400349,0.2946690530,0.1972282171,0.0714179044,0.2631365154,-0.1258391440,-0.1048379200,-0.1389633820,0.4276865026,1.3644309195,-0.0022176860,2.5778854445,0.0119734522,0.0301187311,-0.2880640100,1.5673731999,0.3178714148,0.6039500778,-0.1353877120,-0.0746448371,0.9691821571,-0.0719590194,-0.1227744416,-0.1020623475,-0.2548820310,-0.0299541411,-0.0123495663,1.0872234372,BRCA
GSM481008,0.3663699261,-0.1542081549,-0.0871741352,0.0252186828,-0.2328410536,0.4282903372,0.0027285731,-0.1392111134,-0.1198772826,-0.1069629810,-0.0393595347,0.0344140060,-0.0491436993,-0.0771261006,-0.0634183994,-0.0599782623,-0.0784783351,-0.0448994405,-0.0930621341,-0.0776070658,-0.1320250562,-0.0806691619,-0.1258768909,0.7301124186,-0.0762134550,-0.1466588176,-0.1739877827,0.0372073626,1.4102933668,-0.2273044252,2.6195529507,0.0912804520,0.0079413007,-0.4182779963,0.2794073006,0.3754256457,1.5930280676,-0.0473264365,-0.0723017654,1.5361260134,-0.0602440672,-0.1272905630,-0.1206592271,-0.1798503539,-0.0221648730,-0.0502001760,0.3130674469,Control
GSM481009,-0.0438624797,-0.1895970124,-0.0171046153,-0.0692628978,-0.6214009846,0.0340170670,-0.0578387729,-0.3460302760,-0.1442117528,-0.0590910717,-0.0594409653,-0.0391110071,-0.1843517235,-0.1145213829,-0.0970203247,0.0223386358,-0.3365971687,-0.1613337901,-0.1853991469,-0.1797820544,-0.2611528257,-0.1374031717,0.0063918016,-0.0664758910,-0.0923513174,-0.1168790365,-0.6845189971,-0.0693231611,1.4321836755,-0.3825408949,2.8286216803,0.0137606992,-0.2011931678,-0.6058493884,1.0419481601,0.2658065180,0.1736270667,0.0245320237,-0.1709369321,0.0483758183,-0.1057554232,-0.2682367118,-0.1802168635,-0.3292680393,-0.0063208156,-0.0026776267,0.7140303461,Control
GSM481010,-0.0988515406,-0.1229849129,0.0670437855,-0.0420868709,-0.1189175444,1.8078529462,-0.0518510935,-0.0519541306,0.0544695319,-0.0360162618,0.0163433749,-0.1016747169,-0.0437719781,-0.1344144997,0.0265567736,-0.0640778225,-0.1673083312,-0.0738747585,-0.1130718994,-0.1271375914,-0.0611636645,-0.0917901073,0.0257605938,0.3434417891,-0.0117361191,-0.1237135506,-0.0036717631,0.0321095037,2.0681158005,-0.0559861151,2.5997708162,-0.0534964877,-0.0491915908,-0.1669484373,1.1908484872,0.2488551289,0.4616328687,-0.0976676403,-0.1497621014,2.4313509124,-0.1023762783,-0.0482597125,-0.1100942675,-0.1871980018,-0.1050632676,-0.0544737150,0.6309769617,Control
GSM481011,0.1581673397,-0.1604995188,0.0145012997,0.0019281577,-0.3229690531,0.3851045833,0.0211540704,-0.1216166809,-0.1394117443,-0.0868235235,-0.0023119847,0.0619400970,-0.0616497993,-0.1056464588,-0.0601169840,-0.0873657009,-0.0672637421,-0.0915077074,-0.0980909650,-0.0534445970,-0.0973770966,-0.0056237284,-0.0059891784,0.2848816049,-0.0736371653,-0.1261476833,-0.1492693596,0.0344810616,1.3349253609,-0.1711432663,2.8732145174,0.0235585956,-0.1416828756,-0.3387130531,1.3466470958,0.3501833566,0.3457223476,-0.1080058598,-0.0596934228,-0.0198881977,-0.0947039655,-0.1738262996,-0.1445481531,-0.2313585828,0.0817703110,-0.0579309024,1.0367441112,Control
