@relation data

@attribute id string
@attribute 10135 numeric
@attribute 10560 numeric
@attribute 113235 numeric
@attribute 119391 numeric
@attribute 1528 numeric
@attribute 1719 numeric
@attribute 1727 numeric
@attribute 2194 numeric
@attribute 23057 numeric
@attribute 23475 numeric
@attribute 2356 numeric
@attribute 27010 numeric
@attribute 349565 numeric
@attribute 4522 numeric
@attribute 4524 numeric
@attribute 5167 numeric
@attribute 53354 numeric
@attribute 54 numeric
@attribute 55191 numeric
@attribute 55229 numeric
@attribute 55312 numeric
@attribute 60490 numeric
@attribute 60496 numeric
@attribute 6470 numeric
@attribute 64802 numeric
@attribute 6513 numeric
@attribute 6515 numeric
@attribute 65220 numeric
@attribute 6573 numeric
@attribute 79646 numeric
@attribute 79717 numeric
@attribute 80025 numeric
@attribute 80308 numeric
@attribute 8034 numeric
@attribute 80347 numeric
@attribute 80704 numeric
@attribute 81034 numeric
@attribute 8884 numeric
@attribute 93100 numeric
@attribute 9446 numeric
@attribute 9962 numeric
@attribute 9963 numeric
@attribute Class {Control,BRCA}

@data
GSM427158,8.01311196333,5.606154407,7.239553481,10.49633479,12.033931755,5.63902319,12.630340905,12.83735302,6.64191595867,8.136146677,5.81949913633,6.4746317545,8.6882854375,8.247323644,8.970940718,7.490030794,6.54308138267,9.048814559,8.739072693,7.530701137,6.1459872105,6.076287179,8.7815539935,8.76112499033,7.250680065,8.66464383,12.16931758,9.586361839,6.921011149,6.986101214,9.642928473,8.13764138667,7.9939771995,7.2165981255,9.8620552715,11.53140597,5.443947436,11.2302278,11.00031892,11.64633578,6.27987345167,6.004972716,Control
GSM427159,7.06604598667,5.456322582,6.282676674,11.10893295,11.656364585,5.748737112,12.364742135,12.45159499,5.82474023633,8.040483061,5.51739393633,6.688755905,8.5729094505,7.986042712,9.541823166,7.368334299,5.923114472,9.302502487,9.007014035,7.855929176,6.090401222,5.874189107,8.513798179,8.453784305,7.434797348,10.69176121,11.62934992,8.82901003,5.887288406,6.814746271,9.7081750635,7.89384099633,8.135484937,6.4350511555,10.128928281,10.62285742,5.571533663,11.21556957,11.18215551,12.028683275,6.63417857533,5.7989104825,BRCA
GSM427160,7.447517649,6.23055429,6.685173215,11.68503795,11.001896705,4.620332194,11.906069465,11.87062298,6.15742765667,7.923240007,5.558933481,6.3697416885,8.871621331,8.08792836,9.022313104,6.928136739,6.462974701,8.795634758,9.011926852,7.500047382,6.0676788555,5.84800395,8.7760236225,8.899855734,7.35076491,9.826628375,9.970178212,9.038590591,7.503172055,7.634903824,9.8063503225,7.84566876333,8.1797654395,6.304858697,10.5420491125,8.048106907,5.804912672,12.04611629,11.0235224,12.058587635,6.49672219167,6.022446646,BRCA
GSM427162,7.102297794,6.018929689,6.476183696,11.93257475,10.886013968,5.372439586,12.051463945,13.77694807,5.91164089667,8.085553621,5.26777081833,6.8502243795,8.983802275,8.686501512,9.507745654,8.096110446,6.35063514867,8.538519855,9.499069096,7.649940756,5.856936617,6.090118375,7.465652409,8.42552051167,7.545256274,9.749233029,10.28488803,9.230813715,7.850001018,7.918835106,9.653226167,7.89895777933,8.1261387615,6.837023289,10.7070374925,10.50534045,5.098254524,12.46042141,11.54370625,11.92464838,6.275384419,6.535365077,Control
GSM427163,7.84570109967,5.749273627,6.820246387,11.28752498,11.81864889,5.333791561,12.18315503,13.85629375,5.95571400833,7.84090555,5.574162241,6.2325881455,8.537231223,8.097454264,7.902105432,7.431708874,5.69813852267,9.028003503,8.878327716,7.00660975,6.0414873155,5.947964885,8.7566891905,9.12488666233,8.167620266,9.520845097,10.13846417,8.635945819,7.332867062,7.442987284,10.312529967,8.08417923167,7.966295375,6.6280304325,10.741283937,10.64926541,5.615159695,11.39216863,11.05900997,11.929301075,6.40331654833,6.1183543025,BRCA
GSM427164,8.715554379,5.79064906,6.824389583,10.03681963,11.099236185,6.048220516,12.761541375,13.21954598,5.61459043967,7.660568443,5.62527905533,6.926215236,8.6392001905,7.493617565,9.189639964,7.628830314,6.279395827,10.9925633,9.277171797,7.634849385,6.120676211,5.649048651,9.2853179235,8.99237067133,7.217669675,11.12792359,12.45384813,8.912141698,7.069103653,7.408714249,9.616437592,8.03580784133,7.7771093585,6.859785034,10.493392791,9.822443813,5.577437325,11.21374538,10.95031916,11.81827797,6.47651386233,6.107207767,BRCA
GSM427165,7.149340489,6.165867356,6.365014999,11.81116605,10.2971136775,4.998433881,12.19115058,13.25616376,5.62293698767,10.33984475,5.56100022667,6.6993253445,7.563035959,7.070285,9.678499404,9.050175926,6.64307678233,9.848568613,9.43566043,7.213398623,6.3325782485,5.273339877,7.448218188,7.471185463,7.331121003,10.06394142,10.8936127,8.531460538,6.846872885,7.623042188,9.60006278,7.98216989567,7.9784353015,6.983140895,10.5351152325,8.015862602,5.306345413,11.10564356,11.38959116,12.21670608,5.936980141,6.387237168,BRCA
GSM427166,8.04946937933,6.288825133,7.602441151,10.8955187,11.941393255,5.297935366,12.40260016,12.53965448,6.06491906733,9.00890556,5.649875077,6.4724649375,8.8189607325,7.710291801,7.730879578,7.030118435,6.63089707733,9.358629843,8.838022945,7.876825596,6.3151928185,6.24289363,9.226404728,8.853062337,7.399002552,9.624905607,11.38319952,8.876640587,5.72261032,7.200067621,9.8637739325,8.433800095,7.9263557185,6.034938036,10.200511827,9.940402111,5.309895799,10.86957864,10.5875059,12.158665655,6.30557270867,6.168118681,Control
GSM427167,7.72586622167,5.889723735,6.569176337,11.95350544,11.12344408,5.681878783,12.18368905,13.23871974,5.73763352467,8.710600796,5.49661069567,6.9532024205,8.9857696205,7.975462708,8.887952536,7.335080175,6.837751553,9.877403442,9.34775485,7.377494973,5.9187487215,5.872096916,9.18438919,9.07889939367,7.465895157,9.281942267,11.4905076,8.706030693,7.762782524,7.540420859,10.001597342,8.13958872633,8.110555387,6.161938,10.8494815595,8.424335459,5.714802736,12.22921997,11.07399778,12.11638337,6.39557410767,6.239291372,BRCA
GSM427169,6.709576723,5.816350905,6.532710954,11.76197512,11.696162805,5.104977394,12.370331835,11.80338054,6.02278797233,8.156337359,5.112873826,6.320289461,9.0099685845,8.093339815,9.169975799,8.305344864,6.81354169967,9.183449993,9.433126963,7.680959203,6.2476735995,6.362956922,8.3555083,8.472690889,7.413714922,9.610619386,10.32699711,9.270552959,7.552325432,7.500445806,10.0486919695,8.09011954333,8.0811922995,7.2517031455,10.7710819545,11.25929767,4.963487128,10.7004573,9.861095099,12.00064267,6.57464963833,6.6129230105,BRCA
