@relation data

@attribute id string
@attribute 116285 numeric
@attribute 123876 numeric
@attribute 18 numeric
@attribute 1892 numeric
@attribute 1962 numeric
@attribute 2571 numeric
@attribute 2572 numeric
@attribute 3030 numeric
@attribute 3033 numeric
@attribute 3155 numeric
@attribute 3157 numeric
@attribute 3158 numeric
@attribute 341392 numeric
@attribute 348158 numeric
@attribute 35 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 5019 numeric
@attribute 5160 numeric
@attribute 5161 numeric
@attribute 5162 numeric
@attribute 54988 numeric
@attribute 56898 numeric
@attribute 57016 numeric
@attribute 622 numeric
@attribute 6296 numeric
@attribute 64064 numeric
@attribute 65985 numeric
@attribute 7915 numeric
@attribute 79944 numeric
@attribute Class {Control,BRCA}

@data
GSM427158,5.316518,4.99598593333,5.38116950267,11.94269603,8.035405516,5.38304633667,5.784118687,10.55163644,12.97619003,8.814022522,10.69826214,10.79412363,4.488522104,5.596804155,9.678499404,12.56790862,7.4409698455,9.350597316,9.49066094,5.4847177185,12.12695617,7.3943997622,5.264922245,4.62091844,5.827880624,6.685247304,7.130367529,8.756123553,7.8745592845,8.899010276,Control
GSM427159,5.25928308,5.36716124067,5.576464594,11.58443655,6.802099894,5.555093649,5.641409649,10.43684194,12.31303756,8.919117419,11.01352875,9.552203712,5.76593995,4.7980387455,8.662331136,11.5155078,7.4912144285,8.151373203,9.103209852,4.9360874755,12.06924173,6.4640088214,5.652207716,5.201056716,6.136042955,6.48070813333,6.559878457,8.636770627,7.8522675325,9.426946689,BRCA
GSM427160,4.443012817,5.591199887,5.47866963533,11.54512148,6.935698777,5.46421904767,5.149148835,10.87780964,12.7003986,8.773107158,10.85568242,9.624613223,5.41126628,5.4271258205,8.747254058,11.2456925,7.952710478,8.598444418,8.960697854,5.738222109,12.10963326,5.766075818,5.760494586,5.249645622,6.60006196167,6.752560327,7.338293201,9.772286167,7.988364494,9.275729428,BRCA
GSM427162,4.577813708,5.26162043567,5.55787428767,12.14532727,4.910026549,5.54813415467,5.850631456,11.03657221,12.45547628,9.092513451,11.07134187,6.784638526,6.472573571,5.0858834915,8.768549192,10.95576997,7.155509218,8.063854951,9.709342822,5.4247326165,12.1006805,6.2157917936,5.68566776,4.899672619,6.62498816267,6.86678840467,7.373955101,9.37207121,7.499128527,10.09238094,Control
GSM427163,5.185877691,5.027292642,5.70309750667,11.81929108,6.860966288,5.30357325,5.651059765,10.24516082,12.83289551,9.223652493,11.31960737,7.066899469,5.203505846,5.3450424455,8.367874598,11.70867451,7.6718899015,8.84381204,9.866278672,5.614453824,11.98934847,6.4008843992,5.527485802,5.358792935,6.11935666033,6.60044775467,6.796367788,9.668158635,8.203099012,8.913937397,BRCA
GSM427164,4.721662605,5.123872907,5.51417857267,11.50616141,7.684715533,5.448684967,5.703219255,10.458089,12.2076581,8.111397999,11.22269547,11.42163372,5.485435883,5.2244335065,8.982138771,11.82101269,7.6679207005,9.347389459,9.569818176,4.8087685705,11.62476132,6.4985742962,6.287532897,5.563776856,6.02265436267,6.78378868967,6.341812891,9.877790685,8.18123385,8.431310726,BRCA
GSM427165,5.434554214,5.10787058133,5.851328677,11.52066056,5.650629048,5.79339804,6.046584505,11.12425722,11.74088764,9.714864166,11.89182747,8.128885094,5.139972076,4.6990226585,7.90620083,9.665780528,6.883110591,6.279290785,9.023671978,5.5418023855,12.045241,5.7748119768,5.129706745,5.046808884,5.625126696,6.759400442,8.529080209,8.31106838,7.502647819,10.3235449,BRCA
GSM427166,4.823508981,5.10743404667,5.58262949933,11.81218745,7.330157527,5.31003055167,5.820441464,10.26349255,12.55220564,8.933566092,10.29905948,10.1173058,5.261917434,5.247034119,8.717077567,12.03524768,7.485282547,9.102153617,9.394463297,5.461571185,12.31194418,6.0846776108,6.040898593,4.783733416,6.12641187367,6.633239519,7.30417133,8.977123283,7.818463286,8.093075668,Control
GSM427167,4.738243253,5.42435275633,5.77540273467,11.59869472,7.223376994,5.29941082167,5.821079567,10.23245125,12.70768381,8.749183209,11.03059147,10.9447818,5.108536217,5.4915185285,8.477425503,11.89363345,7.811400851,9.271183522,10.1276143,5.403268465,11.94385185,5.9719236044,5.872096916,5.244897759,6.58360932367,6.746266582,7.304787373,9.833894617,8.232125413,8.742091394,BRCA
GSM427169,4.256224861,4.90551841267,5.54244468267,12.03524768,7.358126164,5.29248360533,5.921252584,10.66366508,12.61931219,9.263739335,11.17659722,10.99053322,5.295825171,5.465992028,10.03681963,12.05089371,7.4221075335,9.06822146,9.420113456,5.077709411,11.58824628,6.4838544362,5.096358059,5.308713308,5.986385383,6.57133208167,6.846058,8.57967527,8.225429243,9.466495147,BRCA
