@relation data

@attribute id string
@attribute 10488 numeric
@attribute 107 numeric
@attribute 108 numeric
@attribute 109 numeric
@attribute 111 numeric
@attribute 112 numeric
@attribute 11211 numeric
@attribute 113 numeric
@attribute 114 numeric
@attribute 115 numeric
@attribute 1385 numeric
@attribute 1387 numeric
@attribute 148327 numeric
@attribute 1499 numeric
@attribute 163688 numeric
@attribute 1638 numeric
@attribute 1855 numeric
@attribute 1856 numeric
@attribute 1857 numeric
@attribute 1906 numeric
@attribute 1910 numeric
@attribute 196883 numeric
@attribute 2033 numeric
@attribute 23236 numeric
@attribute 2535 numeric
@attribute 2770 numeric
@attribute 2771 numeric
@attribute 2773 numeric
@attribute 2775 numeric
@attribute 2776 numeric
@attribute 2778 numeric
@attribute 2932 numeric
@attribute 3265 numeric
@attribute 3815 numeric
@attribute 3845 numeric
@attribute 4157 numeric
@attribute 4254 numeric
@attribute 4286 numeric
@attribute 434 numeric
@attribute 4893 numeric
@attribute 51176 numeric
@attribute 51384 numeric
@attribute 51806 numeric
@attribute 5330 numeric
@attribute 5331 numeric
@attribute 5332 numeric
@attribute 54361 numeric
@attribute 5443 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5582 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5605 numeric
@attribute 5613 numeric
@attribute 5894 numeric
@attribute 64764 numeric
@attribute 6932 numeric
@attribute 6934 numeric
@attribute 7299 numeric
@attribute 7306 numeric
@attribute 7471 numeric
@attribute 7472 numeric
@attribute 7473 numeric
@attribute 7474 numeric
@attribute 7475 numeric
@attribute 7476 numeric
@attribute 7477 numeric
@attribute 7478 numeric
@attribute 7479 numeric
@attribute 7480 numeric
@attribute 7481 numeric
@attribute 7482 numeric
@attribute 7483 numeric
@attribute 7484 numeric
@attribute 7855 numeric
@attribute 7976 numeric
@attribute 801 numeric
@attribute 80326 numeric
@attribute 805 numeric
@attribute 808 numeric
@attribute 810 numeric
@attribute 81029 numeric
@attribute 815 numeric
@attribute 816 numeric
@attribute 817 numeric
@attribute 818 numeric
@attribute 8321 numeric
@attribute 8322 numeric
@attribute 8323 numeric
@attribute 8324 numeric
@attribute 8325 numeric
@attribute 8326 numeric
@attribute 83439 numeric
@attribute 84699 numeric
@attribute 90993 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,1.0326234206,-0.0213125190,0.0324851423,0.6906278624,-0.1873276656,0.3041730966,-0.1062915300,0.6485430572,-0.0936600890,0.6758355689,0.0194301160,0.6553813652,0.0532491580,0.6174689995,-0.1286174089,-0.0655926939,1.5403237708,1.2512556236,1.4957236634,0.0146114439,0.0924974091,-0.0496203903,1.5206031688,0.2858521625,0.2974508487,0.6288589894,0.7379945731,0.9289300937,-0.0401020524,0.4478188096,1.6287773193,0.8950817100,0.8212452234,0.0389790288,0.1314761901,0.1217128474,-0.1365547659,0.1352461276,-0.2629531082,0.8848718814,-0.0819218758,-0.0693783264,-0.0724848310,-0.0931709614,1.4761069679,-0.1197500205,0.1095612807,-0.4464550632,0.9091838176,0.8322542454,-0.0220457165,0.2608651281,-0.0981862237,-0.0750473595,0.3768321643,1.1201675758,0.1390805759,0.0696381372,0.3860900013,0.4093352354,0.0388651469,0.4804667581,-0.1209550743,-0.1448446427,-0.3945480586,0.0060842624,-0.2014402350,1.0991054247,0.0138609237,-0.0872401451,-0.0658604255,-0.1008841115,-0.0661483709,-0.0076127907,-0.1242441562,0.0170828879,-0.0414223101,-0.1308467712,-0.1384880379,0.0407348561,1.3564936234,-0.2703875750,0.8265591783,2.7038153726,-0.1556674652,-0.0433322968,-0.0715993912,-0.0731259508,0.5784964499,-0.0098517653,0.5178176453,1.2294193541,0.4202692439,2.5381216722,0.4896193914,-0.0565602516,1.2487681582,-0.1035053434,1.9444277437,BRCA
GSM481003,1.1906844509,-0.0692073683,-0.0064876447,0.4153288136,-0.1628839508,0.2577621225,-0.1047461864,0.8073847730,-0.1100853766,0.4801001175,0.0187250819,0.6896365619,0.2865917172,0.5368674805,-0.0698493385,-0.0624441278,1.6316522890,1.2125606228,1.9477753152,0.7091912907,0.0447493714,-0.1103498666,1.5765347331,0.1101227322,0.3096774467,0.8103868588,0.8040623380,0.7902084636,-0.0551309586,0.2624370770,1.5822581693,0.9718543944,0.9474795161,0.0624867354,0.0738842817,0.1144181028,-0.0134893726,0.1665748877,-0.1922507434,0.9542065300,-0.0555656530,-0.0711894622,-0.0365504050,-0.1266500411,1.5995909609,0.2789530126,0.3030448142,-0.3510430108,0.9189770192,0.6319902162,0.0102665505,0.2829620648,-0.0518483993,-0.0337643415,0.4223379152,1.1333078442,0.1453346393,0.3544240996,0.2815908568,0.4052668924,0.3832931219,0.3278736179,-0.1345887136,-0.1549727859,-0.2837386110,0.2620541867,-0.1763356365,1.2871466040,0.0805596044,0.0086955691,-0.0085104138,-0.0511799914,0.0349293670,-0.0993796474,-0.0742290326,0.6722705480,-0.0506247050,-0.0272443373,0.0773259308,0.0183893998,1.1557139689,-0.1387209467,0.7173366560,2.6004273182,-0.0292245170,0.0699068837,-0.0022023061,0.0580019309,0.4392622436,0.0177999127,0.5154947008,1.1748903621,0.3427900223,1.7296087743,0.3949784789,-0.1006964339,1.0709934719,-0.1823539681,1.9215771188,BRCA
GSM481004,1.0233543507,-0.0682730252,-0.0572336419,0.7538955795,-0.1865766728,0.4959490365,-0.0772074629,1.0032708717,-0.0400951271,0.5932523358,0.0489846332,0.7104525116,0.1727575446,0.5084360550,-0.2321383340,-0.0464840005,1.7601004838,1.3879509694,2.0113316991,-0.0000220279,0.0170582183,0.0553660385,1.4211680973,0.4210706907,0.3574216091,0.8890818098,0.7018607473,0.7554294536,-0.0439653979,0.3193705141,1.6611578276,1.3618418052,0.8814408686,0.1247700097,0.0657351969,0.1843637303,0.0000928630,0.1866096322,-0.2017025288,0.9630198516,-0.0759171264,-0.0733080359,-0.1118533504,-0.1195634382,1.5031896006,-0.0322893260,-0.0715792978,-0.2996371787,0.6950635329,0.6800325786,-0.0396932616,0.4684481415,-0.1085750333,-0.0723416345,0.5495924441,1.3982536542,0.0639251527,-0.0129986513,0.4157156661,0.4052161639,0.0808795862,0.2659067271,-0.0949517241,-0.0336544121,-0.3105351274,0.0032477002,-0.1127112779,1.2167072096,-0.0188852585,-0.0638865936,-0.0485719460,-0.0359497991,0.0020104520,-0.0029002871,-0.0909554661,0.0893885440,-0.0690000361,-0.0738884651,-0.0646847112,0.0518062069,1.0442493542,-0.1845646587,0.7713027104,2.5539644831,-0.0862486411,0.1364099701,-0.0441430938,-0.0617234432,0.5186807821,0.0930184553,0.4954510418,0.8735682719,0.2407727359,3.0849989021,0.3031011952,-0.0236128259,1.4482506214,-0.1536644187,1.8335028190,BRCA
GSM481005,1.0787079631,-0.0925683750,0.0108283770,0.8534066271,-0.1859157358,0.4385876315,-0.0930910153,1.1066493301,-0.0452075420,0.3788599880,0.0936311534,0.6607257612,0.1044379431,0.6957511474,-0.2486192649,-0.0164464587,1.2660262982,1.1898594431,1.6813057445,0.3580769161,0.0492621837,0.2799949490,1.5339801088,0.2068608563,0.4337945098,0.9670564680,0.7327531320,1.0908687503,-0.0375340859,0.5904648845,1.4807582746,0.9572651076,0.8521304950,0.2351409233,0.1621117626,0.1810265478,0.0801171582,0.1507473908,-0.1772144909,0.8978069759,0.0912356529,-0.0804068081,-0.0858997872,-0.0819878108,1.3645848670,0.4609039199,-0.0903669529,-0.2859061821,0.7765841372,1.2306991819,-0.0333261071,0.3166812967,-0.0871069950,-0.0307554886,0.4403047296,1.3712493853,0.0764267961,0.0699015529,0.3888399490,0.4912779206,0.0376215268,0.4122424872,-0.1545842136,-0.1431722826,-0.2622130004,0.3739300018,-0.0578352279,2.7604660591,0.0426390920,-0.0200725873,-0.0482768963,-0.0910808531,-0.0681008383,-0.0604671176,-0.0685347691,-0.0662294183,-0.0690765642,-0.1350355067,-0.1600683510,0.0253307247,1.5244798356,-0.2487369648,0.8702989420,2.5885585249,-0.0754524312,0.2255749310,-0.0436124759,-0.0344820515,0.6463682539,0.0669458035,0.5995431432,1.0973899575,0.4940518402,3.1216985056,0.3341969794,-0.0420957793,1.3552098126,-0.1944856476,1.9045748176,BRCA
GSM481006,0.9869866702,-0.0610226503,-0.0522829933,1.2541987586,-0.1669847436,0.5766390173,-0.0413360036,0.8823370718,-0.1439105411,0.6523239961,0.0438960250,0.4717476930,0.0102141040,0.6774093451,-0.1689911806,-0.1182510795,1.6513754858,1.4516223233,1.8533821091,0.0651288664,0.1119094922,-0.0951017123,1.9997731411,0.1912894818,0.5730865085,1.2209734655,0.8024770168,1.0996662435,-0.0243946056,0.6643883944,1.3146320589,1.0202108809,0.8876503406,0.0794755013,0.1676137317,0.1197967292,0.0314879373,0.1758088055,-0.2599770723,0.6079864987,0.0818538499,-0.0425234946,-0.0696378198,-0.1256054163,1.5441306196,-0.0461319976,0.1349259974,-0.3419980726,1.0743387982,0.9264100611,-0.0789564253,0.2588561041,-0.1044239603,-0.0489088737,0.3909603753,0.9865753614,0.1169393467,0.2576344930,0.3354175018,0.4376157016,0.1508554700,0.5129803772,-0.1057230226,-0.0963050015,-0.3156871875,0.9761466979,-0.1288715185,2.6283631843,-0.0367680197,-0.0259634039,0.0027629747,-0.1056243051,-0.0280148233,-0.0666198668,-0.1108920901,0.3665609332,-0.0490511070,-0.1344503291,0.0737847136,-0.0607598760,1.3858446989,-0.2056177399,0.8328808705,2.7229726611,-0.0663055833,0.0909788225,-0.0572130085,-0.0572261756,0.6276549524,0.0269040916,0.6352266884,1.0352304034,0.3469776163,2.2450029360,0.3349695516,-0.1115555562,1.4518673271,-0.2288958830,1.9483212852,BRCA
GSM481007,1.1779389943,-0.1091924483,-0.0409257532,0.8056753526,-0.0611303696,0.6382880130,-0.0462016771,0.5886042261,-0.0965363181,0.4626764772,-0.0388119381,0.6012359342,0.5023200977,0.6134111168,-0.2028048244,-0.0457385158,1.9319358701,1.7445892150,2.0637705515,0.1652621510,0.0150298251,0.0258853085,1.4547199384,0.1294501655,0.3394778481,1.1343356063,0.6969900434,0.6895177521,-0.0594928700,0.3499374598,1.4150039667,0.5586554259,1.1560421735,-0.0297455482,0.1433539864,0.1689142447,-0.1152506597,0.1570092686,-0.1479117321,0.8448888773,-0.0362453415,0.0349866823,-0.0462129366,-0.0836514095,1.4868055220,0.1430614591,0.4547389333,-0.2880640100,0.9259418572,0.7558958770,0.0370700779,0.2214731303,-0.0580448157,-0.0014222495,0.2606000659,1.0516917631,0.1837086821,0.1321595838,0.2957258879,0.3254073675,0.0523900811,0.3945177911,-0.0786862498,-0.1443611355,-0.2656063915,0.1312263660,-0.0424479322,1.5694840899,0.0665562646,-0.0116927956,0.0067818588,-0.1159979064,-0.0368318690,-0.0168402319,-0.1010664200,0.7914069314,-0.1936255641,-0.0900796246,0.0897157400,0.0269764186,0.8527704083,-0.0515251742,0.7908645495,2.4574012124,-0.0312364085,0.1317516231,-0.0056203018,-0.0304605411,0.5291107847,0.0170823853,0.5411662431,0.5598054998,0.0400525054,1.9039682361,0.1684061680,-0.1341643277,1.2766758504,-0.1719128159,1.7008204061,BRCA
GSM481008,0.9932991063,-0.1022847509,0.0073234723,0.9556061970,-0.0927685142,0.2863269619,-0.1282418184,0.7602961962,-0.0445672441,0.3568348908,0.1053648011,0.6167750674,0.3442835683,0.5762742963,-0.1190311949,-0.0769493770,1.6606386056,1.5465012026,1.2825954989,-0.0423850521,-0.0566516937,-0.0347283245,1.5937150419,0.1979250253,0.3225789310,0.9561627172,0.6497903308,0.9398854532,0.0040104141,0.3171693577,1.5773606507,1.0892350491,1.2938889639,0.0477316900,0.1743810166,0.2781149532,0.0990413619,0.0761556993,-0.2052750932,0.9191996994,0.2017045878,-0.0439203969,-0.1202880517,-0.1060613890,1.6687167920,0.0366716310,-0.0216365628,-0.4182779963,0.9102283842,0.7458980968,0.0274709704,0.2738108856,-0.1056714096,-0.1196029719,0.4047704326,1.0726860836,0.1199409844,0.1268309088,0.3589827556,0.6221907198,0.4492832672,0.2421337500,-0.1116673821,0.1667388402,-0.3722561604,-0.0818936168,-0.0649520755,2.6761983316,-0.0130235439,-0.0438404034,0.0238258963,0.0177650731,-0.0678590641,-0.0851789837,-0.0973834079,-0.1006630483,-0.0836435636,-0.0969623786,-0.0263637421,-0.0587898058,0.9964291379,-0.2866146009,0.7930964681,2.4189842773,-0.0432700947,0.3285105641,-0.0415118158,-0.0830571034,0.1656969287,0.0952502571,0.7522004461,0.3710079451,0.3907292088,1.2485071176,0.7163926493,-0.0994058526,0.7799835039,-0.1492333114,1.6987448883,Control
GSM481009,0.3826051094,-0.1314133674,-0.0292480118,0.4983229081,-0.2549137573,-0.0641390445,-0.1002464938,0.8146943457,-0.1893536572,0.2691004176,0.0205618788,0.5215228253,-0.0517904690,0.6379877187,-0.3763604151,-0.0542227454,0.9712759356,1.1541839863,1.6026747918,-0.0007842268,0.1278124067,-0.0942478679,1.3526445291,0.2812716372,0.1195252147,0.7515524406,0.5076287837,0.8664243184,-0.0821720857,0.4197121219,1.4264966791,0.4939206066,0.5253295350,0.0007197229,0.1793832846,-0.0970233727,-0.0230382109,0.1357031753,-0.4402102797,0.7767756040,-0.0457928035,-0.0109911502,-0.1908497260,-0.1955891928,1.2002787294,-0.0985022541,-0.0947817922,-0.6058493884,0.6558841348,0.8545450949,0.0046873059,0.3586061170,-0.1066654161,-0.1903911113,0.2795271149,0.7096309500,-0.0310865428,-0.0978849678,0.2270372226,0.3081735654,0.0965627080,0.5029285724,-0.1432290091,-0.1218108059,-0.6643026724,0.3702629479,-0.2396392688,1.5475423524,-0.0934621583,-0.2625131060,0.0109606397,-0.0948671154,-0.0894222621,-0.1320922268,-0.1927612391,-0.0008563446,-0.1355779901,-0.1123483706,-0.1901101222,0.0691758244,1.0664309090,-0.3837322319,0.7962288941,2.6979478374,-0.1461619418,-0.2633427495,-0.1110477333,-0.0924537415,0.4795865551,-0.0723620999,0.2263547377,0.9253043751,0.1085814988,2.8495090359,0.1045048643,-0.3289845157,0.8893958329,-0.2692948840,2.0046803781,Control
GSM481010,0.7977590973,-0.0856121376,-0.0299397763,0.5580687042,-0.1150484082,0.2565518150,-0.1075353725,1.0041584842,-0.1091626319,0.3016868198,0.1562225824,0.6855350051,0.0298218358,0.7343420027,-0.1971198924,-0.0644110430,1.1539768628,1.1889527265,1.5703331138,0.3262163172,-0.0186898408,-0.0356908833,1.6499485337,0.3067598991,0.1426105212,1.4438292494,0.7358219301,1.3039561975,-0.0533458203,0.6331500416,1.4701154121,0.9262991083,0.9039840400,-0.0137498037,0.1744263203,0.0892891213,0.0069278436,0.1738089484,-0.1520012233,1.2621549368,-0.0746804124,-0.0828891163,0.0077531713,-0.0872663059,1.3031095667,0.0225883950,0.2415542743,-0.1669484373,0.6685453986,1.0751941698,-0.0846129696,0.3844459151,-0.1128206664,-0.0485023446,0.5158594621,1.1154199801,0.1620686616,0.0711872429,0.3965836786,0.3917526350,0.0227985563,0.3422708611,-0.0969774251,0.0203954376,-0.2394890915,-0.0618860749,-0.0936019128,1.7162404021,-0.0528586305,0.0075313146,-0.0343432225,-0.1204891543,0.0370795174,0.0695958067,-0.0687700288,0.3475609784,-0.0442746121,-0.1332288597,-0.0047525896,0.0063128392,1.4629609655,-0.1516297620,0.8582563715,2.5320026251,-0.0911880921,-0.0633099011,-0.0057435957,-0.0126254933,0.7562955471,0.0440597638,0.5297393522,1.3494504129,0.3972433979,1.4520974686,0.2440859387,-0.0493291419,0.9106897973,-0.1402771757,1.6773052562,Control
GSM481011,1.5676906770,-0.0661589997,0.0080882865,1.1929691749,-0.1498224161,0.3705056948,0.0333628888,0.6087986411,-0.0870217879,0.5806935298,0.0381124616,0.4229259233,0.1596859573,0.4369135557,-0.1730886077,-0.0780781132,1.9777225687,1.4405376034,1.8922487011,-0.0186609713,0.0869971405,-0.0181835081,1.0696674976,0.1974606326,0.4529687186,0.7541625414,0.7795279973,0.7538124666,-0.0865289202,0.2530173084,1.5207398576,0.8232649406,1.1300241724,0.1759308717,0.1905613793,0.1945564586,0.0026153166,0.1643640042,-0.2806993003,0.7011700384,-0.0571184079,0.0175757171,-0.0055239440,-0.0478217234,1.4140396192,-0.0093488651,-0.0201940086,-0.3387130531,0.8796043668,0.7629880970,0.0440684883,0.2189997299,-0.0728182171,-0.0513703098,0.3978262835,1.5733309313,0.2404869166,-0.0120833156,0.2711141126,0.4563443266,0.0344876326,0.2851886856,-0.1255581962,-0.1451740928,-0.3263226391,0.1123705800,-0.1127214742,1.6167891246,0.0338085365,0.0335077664,-0.0299045145,-0.0683776503,0.0033948959,-0.0038562473,-0.0605126296,0.2160085205,-0.0952629641,-0.0306941271,-0.0211311191,0.1043020672,1.0243768138,-0.2860836664,0.8445791476,2.9243183808,-0.0738799619,0.0897567195,-0.0260395241,-0.0681232988,0.5062603640,0.0608758262,0.4226314719,0.9487753072,0.1416005218,2.5316526047,0.3143766776,-0.0565446460,1.5787073300,-0.2156695834,2.0901275138,Control
