@relation data

@attribute id string
@attribute 1386 numeric
@attribute 1482 numeric
@attribute 1499 numeric
@attribute 1855 numeric
@attribute 2626 numeric
@attribute 27302 numeric
@attribute 2932 numeric
@attribute 324 numeric
@attribute 4086 numeric
@attribute 4089 numeric
@attribute 4090 numeric
@attribute 4091 numeric
@attribute 4208 numeric
@attribute 4633 numeric
@attribute 4878 numeric
@attribute 4879 numeric
@attribute 5981 numeric
@attribute 650 numeric
@attribute 652 numeric
@attribute 653 numeric
@attribute 655 numeric
@attribute 659 numeric
@attribute 6885 numeric
@attribute 6927 numeric
@attribute 7040 numeric
@attribute 7042 numeric
@attribute 7043 numeric
@attribute 7046 numeric
@attribute 7048 numeric
@attribute 7049 numeric
@attribute 7471 numeric
@attribute 8312 numeric
@attribute 8321 numeric
@attribute 8646 numeric
@attribute 90 numeric
@attribute 9241 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,-0.1628319889,-0.1359751551,0.6174689995,1.5403237708,0.0628088419,-0.0703574240,0.8950817100,0.0387382352,0.7396240239,0.2611974383,0.5580116280,0.2663583407,-0.0772443378,-0.0346306446,0.0722343079,3.2339388001,0.3816795254,0.6561434973,0.0586351257,-0.0732532571,-0.1398961927,0.1820971776,0.2768544875,-0.1094382221,0.4776154854,0.8690730108,0.3435973456,0.8073990904,0.4500692432,-0.0191684318,-0.3945480586,-0.0583147597,0.5178176453,-0.0142168938,1.8992447814,0.0718523429,BRCA
GSM481003,-0.1044433214,-0.1620313728,0.5368674805,1.6316522890,0.1409594218,-0.0917204613,0.9718543944,0.0567640029,0.5946409802,0.1510610660,0.3201345094,0.3910171457,-0.0117938432,-0.2064045833,0.0963967130,3.9372842841,0.2651754541,1.2946578512,0.1832318612,-0.1473879986,-0.0212425112,0.1057084988,0.2633005434,-0.1575449494,0.5876617368,1.5404983274,0.3926736576,0.2719719032,0.4773078447,0.0622315815,-0.2837386110,-0.0233808412,0.5154947008,-0.0145228371,1.8379815965,0.9013664176,BRCA
GSM481004,-0.0846655784,-0.0961935752,0.5084360550,1.7601004838,0.1133280969,-0.1631309999,1.3618418052,0.0156502626,0.8458151905,0.1046389682,0.3523422950,0.3643112064,-0.0628519830,-0.1264316804,0.0110183159,2.4928106069,0.1874095585,1.8352680345,0.0644968578,-0.0748019853,-0.0668508263,0.0894971283,0.2940910289,-0.1328506200,0.4072908132,1.1630562656,0.3364432512,0.4477677480,0.7094309197,0.0541762776,-0.3105351274,-0.0195342790,0.4954510418,-0.0114316918,1.8151646555,0.2168409092,BRCA
GSM481005,-0.1089408177,-0.0525396739,0.6957511474,1.2660262982,-0.0637567782,-0.1436674743,0.9572651076,0.1923242811,0.5862468888,0.3580555966,0.7833627735,0.1665376466,-0.0799321411,-0.0353071872,0.0348749859,3.3338212701,0.5792565216,0.0339138785,-0.1823371806,-0.1154507956,-0.1096567049,0.3010925735,0.6410530742,-0.0953567748,0.3632583721,1.1279461384,0.4534288727,0.5362932858,0.5976829881,-0.0646905154,-0.2622130004,-0.0176479652,0.5995431432,0.0078983755,1.9317452087,0.6200391079,BRCA
GSM481006,-0.0567717034,-0.1186109711,0.6774093451,1.6513754858,-0.0109023376,-0.1519111080,1.0202108809,0.0629272980,0.7292931539,0.3620992723,0.7619907720,0.1177928547,-0.0365189175,-0.0282834456,0.1051766772,2.7415485913,0.4449059242,0.7449416584,0.1926361680,-0.1432111264,-0.0724029188,0.2256421668,0.5432311448,-0.1001746603,0.3491632068,1.0640574322,0.3380506146,0.5783400405,0.4666741335,0.0662749732,-0.3156871875,-0.0344282651,0.6352266884,-0.0370486740,1.7584791631,0.5654560501,BRCA
GSM481007,-0.0756525642,-0.0601624806,0.6134111168,1.9319358701,0.0382679466,-0.1189191277,0.5586554259,0.2163079727,0.8054561700,0.1275453084,0.4783271628,0.5597406357,-0.0398991313,0.0125250198,0.0201020498,1.6923463079,0.3915002394,0.8314818136,0.5640157098,-0.1187639466,-0.0323601816,0.1549429394,0.3382505102,-0.0944085209,0.3947684393,0.2169134759,0.6869849099,0.3115602897,0.2434186208,0.1446049983,-0.2656063915,0.0191384241,0.5411662431,-0.0975871093,1.8575845770,1.6732789109,BRCA
GSM481008,-0.1282696023,-0.1384162979,0.5762742963,1.6606386056,0.2216728650,-0.1094857648,1.0892350491,0.1321390251,0.7862090041,0.3341018707,0.9101411729,0.2370416751,-0.0200022740,-0.0412420489,0.0005778567,0.1904436837,0.6097803118,0.8306934164,-0.2266909414,-0.0999436178,-0.1006935105,0.2321079611,0.3780345452,-0.1655617364,0.9020165747,1.0231049003,0.0843056362,0.2844155535,0.5394916288,0.1819105198,-0.3722561604,0.0002120643,0.7522004461,0.0708479579,1.6300939473,1.0828857531,Control
GSM481009,-0.1279755102,-0.1470409310,0.6379877187,0.9712759356,-0.0564521027,-0.1608399781,0.4939206066,0.0385478688,0.8210918667,0.1640066558,0.7805942577,0.3355132559,-0.0609687296,-0.0986701912,0.0330509054,0.7115562673,0.3624271641,0.2958054108,-0.2647203853,-0.1702896469,-0.2073602764,0.1460950902,0.2541130532,-0.1714697028,0.1325173036,0.2427701615,0.4328454778,0.3713083595,0.4242561069,0.0227146558,-0.6643026724,-0.2033955997,0.2263547377,-0.2174388969,1.9305448829,-0.0235125757,Control
GSM481010,-0.0226071112,-0.0996137418,0.7343420027,1.1539768628,0.0349261348,-0.1057541137,0.9262991083,0.0640800452,0.8908152391,0.3659622770,0.9022467363,0.4452114158,-0.0360723644,-0.0379421383,0.0794134685,3.9938683511,0.7186442502,0.8053381232,0.2993266869,-0.1148613955,-0.0857669264,0.2930476211,0.5448883692,-0.0757965939,0.4001078805,1.3532863502,0.2637763904,0.8614470834,0.3878838463,0.0146999015,-0.2394890915,-0.0026645693,0.5297393522,-0.1005245223,1.3638367690,1.0051207460,Control
GSM481011,-0.1866259608,-0.1564437010,0.4369135557,1.9777225687,-0.0415099549,-0.0928561389,0.8232649406,0.0466596353,0.8069588682,0.0845517101,0.4172786938,0.5058849859,-0.0245632083,-0.0960780908,0.1048317494,3.0526573128,0.1393381451,0.3935549524,0.0706148102,-0.0679235769,-0.0587262690,0.1093626780,0.1588936072,-0.1570887051,0.5330254723,0.6447139097,0.7929640099,0.3925923205,0.3245543128,0.0255259021,-0.3263226391,-0.0613471039,0.4226314719,-0.1511017028,1.7838169449,0.5206437673,Control
