@relation data

@attribute id string
@attribute 2 numeric
@attribute 2147 numeric
@attribute 2152 numeric
@attribute 2153 numeric
@attribute 2155 numeric
@attribute 2157 numeric
@attribute 2158 numeric
@attribute 2159 numeric
@attribute 2160 numeric
@attribute 2161 numeric
@attribute 2162 numeric
@attribute 2165 numeric
@attribute 2243 numeric
@attribute 2244 numeric
@attribute 2266 numeric
@attribute 2811 numeric
@attribute 2814 numeric
@attribute 2815 numeric
@attribute 3818 numeric
@attribute 3827 numeric
@attribute 462 numeric
@attribute 5196 numeric
@attribute 5197 numeric
@attribute 5547 numeric
@attribute 5624 numeric
@attribute 5627 numeric
@attribute 7035 numeric
@attribute 7056 numeric
@attribute 708 numeric
@attribute 710 numeric
@attribute 7450 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.4645407777,-0.2142724890,3.0435899198,-0.0866935346,0.1535949936,0.5566458218,-0.0741020797,0.0790933834,-0.0542673786,0.0789735176,-0.0875431200,-0.1271836391,-0.1337402769,-0.1338066185,-0.0093080291,-0.0043751488,-0.0406000489,-0.0861794051,-0.0070860874,-0.1738876365,-0.1680546724,0.1091476778,-0.3008643703,1.1235880779,-0.0862982028,0.8072675267,0.1702335060,0.0816427182,1.2858386380,2.5686144829,-0.1216605016,BRCA
GSM481003,0.2761680131,-0.1989544242,3.9650098980,-0.0665179614,0.1492757412,0.4292866794,-0.0734942316,-0.1726447477,-0.0738811379,0.1476218575,-0.0702441079,-0.2365634114,-0.1309632186,-0.1040900125,-0.0739448218,-0.0949003638,-0.0896677458,-0.0021249864,0.0040477288,-0.1400248674,-0.0969603606,0.1806614782,-0.1891365862,1.0953792680,0.0082387743,0.9846078753,0.1367581755,0.6744190734,1.3795566984,3.2780293228,-0.0564617124,BRCA
GSM481004,0.1296651321,-0.2138664767,2.7758959231,-0.0565917602,0.1358974684,0.6703320410,-0.1117864704,0.2527443980,-0.0543123309,-0.0396741260,-0.0673217343,-0.1674263830,-0.1464092568,-0.0766112734,-0.0318216407,0.0045433962,-0.1348937088,-0.0530676909,-0.0144551479,-0.0944272071,-0.1198663063,0.2221729152,-0.2473456727,1.2847441019,-0.0346012884,0.3461685877,0.3226887187,0.1544832262,1.4445761697,3.5516616703,-0.0955179574,BRCA
GSM481005,0.0278951197,-0.1704830490,3.8741149901,-0.0860241149,0.1933744023,0.6897307700,-0.0474237631,0.3290643361,-0.0795164588,0.0588872235,-0.1416255637,-0.1650039690,-0.0965031531,-0.1340541364,-0.0281883657,-0.0144689013,-0.1195217273,0.0674180773,-0.0182823540,-0.1586266170,-0.0403542754,0.1842067655,-0.2400857889,1.2047691623,-0.0004546204,0.7783004943,0.3920221229,-0.0252987838,1.0069958229,2.6770744622,-0.1155557907,BRCA
GSM481006,0.6220273757,-0.1301296197,3.8182024360,-0.0879177564,0.1643462334,0.1638039517,-0.0637336402,0.0309310308,-0.0414585186,-0.0391702529,-0.1140688804,-0.1115902816,-0.1302992665,-0.1443073794,-0.1003913861,-0.0477597213,-0.1565462959,0.0308713989,-0.0594451416,-0.1837447037,-0.1282146232,-0.0769754833,-0.1285745370,1.0936471711,0.0351855483,1.4401814540,0.2873042166,0.1641940695,1.4555999553,2.7402597070,-0.1247078772,BRCA
GSM481007,0.7984659650,-0.1632449288,3.4181582333,-0.0393462078,0.2002588620,0.4013965693,-0.0085522266,-0.0875779132,-0.0342083122,0.2061604179,0.0009496239,-0.0394665193,-0.1447376906,-0.1059853564,-0.0382484025,-0.0935247757,-0.1086405012,0.0521081630,-0.0406304986,-0.0807936243,-0.1216097282,0.3249432327,-0.1762339041,1.0246073857,0.0237651202,1.5416547460,0.3863173673,1.5858072854,1.5167589783,3.1435187460,-0.1394139307,BRCA
GSM481008,0.0286161591,-0.2231113640,2.8084857464,-0.0864305712,0.1799827219,-0.0131002633,-0.1140136234,0.0479678588,-0.0712681292,0.1720886901,-0.0900205340,-0.1829959504,-0.1204742205,-0.1344527091,-0.0526968611,-0.0797181074,-0.1069575390,-0.0270064181,0.2049258366,-0.1765786447,-0.1023613446,0.1463205170,-0.1725571512,0.9807524849,-0.0028021964,0.5202826657,0.3685044816,0.5861314064,1.4657420856,2.1577272861,-0.1273354423,Control
GSM481009,0.3842784293,-0.4358481598,2.8758726865,0.0197437958,-0.0040985722,0.2860152457,-0.0466576202,-0.1922885743,-0.0812437220,-0.1068390806,-0.0627613166,-0.2426962286,-0.1098639981,-0.2159782159,-0.0546535244,-0.1460126650,-0.0997905679,-0.2185989576,-0.0298514851,-0.2414583511,-0.1630123932,0.0021183130,-0.2110363509,1.3106612975,-0.0922327613,1.3519374330,0.2730445641,0.0175878518,1.0266152536,2.7209667714,-0.1074922367,Control
GSM481010,0.3918815686,-0.1824565928,3.6776261330,-0.0611192310,0.0489570901,0.6662855313,-0.0852843152,0.0310692733,-0.0837119310,0.0790899341,-0.0993298349,-0.0716798764,-0.0944624883,-0.0999778244,-0.0886922837,-0.0371436307,-0.1408410529,-0.0039206772,0.0028805460,-0.1341905826,-0.0682744242,-0.0602959712,-0.1180106603,1.1494959591,0.0426389943,1.3907128177,0.2736909526,0.4620715427,1.2495152696,2.9375846386,-0.1035027482,Control
GSM481011,0.1401442280,-0.2587490313,3.0998025535,-0.0398322448,0.1971386693,0.2102956519,0.0229962496,0.3018793699,-0.0467443336,0.0760712976,-0.0030264426,-0.1543174377,-0.0686773083,-0.1072986642,0.0151894431,0.0623097229,-0.0616845063,-0.0663560761,0.0705949405,-0.1127771261,-0.1119110086,0.2238506452,-0.2218957481,0.9379644302,0.0296908381,0.7485146323,0.1592430550,0.1256905148,1.6501442196,2.9404304921,-0.0901307791,Control
