@relation data

@attribute id string
@attribute 10092 numeric
@attribute 10093 numeric
@attribute 10094 numeric
@attribute 10095 numeric
@attribute 10109 numeric
@attribute 10376 numeric
@attribute 10382 numeric
@attribute 10552 numeric
@attribute 10971 numeric
@attribute 1499 numeric
@attribute 2017 numeric
@attribute 23643 numeric
@attribute 25 numeric
@attribute 2534 numeric
@attribute 3059 numeric
@attribute 347733 numeric
@attribute 3688 numeric
@attribute 387 numeric
@attribute 4690 numeric
@attribute 4691 numeric
@attribute 51807 numeric
@attribute 5578 numeric
@attribute 60 numeric
@attribute 6093 numeric
@attribute 7099 numeric
@attribute 71 numeric
@attribute 7100 numeric
@attribute 7277 numeric
@attribute 7280 numeric
@attribute 7430 numeric
@attribute 7454 numeric
@attribute 7846 numeric
@attribute 79861 numeric
@attribute 81027 numeric
@attribute 81873 numeric
@attribute 8440 numeric
@attribute 84617 numeric
@attribute 84790 numeric
@attribute 8976 numeric
@attribute 9076 numeric
@attribute 9181 numeric
@attribute 929 numeric
@attribute 9475 numeric
@attribute 998 numeric
@attribute 999 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.9751214635,1.2907157965,0.5244563123,1.5867199621,2.8436637177,3.5677944721,-0.0288186261,0.3531793888,0.8977078460,0.9433099893,1.0969083535,0.5479991188,0.9042891934,-0.0119043016,-0.0710025411,-0.1147711529,0.1778868698,1.9894220193,0.9588077316,0.0541617910,-0.0282087656,0.1474579691,1.9831620881,0.0312767470,0.2804396783,3.6226621756,0.1770994936,3.1889888843,1.5196827501,1.1512382553,-0.0741785883,1.0409866323,-0.0569226356,0.1749654713,1.8347381164,0.5084218903,2.5167173297,2.7598084610,0.4649006747,0.9160380667,0.7482905053,0.2275129454,-0.0796944764,0.2693405723,1.3886794052,BRCA
GSM480985,1.0272401371,1.1067713158,0.5732741457,1.6069333000,2.9516806101,2.9900873900,-0.0281715110,0.1008026750,0.7658785862,1.1109306672,1.3267131607,1.5010899506,0.9337296339,0.0315317513,-0.1895119527,0.0463002470,0.1802411383,1.8852531751,0.9287990430,-0.0879698579,-0.0824546233,0.0900841358,1.6668235234,0.0755929606,0.4057916362,3.7874552336,0.7727030019,2.0826565823,1.4011247753,0.9221977132,-0.0303147019,1.6489416735,-0.1317157095,-0.0238171754,1.3824969200,0.5190573038,2.2343913019,1.8683165313,0.4061208683,1.2613686594,0.6650590904,1.7338282930,-0.0687286226,0.2437138550,1.4782442701,BRCA
GSM480986,1.0369777065,1.3242895658,0.4500165483,1.7298441104,2.9771253685,3.6290852429,-0.1273410109,0.1403650887,0.8961630866,0.9477347201,1.2222025654,0.7871840811,1.1216843350,0.0265829566,-0.0912023070,0.0904222927,0.1151252413,2.0062507787,0.9228339706,0.0667791770,-0.0542476384,0.1559347632,1.5463190164,0.0069230790,0.4525440362,3.6462782948,0.3579530970,3.3673881293,2.3142127692,1.1594486352,0.0055816652,2.1572514423,-0.1171294084,0.0469522432,1.7279398748,0.4703850285,2.9359630049,2.7302273117,0.5008925419,1.0621557547,0.5656618335,0.6535826392,-0.0732849970,0.2337614380,1.5077302921,BRCA
GSM480987,1.1333517751,1.2309567956,0.1156233700,1.5764409899,2.9744973120,3.8779773713,-0.0967372320,0.1663671416,0.9140171910,0.7213038760,1.0027113283,2.5712111392,1.5226221382,0.6367091207,0.1628338341,0.2624565111,0.0755187708,1.8972162525,0.7341811885,-0.0278873117,-0.0531463313,0.0835026311,1.5882334240,0.0234027272,0.0066104551,3.9579671080,-0.0070557828,2.0744834742,2.1789668797,0.4655438224,-0.0223641238,1.7745512115,-0.1908386909,-0.0339778409,1.3605044112,0.3914669100,3.1207731665,2.8983338673,0.3895272783,0.0752644180,1.0064479825,0.3220012047,-0.0519221399,0.2226472523,0.2715312235,BRCA
GSM480988,0.8304234285,0.9036093253,0.5647135377,1.3372307239,3.1602388557,3.6357552707,-0.0555671919,0.4930069433,0.7300454369,0.8318137222,0.8052762550,0.6935721967,0.6879575644,-0.0273392516,-0.1584126674,-0.1536180349,0.1863922891,1.6231118301,0.8401416463,0.0830968634,-0.0758860412,0.0817065693,0.7069784941,0.0022991031,0.2433668587,4.0240748362,0.6749984970,2.3828095992,0.9475924223,0.8716937261,-0.0711560368,1.3547277352,0.1478674044,0.0089429839,1.3172917818,0.4398411243,3.1870181559,2.2334888377,0.3321739982,0.9884170632,0.3987811088,1.4099554420,-0.0317350667,0.1930281139,1.3151372973,BRCA
GSM480989,1.1175295861,1.6229146714,0.1993986853,1.9431703219,2.9368284626,3.9679495991,-0.0745764695,0.4762577245,0.9536321424,0.9154817797,1.2786269750,0.2856450367,1.0702178031,-0.0600568494,-0.2386126234,-0.2077306161,0.1971728543,2.4842128198,0.5486960764,0.0108723054,-0.1717131852,0.0811992555,2.0641681383,0.0616616788,0.0364966773,4.1692070311,0.2649862817,3.2218457460,2.1405493169,1.0949466428,-0.0050318572,1.8233566558,0.0594580001,0.0111560755,1.4754262422,0.2460107125,3.1582303641,3.0880829493,0.3012315244,0.6196880026,0.7482872327,1.6581963303,-0.1349797046,0.2852107126,1.6750301521,BRCA
GSM480990,1.0308022884,1.6489289941,0.1897008320,1.7799851470,2.9954248854,3.9524556995,-0.1039107214,0.3831894712,0.8753826609,0.8344820888,1.1622392084,1.1568122738,1.5833527296,0.2139598701,-0.1336939865,-0.1810454370,0.2156330049,2.3151370526,0.6484077813,-0.0715988301,-0.0585756781,0.1371517299,2.1704076527,0.0384436129,-0.0570322130,4.4571284381,0.1183544428,3.3529577652,2.4611301571,1.0952914435,0.0013626597,2.1147120445,0.0293492060,-0.0739787453,1.4980557931,0.4045072549,3.6820357441,3.4625004133,0.3934687308,0.7622464742,0.7746485568,0.3180846662,-0.1541326487,0.1617002876,1.5135529946,Control
GSM480991,1.0441722769,1.3941545520,0.4321628213,1.7795293521,3.0513134127,3.6764880718,-0.0661357046,0.2882334251,0.8124476158,0.9456861730,1.3825492637,1.4321441188,1.0545568875,0.0233230338,-0.1473514253,-0.1448598598,0.1428165244,2.0687043151,0.7775347619,0.0121873620,-0.0153409640,0.0569693500,1.9666513886,0.0374511476,0.4451607267,4.1061814696,0.3740755329,3.3572398025,2.8633571865,1.1938635013,0.0026141801,2.0409953010,0.0275098169,-0.0545980870,1.6374589102,0.4099016467,3.0831251144,2.8621352510,0.4812086169,0.9921294030,0.6429997678,1.0660070778,-0.0669590193,0.2150321878,1.6498906129,Control
GSM480992,0.7745148400,1.6096110390,0.3520388107,2.0880438601,2.7628054808,4.1254810095,-0.0343264374,0.4360318240,0.9112154756,0.7282237562,1.2528244930,0.4399935394,1.5234704019,0.0886958316,-0.1284844060,-0.1868083268,0.0501170250,2.4234709023,0.6407662356,0.0462171717,-0.0314552064,0.1225340664,2.2779652900,-0.0010797481,0.0764855271,4.3697378854,0.1607514701,3.2449410757,2.3608634324,1.1596170110,0.0179363688,1.7412350228,0.0315729241,-0.0133145689,1.4129559661,0.4004930503,3.1250588000,3.1366379260,0.4017187652,0.7065502705,0.8432679789,0.3765023723,-0.1714860920,0.2135051408,1.6639675334,Control
GSM480993,0.9704561908,1.4572474950,0.2957484473,1.8581107130,2.8621364141,3.9864991905,-0.0837569483,0.1319749791,1.0168038179,0.8789024687,1.1893692988,0.5330377602,1.2434106319,0.0776393937,-0.1825984492,0.3069863683,0.0346996909,2.1975401044,0.6903401651,0.0620495250,0.0246895630,0.1051260916,1.8648449523,0.0340418489,0.3591011205,3.9780380943,0.2542896463,3.1192307073,1.7732203454,1.1485373087,0.0145993035,1.8450391043,-0.1029275539,-0.0202608891,1.6365554030,0.4365587016,2.9417669772,2.7925616103,0.3928130415,0.8749618310,0.7187899938,1.0850217011,-0.1117413986,0.2080415856,1.5387369182,Control
