@relation data

@attribute id string
@attribute 1173 numeric
@attribute 1211 numeric
@attribute 1212 numeric
@attribute 1213 numeric
@attribute 1601 numeric
@attribute 1759 numeric
@attribute 1785 numeric
@attribute 4646 numeric
@attribute 8218 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,1.1524037090,1.1994170448,1.1314834352,0.9762964896,0.2276446575,0.0314233159,0.3430034544,1.8432836640,0.2304289394,BRCA
GSM480985,1.0972410342,1.0686403018,0.6391484147,0.9761699387,0.6635565944,0.0974047546,0.3140053197,2.2744193030,0.3611563333,BRCA
GSM480986,1.3037325410,1.1128240418,1.0619463432,0.9186360455,0.3954432007,0.0649218277,0.4156449989,1.8071364569,0.3196731228,BRCA
GSM480987,1.3146498003,1.1973683200,0.3991383267,0.8633190452,0.6041617343,0.1174163474,0.1814545716,0.8569654733,0.7448681519,BRCA
GSM480988,0.9602763783,0.9692984145,0.4196553928,0.8550069128,0.2686327447,0.1270690214,0.3676225796,2.1805479097,0.2309859506,BRCA
GSM480989,1.5578947200,1.1803665832,1.1025918848,0.7178036943,0.2869442466,0.1480599701,0.4657025909,1.5394107586,0.2098831874,BRCA
GSM480990,1.2710338862,1.1604397012,1.1913729861,0.8432761808,0.2509144175,0.0108983677,0.3704887947,1.4622726395,0.6899175100,Control
GSM480991,1.3845505780,1.2246226268,1.3150380452,0.7870749709,0.3816927376,-0.0304844107,0.5611051288,1.8450772846,0.2873288737,Control
GSM480992,1.4126932023,1.1392125174,1.3967628189,0.8327260339,0.3124631203,0.2187094707,0.6633116213,1.5374248025,0.4589779524,Control
GSM480993,1.3460859921,1.0328274289,0.9267996791,0.8213512268,0.3141446731,0.1785747940,0.5442133550,1.6948885482,0.2601383731,Control
GSM480994,1.4332672092,1.1190751405,0.9785580425,0.7921578592,0.1802206882,0.2759000234,0.5377672456,1.8001716172,0.2477712922,Control
GSM480995,1.3171184361,1.2589201813,1.5734881072,0.7793848155,0.6311476594,0.1798400879,0.2703164377,1.6931350804,0.7012006779,Control
GSM480996,1.4991002480,1.2931714031,1.7760409875,0.7759974569,0.1660598506,0.0183154647,0.3884902927,1.5020149222,0.6796560428,BRCA
GSM480997,2.2757270734,1.2905717412,0.7617910369,0.7301285175,1.6643950120,0.2141915634,0.3683845813,0.7624428238,0.5085333284,BRCA
GSM480998,1.4654236370,1.4404902884,1.5634119173,0.7862253171,0.2282016170,0.0715907487,0.4688137264,1.4025192582,0.2200904438,BRCA
GSM480999,1.4223633474,1.2798920497,0.9961839209,0.9399712366,0.5253250666,0.0639336156,0.3235512768,2.2034247161,0.5084614776,BRCA
GSM481000,1.2093319298,1.1273117829,1.2711763718,0.9097118047,0.3380505433,0.0214712497,0.3571763667,2.1394987083,0.4347532946,BRCA
GSM481001,1.2872680923,1.2608233331,1.6851082751,0.9479031126,0.6645765821,-0.1226283940,0.2104304410,2.0445574820,0.5253013959,BRCA
