@relation data

@attribute id string
@attribute 10454 numeric
@attribute 1387 numeric
@attribute 2033 numeric
@attribute 324 numeric
@attribute 4087 numeric
@attribute 4088 numeric
@attribute 4089 numeric
@attribute 4092 numeric
@attribute 5595 numeric
@attribute 5604 numeric
@attribute 6498 numeric
@attribute 6885 numeric
@attribute 7040 numeric
@attribute 7042 numeric
@attribute 7043 numeric
@attribute 7046 numeric
@attribute 7048 numeric
@attribute 9372 numeric
@attribute 999 numeric
@attribute Class {Control,BRCA}

@data
GSM427158,6.76556701167,9.174412855,9.886672502,4.172021977,6.170533443,10.68629503,11.0532575,8.020993819,11.634256725,10.49127719,5.340273351,9.487800372,5.682300273,6.78103548,9.289875449,6.451380618,11.1277065827,6.50467181975,12.00989343,Control
GSM427159,6.67949367567,9.719195242,10.41990782,5.814301269,6.372627633,10.45921159,10.8409276,6.874066659,11.27623323,9.559434991,4.886379008,9.4310771815,5.101199635,6.166218956,9.578863787,6.425850025,10.8486273113,5.884258418,12.20475003,BRCA
GSM427160,7.13302304567,9.441990946,9.740911174,5.788040457,6.60179747,10.2807653,11.02832761,7.3666631265,11.198356615,9.65317699,4.708944929,8.9013859115,5.014814152,5.995434345,9.330514214,6.18913825,10.3325384797,6.2420233145,12.80365393,BRCA
GSM427162,7.27747024367,9.0089772035,9.510601559,5.072117861,6.7426452755,10.1682337,10.65863127,6.9710928515,11.274247985,9.580847928,5.009816606,8.417672848,4.808914358,5.797150007,10.06419075,5.673352364,9.576518828,5.95039492675,12.55838012,Control
GSM427163,6.68095800667,9.6688997565,10.27748534,5.687908393,6.7719424625,9.769929197,11.06244102,7.680109502,11.21839075,9.966174165,4.815815317,9.2133861525,4.828848945,6.737352562,9.272076349,6.53056679,10.893048167,5.8131269045,12.44726543,BRCA
GSM427164,6.273083892,9.509274839,9.934575887,5.770572224,6.996606232,10.22471354,11.60575973,7.8158328445,11.07534033,10.23164154,5.348731978,9.9163703245,5.321216715,7.238598499,9.540317507,6.537921615,11.242027743,6.6184581815,13.02343475,BRCA
GSM427165,6.779059113,9.006275549,10.17277787,5.801553978,6.786368352,10.43082915,10.12003731,6.7548444665,11.151396135,8.977681421,5.4404011985,8.575344218,4.73770262,6.518854253,11.79415195,7.387675143,10.2865973123,6.09198690775,11.40859261,BRCA
GSM427166,7.020737198,8.7304792815,9.744439113,6.180461809,6.47982421,10.42491714,10.90767581,7.370300644,11.40345044,10.00443156,5.2492523215,8.9471097785,5.167931151,7.822174254,10.56613044,6.018039483,10.851322655,6.40859148925,12.40979539,Control
GSM427167,6.649348596,9.1075112315,9.125801619,5.838328613,6.895004248,10.30035288,11.18856429,7.417844963,10.99057863,9.452231522,5.0143415655,9.204869818,5.46083367,6.303694572,9.938499406,6.385953509,10.487156052,6.235374841,12.47414328,BRCA
GSM427169,7.04562845567,9.532397347,9.827664684,4.883390185,6.7272770485,10.53162541,10.84298691,7.0915813315,11.551814785,9.69476318,5.357450635,8.9430429875,5.062004299,6.274406692,9.642061229,6.276734513,10.2302503277,5.96169079875,12.68293541,BRCA
GSM427170,6.73906535867,8.6873024975,8.279449386,5.8736971,6.421738015,10.87489706,10.75143132,7.2192229175,11.573459625,9.736317839,4.36568843,8.596587527,6.147057976,5.609704182,10.31728008,6.183690582,10.3983485903,5.6229262635,11.4210814,BRCA
GSM427171,6.67560015067,9.023964326,9.378501395,5.697670451,6.454770335,10.17969799,11.09442761,7.5142450375,11.32136754,9.990983614,5.10308021,9.0816140535,5.382071697,7.247787805,9.979768545,6.995289824,10.9433576167,6.298464707,12.1857598,Control
GSM427172,6.53137599367,8.87704806,9.675384217,5.394901009,6.5529715385,10.27293332,10.65306923,7.373551244,11.488573795,10.29596436,5.20307571,9.1999885685,5.502084908,7.420152085,9.655880007,6.460910954,10.957163474,6.598984357,11.91354778,Control
GSM427178,7.05252053933,8.924929238,9.604664936,5.915766617,6.1525984655,10.40859541,10.79459886,7.043230672,11.695521545,10.01433476,5.091204545,8.733092931,5.115003321,7.131628387,10.35287964,6.352798794,10.7426136877,5.90755464775,13.00161496,BRCA
GSM427181,7.01209387333,8.787588937,9.80990119,6.201639374,6.874519166,10.55937736,10.92510768,6.7708678745,11.206231375,9.712540381,5.0937158255,9.2660120735,4.924350826,7.112546695,11.69149721,6.43304759,10.852317469,6.03675135275,13.08801473,BRCA
GSM427182,7.22201205233,8.856661681,9.987029866,5.650485447,6.627057127,10.55420777,10.7377039,7.0819860465,11.49634678,9.812386363,5.0398232015,8.692934023,5.605710071,6.735729052,10.24482795,6.665126693,10.211321263,5.555252801,13.41290062,BRCA
GSM427183,7.39735229933,9.171450661,9.985543523,5.742822246,6.402383265,10.66841992,10.63715491,7.349938213,11.796022585,9.916141133,5.155894547,8.4734774435,5.66449084,7.229566594,10.86671119,6.174232248,9.906558606,6.0233210635,13.38809538,BRCA
GSM427187,7.19601476967,8.4836949415,9.618225404,5.127954352,6.587465623,10.44034522,10.67427198,7.202597889,11.46459896,10.0322459,5.0387655445,8.580432115,5.37574431,6.535085305,10.95634187,6.817882628,10.012841776,5.7427537585,13.18229429,BRCA
GSM427189,7.43260419933,8.813489955,9.505712886,5.838328613,6.5239716815,10.53098201,10.66574031,7.2776412805,11.5411915,9.833428205,5.4078784375,8.5357374825,5.19062597,6.862206886,10.24378721,6.449607283,10.0676639323,5.9397288265,13.54762602,BRCA
