@relation data

@attribute id string
@attribute 10252 numeric
@attribute 10253 numeric
@attribute 1950 numeric
@attribute 1956 numeric
@attribute 2885 numeric
@attribute 3265 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5787 numeric
@attribute 5894 numeric
@attribute 5921 numeric
@attribute 6464 numeric
@attribute 6654 numeric
@attribute 6714 numeric
@attribute 81848 numeric
@attribute 867 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,1.1359684600,2.2701795099,0.6516626943,0.4345339728,1.3452941188,1.0380567778,0.5276523813,0.4586358647,0.0751154200,0.6409841057,1.2399614989,1.9096234484,0.1797246685,-0.0230143287,0.7317033297,0.7630263184,BRCA
GSM480985,1.2557715907,2.3719736337,1.2256539837,0.3325850749,1.1583383579,0.5481084954,0.4521202200,0.5649788797,-0.0672678714,0.6127393824,1.6289936866,1.9413004944,0.2011654340,-0.0673303304,0.7427031525,0.7087613307,BRCA
GSM480986,1.0681005849,2.1087622941,0.4262836435,0.3517915079,1.5127595663,0.9493732134,0.5276161861,0.5706250406,-0.0223345110,0.4839221177,1.0477451485,2.0243224118,0.0952468054,-0.0464315283,0.4312698930,0.8078009443,BRCA
GSM480987,1.7373384371,2.1647406519,0.0239258781,0.1587947994,1.4599798470,0.6616964770,0.4570317386,0.5260457562,-0.0783958769,0.3882937707,0.3419302189,1.9975022057,0.0700896732,-0.0569087189,1.0222625416,0.7409817061,BRCA
GSM480988,1.1552376582,2.5197315813,0.3245137288,0.1726689534,1.6300611323,0.4589619954,0.4923907940,0.4829891018,0.0802593522,0.4704262694,1.0833758790,1.9610705971,0.0896705153,-0.0468429086,0.4065427982,0.4814720558,BRCA
GSM480989,1.3046960963,2.5367766025,0.6720767098,0.2135165615,1.6843677122,1.1103506463,0.4168803811,0.8519349658,0.0223211327,0.4437155496,0.8259597769,1.9755967301,-0.0037837656,-0.0013073004,0.6021741591,0.6836835075,BRCA
GSM480990,1.2524625197,1.6899454894,0.0702140510,0.2635990058,1.6475978081,1.1067612915,0.4040678319,0.5468216389,-0.0724993687,0.3387474729,0.7633490191,2.5765053460,0.0120991491,0.0237829644,0.9514175654,0.8951952839,Control
GSM480991,1.1825472382,2.3307160436,0.8736306505,0.2092083807,1.5652074934,0.9763167946,0.5071865046,0.6482640730,-0.0456426045,0.3654298311,0.9700415278,2.1101571236,0.0441448208,-0.0323408361,0.5184801878,0.7217237797,Control
GSM480992,1.1509911683,1.7693271637,0.1679068491,0.2100246319,1.5792976092,1.1827308424,0.4130200728,0.9082788116,-0.0494922123,0.3105769333,0.8188718937,2.4270785623,0.0183351703,0.0106290712,0.5617521856,1.0327716594,Control
GSM480993,1.5029125081,2.6962481439,0.4212769849,0.2942363708,1.5582134934,0.9945207685,0.4741801064,0.7940912880,-0.0143401860,0.3602931440,0.8916519929,2.0765592329,0.0562111053,-0.0135325677,0.6115134534,0.8985952735,Control
GSM480994,0.9305941928,2.5495688619,0.5657964832,0.1903169752,1.5295505913,0.9641585409,0.4017414163,0.8330526240,-0.0656114369,0.2916244940,0.9803039506,2.2287481896,0.0193436113,-0.0187703867,0.5183130452,0.9137262698,Control
GSM480995,1.3205341896,2.3037258088,1.1379546598,0.5217593632,1.6341215260,1.0583383925,0.5249027839,0.4630933479,-0.0515323686,0.4126590016,0.7857976350,1.9173598417,0.1126998567,-0.0279171207,1.2872081469,1.0087489421,Control
GSM480996,1.2945235239,2.4033799618,0.1915650606,0.4382426251,1.6202940312,1.5339100845,0.5563891964,0.5709639528,-0.0791077094,0.4680346772,0.5240451451,2.5355423434,0.0632607096,0.0263584877,1.0021503270,0.8762593415,BRCA
GSM480997,2.3522741928,1.6724025159,0.3133909763,0.2648860105,1.6077907556,1.0607690384,0.4731658620,1.1649881211,-0.0351116934,0.3204180677,0.2931526180,2.4039788969,0.0117709752,-0.0008275386,1.2227433341,0.4182032592,BRCA
GSM480998,0.7286959688,2.3817692848,0.4491573981,0.2039249242,1.8111653313,1.3928146588,0.5020119320,0.7742886320,-0.0413207266,0.4395502677,0.9516024165,1.8797799985,0.1207393635,0.0090813116,0.1665634880,0.4945664398,BRCA
GSM480999,0.8863070939,2.3659932464,0.6780377738,0.4440171438,1.3847289206,0.6999813840,0.5291442982,0.5399878732,0.0763431445,0.5582407979,1.3119704855,1.7322489747,0.2268848883,-0.0673263892,0.6866178625,0.7830939889,BRCA
GSM481000,0.7862644229,2.0552966297,1.1900375411,0.2628517869,1.4343370085,0.8529196009,0.5257301268,0.5414116234,0.0627005729,0.6487222089,1.2216487801,1.4051200598,0.1196501524,-0.0261117631,0.5590011602,0.5314374342,BRCA
GSM481001,0.5668763054,2.3386195600,0.9539825245,0.6662413150,1.4455331878,0.8871232791,0.5172970049,0.4539386201,-0.0547936107,0.3988278703,1.2780027643,1.7989016441,0.1188062851,0.0263371471,0.7559706688,0.8807484680,BRCA
