@relation data

@attribute id string
@attribute 2194 numeric
@attribute 27349 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 54995 numeric
@attribute 55301 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,-0.1038044322,0.3698564209,0.2509364644,0.5454295677,0.5007078164,-0.0121807131,BRCA
GSM481003,-0.0542369777,0.6505909934,0.2049212657,0.4951688154,0.1150970093,0.0445007476,BRCA
GSM481004,-0.0229330522,0.6203521900,0.2336806176,0.3831295607,0.2862282114,-0.0034815484,BRCA
GSM481005,-0.1464191222,0.3148061680,0.2023640250,0.3915433800,0.3312340120,0.0142469296,BRCA
GSM481006,-0.1604232449,0.5177443809,0.1110831791,0.3236960775,0.4385902732,0.0011667615,BRCA
GSM481007,-0.0638570730,0.7509693579,0.1825923061,0.2606072952,0.3908907324,0.0004417893,BRCA
GSM481008,-0.0683338992,0.6818335522,0.2898866295,0.2611185363,0.4466965496,0.0095553662,Control
GSM481009,-0.2502843386,0.2430991670,0.1241208093,0.1901511919,0.2859392101,-0.0371600709,Control
GSM481010,-0.1378316058,0.5129803177,0.2685949191,0.3207502764,0.5045351945,0.0300544038,Control
GSM481011,-0.1005235003,0.8939202824,0.1032028885,0.3888245764,-0.0345597681,0.0880838891,Control
GSM481012,0.0066547121,0.6015981542,0.2342247238,0.5939679487,0.3742927032,0.0360278270,Control
GSM481013,0.0397925843,0.8585161399,0.3287085127,0.0453373945,0.1313390391,0.0124066724,Control
GSM481014,0.0253950783,0.5376199316,0.0881132095,0.3434606067,0.7358116470,0.0436198381,BRCA
GSM481015,-0.0710095618,0.6422191784,0.2559103281,0.2499248164,0.0670430562,-0.0113287263,BRCA
GSM481016,-0.1342570951,0.4536427023,0.2522666414,0.2671394169,0.4419969124,0.1077670400,BRCA
GSM481017,-0.1141333132,0.1670431863,0.2073133687,0.3263063460,0.6894143595,-0.0247033662,BRCA
GSM481018,-0.0894246434,0.7510867716,0.2502384817,0.7954416974,0.3033925704,-0.0089067530,BRCA
GSM481019,-0.1145142813,0.7671321165,0.2465295045,0.3463139560,0.3718774803,0.1050732024,BRCA
