@relation data

@attribute id string
@attribute 10451 numeric
@attribute 10725 numeric
@attribute 10870 numeric
@attribute 11261 numeric
@attribute 117157 numeric
@attribute 135250 numeric
@attribute 1437 numeric
@attribute 2185 numeric
@attribute 2207 numeric
@attribute 22914 numeric
@attribute 23533 numeric
@attribute 2534 numeric
@attribute 25759 numeric
@attribute 259197 numeric
@attribute 27040 numeric
@attribute 2885 numeric
@attribute 3002 numeric
@attribute 3105 numeric
@attribute 3106 numeric
@attribute 3107 numeric
@attribute 3133 numeric
@attribute 3135 numeric
@attribute 3265 numeric
@attribute 3383 numeric
@attribute 3384 numeric
@attribute 3440 numeric
@attribute 3442 numeric
@attribute 3443 numeric
@attribute 3445 numeric
@attribute 3454 numeric
@attribute 3455 numeric
@attribute 3456 numeric
@attribute 3458 numeric
@attribute 3459 numeric
@attribute 3460 numeric
@attribute 355 numeric
@attribute 356 numeric
@attribute 3683 numeric
@attribute 3689 numeric
@attribute 369 numeric
@attribute 3805 numeric
@attribute 3812 numeric
@attribute 3823 numeric
@attribute 3824 numeric
@attribute 3845 numeric
@attribute 3932 numeric
@attribute 3937 numeric
@attribute 399694 numeric
@attribute 4068 numeric
@attribute 4277 numeric
@attribute 4772 numeric
@attribute 4773 numeric
@attribute 4775 numeric
@attribute 4776 numeric
@attribute 4893 numeric
@attribute 5058 numeric
@attribute 51744 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 5335 numeric
@attribute 53358 numeric
@attribute 5336 numeric
@attribute 5530 numeric
@attribute 5532 numeric
@attribute 5533 numeric
@attribute 5534 numeric
@attribute 5551 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5582 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5605 numeric
@attribute 5777 numeric
@attribute 5781 numeric
@attribute 5879 numeric
@attribute 5880 numeric
@attribute 5881 numeric
@attribute 5894 numeric
@attribute 637 numeric
@attribute 63928 numeric
@attribute 6452 numeric
@attribute 6464 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 673 numeric
@attribute 6850 numeric
@attribute 7124 numeric
@attribute 7305 numeric
@attribute 7409 numeric
@attribute 7410 numeric
@attribute 7535 numeric
@attribute 79465 numeric
@attribute 80328 numeric
@attribute 836 numeric
@attribute 8503 numeric
@attribute 8743 numeric
@attribute 8793 numeric
@attribute 8794 numeric
@attribute 8795 numeric
@attribute 8797 numeric
@attribute 919 numeric
@attribute 9436 numeric
@attribute 9437 numeric
@attribute 962 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.0961183231,0.7903230373,0.0653416110,0.7714346136,-0.0621090057,-0.0925584040,-0.1695937390,0.2269297111,0.0379314159,-0.0535336546,-0.0448427393,-0.0119043016,-0.1267139237,-0.1599898626,0.1305850978,1.3452941188,-0.0980125262,1.6537600474,1.3405720888,2.1069503623,1.1231825212,0.3239665159,1.0380567778,-0.1035979016,0.0374044644,-0.1199885893,-0.0355491750,-0.0352307766,-0.1936514984,0.5704009241,0.8266974284,-0.0526817539,-0.1502639149,0.9466797090,1.8719507903,0.5622643714,-0.0677221629,-0.1629247241,0.0159100612,0.4352205655,-0.1709275341,-0.0607703884,-0.1557643050,-0.1101566781,0.4153290968,-0.0882698743,-0.1056819162,0.9685201588,-0.1257935035,0.4590627637,0.0055666104,-0.0056924950,0.2362634120,-0.1319732433,1.3243965731,0.3334267199,-0.1457313118,0.6502234032,0.0817053106,0.1255568270,-0.1624264398,0.7694715564,0.5895123826,0.5204422609,-0.0920968584,0.5526649599,1.1392389064,1.3485143633,0.9049248654,0.5655952376,-0.0737931601,0.1474579691,-0.1072664774,-0.0825690696,0.5276523813,0.4586358647,0.0778244350,0.9600990878,0.6681025633,2.7923812542,0.8595501635,-0.0037733043,0.6409841057,0.7954551236,-0.1348413536,0.3772020280,1.9096234484,0.1797246685,0.5492388602,0.3043230119,0.4766545553,-0.0286056817,-0.0403560555,0.1073409411,-0.0013073965,-0.1390153169,-0.0620411376,0.4413633247,0.4014198135,0.8580704628,0.2065734030,0.6953951515,0.0030422283,1.0897716172,1.4904231056,-0.1217983118,-0.0976864413,-0.0420115271,-0.1621915815,BRCA
GSM480985,0.5367252741,1.0138720672,0.2570980116,0.8597149872,-0.1236360265,-0.1277366974,-0.1215593730,0.3187140897,-0.0435632045,0.1197194079,-0.0263181581,0.0315317513,0.3819071553,-0.1484672952,0.1473681094,1.1583383579,-0.0900072862,2.4575460184,2.4352716603,3.1083826223,1.8947312062,0.4446605109,0.5481084954,0.5833301749,0.0934262342,-0.1568539746,-0.0688103966,-0.0579974532,-0.2161015719,0.6930642174,1.2275162233,-0.1283639223,-0.1919777421,1.6257408953,2.3712515981,0.6094995523,-0.0922413117,-0.1544825037,0.4165791678,0.4021199361,-0.1677823680,-0.0707471493,-0.1736406832,0.0011808020,0.4587173745,-0.1044245821,-0.1149276042,1.4703030177,-0.1180662523,0.9360170428,0.1157292342,-0.0120978476,0.2200896420,0.0605528395,0.8611773475,0.5376056928,-0.1930359172,0.8534231111,0.1992576002,0.3438852307,-0.1454714285,1.5476133191,0.4284647065,0.6196571301,0.0089354969,1.2582838460,1.0624773818,1.2292638585,0.8493034308,0.4722626175,-0.0413435920,0.0900841358,-0.0931613796,-0.0522140021,0.4521202200,0.5649788797,0.0538346215,0.9672667549,0.5670814931,2.9129755730,0.7016111224,-0.0928695901,0.6127393824,0.8824251903,-0.1474278699,0.4759644298,1.9413004944,0.2011654340,0.6409502427,0.3713752488,0.0235731251,0.0503361004,-0.1356768269,0.1538996255,0.0045720668,-0.1548241565,-0.1320720119,1.0082425673,0.3647103445,1.1287610356,1.4504289925,0.6583199990,0.1266051651,1.0081416080,0.9785033418,-0.1453095515,-0.1101777267,-0.0487839811,-0.1251026578,BRCA
GSM480986,0.4511935614,0.6898942973,0.2081880370,0.8397588544,-0.0962342717,-0.0862688314,-0.1289680449,0.2534925254,-0.0710671727,0.0275756286,-0.0236322101,0.0265829566,-0.0935982563,-0.1516823976,0.0857671689,1.5127595663,-0.0444491689,2.0518530268,1.2703523437,2.4764992397,1.4104321598,0.4288124712,0.9493732134,0.0910193258,-0.0188112816,-0.1459904786,-0.1096312147,-0.0646809692,-0.1664142668,0.7245968678,0.7817915348,-0.0855226764,-0.1827084002,1.0875774383,1.9573997111,0.4264019540,-0.0697262036,-0.0598317276,0.2119055211,0.4833758425,-0.1811368391,-0.0240202736,-0.1205730890,-0.0314933395,0.4106089262,-0.1338326670,-0.1009592382,1.0006550774,-0.1248284220,0.5785904991,0.1041315888,-0.0235567874,0.2269383226,-0.0942651554,1.3830056341,0.5214103467,-0.1244800238,0.3758222094,0.0859145318,0.3109857890,-0.1337267348,0.9370587028,0.9117966590,0.5424212613,-0.0258225916,0.5517398660,1.1325124873,1.4755984701,0.6729391185,0.5177595145,-0.0744782160,0.1559347632,-0.1167993353,-0.0710934066,0.5276161861,0.5706250406,0.0844743560,1.1775063474,0.6322140187,3.0052631994,1.0316260259,-0.0443309298,0.4839221177,1.1835862659,-0.1310103294,0.2345165312,2.0243224118,0.0952468054,0.4793911673,0.3954231461,0.3622629331,-0.0117659394,-0.0621800834,0.0129711927,0.0373677311,-0.1482777453,-0.0639060729,1.0063296360,0.2347654519,0.9668687962,0.6654362376,1.0325570305,0.0132687988,1.1387518238,1.4750367002,-0.1005907862,-0.0676552460,-0.0264110639,-0.1454845567,BRCA
GSM480987,-0.0624555265,0.6330583289,0.1549106194,0.6984377671,-0.0952385733,-0.0180783679,-0.1630511601,0.0220875726,0.2019710821,-0.0909626355,-0.0190172376,0.6367091207,0.0235757916,-0.1532327169,-0.0208479114,1.4599798470,-0.0959783561,1.5371368601,0.6320671228,1.8324638603,1.4748642164,0.2709267356,0.6616964770,0.0811703488,0.1063041779,-0.1097571099,-0.0948572686,-0.1676894665,-0.1128342754,0.4521056199,0.5771380468,-0.0639082647,-0.0920013336,0.8234962476,2.0126327129,0.5515944428,-0.0680922132,-0.0277132272,-0.1507511987,0.4795592507,-0.1851898127,-0.0118740331,-0.1538469326,-0.0158892594,0.2296363310,-0.0881993032,-0.1015399447,0.1082936110,-0.1050866369,1.5594181287,0.0008660925,-0.0675424514,0.0944943196,0.0560522313,1.3380605279,0.4951465396,-0.1017312399,0.4246866423,-0.0142156617,0.3279566426,-0.1022734639,0.9460729968,0.7047411791,0.7127369387,0.2858547368,-0.0047308279,0.7104099762,1.6084967972,0.9346764925,0.4873980932,-0.0917332178,0.0835026311,-0.1432857454,-0.0616863377,0.4570317386,0.5260457562,0.0511663564,-0.0128968786,0.4882750814,3.1002503070,0.6193592016,-0.0792779010,0.3882937707,1.0083390245,-0.1119046295,0.1720131299,1.9975022057,0.0700896732,0.1445394283,0.2871097813,-0.1189019291,-0.0407701192,0.0068698870,-0.1229293533,0.0506385963,-0.1381325973,-0.1509982795,0.5406175553,0.2230391835,0.1919102957,-0.0739625144,1.0335237378,-0.0741651057,1.2204825070,1.0669194671,-0.0885654808,-0.0460246452,-0.0513825910,-0.1104235774,BRCA
GSM480988,0.3249056081,0.7414473377,-0.0086648957,0.8607449488,0.0453596584,-0.1191489320,-0.1010744666,0.1364912806,-0.0183549198,-0.0626841221,-0.0933597851,-0.0273392516,-0.0450046172,-0.1410398834,0.1404316868,1.6300611323,-0.0758203932,1.8993243343,1.3362236422,2.2586958013,1.0490108484,0.3191216097,0.4589619954,0.0125506422,0.0282862249,-0.2155395465,-0.1216714709,-0.1151237102,-0.1170662931,0.7729100537,0.7013928529,-0.0499219117,-0.1157230785,0.7043497048,1.9271321595,0.2691697425,-0.0621939344,-0.0952885697,0.1527472083,0.3179003717,-0.1670038421,-0.0502397537,-0.1342143835,-0.0465752083,0.2562269165,-0.1169642382,-0.1109214428,1.2316838800,-0.0793113510,-0.2288546230,0.0363874173,-0.0324344316,0.1802544055,-0.0826837866,1.0662603861,0.4710813121,-0.1513631721,0.5025178531,0.1213094126,0.3674768847,-0.0889533257,0.6583551200,0.6638981731,0.5192004788,-0.0533301838,0.5682803235,1.0280710610,1.3750535183,0.7414630045,0.1617906544,-0.0673862337,0.0817065693,-0.0806064152,-0.0384889170,0.4923907940,0.4829891018,-0.0383270433,1.1087291342,0.3691913686,3.0203843170,1.0542960657,-0.0808153128,0.4704262694,1.0864184139,-0.1084911532,0.1946930388,1.9610705971,0.0896705153,0.3725107078,0.2504118828,0.1783020112,0.0001304974,-0.0573013577,-0.0868716438,0.0609464488,-0.1195039996,-0.1005970779,0.6891021530,0.1758982928,1.0844853694,0.7909122567,0.8734828710,0.0433744584,1.1679295203,1.2074462568,-0.0758738198,-0.0466683981,-0.0587811305,-0.0807262791,BRCA
GSM480989,0.1505207717,0.5739627690,0.3922061681,1.0229797038,0.0026980973,-0.0867790860,-0.2037951662,0.1775155949,0.0487330010,0.0601247004,-0.0318046184,-0.0600568494,0.0840967809,-0.1808006607,-0.0337748888,1.6843677122,-0.1182184828,2.3293326482,1.6630823217,3.0372506777,1.7113409392,0.4232647989,1.1103506463,0.1448837195,0.1144658652,-0.2096376306,-0.1344856783,-0.0775834191,-0.2043228039,0.4609084725,1.0291361542,-0.0385720141,-0.2689341306,0.5480022887,2.4026839435,0.2305710107,-0.0434693121,-0.0876169978,0.2589396170,0.4588489833,-0.1933943856,0.0210698834,-0.2911053132,-0.0271696066,0.2400973081,-0.1489578907,-0.1408892441,0.8857075591,-0.1236905447,1.1190277273,0.0318079827,-0.0543661123,0.2260949284,-0.0870816269,1.2916537300,0.5198385118,-0.1675320445,0.3040667095,-0.0454611126,0.2117079990,-0.1893403782,0.5104212239,0.8988893313,0.5099837124,-0.0157028841,0.7895882334,0.8617932616,1.4386271053,0.5870933372,0.4391528262,-0.0275269422,0.0811992555,-0.1211765001,-0.1123442115,0.4168803811,0.8519349658,0.0375365682,1.3148517542,0.3199180766,3.3091132243,1.1131860649,0.0289643569,0.4437155496,1.1803532361,-0.0811708468,0.5011569045,1.9755967301,-0.0037837656,0.2630944657,0.2245239546,0.3515520029,-0.0217998318,-0.1510295816,0.0192166491,-0.0004577507,-0.1969966111,-0.0522948630,0.8711559873,0.1138846011,1.0210926999,0.4955591939,0.6284972964,0.1605597306,1.3942249417,1.5143499573,-0.1262440262,-0.1417955586,0.0105585383,-0.0996028400,BRCA
GSM480990,0.1058793579,0.5295604209,0.1692434503,0.8392681946,0.0197258113,0.1298528008,-0.1786900770,0.3475599620,-0.0813402728,-0.1018482266,-0.0240894286,0.2139598701,-0.0595817923,-0.1939664939,-0.0615145761,1.6475978081,-0.0905509926,2.1450957076,0.6589503208,1.9529268740,1.5506209451,0.5529283491,1.1067612915,0.0809441500,0.0807747776,-0.1833390939,-0.0603193185,-0.0836057560,-0.2017702788,0.3853512744,0.6298420306,-0.0773540400,-0.1534946757,0.6365606239,2.3051380366,0.3596986547,-0.0242624128,-0.0603801500,0.0421455834,0.4235380454,-0.1573350882,0.0692344261,-0.1202639179,-0.1040510756,0.3191353141,-0.1211649052,-0.0870639890,0.5482411422,-0.0768354047,1.3459583853,0.0610200124,-0.0219793242,0.1574504853,-0.0915421300,0.9421872181,0.6607572544,-0.1322570262,0.4307222246,0.1950829520,0.8327552467,-0.1406402458,0.5701667320,1.2032701898,0.7009938896,-0.0456517972,0.2493265960,0.9861059069,1.2886391192,0.5830522417,0.4347083518,-0.0333159728,0.1371517299,-0.1211324487,-0.0606057024,0.4040678319,0.5468216389,0.1245269666,0.9472869369,0.5040703920,3.4219261243,2.0059911716,-0.0021857500,0.3387474729,0.5828239298,-0.1053477980,0.2101408106,2.5765053460,0.0120991491,0.3107558547,0.2258322309,0.0213613135,-0.0152148257,-0.0588782404,-0.0486021041,0.0988269611,-0.1625582928,0.0297004106,0.6999574003,0.0401264709,0.6030732589,0.1815451245,0.9004395604,-0.0390631178,1.2203301272,1.4856755815,0.0351502841,0.0085604213,0.0169808425,-0.0991649894,Control
GSM480991,0.2550788322,0.5714558330,0.2660780676,0.9410596814,0.0149366381,-0.0128772154,-0.2068232434,0.2744439769,0.0327042871,0.0423795409,0.0096481766,0.0233230338,0.0277510266,-0.1595249832,0.0564424087,1.5652074934,-0.0645297521,2.4425219173,1.6814781328,2.7070651850,1.8251722632,0.4654662125,0.9763167946,0.4397473894,0.0569011591,-0.1778612315,-0.0778660037,-0.1045818321,-0.1634213613,0.6097369702,0.8652666948,-0.1146401153,-0.1411837970,0.9760675002,2.3032767924,0.3676016834,-0.0387195160,-0.0431565059,0.2775288068,0.4692680691,-0.1926721820,0.0261982086,-0.1669305880,-0.0208668880,0.3643042232,-0.0983536802,-0.1350603652,1.4444417358,-0.1023901210,0.6857734736,0.1149609155,-0.0200283858,0.1718903794,-0.1619859740,1.1985398679,0.5980931108,-0.1654900284,0.3718392522,0.0580118667,0.4582523614,-0.1590461786,0.6246844594,0.9586069049,0.5280418684,-0.0301297272,1.0544374994,1.0007687234,1.3283271537,0.6608008562,0.3957455124,-0.0416413261,0.0569693500,-0.0960165404,-0.0531655469,0.5071865046,0.6482640730,0.0588836264,1.2950893441,0.4281628126,3.2534763878,1.3671808253,-0.1098704728,0.3654298311,1.2640591513,-0.1263488267,0.2851518516,2.1101571236,0.0441448208,0.3851343730,0.2893171571,0.2107880569,0.1726690396,-0.0449670081,0.1669772696,0.0497137843,-0.1602240545,-0.0778569280,1.1174520353,0.1772719718,1.0204976901,0.7520541633,0.9698722675,0.0900956663,1.1966550216,1.5107150263,-0.0616410336,-0.0821941194,-0.0230416630,-0.0918841945,Control
GSM480992,0.1594127794,0.5169215143,0.2300415442,0.9758864265,0.0507300845,-0.1197903341,-0.2047364831,0.2888478639,-0.0269275308,-0.0279400161,0.0098416810,0.0886958316,-0.0284348700,-0.1615315806,0.0273010123,1.5792976092,-0.0531262704,2.0768291049,0.8279471597,2.0167463620,1.5038647161,0.3809352829,1.1827308424,-0.0112701706,0.0283512898,-0.1318738071,-0.0616193620,-0.0327074025,-0.1333063953,0.4187143548,0.5189734097,-0.1523727468,-0.1471509594,0.5103113658,1.9482593239,0.1906451891,-0.0268258417,-0.0750062975,0.2887557880,0.6180237605,-0.1654000706,-0.0251651127,-0.1865263585,-0.0550066709,0.2580534183,-0.1135908183,-0.1192715805,0.7623492782,-0.0891695512,0.1240078542,0.1078337467,-0.0096765104,0.1676517359,-0.0247942579,0.6252961718,0.4647197556,-0.1315314880,0.3555988693,-0.0417928508,0.7112178834,-0.1480111448,0.5310987036,1.3458300016,0.6497552522,0.0204711225,0.9864738678,1.0355044920,1.4482076389,0.4972681324,0.4195187698,0.0074094109,0.1225340664,-0.1356904655,-0.0742785615,0.4130200728,0.9082788116,0.1346057261,1.1846827931,0.3612510420,3.4460021522,1.7252863166,-0.0008847047,0.3105769333,0.7394272332,-0.0713407049,0.4243058920,2.4270785623,0.0183351703,0.4019502806,0.4011166239,0.2635266241,-0.0538811761,-0.0017623576,-0.0769597430,0.0592768053,-0.1598194368,-0.0247177789,0.8688821793,0.0732875811,0.7441449755,0.3821939927,0.8289241475,-0.0088200356,1.2654160160,1.1160791531,-0.0767812506,-0.1069533288,-0.0295328690,-0.0456300569,Control
GSM480993,0.1350385027,0.5665345361,0.2637492607,0.8986200048,-0.0566784344,-0.0380970418,-0.1150382765,0.2887215831,-0.0097680694,0.1119978719,0.0090587195,0.0776393937,-0.0165303701,-0.1347257473,0.0333401057,1.5582134934,-0.0910372453,2.2138408538,1.6431057453,2.7194665273,1.5650096220,0.5762706393,0.9945207685,0.0740493629,0.0794099440,-0.1627845147,-0.0709183736,-0.0435795975,-0.1360850570,0.3915107152,0.8843783471,-0.1179253427,-0.1658804081,0.7468825014,2.2365040929,0.2692942816,-0.0520990045,-0.0977074247,0.1604505838,0.5771721326,-0.1648529066,-0.0217197123,-0.1951822806,-0.0790436161,0.2800151646,-0.0451837614,-0.1314677842,1.0968471876,-0.1091827486,0.6547313299,0.1110679841,-0.0249389388,0.2689028373,-0.0817931060,1.2895348594,0.5712389041,-0.1014901397,0.3556248992,-0.0141177758,0.3843497409,-0.1081225405,0.7338769277,0.9450695349,0.5661468516,-0.0404094230,1.1561504492,1.0264566022,1.5829170607,0.7091649962,0.5504608139,-0.0474629456,0.1051260916,-0.1144585606,-0.1054423138,0.4741801064,0.7940912880,0.0415849929,0.9989973042,0.5473878640,3.0886874926,1.2646617638,-0.0278967686,0.3602931440,1.0875472625,-0.0537399848,0.3375190247,2.0765592329,0.0562111053,0.4506590302,0.4162600737,0.3405437194,-0.0270253466,-0.0374159531,0.0286861091,0.0656672766,-0.1856701243,-0.0637510794,1.1396450600,0.1338819088,1.0595477061,0.3704225713,0.7814011249,0.0819937804,1.2428585407,1.5698569379,-0.0306474256,-0.0073013718,-0.0367667897,-0.1060244438,Control
