@relation data

@attribute id string
@attribute 10022 numeric
@attribute 10563 numeric
@attribute 10663 numeric
@attribute 10803 numeric
@attribute 10850 numeric
@attribute 10886 numeric
@attribute 10911 numeric
@attribute 117579 numeric
@attribute 122042 numeric
@attribute 1230 numeric
@attribute 1232 numeric
@attribute 1233 numeric
@attribute 1234 numeric
@attribute 1235 numeric
@attribute 1236 numeric
@attribute 1237 numeric
@attribute 1238 numeric
@attribute 128674 numeric
@attribute 1524 numeric
@attribute 183 numeric
@attribute 185 numeric
@attribute 186 numeric
@attribute 187 numeric
@attribute 1906 numeric
@attribute 1907 numeric
@attribute 1908 numeric
@attribute 1909 numeric
@attribute 1910 numeric
@attribute 2147 numeric
@attribute 2149 numeric
@attribute 2150 numeric
@attribute 2151 numeric
@attribute 2357 numeric
@attribute 2358 numeric
@attribute 2359 numeric
@attribute 23620 numeric
@attribute 2532 numeric
@attribute 256933 numeric
@attribute 257313 numeric
@attribute 2587 numeric
@attribute 2826 numeric
@attribute 2829 numeric
@attribute 2831 numeric
@attribute 2832 numeric
@attribute 2833 numeric
@attribute 2834 numeric
@attribute 2837 numeric
@attribute 283869 numeric
@attribute 2852 numeric
@attribute 2862 numeric
@attribute 2919 numeric
@attribute 2920 numeric
@attribute 2921 numeric
@attribute 2922 numeric
@attribute 2925 numeric
@attribute 301 numeric
@attribute 3060 numeric
@attribute 3061 numeric
@attribute 3062 numeric
@attribute 3576 numeric
@attribute 3577 numeric
@attribute 3579 numeric
@attribute 3627 numeric
@attribute 3640 numeric
@attribute 3814 numeric
@attribute 3827 numeric
@attribute 4157 numeric
@attribute 4158 numeric
@attribute 4159 numeric
@attribute 4160 numeric
@attribute 4161 numeric
@attribute 4283 numeric
@attribute 4295 numeric
@attribute 4828 numeric
@attribute 4829 numeric
@attribute 4852 numeric
@attribute 4886 numeric
@attribute 4887 numeric
@attribute 4889 numeric
@attribute 4922 numeric
@attribute 4923 numeric
@attribute 4985 numeric
@attribute 4986 numeric
@attribute 4987 numeric
@attribute 4988 numeric
@attribute 5020 numeric
@attribute 5021 numeric
@attribute 50865 numeric
@attribute 51052 numeric
@attribute 51083 numeric
@attribute 51289 numeric
@attribute 5173 numeric
@attribute 5179 numeric
@attribute 5196 numeric
@attribute 5368 numeric
@attribute 5443 numeric
@attribute 5473 numeric
@attribute 551 numeric
@attribute 552 numeric
@attribute 553 numeric
@attribute 5539 numeric
@attribute 554 numeric
@attribute 5540 numeric
@attribute 56477 numeric
@attribute 5697 numeric
@attribute 57007 numeric
@attribute 58191 numeric
@attribute 59350 numeric
@attribute 6019 numeric
@attribute 60675 numeric
@attribute 623 numeric
@attribute 624 numeric
@attribute 6347 numeric
@attribute 6352 numeric
@attribute 6354 numeric
@attribute 6356 numeric
@attribute 6360 numeric
@attribute 6361 numeric
@attribute 6363 numeric
@attribute 6364 numeric
@attribute 6366 numeric
@attribute 6367 numeric
@attribute 6368 numeric
@attribute 6372 numeric
@attribute 6373 numeric
@attribute 6374 numeric
@attribute 6375 numeric
@attribute 6376 numeric
@attribute 6387 numeric
@attribute 64106 numeric
@attribute 643 numeric
@attribute 6750 numeric
@attribute 6751 numeric
@attribute 6752 numeric
@attribute 6753 numeric
@attribute 6754 numeric
@attribute 6755 numeric
@attribute 6863 numeric
@attribute 6865 numeric
@attribute 6866 numeric
@attribute 6869 numeric
@attribute 6870 numeric
@attribute 718 numeric
@attribute 719 numeric
@attribute 7200 numeric
@attribute 7201 numeric
@attribute 727 numeric
@attribute 728 numeric
@attribute 729230 numeric
@attribute 7852 numeric
@attribute 84109 numeric
@attribute 84432 numeric
@attribute 84634 numeric
@attribute 8484 numeric
@attribute 8620 numeric
@attribute 8811 numeric
@attribute 885 numeric
@attribute 886 numeric
@attribute 8862 numeric
@attribute 887 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,-0.0581840988,-0.0847363425,-0.0786177565,-0.1390737107,-0.0936360948,-0.0306070652,-0.1399482436,-0.1160861949,-0.1273827924,-0.1188320387,-0.0736471478,-0.0950948656,-0.1863651286,-0.1659843592,-0.0917386530,-0.0969346926,-0.0816785941,-0.2328088945,-0.0274456029,-0.0169406613,-0.0660282744,-0.1636614356,-0.1514315114,0.6381982602,-0.0689055292,-0.1967705299,-0.0426772024,-0.0414549883,-0.1416186203,0.3371361091,0.5004865723,-0.0526896823,-0.0920382971,-0.0938534298,-0.0289969041,-0.1398059956,-0.1558868954,-0.0857002923,-0.2086760512,-0.1658685843,-0.1342835853,-0.0849724504,-0.2444743860,-0.2078035358,-0.1688655927,-0.0456695267,-0.1250978478,-0.3870473579,-0.0812791169,-0.2306524687,2.0834216012,0.7876059015,1.4988793540,-0.0424008099,-0.1251922093,1.2363096072,-0.0930368328,-0.2605598707,-0.0740072866,0.8618448906,-0.0850941669,-0.0990014473,-0.0945018281,-0.0318671571,-0.0675131776,-0.1335369201,0.0120049536,-0.0861883984,-0.1448278818,-0.0945591559,-0.0563500905,-0.0500612431,-0.2053172411,0.3957878474,-0.1356222890,0.0241705417,1.8561368459,-0.1247120885,0.1278045966,-0.0920184026,-0.0819268209,-0.2167671828,-0.1395062736,-0.0373481889,-0.1317899211,-0.1413657349,-0.0766445261,0.7939492504,-0.2178610200,0.5210535454,-0.2277800720,-0.0487771589,-0.1249178458,0.5938912730,-0.0927603216,-0.2911982873,0.6469007087,-0.1985035242,-0.1313831829,-0.1073155943,-0.1730533060,-0.1270831722,-0.1410933525,0.7798821430,-0.1699823466,-0.0584239572,2.6897012129,-0.1119718954,-0.0892857111,-0.1236074913,-0.0538726114,-0.1067344390,-0.0133626043,-0.1217520539,-0.0896715203,-0.0589474224,-0.0811520690,-0.1507812664,-0.1134753919,0.3479979916,-0.1743188134,0.4682363140,-0.1140365333,0.7079854949,-0.1584012064,0.3229475714,0.0136218391,0.2714685995,-0.1012984617,-0.2203163818,-0.1181053847,-0.1604780651,-0.1594298305,-0.1552123050,-0.0637825129,-0.0692702997,-0.0726978047,-0.0952203497,-0.1473383922,-0.1271256804,-0.0295175633,-0.1757594240,0.8278927778,0.0242466503,-0.1350606339,-0.0773427564,0.2909683453,-0.0818683576,-0.1416644561,0.1813214159,-0.0230231195,-0.1079541478,0.1198894925,-0.2221423090,0.1528078236,-0.0582399220,0.0994244421,-0.0798831077,-0.0658457544,-0.0641601761,BRCA
GSM480985,-0.0799943979,-0.1215056709,-0.1217850604,-0.1858101909,-0.0673684838,-0.1038682276,-0.1748065096,-0.1084715103,-0.1488831771,-0.0655524707,-0.2087006801,-0.1473336650,-0.2207998319,-0.1313083023,-0.1508123378,-0.1146382530,-0.1218300537,-0.2404273474,-0.1001005096,0.2199821969,-0.0510698676,-0.1441256028,-0.1480032353,1.3853836805,-0.0212500074,-0.2115289741,0.0085917020,-0.0747167063,-0.1930294107,0.3332767281,0.2450861909,-0.0158890861,-0.0678983514,-0.0623157245,-0.1401642199,-0.1574310779,0.3743497044,-0.0414875001,-0.0517595260,-0.1459910813,-0.0615679162,-0.1580957706,-0.1151962271,-0.2873068468,-0.1413209845,-0.1554801639,-0.1369703773,-0.3583944384,-0.0626700596,-0.2187439117,1.5522821744,0.7691671467,0.7757321033,-0.0959633005,-0.1937128762,1.1761803799,-0.1345350791,-0.2444795295,-0.1227302626,1.2310367167,-0.0283170465,-0.0520040342,-0.1261046751,0.0123731595,-0.1172086170,-0.1607838665,0.0147076429,-0.1358844256,-0.1672823300,-0.1090017704,-0.0519409346,-0.0924427087,-0.2416012261,0.5226115443,-0.1339710808,-0.0987901511,2.0299525301,-0.1226296348,0.1386917396,-0.1090996844,-0.0480878233,-0.1449319363,-0.0289898833,0.0053175126,-0.1479692524,-0.0510479906,0.0083752434,0.9300288335,-0.1553380662,-0.0555096393,-0.2088971288,0.0004294391,-0.1482153073,0.1325432052,-0.1467660199,-0.2368778376,0.0231716839,-0.1838939624,-0.1124612015,-0.0848188568,-0.2069295521,-0.1221172726,-0.1204181115,1.6488321223,-0.2673972274,-0.0930730367,2.8586196104,-0.0716223132,-0.0179354871,-0.1385459250,-0.0944877458,-0.0566931768,1.7034978403,-0.1277415388,-0.0897551349,-0.0580652157,-0.1617022257,-0.0922960726,-0.1379856181,0.2110507263,-0.0764762690,0.3064066198,-0.1000910964,1.1535148364,-0.2334849912,0.7126770939,-0.0894775749,1.5001663575,-0.1177860802,-0.1803997403,-0.1172368471,-0.1119174815,-0.1151644611,-0.1374631106,-0.1892573308,-0.0240175024,-0.1015820123,-0.1676365483,-0.1010577609,-0.0940644190,-0.1125852546,-0.1609504881,1.8315040226,-0.0369529911,-0.0733108384,-0.0748652280,0.3096802390,-0.1158257465,-0.0967137805,0.0989122819,-0.1010726185,-0.1508950049,-0.1182433215,-0.2088026761,0.1494615128,-0.0133134757,-0.1807823804,-0.1508943820,-0.0836208680,-0.1115183458,BRCA
GSM480986,-0.0678367257,-0.0544475015,-0.1014813249,-0.1034312330,-0.0972339211,-0.0828728701,-0.1497126606,-0.1238577411,-0.1286635292,-0.0592036143,-0.1331562847,-0.0830350327,-0.1712512176,-0.1096298761,-0.1274770778,-0.0610855449,-0.1015999199,-0.1745456940,-0.0350381116,0.0197999421,-0.1267201663,-0.1377647213,-0.1173273397,0.7647701036,0.0126594798,-0.1439900116,-0.0792635307,-0.0603378373,-0.1844459021,0.2808904654,0.3515329372,-0.0873086066,-0.0867849002,-0.1041163704,-0.0757114053,-0.1094457339,-0.1216023209,-0.0002758346,-0.1937449242,-0.1307658299,-0.1194657414,-0.0536161733,-0.1291717556,-0.1913205252,-0.1177730070,-0.0306371599,-0.1265574002,-0.3648556545,0.0400306544,-0.1853852717,2.4849634998,0.8221523573,1.1143750742,-0.0741884299,-0.1440439617,1.1035130613,-0.1223602634,-0.2398746217,-0.0809684127,1.1678017355,-0.0400433223,-0.1296008133,-0.1233414822,-0.0050371011,-0.0674752197,-0.1717571287,0.0038114441,-0.1612325023,-0.1184569240,-0.1283865796,-0.0461207743,-0.0525793380,-0.2093536050,0.6946161869,-0.1483280330,-0.0825217704,1.5809755283,-0.1220410018,-0.0652535291,-0.0908076204,-0.0371209739,-0.2010140908,-0.0597844596,-0.0631413234,-0.1459824712,-0.0826369262,0.0026635997,1.0020723307,-0.1145862670,0.5378208258,-0.1795684932,-0.0455023600,-0.1665078627,0.5336656322,-0.1003135829,-0.2470346874,0.8354033562,-0.1376522854,-0.1153147269,-0.0903473842,-0.1236297223,-0.1008414116,-0.1345645443,0.7453683417,-0.1966310168,-0.1374438337,2.6090514394,-0.0561475782,-0.0190245359,-0.1143586874,-0.0031443414,-0.0836302262,0.1796802489,-0.1354726316,-0.0435952182,-0.0985684533,-0.0959708153,-0.1144021729,-0.1552223653,0.0979954854,-0.0346686524,0.5335685280,-0.1171871980,2.0106426816,-0.1418150330,0.4274397239,-0.0955030181,0.1966921254,-0.1279479954,-0.1996072730,-0.0934081638,-0.0533730249,-0.1111617211,-0.1111276128,-0.0457667462,-0.0134043429,-0.0418251088,-0.1060572342,-0.1694120130,-0.1366709531,-0.0810648357,-0.0839603460,1.1685674731,0.0452866808,-0.0990252657,-0.1381700193,0.0367948461,0.0134036321,-0.1062769494,-0.0187492559,0.0271423116,-0.1466417399,0.0196240133,-0.0604529791,0.0553007835,-0.0121085984,0.0515270517,-0.0442002359,-0.0615562512,-0.1133117351,BRCA
GSM480987,-0.0422122104,-0.0844355527,-0.1276480246,-0.1397568088,-0.1090072543,-0.0799535456,-0.1089262976,-0.0906160838,-0.1036222309,-0.0592974123,-0.1683314742,-0.1055110104,-0.1795559336,0.0541704786,-0.1255660394,-0.0829188461,-0.0716856856,-0.2332169736,0.1138337706,0.8610898719,1.3864176907,-0.1460094441,-0.0927835277,0.0137137714,0.0178448251,-0.2040391197,0.3667438397,1.0950507612,-0.2081336734,0.1564254856,0.0696635291,0.1676650669,0.1013364425,-0.1184499666,-0.1341941984,-0.1667700688,0.8487556104,-0.0446842516,-0.0867293977,-0.1146389883,-0.0688801219,-0.0701072943,-0.1548691618,-0.1980979601,-0.2084977648,-0.0307279703,-0.1074732443,-0.3273156654,0.2041125505,-0.1262895811,2.2931234779,1.0628985053,1.4064503860,-0.0174603070,-0.1876137192,1.0236850700,-0.2295613275,-0.2588109019,-0.0928773616,1.1729830871,-0.0638722848,-0.1172904593,-0.0843120006,0.0076887742,-0.0967340038,-0.1545500847,-0.0379636466,-0.0735421639,-0.1752508117,-0.1431732073,-0.0781608822,-0.0344733430,-0.1603291115,0.6579448994,-0.1580761306,-0.1590093991,0.1693573536,-0.0406625663,-0.1006350086,-0.1207334221,-0.1413338144,-0.2481714008,-0.1181823193,-0.0760498638,-0.1691144110,-0.0182440970,-0.0642594881,1.4691289066,-0.1348743001,0.1179707213,-0.2307123037,-0.1234593411,0.7036833412,1.0435507497,-0.1867291588,-0.2855707779,-0.0479367498,-0.1600902959,-0.1435724976,-0.1243694431,-0.1757169324,-0.1506906622,-0.1025231439,0.2114433147,-0.2920114753,0.1913534822,0.6658840742,-0.0540342881,-0.1074146847,-0.0826674460,0.1562617372,0.3591053056,1.7397336760,-0.1314307426,0.0505869034,-0.0807794194,-0.0503675654,-0.0788542419,-0.1816217493,0.8023905158,-0.0682282044,-0.0158931496,-0.0944521126,0.9607395434,-0.1481478266,1.8473534374,-0.1034242198,-0.1154013334,0.2842803322,-0.1273729833,-0.0802930702,0.0547786877,0.4142716555,-0.0770753739,-0.1552237216,0.1301720579,-0.0662575489,0.5642278749,-0.1231179440,-0.0686110671,-0.0820127244,-0.0855954864,0.3775965802,0.1596735170,-0.0943293444,-0.0375172116,0.2965672326,0.6635714470,-0.0876099655,0.0461068648,-0.1174157521,-0.0747444552,-0.1195047754,-0.1116575875,-0.0124440417,0.0094298534,0.2891979931,-0.0539220013,-0.0011684174,-0.1526730830,BRCA
GSM480988,-0.0139800713,-0.0480236042,-0.0685148336,-0.1317126301,-0.1031737414,0.0218251289,-0.1339569830,-0.1281513144,-0.0970734644,-0.0344034563,-0.0307077521,-0.0759735320,-0.0547884372,-0.0330960929,-0.0890190746,-0.0706831470,-0.1036883165,-0.2000955064,0.0049452829,0.0694702046,-0.1249507846,-0.1096123965,-0.0268876917,0.7892006804,-0.0012944503,-0.0761197892,-0.0807218904,-0.0594985227,-0.1149176441,0.1770760837,0.2727547838,-0.0414356186,-0.0681886704,-0.1113544273,0.0200748962,-0.0325913971,-0.0502948857,-0.1414882446,-0.0922959407,-0.1361980407,-0.1161764013,-0.0480088662,-0.2507466399,-0.2256893929,-0.0718401838,-0.0677087294,-0.1921597156,-0.2002301339,0.0404231379,-0.0995019216,1.7787399491,0.5355914330,0.4458801531,-0.0239245575,-0.0976835200,1.0322436528,-0.0797741013,-0.2947027402,-0.0695602174,0.4444268425,-0.0331606614,-0.0521578077,-0.0823538198,-0.0507714201,-0.1315826336,-0.1194969818,0.1078912398,-0.0755671573,-0.0841686911,-0.2436080835,-0.1462281649,-0.0490850706,-0.1263181390,0.6490956511,-0.0648412833,-0.0370609691,1.2907347593,-0.0111211838,-0.0072318742,-0.0546455008,-0.0850351313,-0.1484171022,-0.0607738807,-0.0694193269,-0.1144145743,-0.0918647053,0.0554047047,0.7952349064,-0.1423145394,0.3300364942,-0.1673687699,-0.1207822576,-0.1248324820,0.4513889625,-0.0936460790,-0.1893912958,0.0475727746,-0.2237228405,-0.0952754712,-0.1600154638,-0.1794301263,-0.1105253156,-0.0338018284,0.9685543180,-0.1462065646,-0.0881274023,2.4954646031,-0.0129014271,-0.0588396068,-0.1747162891,-0.0790956322,-0.0509742122,0.0024683304,-0.0647972306,-0.0702382127,-0.0492453841,-0.0690549853,-0.0379655283,-0.1285879010,-0.0856723127,-0.0897441201,0.4184348598,-0.0613574249,-0.0249173364,-0.1231870351,0.1717510928,0.0697807837,0.3591869225,-0.0329350431,-0.1339333577,-0.0883751082,-0.1506461194,-0.2110857734,-0.0931577523,-0.0843939536,-0.0825363069,-0.1367423228,-0.0943551554,-0.1460040842,-0.1360901136,-0.1078101047,-0.1311318614,1.5271120535,0.0515531920,-0.0452028244,-0.0673567240,0.2417796436,0.0790168349,-0.1383371553,0.0405815274,0.0237053381,-0.1107793518,0.0245987739,-0.1242326687,0.1104467190,-0.1255485078,-0.0223079990,-0.0760035643,-0.0730506062,-0.0900217592,BRCA
GSM480989,-0.0982248994,0.0342114516,-0.0213069486,-0.2138219128,-0.1629343666,-0.0348331894,-0.1628344891,-0.1029851752,-0.0852685239,-0.1649615957,-0.1227153854,-0.1361921763,-0.0846099626,-0.0010460032,-0.1453356508,-0.0326447356,-0.1433729618,-0.2783736224,-0.0012608534,0.2477838278,-0.1383574481,-0.1249572750,-0.0516167219,0.7516749007,-0.0578267188,-0.1568802391,-0.0624036275,-0.0467954570,-0.2880127502,0.3635552958,0.4194182012,-0.0372670215,-0.0662149077,-0.0743556214,0.1165892766,-0.1343919862,-0.1602823389,-0.0439612191,-0.3120634407,-0.2191736866,-0.0780366387,-0.1588812983,-0.3749028748,-0.3707502551,-0.1151803692,-0.0233072374,-0.3710534804,-0.4614726071,-0.0201562163,-0.2529164924,1.7585357691,0.4534037432,0.4779180506,-0.1136408788,-0.1698167392,0.9041998454,-0.2432093946,-0.4052337626,0.0596484508,0.7921105779,-0.0571177661,-0.0869365272,-0.0220986844,-0.0117483555,-0.1066227654,-0.1463200598,0.0528537176,-0.1190714989,-0.1686510530,-0.2336654498,-0.1739869658,-0.1400520047,-0.2357010217,0.6588499330,-0.1121132053,-0.1061564459,0.4362375751,-0.1029775260,-0.0458752050,-0.1118270039,-0.0796510523,-0.2559674874,-0.1303154595,-0.1099929324,-0.1519504447,-0.2105429024,-0.1884659553,0.9463377148,-0.1550177236,0.5612346858,-0.2492584027,-0.0527674986,-0.0475160023,0.3944587602,-0.1265692731,-0.3538861063,-0.0017499092,-0.2803452209,-0.1009641805,-0.2349294503,-0.1471452802,-0.1943601094,-0.1263987186,1.4574169317,-0.2922179064,0.0152584935,3.4600992997,-0.1172723442,-0.0820078020,-0.1250760186,-0.0548816000,-0.1240823438,0.0938955087,-0.1048514448,-0.0384084609,-0.1092598151,-0.0899812968,-0.1177218704,-0.1974667508,-0.1714038119,-0.1303528897,1.2340739304,-0.1103430773,0.9895782727,-0.1382900409,0.0034422367,0.0051501514,0.8683103838,-0.0798440178,-0.2379179667,-0.0998648238,-0.1619050194,-0.1457103739,-0.1299432778,-0.0802655640,0.0836549880,-0.1386320336,-0.1780167094,-0.0815175774,-0.1933315406,-0.1244634624,-0.1565779780,1.7690416786,0.0365528322,-0.1788021773,-0.0663329675,-0.0280618510,-0.0916107416,-0.1147278817,0.1142120624,-0.0081581863,-0.1564396181,0.2023744304,-0.1761454544,-0.0426005717,-0.1540376246,-0.1525505436,0.0038121423,-0.0680067308,-0.0312968602,BRCA
GSM480990,-0.0793781008,-0.0528987880,0.0081258941,-0.1915170167,0.0312168147,-0.0549286677,-0.1459499684,-0.1009669622,-0.0649831967,-0.1039337323,-0.1461113950,-0.1069780946,-0.1657811482,-0.1064326044,-0.0721820411,-0.0414679035,-0.0758349533,-0.2631931720,-0.0679180033,0.0095471656,-0.0846046932,-0.1415980963,-0.1227803383,0.2123640113,0.0464156857,-0.1554256202,0.3471388185,-0.0288492947,-0.2131876319,0.0029791925,0.2241937101,-0.0814260791,-0.0263114181,-0.0732902082,-0.0002907879,-0.1454427744,0.1154187588,-0.0255948612,-0.0848963648,-0.1766784009,-0.1347982710,-0.0324880726,-0.1712611230,-0.2449640258,-0.1149310157,-0.0868686888,-0.0802514131,-0.4407875164,-0.0645320013,-0.1838165837,2.6601509087,0.9243235851,1.7481275774,-0.0760750725,-0.0999201559,0.9121540105,-0.1426971309,-0.2580944282,-0.0576468229,0.7562215037,-0.0087063230,0.1107932870,-0.1785812163,-0.0012154943,-0.0782104227,-0.1518631868,0.0232784458,-0.0810297495,-0.1976456204,-0.2100702228,-0.0054116296,-0.0973306712,-0.2169007408,0.5235358310,-0.1277219337,-0.1634945423,0.2349780010,-0.0656949958,-0.0997390963,-0.1145618611,-0.1112774610,-0.2042022090,-0.0980307706,-0.0689217529,-0.1374233052,-0.0028508619,-0.0423688294,1.0517422891,-0.1349172160,0.6950166550,-0.1794464290,-0.1414399206,-0.0107661517,0.5305388892,-0.1458777476,-0.2235616860,0.7656160278,-0.3086688440,-0.1265983370,-0.1592453867,-0.1907482768,-0.1103549005,-0.1701892940,0.2610557430,-0.1841034403,0.3143800870,2.9565892750,-0.0900082758,-0.0838382353,-0.0856813081,0.0902333170,0.0414263996,0.0859327726,-0.1168329701,-0.0415153877,-0.0418200842,-0.1166480590,-0.1063170748,-0.1557080402,-0.0619155446,-0.0773795842,0.2151255420,-0.1380040694,0.6814480297,-0.1000703023,0.9365622768,0.0724735516,-0.0844841702,-0.0930854617,-0.1923789916,-0.1042603683,-0.1363347676,0.5142511422,-0.1068854158,-0.0919441289,0.0043388901,-0.1703095519,-0.1116719333,-0.1362692845,-0.1420924096,-0.0814985610,-0.1215099872,1.3251033657,0.1059639750,-0.1519786479,-0.0500842994,0.0043650316,0.0056644366,-0.1431702211,-0.0368276844,-0.0330627107,-0.0906103200,0.0473166091,-0.1097130826,-0.0479154513,-0.0660500044,-0.0883776675,-0.0496487726,0.0124694639,-0.0935953847,Control
GSM480991,-0.0711482606,-0.0720247570,-0.0515348388,-0.1114860669,-0.1063645112,0.0263101801,-0.1692361043,-0.1740159312,-0.1064090479,-0.0837778702,-0.1379031282,-0.0469382819,-0.1589436488,-0.0462463751,-0.1025032417,-0.0327051596,-0.0964619255,-0.2818432656,-0.0369008170,0.2282817443,-0.0877550375,-0.1217969772,-0.1179144184,0.9155950824,0.0872542981,-0.1720165332,0.0086765222,-0.0446889103,-0.2291514151,0.2079766272,0.3487482565,-0.0615348046,-0.0209771846,-0.1264348168,-0.0435750924,-0.1642433356,-0.0212006791,0.0125092284,-0.1336657628,-0.1728881322,-0.1723875204,-0.0976622928,-0.2797916027,-0.2695201768,-0.1572649471,-0.0149618291,-0.1953957510,-0.4894431794,0.0082733442,-0.2863800282,2.2423003714,0.9660664271,1.3069108069,-0.0687696419,-0.1768563847,1.2725081419,-0.1722618293,-0.2748617623,-0.0835208112,1.1222321147,0.0130805156,-0.0484816297,-0.0736854586,-0.0068347938,-0.0737325829,-0.1317327398,0.0571253589,-0.0950694302,-0.1071473244,-0.1613969593,-0.0809820636,-0.0594267993,-0.1886437462,0.8542998683,-0.0615224287,-0.0814774909,0.9602714521,-0.0454845394,-0.0800472377,-0.1407256800,0.0341314024,-0.2734382942,-0.1006144060,-0.0167661391,-0.1286325127,-0.1564806074,-0.0317089216,0.9463008019,-0.0899549900,0.6095711976,-0.2831288104,-0.0338288644,-0.0984335100,0.4605433295,-0.1647031335,-0.3622813711,0.4853101322,-0.2208380925,-0.1521725042,-0.1429618048,-0.1077797986,-0.1492491726,-0.0554936387,1.8980535267,-0.2178204079,-0.0631003318,3.1803552308,-0.0650149309,-0.1038111569,-0.0814614362,-0.0634286657,-0.0002323736,0.8448822292,-0.0354265188,-0.0117143243,-0.0328708654,-0.1631835314,-0.1246381070,-0.1976885332,0.1122634953,-0.0553879698,1.3981814451,-0.1212421894,1.4824340344,-0.1404603686,0.3076805719,0.0066270428,0.9777838869,-0.1357662104,-0.1614007814,-0.0922083655,-0.1530699241,0.0267634320,-0.1179083794,-0.0954481255,0.1132955401,-0.0983762200,-0.1762015762,-0.1066264879,-0.1525370569,-0.0649153345,-0.0520367600,1.6375737222,0.0488654564,-0.0236394316,-0.0960262769,-0.0375853611,0.2458300644,-0.1485672364,-0.0332933852,-0.0491971269,-0.1787857078,0.1448629222,-0.1413163007,-0.0062667552,-0.0178980707,0.0526364144,-0.0075314583,-0.0556918640,-0.0781041756,Control
GSM480992,-0.0862407159,-0.1029923835,-0.0799581286,-0.1397987764,-0.0651466649,-0.0064310049,-0.1796186366,-0.0716639877,-0.0940468229,-0.1319910115,-0.1205056687,-0.0941143452,-0.1735812304,-0.1056685647,-0.1271910004,-0.1339591305,-0.0446404579,-0.2233370915,-0.0219186132,-0.0145717701,-0.1288262847,-0.0814970876,-0.0696988980,0.3392567319,0.0665877527,-0.1958095446,0.0177572168,-0.0313304170,-0.2514961897,0.0639579646,0.1905092262,-0.0574106353,-0.0713108831,-0.0640197296,-0.0180053752,-0.1365506312,-0.1407064193,0.0168052168,-0.1866250335,-0.0949994773,-0.1244509006,-0.0569445094,-0.2589321063,-0.2591976566,-0.1029070334,-0.0609269020,-0.1744705404,-0.3744036244,0.0149682246,-0.2022492733,1.6959880740,0.4572718923,0.6726386930,-0.0808286395,-0.1210673274,0.9409589815,-0.1255429521,-0.2510681467,-0.0806270126,0.0302081386,-0.0038286087,-0.1197754617,-0.0712510158,0.0163163780,-0.0668513128,-0.1015912014,0.0681147246,-0.0911771988,-0.1187865684,-0.1446365755,-0.0614975150,-0.1245143790,-0.2608047123,0.8803402251,-0.0973130456,-0.0248365143,0.3642191569,-0.0575144942,-0.0664058088,-0.0556972433,-0.0321306584,-0.2483595900,-0.1409011399,-0.0848492434,-0.1128568129,-0.0677243815,-0.0550815976,1.0776237324,-0.1352145785,0.9481829523,-0.2702926324,-0.0247534111,-0.0208689413,0.8707856733,-0.0787273981,-0.3573909894,0.5397810456,-0.1969375982,-0.1208472597,-0.1568970238,-0.1106879589,-0.1652789577,-0.0699247889,0.4578359573,-0.2232484175,-0.0949147254,3.1999102697,-0.0763463156,-0.0616565138,-0.0894711329,0.0057880569,-0.0495075427,-0.0703406178,-0.1407995569,-0.0103257744,-0.1047790902,-0.0198283086,-0.0747823903,-0.1561257018,-0.0241913488,-0.0383764516,0.7980450971,-0.0804981054,0.9166187943,-0.1028933239,0.2415091217,0.0619052880,0.0773617029,-0.1293677817,-0.2234283519,-0.0659502966,-0.1206236991,-0.0929289691,-0.0674531643,-0.0507269159,0.1068332206,-0.1526925907,-0.1277610016,-0.1478239674,-0.0824742487,-0.0666496685,-0.0902361296,1.4677773779,0.0467043833,-0.1035209148,-0.0627194268,0.0076417342,0.0736249704,-0.1081112981,0.0245984706,-0.0210482881,-0.1605532542,0.2294427309,-0.1353078566,0.0556422980,-0.0615257231,-0.0616393499,-0.0677043643,-0.0238980778,-0.0978973657,Control
