@relation data

@attribute id string
@attribute 10000 numeric
@attribute 10333 numeric
@attribute 107 numeric
@attribute 1147 numeric
@attribute 1432 numeric
@attribute 148022 numeric
@attribute 1636 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 23236 numeric
@attribute 2353 numeric
@attribute 23533 numeric
@attribute 2767 numeric
@attribute 2769 numeric
@attribute 2770 numeric
@attribute 2771 numeric
@attribute 2773 numeric
@attribute 2774 numeric
@attribute 2775 numeric
@attribute 2776 numeric
@attribute 2778 numeric
@attribute 3456 numeric
@attribute 3458 numeric
@attribute 3459 numeric
@attribute 3460 numeric
@attribute 355 numeric
@attribute 3551 numeric
@attribute 3553 numeric
@attribute 3558 numeric
@attribute 356 numeric
@attribute 3569 numeric
@attribute 3576 numeric
@attribute 3586 numeric
@attribute 3592 numeric
@attribute 3593 numeric
@attribute 3654 numeric
@attribute 3725 numeric
@attribute 4087 numeric
@attribute 4088 numeric
@attribute 4615 numeric
@attribute 4790 numeric
@attribute 4792 numeric
@attribute 5054 numeric
@attribute 51135 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 5330 numeric
@attribute 5331 numeric
@attribute 5332 numeric
@attribute 54106 numeric
@attribute 5515 numeric
@attribute 5516 numeric
@attribute 5518 numeric
@attribute 5519 numeric
@attribute 5520 numeric
@attribute 5521 numeric
@attribute 5522 numeric
@attribute 55844 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5599 numeric
@attribute 5600 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 5603 numeric
@attribute 5970 numeric
@attribute 624 numeric
@attribute 6300 numeric
@attribute 6347 numeric
@attribute 6352 numeric
@attribute 6416 numeric
@attribute 7040 numeric
@attribute 7042 numeric
@attribute 7043 numeric
@attribute 7046 numeric
@attribute 7048 numeric
@attribute 7097 numeric
@attribute 7099 numeric
@attribute 712 numeric
@attribute 7124 numeric
@attribute 713 numeric
@attribute 7132 numeric
@attribute 714 numeric
@attribute 718 numeric
@attribute 811 numeric
@attribute 841 numeric
@attribute 8503 numeric
@attribute 8772 numeric
@attribute 8837 numeric
@attribute 915 numeric
@attribute 916 numeric
@attribute 917 numeric
@attribute 919 numeric
@attribute 9630 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.3397790969,-0.0109978593,-0.0680557761,1.5553736859,0.6466643338,0.5537302456,-0.0571062239,1.9397812022,0.1866127024,0.4097788456,0.1948640191,-0.0448427393,0.9435579393,0.6687801071,0.9581370279,0.2980682768,1.6708331763,0.1330531107,-0.0385881871,0.5726595125,1.1579167798,-0.0526817539,-0.1502639149,0.9466797090,1.8719507903,0.5622643714,0.5241222142,-0.0177594677,-0.0967912121,-0.0677221629,0.1266020980,0.8618448906,-0.2551962770,-0.1427666815,-0.2414363771,1.1724569916,0.7463167697,1.1178892617,0.5446012229,2.0220233733,0.4754300158,0.8049394469,0.4893859166,0.3233914226,0.6502234032,0.0817053106,0.1255568270,-0.1624264398,0.7694715564,0.5895123826,-0.0776044747,1.6300333739,0.0394911230,-0.0480750479,1.7623662382,0.3081120378,0.7647704655,0.7174999820,0.8280982228,-0.1094415527,0.0769328680,0.3984676105,0.5276523813,0.4586358647,0.7139937217,-0.0717742680,0.6164951165,-0.1298536299,1.5197282433,0.8525465690,-0.1067344390,-0.0068966250,-0.0133626043,-0.1217520539,0.8519533800,-0.0716510054,1.2115081400,0.2120186358,0.1275436449,0.9388387937,0.1084792829,0.2804396783,-0.0976442384,-0.0286056817,-0.0454081683,0.9943679759,-0.0437934828,0.8278927778,1.9767761031,0.2062981343,0.8580704628,1.0118299987,0.2891910347,-0.0947839043,-0.2453502594,0.0172649335,-0.1217983118,-0.0552152459,BRCA
GSM480985,0.6712534413,0.0407879981,-0.1146877620,1.1625347307,0.5214375071,0.4334531604,-0.0769610562,1.4054429928,0.2867683454,0.7330552477,0.3309724640,-0.0263181581,0.7473870953,0.5145152025,0.9909502640,0.3047061024,1.2345138497,0.1708344021,-0.0672319856,0.6760796893,1.3204932428,-0.1283639223,-0.1919777421,1.6257408953,2.3712515981,0.6094995523,0.8006201253,0.2870424135,-0.1313371339,-0.0922413117,-0.0603622181,1.2310367167,-0.2261143029,-0.1356333635,-0.1827412749,0.9020442569,0.9612028782,1.0813777246,0.7802793039,1.8178075153,0.4509238059,0.9412159958,1.0549763075,0.5854109176,0.8534231111,0.1992576002,0.3438852307,-0.1454714285,1.5476133191,0.4284647065,-0.0930615631,1.0536758155,-0.0840634818,-0.0342530832,1.5972294421,0.2363182238,0.5275128255,0.4824771165,0.6375519826,-0.1311084704,0.0453235230,0.2506681306,0.4521202200,0.5649788797,0.7487222366,-0.0165247075,0.6136501327,-0.1761504112,0.8917866104,0.8536376064,-0.0566931768,-0.0052304801,1.7034978403,-0.1277415388,0.9115112276,0.0824852629,2.2415468245,0.3937102099,0.1747616115,0.9513775854,0.9595268907,0.4057916362,-0.1023476910,0.0503361004,-0.0550792462,0.8512390850,-0.0452966946,1.8315040226,2.3356797743,0.1230658667,1.1287610356,0.9433996992,0.7033090449,-0.0976470362,-0.1420515836,-0.0755412145,-0.1453095515,-0.0842593635,BRCA
GSM480986,0.3637514705,-0.0613950617,-0.0866454035,1.3508609449,0.5058162958,0.6701340191,-0.0621930930,1.7577156492,0.2145363198,0.5153439700,0.3619466726,-0.0236322101,0.9827568145,0.7615300009,1.1200479176,0.3719062484,1.4959124994,0.1787930670,-0.0172120397,0.5903858004,1.3325283364,-0.0855226764,-0.1827084002,1.0875774383,1.9573997111,0.4264019540,0.5310721682,-0.0239051148,-0.0704303690,-0.0697262036,0.1871303074,1.1678017355,-0.1601737868,-0.1428892811,-0.1846981423,1.2574874233,0.9059672051,1.1264370113,0.6759647951,2.2257816393,0.3572855135,0.9283377825,0.3924423939,0.2910466744,0.3758222094,0.0859145318,0.3109857890,-0.1337267348,0.9370587028,0.9117966590,-0.0521149571,1.4571645670,0.0685284909,-0.0651264098,1.6820185006,0.3124934828,0.7615997205,0.7131900114,0.6806659546,-0.1152539310,0.0592372055,0.4443250835,0.5276161861,0.5706250406,0.7966307569,0.0824834229,0.5081571897,-0.1388460667,1.3150411108,0.9353946786,-0.0836302262,0.0253748071,0.1796802489,-0.1354726316,0.8755208067,0.0753126589,1.7475938090,0.3265607800,0.1427664678,0.9698652430,0.3079955788,0.4525440362,-0.1265779347,-0.0117659394,-0.1176824370,1.0988370049,-0.0083324027,1.1685674731,2.1202563883,0.1717739808,0.9668687962,1.1722454262,0.3971310668,-0.1025164721,-0.1836532933,-0.0764585939,-0.1005907862,-0.0063657825,BRCA
GSM480987,0.4741756265,-0.1177404969,0.0948443130,0.9561490119,0.6135009341,0.5947545545,-0.1026131147,1.6769249506,0.2593453904,0.1668422063,-0.0610097518,-0.0190172376,0.8988900241,-0.1050357214,1.4479325302,0.3169702389,1.2553548241,0.1585150620,-0.0118605190,0.6081153182,1.2904711387,-0.0639082647,-0.0920013336,0.8234962476,2.0126327129,0.5515944428,0.3550794774,0.1687085862,-0.1189128644,-0.0680922132,0.4079698621,1.1729830871,-0.2000680720,-0.1302193291,-0.1714984044,1.1661598228,1.2356612913,0.9669655142,0.4236518566,1.6798553201,0.2389650019,1.1037804131,1.1980752184,0.1764641986,0.4246866423,-0.0142156617,0.3279566426,-0.1022734639,0.9460729968,0.7047411791,-0.1041722893,0.9919344300,0.0007446416,-0.1253291883,1.7100764543,0.3315473428,0.6131601911,0.5315221477,0.4434901190,-0.1264129629,0.0728529078,0.2787342311,0.4570317386,0.5260457562,0.7170214796,0.1031593607,0.3891538004,-0.0662291722,0.5668156716,0.8780260834,0.3591053056,0.1567118048,1.7397336760,-0.1314307426,0.4823463641,0.1392795458,0.3280445553,0.7380631556,0.2637792878,0.9319546315,-0.0101977218,0.0066104551,-0.0858780350,-0.0407701192,-0.1398636673,1.2855681681,-0.0035615952,0.3775965802,2.0685987108,0.1670144839,0.1919102957,1.2946500264,0.1308179210,-0.0586565112,-0.1135724699,0.0434554065,-0.0885654808,0.0616499349,BRCA
GSM480988,0.3666419161,0.1270835193,-0.1114876393,1.0976330084,0.4483090917,0.6305095806,-0.0760001618,1.1675294143,0.1712146028,0.4406262552,0.3942711436,-0.0933597851,0.8038834569,0.6342148269,0.7840176249,0.1900400466,1.2965172852,0.0805074566,-0.0596770411,0.4102926908,1.4781041429,-0.0499219117,-0.1157230785,0.7043497048,1.9271321595,0.2691697425,0.6144637026,-0.0187831094,0.0630258011,-0.0621939344,0.0463543034,0.4444268425,-0.1748360544,-0.1597166529,-0.1901072972,1.1451398267,0.5378554523,0.8865574253,0.5082072364,2.2301817603,0.2502003758,0.7093335530,0.0990862712,0.0364090984,0.5025178531,0.1213094126,0.3674768847,-0.0889533257,0.6583551200,0.6638981731,-0.0521348746,1.0592323652,0.0395486050,-0.0204962117,1.5759464525,0.3109120772,0.4110367248,0.6810503945,0.5630921404,-0.0409799413,0.0399752743,0.3432787602,0.4923907940,0.4829891018,0.6912962379,-0.0181701116,0.5512484685,-0.0789457363,1.2879227399,0.6707278885,-0.0509742122,-0.0337513612,0.0024683304,-0.0647972306,0.8547642460,-0.0270612048,1.3875513934,0.3109506394,0.0900074829,1.1429302327,0.4413706618,0.2433668587,-0.0923690686,0.0001304974,-0.1411193696,0.9984557778,-0.0169312344,1.5271120535,2.0855021606,0.2149495928,1.0844853694,1.1240172577,0.2134835936,-0.1690102578,-0.0861505206,-0.0714377011,-0.0758738198,-0.1176030564,BRCA
GSM480989,0.2517094096,-0.0270303439,-0.0620193510,0.6682628254,0.4561344552,0.6841553131,-0.0325272467,2.3074461223,0.2270790681,0.1935005427,0.0513401362,-0.0318046184,1.2212249650,0.8208826111,0.4984121071,0.4542093934,0.9037719321,0.1222781895,-0.1098449463,0.5169472916,1.3912816293,-0.0385720141,-0.2689341306,0.5480022887,2.4026839435,0.2305710107,0.4192595793,-0.0912345345,0.0045405086,-0.0434693121,0.0336776683,0.7921105779,-0.2916233484,-0.1920061474,-0.2779082904,1.4132617302,0.5993327181,0.7130339662,0.7708667126,2.0839382543,0.1723780840,1.0994870811,0.4122024022,0.2640720831,0.3040667095,-0.0454611126,0.2117079990,-0.1893403782,0.5104212239,0.8988893313,-0.1177975059,1.6992731094,-0.0830072642,-0.1052780208,1.3931663536,0.0226131609,1.0587791578,0.5312064313,0.4833833664,-0.1011753005,0.1921022146,0.2071824134,0.4168803811,0.8519349658,0.5911021925,0.0375987290,0.2192373374,-0.0408563306,2.1237873399,1.1224099571,-0.1240823438,0.0401129422,0.0938955087,-0.1048514448,0.4700387904,0.0133025040,1.2185817174,0.1787676166,0.0743520494,0.9059117025,-0.0287181588,0.0364966773,-0.0385395422,-0.0217998318,-0.0505662713,1.1939883348,0.0030125228,1.7690416786,2.6896760001,0.1998820402,1.0210926999,1.3094834884,0.3479697749,-0.1072041952,-0.2747554749,-0.0726881843,-0.1262440262,-0.1355556808,BRCA
GSM480990,0.3166647480,-0.0555891884,-0.0744136228,0.8183849113,0.3805084057,0.9678177219,-0.0887890212,2.3939645291,0.2749733657,0.0480474158,0.1955064154,-0.0240894286,1.2928899753,1.3805175386,1.2059587278,0.6375199349,1.3057659769,0.1005073776,-0.0504726552,0.5721652171,1.4284008093,-0.0773540400,-0.1534946757,0.6365606239,2.3051380366,0.3596986547,0.4130142646,1.2702010869,-0.0676458303,-0.0242624128,0.1569095779,0.7562215037,-0.1563080516,-0.1445224128,-0.1840325179,1.4319557610,0.9502829010,0.8848261701,0.6777075047,1.9516628450,0.3219937040,1.2569765001,1.3165193795,-0.0541695836,0.4307222246,0.1950829520,0.8327552467,-0.1406402458,0.5701667320,1.2032701898,-0.0345598439,1.9801055864,-0.1134931392,-0.0677892822,1.4343192951,0.2047472435,0.9752111733,0.4948035199,0.5190951805,-0.0898131300,0.1991758036,0.3392335310,0.4040678319,0.5468216389,0.5124700949,0.1545863018,0.1815268757,-0.1292774052,1.1991209335,1.1399565821,0.0414263996,0.1445519146,0.0859327726,-0.1168329701,0.3495328669,0.2451527447,0.8158590440,0.1661497030,0.2597094051,1.0702363388,0.2468266006,-0.0570322130,-0.0441175239,-0.0152148257,-0.0738812136,1.1523818072,-0.0577879403,1.3251033657,2.2032395589,0.0764739330,0.6030732589,1.3122771946,0.2711160333,0.0162873660,-0.0756518555,-0.0923157431,0.0351502841,-0.0157200603,Control
GSM480991,0.2500861962,-0.0295356824,-0.0467888096,1.0469395604,0.4695376563,1.0414880084,-0.0281417546,1.8290236989,0.2449685031,0.2907817717,0.5429381570,0.0096481766,1.1701500476,1.3113478908,0.8869519606,0.4446749834,1.2026453590,0.2379799158,-0.0534065351,0.6132513040,1.4307339596,-0.1146401153,-0.1411837970,0.9760675002,2.3032767924,0.3676016834,0.4572952855,0.1146655146,-0.0905232279,-0.0387195160,0.0010899390,1.1222321147,-0.1673274888,-0.1728493255,-0.1859649509,1.3351861720,0.9142568514,0.9091269938,0.8510372681,2.3958708842,0.3367405246,1.2472408378,0.4921195606,0.1957089166,0.3718392522,0.0580118667,0.4582523614,-0.1590461786,0.6246844594,0.9586069049,-0.0434485409,1.5307328514,-0.0085634497,-0.0556087527,1.4974810705,0.1986639752,0.9436757888,0.6351671688,0.5461958677,-0.0539851167,0.1473591978,0.4123026472,0.5071865046,0.6482640730,0.7236467786,0.1750445278,0.3723191662,-0.1158871563,1.5476096728,1.0769064036,-0.0002323736,0.1220167010,0.8448822292,-0.0354265188,0.4903383693,0.1592403697,1.9517531172,0.4247659047,0.1632871340,0.9895387815,0.4888265900,0.4451607267,0.0022260549,0.1726690396,-0.1031896050,1.1897217152,0.0007301160,1.6375737222,2.2356395307,0.2183779771,1.0204976901,1.1380086821,0.4669592679,-0.0287864372,-0.1731978334,-0.0621004389,-0.0616410336,-0.0553188407,Control
GSM480992,0.2476967987,-0.0199208882,-0.0848685851,0.6665939561,0.3800862124,1.1829189250,0.0086078481,2.3328941266,0.3295684198,0.0814318765,0.3445932802,0.0098416810,1.2670981353,1.0945445186,0.8968451944,0.4867185676,1.0801601244,0.1965720367,-0.0462475456,0.4795048717,1.5164660945,-0.1523727468,-0.1471509594,0.5103113658,1.9482593239,0.1906451891,0.3674736292,0.2461778623,-0.0796946813,-0.0268258417,0.0448783156,0.0302081386,-0.1863134343,-0.1686027116,-0.1159208217,1.6510699948,0.5848525959,0.7785944211,0.6149415073,2.3023018834,0.1333302662,0.8925691490,0.5289712192,0.0556201556,0.3555988693,-0.0417928508,0.7112178834,-0.1480111448,0.5310987036,1.3458300016,-0.0266702802,1.8464471474,-0.0424288371,-0.0616170052,1.2969635930,0.1431735181,1.1712464989,0.5340362522,0.6923516668,-0.0616241511,0.2228041516,0.1930754964,0.4130200728,0.9082788116,0.4097217267,0.1619838233,0.3079451628,-0.0921796232,1.8157576812,1.2896809784,-0.0495075427,0.0927470139,-0.0703406178,-0.1407995569,0.3735262640,0.2146601245,1.2877959238,0.3493119074,0.1224954221,0.9142842770,0.0087293616,0.0764855271,-0.0332857417,-0.0538811761,-0.1084414386,1.3154176546,-0.0160611587,1.4677773779,2.3307807697,0.1025927702,0.7441449755,1.1863660183,0.2941609059,-0.1138536607,-0.1843718206,-0.0304064613,-0.0767812506,-0.0611096598,Control
GSM480993,0.3786722400,-0.0284443403,-0.0384183934,1.1139041867,0.5930127984,1.0978839582,0.0741362215,1.9907199673,0.3003267815,0.2383615070,0.4851258332,0.0090587195,0.9880169092,0.7957346365,0.9020118648,0.4554820714,1.2183062536,0.1911242960,-0.0642143741,0.5834782023,1.3899838875,-0.1179253427,-0.1658804081,0.7468825014,2.2365040929,0.2692942816,0.5721119152,0.0334400552,-0.0853780674,-0.0520990045,0.2203348601,0.6293743797,-0.0972517151,-0.1339600720,-0.1286299384,1.3811694917,1.0657076714,0.9887021055,0.6775370245,2.1670868793,0.2735164897,0.9085881339,0.4068696729,0.2499947586,0.3556248992,-0.0141177758,0.3843497409,-0.1081225405,0.7338769277,0.9450695349,-0.0896386958,1.4765024371,0.0611034877,0.0025515491,1.6592786313,0.2477899835,0.7930191697,0.5554828322,0.6579530155,-0.0954193931,0.0549426040,0.2754902696,0.4741801064,0.7940912880,0.7140314231,0.0750380798,0.5537918077,-0.0937452182,1.6241304980,0.9961075650,-0.0023920666,0.0791702164,0.1024647596,-0.1270389886,0.6978857851,0.1564938422,1.7717089691,0.2084418686,0.1472219157,0.9366969699,0.3206592424,0.3591011205,-0.0914440821,-0.0270253466,-0.0934126654,0.9243113236,0.0128239214,1.6169113333,2.5175289595,0.1875540034,1.0595477061,1.3608774774,0.3669146274,-0.0829404122,-0.1479692379,-0.1244298857,-0.0306474256,-0.0614343684,Control
