@relation data

@attribute id string
@attribute 3141 numeric
@attribute 686 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,-0.0532284428,0.1720412420,BRCA
GSM480985,0.0158683619,0.3607886763,BRCA
GSM480986,-0.0345881272,0.3192815291,BRCA
GSM480987,-0.0392808754,0.1706910416,BRCA
GSM480988,-0.0278255116,0.2658024897,BRCA
GSM480989,-0.0704858247,0.3058535814,BRCA
GSM480990,-0.0322776526,0.1574124613,Control
GSM480991,-0.0835682963,0.3781250969,Control
GSM480992,-0.0243003391,0.1076817840,Control
GSM480993,-0.0056483883,0.2929235327,Control
GSM480994,0.0080976206,0.2685770033,Control
GSM480995,0.0031630886,0.3146112890,Control
GSM480996,-0.0091122831,0.1712419253,BRCA
GSM480997,-0.0662949723,0.1593255688,BRCA
GSM480998,-0.0065504549,0.1726440837,BRCA
GSM480999,-0.0574015792,0.2851830237,BRCA
GSM481000,-0.0467109946,0.2955213352,BRCA
GSM481001,0.0306698023,0.2918929056,BRCA
