@relation data

@attribute id string
@attribute 114609 numeric
@attribute 1499 numeric
@attribute 1855 numeric
@attribute 207 numeric
@attribute 23643 numeric
@attribute 2770 numeric
@attribute 2932 numeric
@attribute 324 numeric
@attribute 3654 numeric
@attribute 3929 numeric
@attribute 4615 numeric
@attribute 4790 numeric
@attribute 51176 numeric
@attribute 5170 numeric
@attribute 5290 numeric
@attribute 5295 numeric
@attribute 54472 numeric
@attribute 5515 numeric
@attribute 5610 numeric
@attribute 595 numeric
@attribute 5970 numeric
@attribute 7099 numeric
@attribute 7471 numeric
@attribute 8312 numeric
@attribute 8321 numeric
@attribute 929 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,-0.0262908796,0.9433099893,1.9197415728,1.9397812022,0.5479991188,0.9581370279,1.2060972602,0.3981079434,1.1724569916,-0.0849194403,2.0220233733,0.4754300158,-0.0609185226,0.7530524665,0.6502234032,0.7694715564,0.4149838673,1.7623662382,1.9213543832,1.5825335458,0.8525465690,0.2804396783,-0.1784286854,0.0194719580,0.6079061520,0.2275129454,BRCA
GSM480985,-0.0505063202,1.1109306672,1.1703327198,1.4054429928,1.5010899506,0.9909502640,0.8787267861,0.2601429904,0.9020442569,-0.1344188681,1.8178075153,0.4509238059,-0.1205094834,0.6827738690,0.8534231111,1.5476133191,0.4134928607,1.5972294421,1.9373695652,1.5935095322,0.8536376064,0.4057916362,-0.2227140021,0.0196088935,0.6363046326,1.7338282930,BRCA
GSM480986,-0.0540329919,0.9477347201,1.4138166258,1.7577156492,0.7871840811,1.1200479176,1.3099040800,0.2144276956,1.2574874233,-0.0973488538,2.2257816393,0.3572855135,-0.0845531220,0.6777039026,0.3758222094,0.9370587028,0.4605955901,1.6820185006,2.0651082593,1.9378681357,0.9353946786,0.4525440362,-0.2109329382,-0.0080926579,0.5543586761,0.6535826392,BRCA
GSM480987,-0.0733433564,0.7213038760,1.1244374067,1.6769249506,2.5712111392,1.4479325302,1.1273281686,0.0411869942,1.1661598228,-0.0868330574,1.6798553201,0.2389650019,0.2274401900,0.5721121385,0.4246866423,0.9460729968,0.3912688259,1.7100764543,2.3265610238,1.2294952867,0.8780260834,0.0066104551,-0.2920788191,-0.0179345891,0.5006304462,0.3220012047,BRCA
GSM480988,-0.1251689817,0.8318137222,1.1592974100,1.1675294143,0.6935721967,0.7840176249,1.5309302174,0.1999644395,1.1451398267,-0.0927688793,2.2301817603,0.2502003758,-0.0362709062,0.3119734156,0.5025178531,0.6583551200,0.2983860827,1.5759464525,2.2814113895,1.0011213121,0.6707278885,0.2433668587,-0.1896429905,-0.0275964493,0.5828108958,1.4099554420,BRCA
GSM480989,-0.0669980058,0.9154817797,1.6571678850,2.3074461223,0.2856450367,0.4984121071,1.3318944331,0.1645981787,1.4132617302,-0.1576438053,2.0839382543,0.1723780840,-0.1170667829,0.6968581951,0.3040667095,0.5104212239,0.5998023920,1.3931663536,2.0604030293,1.7276778767,1.1224099571,0.0364966773,-0.2957198480,-0.0369311500,0.4903254279,1.6581963303,BRCA
GSM480990,-0.0878610729,0.8344820888,2.2193822246,2.3939645291,1.1568122738,1.2059587278,1.3889006043,0.1217091008,1.4319557610,-0.1457245447,1.9516628450,0.3219937040,-0.0439781166,0.6259951810,0.4307222246,0.5701667320,0.4585669116,1.4343192951,2.0639327617,1.6585228148,1.1399565821,-0.0570322130,-0.2169761581,0.0606553730,0.3496120568,0.3180846662,Control
GSM480991,-0.0440033018,0.9456861730,1.5516097281,1.8290236989,1.4321441188,0.8869519606,1.2929992116,0.1253455669,1.3351861720,-0.0862842814,2.3958708842,0.3367405246,-0.0690634400,0.7252390346,0.3718392522,0.6246844594,0.6122469818,1.4974810705,2.0421963037,2.0593645064,1.0769064036,0.4451607267,-0.2880659788,-0.0342619440,0.5008719263,1.0660070778,Control
GSM480992,-0.0652067411,0.7282237562,1.8551404609,2.3328941266,0.4399935394,0.8968451944,1.5241501815,0.1554057272,1.6510699948,-0.1052214939,2.3023018834,0.1333302662,-0.0951844001,0.6805748290,0.3555988693,0.5310987036,0.5975341765,1.2969635930,1.8933416455,1.9210771919,1.2896809784,0.0764855271,-0.2778281164,0.0391911526,0.4217283724,0.3765023723,Control
GSM480993,-0.0909664240,0.8789024687,1.3835353521,1.9907199673,0.5330377602,0.9020118648,1.3381779529,0.0713412618,1.3811694917,-0.0746772757,2.1670868793,0.2735164897,0.0113864971,0.7050229798,0.3556248992,0.7338769277,0.4825409210,1.6592786313,1.9780568280,1.8622661701,0.9961075650,0.3591011205,-0.2228755165,0.0153811188,0.6935565511,1.0850217011,Control
GSM480994,-0.0386112891,0.8832319727,1.6821663066,2.2647942436,0.5494847324,0.5319497713,1.2446289214,0.0992663981,1.4247562136,-0.0975426687,2.0503892763,0.1787086215,-0.0419028648,0.5992773101,0.3275596730,0.5206810317,0.4760882450,1.6759646504,2.1183074118,2.0158938641,1.0543388821,0.1030556019,-0.2383949898,-0.0652716681,0.6239188513,1.0516409608,Control
GSM480995,-0.0465021736,0.9240066777,1.7795616538,2.2447793616,1.4720932974,1.2081114893,1.3662336024,0.1420797964,1.0529507036,-0.1455600717,2.2722568910,0.3540730737,0.1889380923,1.0833046500,0.4566130469,0.5458690926,0.7259832493,1.5356110527,2.0353500547,2.1208815641,1.1591183341,0.3351957841,-0.2752839407,-0.0046059783,0.5393546701,0.4030838941,Control
GSM480996,-0.0334725585,0.9017910151,2.2946754629,2.1184759934,0.9388646220,1.4230873362,1.6376859546,0.1239875690,1.2066078646,-0.1234698702,2.1428655252,0.1904408052,-0.0093432190,0.8159209524,0.3066054066,0.4963641018,0.7158201082,1.6932988838,2.1046544113,1.5208803956,1.0762969156,0.1631409512,-0.2427328686,0.0001625943,0.3271773533,-0.1921515337,BRCA
GSM480997,-0.1067517198,0.6782551213,1.4874687260,2.3593104947,2.2381360397,1.1283741817,1.0733819690,0.0284929814,1.1538088679,-0.1702396260,1.6138731641,0.1267871698,-0.0608354720,0.6854798866,0.2881597711,0.1188000013,0.4945913054,1.1570019613,2.2264771960,1.4196624397,1.1341954818,0.1392053016,-0.3336867140,-0.0293971043,0.4470088292,0.1560456836,BRCA
GSM480998,-0.0125147897,1.1198793610,1.6396527001,2.0572760636,0.4841544669,0.9261753662,1.0945290307,0.1748987471,0.9952940758,-0.0494982204,1.7248445749,0.1354134279,-0.0265088076,1.0620929220,0.2050712937,0.6106414951,0.5219427728,1.7485351502,2.2831807535,2.0823698351,0.8914366579,0.2615310509,-0.1629901879,-0.0380968925,0.5124561497,0.5655691028,BRCA
GSM480999,-0.0328764122,1.0911619830,1.4947118451,1.6031868988,1.5845183133,1.0076496498,1.1653389801,0.3477916259,1.0248052735,-0.0703535149,2.0221930478,0.7189646635,-0.0783370848,0.9017953977,0.7125618634,1.3181974521,0.5150403132,1.6111203642,2.0500517885,1.8831457571,0.9518814928,0.5827799800,-0.2567566125,-0.0117761401,0.8738687082,1.3307631810,BRCA
GSM481000,-0.0241398274,0.9322286361,1.4529928300,1.3439433907,1.3595003982,0.7501378936,0.8716601953,0.3459488407,0.8816762644,-0.1183803606,2.1955901913,0.4366804063,-0.0713799664,0.8080812426,0.5280358451,1.0340813620,0.5143935010,1.7189759345,1.9452213150,1.6488720651,0.8998429909,0.4374435001,-0.3396237966,0.0513666335,0.7189765295,1.3152552049,BRCA
GSM481001,-0.0865174513,1.1935594894,1.7651584927,1.9257329968,0.8520574338,1.1868999637,1.1252767369,0.2334663984,0.9526552607,-0.1587185543,1.9743296968,0.5967181248,0.0464051479,0.8958595574,0.6979045826,0.8875800183,0.6331507108,1.5139088801,2.1384576957,2.2967437235,1.1184988925,0.6124650591,-0.2827797005,-0.0034613012,0.4597043521,0.1664521147,BRCA
