@relation data

@attribute id string
@attribute 10728 numeric
@attribute 1081 numeric
@attribute 120227 numeric
@attribute 147323 numeric
@attribute 15 numeric
@attribute 1583 numeric
@attribute 1584 numeric
@attribute 1585 numeric
@attribute 1586 numeric
@attribute 1588 numeric
@attribute 1591 numeric
@attribute 1594 numeric
@attribute 1621 numeric
@attribute 1644 numeric
@attribute 1733 numeric
@attribute 1734 numeric
@attribute 1735 numeric
@attribute 240 numeric
@attribute 2488 numeric
@attribute 2638 numeric
@attribute 2687 numeric
@attribute 3283 numeric
@attribute 3284 numeric
@attribute 3290 numeric
@attribute 3293 numeric
@attribute 389434 numeric
@attribute 3972 numeric
@attribute 4036 numeric
@attribute 4048 numeric
@attribute 4056 numeric
@attribute 4363 numeric
@attribute 5122 numeric
@attribute 5409 numeric
@attribute 5443 numeric
@attribute 5740 numeric
@attribute 5742 numeric
@attribute 5743 numeric
@attribute 64174 numeric
@attribute 6528 numeric
@attribute 6770 numeric
@attribute 6916 numeric
@attribute 7054 numeric
@attribute 7166 numeric
@attribute 7173 numeric
@attribute 7252 numeric
@attribute 8029 numeric
@attribute 80765 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.1566619658,-0.1434850633,0.3420003311,-0.0620568646,-0.2122519504,-0.1147729017,-0.0517968129,-0.1769262291,-0.1309749240,-0.1228340823,-0.0504121151,0.6762521676,-0.0416727741,-0.1097311941,-0.1080859772,-0.0551752419,-0.0434687516,0.1638572189,-0.1043151839,-0.0929402201,-0.1419736327,-0.1260690584,-0.0256852076,-0.0922256988,-0.1429194720,-0.1650124024,-0.1640382136,-0.0395050061,2.3232476711,-0.1012066563,2.0705750648,0.0288660322,-0.1100654206,-0.2911982873,-0.1218386340,0.3559828922,0.0763389319,-0.1399318351,-0.0381003433,-0.0933480209,-0.0834891133,-0.1843143120,-0.0809638028,-0.1905719840,-0.0125411340,-0.1059063429,0.0289621768,BRCA
GSM480985,-0.0045767851,-0.1042820176,0.4225639074,-0.0889320261,-0.1687930286,-0.0912522956,-0.0892233979,-0.1370573881,-0.0923405911,-0.1156065138,0.0688512723,0.0492544839,-0.0315753115,-0.0892573740,-0.1513702631,-0.0754458829,-0.1099915437,0.0441368668,-0.1296455524,-0.1019712618,-0.0617751201,-0.1144559782,-0.0291254468,-0.1370548489,-0.1560796877,-0.2540118693,-0.1274636294,-0.0655417924,2.4214123489,-0.0383610266,2.0166333995,-0.0328570373,-0.0375841078,-0.2368778376,-0.1576357861,0.3641204405,-0.0300743042,-0.1222379940,-0.1221546341,0.0130792591,-0.1082647094,-0.1159210932,-0.1366582915,-0.2002681866,-0.0827654912,-0.0579410969,0.0401108667,BRCA
GSM480986,-0.0093515031,-0.1055345169,0.4151423776,-0.1038189788,-0.2013311834,-0.0649920244,-0.0634685013,-0.0958758904,-0.1266649387,-0.1046364038,0.0370769572,0.4725129920,-0.0143113679,-0.0614484214,-0.0718202496,0.0098413178,-0.0929044923,0.0874444216,-0.0794397704,-0.1007923831,-0.1102548969,-0.1050936194,-0.0985102969,-0.0124238449,-0.0796284940,-0.1370287471,-0.0445785416,-0.1181183042,2.3247029782,-0.0489616658,2.3016493732,-0.0491668717,-0.1109031416,-0.2470346874,-0.1553348210,0.4908392368,0.0178532619,-0.1195839523,-0.0980184092,-0.1628138923,-0.0604042063,-0.1356675994,-0.1005429893,-0.1465035816,-0.1172388479,-0.1285692591,0.0181271228,BRCA
GSM480987,-0.0294170698,-0.0277956750,0.4432603387,-0.1057496468,-0.1266271734,0.2199507061,-0.0553565302,-0.1723883862,-0.0253170796,-0.0626044612,-0.0487123020,-0.0377739555,-0.0236597029,-0.0325372560,-0.0580019019,-0.1045794659,-0.0787148836,-0.0828422160,-0.0880560033,-0.1445100790,0.1948309065,-0.1282167191,-0.0155444950,0.6024631615,-0.0075824690,-0.0888316580,-0.1012990114,0.0041126611,2.2965442241,-0.1109817679,2.7513437551,1.3492069244,-0.0313531061,-0.2855707779,-0.0162960913,0.9660276539,0.0989996669,-0.0190774926,-0.0581484990,-0.0707300399,-0.0360427475,-0.0232365340,-0.1087687143,-0.2170409051,-0.1127715625,-0.0201540869,0.0767349817,BRCA
GSM480988,0.1326511386,-0.0943072840,0.3842554966,-0.0487023967,-0.2445749494,-0.1088257607,-0.0301224504,-0.1353240655,-0.1252377212,-0.1157026491,-0.0796063244,0.4183523013,-0.0938466405,-0.0856328194,-0.0744132684,-0.0882025722,-0.0665785772,-0.0168732813,-0.0657663360,-0.0047288821,-0.1269290171,-0.0730814949,-0.0813058030,-0.1610025196,-0.1005168288,-0.1596917900,-0.0592949161,-0.0227466062,2.8808846920,-0.1079082531,2.3438045994,-0.0204439056,-0.1493429694,-0.1893912958,-0.1324027182,0.4200770837,0.0590901193,-0.0523953864,-0.0284353892,-0.0393245480,-0.0674500442,-0.0292729959,-0.1440232458,-0.1143581137,0.0112772534,-0.0881987639,0.1573516569,BRCA
GSM480989,0.1648732898,-0.1766031547,0.2789596845,-0.0812916210,-0.3451129470,-0.1328392287,0.0409154554,-0.1486729315,-0.1070825364,-0.1049361101,0.0245542120,0.2394174389,-0.0471945257,-0.1210331493,-0.0432053571,-0.0910713367,-0.1209422532,0.1086193152,-0.1344142110,-0.1343119338,-0.1865025629,-0.1276980924,-0.0991844043,-0.1520772361,-0.1277233974,-0.2112194296,-0.2346195910,-0.0660037025,1.9485554694,-0.1587169462,2.4260728815,-0.0310194022,-0.0200465962,-0.3538861063,-0.1959064733,0.5738048525,0.0133889897,-0.1370080761,-0.0292425270,-0.1054411284,-0.0124124234,-0.1206839850,-0.0888880734,-0.2362791617,0.0258769820,0.0035345330,0.0214873046,BRCA
GSM480990,0.0833557844,-0.1825207448,0.1646413507,-0.0888166962,-0.2561854748,-0.0083417500,-0.0791482217,-0.0982952890,-0.0834655177,-0.1077634457,-0.0880355384,1.2446684426,0.0107198580,-0.0624192063,-0.0096933229,-0.0946472762,-0.0533524796,-0.0208881577,-0.1063128236,-0.1714955841,-0.1539158821,-0.0601342270,0.0115911391,-0.1075533706,-0.0837320657,-0.0619801050,-0.1132930453,-0.0616830675,2.4402125178,0.0120328133,2.7277049519,0.0877789577,-0.0111749963,-0.2235616860,-0.1791415912,0.1927727252,0.1267204625,-0.1545077657,-0.0538250656,-0.0137685774,-0.0983142367,-0.1015555037,-0.1387458115,-0.1484531717,0.0306857960,-0.0868680339,0.4412591076,Control
GSM480991,0.0186013431,-0.1340164009,0.4045301538,-0.1149260134,-0.2386236849,-0.0849322803,-0.0849389998,-0.1509645747,-0.0430091283,-0.0972463663,0.0808101510,0.3527387360,0.0005197486,-0.0785714785,-0.0305386631,-0.0552970866,-0.1575478589,0.1225535643,-0.1106001484,-0.0699414439,-0.1462610633,-0.1294300689,-0.0397146810,-0.0759593549,-0.0762571709,-0.1040881067,-0.1787582317,-0.0060750789,2.3719075471,-0.1710218027,2.4560298621,0.0218919824,-0.0947325787,-0.3622813711,-0.1766819144,0.3827540398,0.0958185670,-0.1582051458,-0.0477646018,-0.1348345949,-0.0272934242,-0.1109221383,-0.1169805895,-0.2746332692,-0.0557563593,-0.0864040191,0.1663084356,Control
GSM480992,0.0890360093,-0.1276378398,0.1379094694,-0.0214055533,-0.2670332966,-0.0575757432,-0.1149426852,-0.1024882624,-0.0906604110,-0.0779794156,0.0001996498,0.8943518511,-0.0677153814,-0.0980133674,-0.0385455806,-0.1077790793,-0.0895986822,0.0732952315,-0.1437892863,-0.0392942278,-0.1639955076,-0.0696773364,-0.0641887224,-0.0405308739,-0.0776803730,-0.0144482064,-0.1210096584,-0.0205339758,2.4556494951,-0.1457722036,2.8129363832,0.0360998569,-0.1159863042,-0.3573909894,-0.1194875709,0.6496253179,-0.0089352386,-0.1221605926,-0.0877056302,-0.0897996404,-0.0354851039,-0.0821576885,-0.0916270142,-0.2362275447,-0.0419012159,-0.0606744609,0.2602563177,Control
GSM480993,0.0294039170,-0.1552988416,0.3277837369,-0.1469940373,-0.1182166810,-0.0515962133,-0.0705317267,-0.1026405304,-0.0734561855,-0.1179086042,0.0214341763,0.8422161342,0.0160970758,-0.0779785232,-0.0831481504,-0.0497566985,-0.0819638623,0.1112547602,-0.1000100273,-0.0767047871,-0.0774891284,-0.1106595818,-0.0312253192,-0.0555869135,-0.0487826172,-0.0940602516,-0.1105362216,-0.0531698814,2.2827373295,-0.0505769099,2.3617568100,-0.0008712434,-0.0366512581,-0.2516797997,-0.1372318670,0.4708882125,0.0211076165,-0.1178870321,-0.0861035629,-0.1516037073,-0.0384693646,-0.1145601916,-0.0471239394,-0.1609450028,-0.0578612518,-0.1017717017,0.1773244923,Control
