@relation data

@attribute id string
@attribute 1432 numeric
@attribute 1950 numeric
@attribute 1956 numeric
@attribute 4214 numeric
@attribute 5914 numeric
@attribute 6256 numeric
@attribute 7067 numeric
@attribute 7068 numeric
@attribute 7704 numeric
@attribute 9612 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.4174692793,-0.0304579000,0.1537555695,0.4242359363,0.0054718762,0.9204617303,0.5132870998,-0.0299611713,-0.0415352312,0.6874854405,BRCA
GSM481003,0.3061586227,0.6191529817,0.0484339897,0.4940745450,0.0321289996,0.8595386953,0.3944252556,0.0930587498,-0.0580289182,0.7163258048,BRCA
GSM481004,0.4136280409,0.1518570445,0.2059234660,0.2035975778,-0.0550780728,1.2359945222,0.5449784905,0.0393373517,-0.0913935064,0.6584890430,BRCA
GSM481005,0.3984561536,0.4012778942,0.2165325873,0.5196754609,0.0193623169,1.0320280119,0.4561960839,0.0171683441,-0.0902552974,0.6896472373,BRCA
GSM481006,0.3921763096,0.3139419490,0.1430200110,0.4536705289,0.0438292581,0.9341763254,0.3525535757,0.0687113779,-0.1037629724,0.7054856620,BRCA
GSM481007,0.2309822093,0.0250401876,0.1262126311,0.3479610627,0.0882056575,0.8169288688,0.4137745261,0.3015167219,-0.0501626701,0.6862365284,BRCA
GSM481008,0.3457279783,-0.0105014925,0.2092566926,0.3505251462,0.0870531864,1.1870108308,0.4533112129,0.0106452028,-0.0265493276,0.7017897840,Control
GSM481009,0.2764711754,0.1017885568,0.0047963763,0.3211863863,-0.1141318615,0.6041149985,0.2209626986,-0.0072874223,-0.1258245725,0.4083086616,Control
GSM481010,0.3582406002,0.0557148577,0.2403421661,0.6825766645,0.0060520500,0.9438281523,0.3607524621,-0.0045611495,-0.1066722102,0.7349074932,Control
GSM481011,0.1895736574,0.0734742197,0.1001883706,0.1779143085,0.0494356066,1.0993553696,0.4717650682,0.0338476386,-0.0086285076,0.6455582645,Control
GSM481012,0.3378831189,0.0148822237,0.2196793913,0.2965689986,-0.0119034234,1.0789767382,0.3872448963,0.0360067291,-0.0945295104,0.5919343833,Control
GSM481013,0.4947108470,-0.0495386965,0.1439852360,0.3763879107,0.0679759015,1.1169746970,0.4332902287,-0.0463067980,-0.1296490278,0.8019038746,Control
GSM481014,0.5363523807,0.1841504095,0.1133419890,0.5008747424,0.0934995478,1.0617745398,0.4180917037,0.0834615854,-0.0320977157,0.7374089158,BRCA
GSM481015,0.3073236268,0.1114942539,0.1313431334,0.4592926655,0.1600088173,1.1480176262,0.6139884568,0.3031281084,-0.0629729968,0.7384940435,BRCA
GSM481016,0.4468257379,0.1480843542,0.1587452459,0.4015364118,-0.0427479039,0.7914652986,0.3642406485,0.0244328816,-0.0266577987,0.6046864755,BRCA
GSM481017,0.4272267166,0.1464080864,0.1598385778,0.5300333258,-0.0195518144,0.5753589615,0.1702208652,-0.0247501249,-0.1218720111,0.5305203218,BRCA
GSM481018,0.4488102300,-0.0302334911,0.0214997668,0.2985294562,0.0578485642,1.4082362606,0.6129631148,0.1957636366,-0.0654963652,0.6250768967,BRCA
GSM481019,0.4176905511,1.1363345460,0.2886040990,0.4775718625,0.0722920809,0.9786249436,0.4261557078,0.2082761031,-0.0314867994,0.7656735604,BRCA
