@relation data

@attribute id string
@attribute 10479 numeric
@attribute 10568 numeric
@attribute 10723 numeric
@attribute 10861 numeric
@attribute 10991 numeric
@attribute 11136 numeric
@attribute 11254 numeric
@attribute 115019 numeric
@attribute 115111 numeric
@attribute 117247 numeric
@attribute 121260 numeric
@attribute 123041 numeric
@attribute 124935 numeric
@attribute 140679 numeric
@attribute 142680 numeric
@attribute 160728 numeric
@attribute 1811 numeric
@attribute 1836 numeric
@attribute 206358 numeric
@attribute 23315 numeric
@attribute 23428 numeric
@attribute 23657 numeric
@attribute 246213 numeric
@attribute 25769 numeric
@attribute 26503 numeric
@attribute 285195 numeric
@attribute 348932 numeric
@attribute 51296 numeric
@attribute 5172 numeric
@attribute 54407 numeric
@attribute 54716 numeric
@attribute 55089 numeric
@attribute 55117 numeric
@attribute 56301 numeric
@attribute 57030 numeric
@attribute 57084 numeric
@attribute 57419 numeric
@attribute 57468 numeric
@attribute 57835 numeric
@attribute 65010 numeric
@attribute 6505 numeric
@attribute 6506 numeric
@attribute 6507 numeric
@attribute 6508 numeric
@attribute 6509 numeric
@attribute 6510 numeric
@attribute 6511 numeric
@attribute 6512 numeric
@attribute 6519 numeric
@attribute 6520 numeric
@attribute 6521 numeric
@attribute 6522 numeric
@attribute 6528 numeric
@attribute 6533 numeric
@attribute 6539 numeric
@attribute 6541 numeric
@attribute 6542 numeric
@attribute 6543 numeric
@attribute 6546 numeric
@attribute 6547 numeric
@attribute 6548 numeric
@attribute 6549 numeric
@attribute 6550 numeric
@attribute 6553 numeric
@attribute 6557 numeric
@attribute 6558 numeric
@attribute 6559 numeric
@attribute 6560 numeric
@attribute 6564 numeric
@attribute 6565 numeric
@attribute 6568 numeric
@attribute 6569 numeric
@attribute 6574 numeric
@attribute 6575 numeric
@attribute 80024 numeric
@attribute 8140 numeric
@attribute 81539 numeric
@attribute 83697 numeric
@attribute 84679 numeric
@attribute 84889 numeric
@attribute 8501 numeric
@attribute 8671 numeric
@attribute 9056 numeric
@attribute 9057 numeric
@attribute 9187 numeric
@attribute 92745 numeric
@attribute 9497 numeric
@attribute 9498 numeric
@attribute 9990 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,2.0628143251,-0.0536932810,1.3702919946,-0.0951375196,-0.2513510150,-0.0851923521,-0.0391907532,0.0572101611,-0.1402396048,-0.1022339759,2.0404158621,-0.1057739070,0.0274682948,-0.0885500834,-0.0946474059,-0.2121075933,-0.0981845281,0.4066918336,0.5285675225,0.5233850843,-0.0514682266,0.3259155345,-0.1946051861,0.0327135994,1.5075395107,0.0264386856,-0.0371093363,0.4295823500,-0.0453244190,3.6058319348,-0.1140614874,0.0062959197,-0.1207188330,0.0453918304,-0.0000698680,-0.0145773978,0.1391242112,-0.0426755333,-0.1307231039,0.0360101014,0.4203945094,-0.0002374172,-0.0995750373,0.2614196862,1.4631357251,0.7116258862,-0.1001435465,0.0044516339,0.1573023022,1.0642599091,-0.0747420147,1.2943901155,0.0019510652,0.1016195889,-0.1898948362,1.0983103948,-0.0301824587,-0.0493287561,0.1390267046,-0.0921120398,0.6690897846,-0.1796309646,-0.1863708721,0.0963210790,-0.0103186906,0.4270012921,-0.1289939387,0.1754939356,-0.0702520439,-0.0210977912,-0.1176177014,-0.1533436165,2.3820411266,0.7748393705,0.3408072944,3.0958941083,1.7467228668,-0.1361854094,0.3848370480,-0.1778642829,0.0152429027,0.2858685850,1.0533968015,1.2127824357,0.1679826281,-0.0863236984,0.3631992721,-0.0671815139,0.1390215904,BRCA
GSM481003,1.7534952461,0.2511551831,2.1085872252,-0.0731013429,-0.2490484351,-0.0551044716,-0.1369555222,-0.0046001451,-0.1618535390,-0.0847357664,2.2012647320,-0.0982771570,0.0266297243,-0.0212110749,-0.1157691485,-0.2403992449,-0.1116033603,0.4110414208,0.3388727000,0.5795689253,0.2404067679,0.1920633167,-0.1598713529,-0.0325346197,1.2233052281,-0.0103219220,-0.0170126595,0.7000821084,0.0603230179,2.5339683616,-0.0794068499,0.1527921158,-0.0735235904,0.0145377032,-0.0120252059,-0.0321938457,0.0652851802,0.3391977661,-0.0936489264,0.1886052584,0.2530699219,-0.0105612511,-0.0821225408,0.9086957689,0.9528767243,0.4969720908,-0.1381146698,-0.0780879230,-0.0029962156,1.1784538850,-0.1217653847,1.6990702758,0.0535199220,0.3382635053,-0.0933276417,1.0021141232,0.2332416568,-0.0504648199,-0.0066117160,-0.0194538561,0.8637242620,-0.1161656849,-0.1265332241,0.0935070826,-0.0218951729,0.5860435491,-0.1546418060,0.1615913108,-0.0819574369,-0.0245742681,-0.0992399315,-0.1332709762,1.9561133757,0.7389186210,0.4722580987,2.9693937060,1.0347373160,-0.1393142949,0.1594580097,-0.1270443181,0.0110471388,0.2950577102,3.3803748786,0.9232766772,0.0828176458,-0.1703153164,0.2381339890,-0.0273496717,0.0520275337,BRCA
GSM481004,1.7445537447,-0.1069183931,2.3340815638,-0.0561402371,-0.1710969960,0.0352096954,-0.0439458742,-0.0102032810,-0.1696865036,-0.1383013852,2.3238454706,-0.1187044269,0.0635775022,0.0152892282,-0.0532015863,-0.2177284266,-0.1205908433,0.3649162083,0.5435693705,0.4427734051,0.0579067908,0.1883889754,-0.1281701670,-0.0700916268,1.2703084841,-0.0131115713,-0.0137898308,0.8280869536,-0.0499743166,2.8747231180,-0.1378771465,0.0064741394,-0.0760834821,0.1169879233,-0.0405235289,-0.0154370845,0.3132942334,0.0005175245,-0.0911631954,0.1339610057,0.3460644549,-0.0069383934,-0.0975107960,0.8795465248,1.1249981973,0.5845215404,-0.1091153453,-0.0291844984,-0.0151410789,0.8052782305,-0.0959559414,1.6058463370,0.0116432662,0.1697495777,-0.1865391859,0.9043216150,0.1113599429,-0.1106030340,0.0518370410,-0.0687351147,0.9163998216,-0.1835221566,-0.1987233534,0.0956054512,-0.0049876229,0.4257083723,-0.1433231266,0.1366727351,-0.0489707264,0.0106521532,-0.1321580531,-0.1245415306,2.0571134016,0.8541482585,0.3940385524,2.5651396421,1.2379832005,-0.2384548770,0.3589967622,-0.1582307988,0.0882112505,0.3563124613,1.2604891637,1.0612207330,0.1763335488,-0.0603875859,0.6583025864,-0.0144695107,0.2012171782,BRCA
GSM481005,2.2260479182,-0.1186916241,1.5212159621,-0.1128533737,-0.1299099901,-0.0664451508,-0.0706077616,0.0418361895,-0.1523247184,-0.1028657085,2.2839273004,-0.0969182363,0.0780882221,-0.0933811990,-0.1135329080,-0.2232175098,-0.1348167149,0.6045450681,0.4900437603,0.4109159542,0.0257004828,0.2692487397,-0.1736266050,-0.0410753783,1.4654573272,-0.0611055658,-0.1146487464,0.2198724293,-0.0398030831,3.5654923733,-0.1560966211,0.0391154509,-0.1106354174,0.0403998370,-0.0408336422,0.0002734990,0.7677246117,-0.0070871045,-0.0967006235,-0.0137848623,0.3768772682,-0.0184596019,-0.1413066680,0.6573531891,1.2838330523,0.5949992733,-0.1192944581,-0.0769762768,0.2932693281,0.8054992631,-0.0867123288,1.2091922725,-0.0891438230,0.3099587599,-0.1932015564,1.0320349841,0.0534670088,-0.1332247351,0.2072769159,-0.0278459476,0.8318093922,-0.1877589040,-0.1350571373,0.1021031736,-0.1244036288,0.7789582627,-0.1138278092,0.2393783876,-0.0870004896,-0.0368365633,-0.1330682318,-0.1310570029,2.3258094414,0.8527880501,0.2677062273,2.7982509932,1.4542278580,-0.1576536171,0.6410109508,-0.1514923643,-0.0269900337,0.4715396177,1.0002822811,1.2208243472,0.1537569442,-0.0948124649,0.8575349993,0.0325406181,0.3009273530,BRCA
GSM481006,2.1265034527,-0.1419179241,1.3442979553,-0.1455540917,-0.2940578683,-0.1400582687,-0.1016957751,-0.0210596289,-0.0944437790,-0.1116182146,2.4074771824,-0.0821812572,0.0117562195,-0.0918604560,-0.0875238266,-0.2380189581,-0.1138412327,0.5209632047,0.4563997772,0.4699457839,0.1542058216,0.3078348115,-0.0955088911,-0.0260119512,1.0787929981,-0.0124509472,-0.0314978091,1.2648051754,-0.0989573047,3.3525722943,-0.1281415029,0.0745497536,-0.0760499389,0.0979890619,-0.0717298468,-0.0700602811,0.3296265273,0.0664711494,-0.1141786533,0.0775510294,0.2835446625,-0.0212718913,-0.0851286274,0.3753794762,1.1917128495,0.7220667821,-0.1136380976,-0.1116155404,0.2287758366,1.0298021009,-0.1024362462,1.4687983899,-0.1663582601,0.2220036607,-0.2068345401,1.2123747995,0.1739594307,-0.1232261744,0.0626692631,-0.0301475754,0.6072934194,-0.1308057737,-0.1408054935,0.1192866016,-0.0578653200,0.5444996427,-0.1414588844,0.1134403871,-0.0968600171,-0.0674649704,-0.1091602222,-0.1377684583,2.0661989563,0.7746626836,0.2699195359,2.8645694223,1.5960727593,-0.1805316249,0.3180357284,0.5620534734,-0.0239824905,0.4215005838,2.2209555952,0.7862128724,0.1722589331,-0.1906893402,0.4653968750,-0.1178642398,0.1534740302,BRCA
GSM481007,1.2332762928,0.9140579254,1.4872572851,0.0063021084,-0.1936295373,0.0348443796,-0.0428596152,-0.0513208383,-0.0762372000,-0.0703692762,2.1394559986,-0.0590335129,0.0422752873,-0.0395157548,-0.0514631053,-0.2822167534,-0.1068503252,0.1434164360,0.4214219282,0.6810882952,0.3943790466,0.1472276414,-0.0385835303,-0.0835470577,2.3141547651,0.0145746826,0.0401599599,0.9954768231,0.0272212650,2.8689898437,-0.0682594401,0.1308195483,-0.0695618336,0.0408513704,-0.0375288918,0.0204820734,0.2207442816,0.3687182285,-0.0897321765,0.1453774297,0.0987624885,0.0059012931,-0.0492060854,0.7139072106,0.7797781198,0.6693948651,-0.0936390980,-0.0630281856,0.0184799502,1.0760960541,-0.0853913140,2.1508602741,-0.0746448371,0.4069145285,-0.1228644879,0.9666912159,0.0314051894,-0.0952232171,-0.0659352094,-0.0387231025,0.6255749410,-0.0861601467,-0.0414766385,0.2310919975,-0.0336251855,0.4663079068,-0.0951395183,0.2077078473,-0.0149348837,-0.0654964448,-0.1036179120,-0.0960281600,1.8324678168,0.5107407471,0.4565030279,2.5395373437,1.7362112936,-0.1795641889,0.0948761532,-0.1351585130,0.1524923344,0.6659851471,2.8273824750,0.5873558987,0.1250287866,-0.1303087278,0.4863096826,-0.0974870773,0.3138178375,BRCA
GSM481008,1.3858215510,-0.0325605296,1.7902218964,-0.0121546140,-0.2063531934,-0.0212403164,-0.0494108672,-0.0545459469,-0.1677958234,0.1044837577,1.3097861549,-0.1037976190,0.0196124715,-0.0640147491,-0.0683206175,-0.2802130674,-0.0261652473,0.5927285290,0.1144533748,0.1233902617,-0.0007234304,-0.0004364968,-0.1170537028,-0.0612091766,0.9094590724,-0.0179385395,-0.0253049328,0.5217043534,-0.0198401475,2.5674116520,-0.1059481565,-0.0734864451,0.0153706186,0.0556168473,-0.0125828434,0.0227741264,-0.0418659816,-0.0479848526,-0.0923714712,0.7430422321,-0.0340403939,0.0051838737,0.1289426096,0.5228046608,0.6224052459,0.3630713050,-0.1616110640,-0.0588638933,-0.0716406371,0.7771752850,-0.1689015321,1.8804270122,-0.0723017654,0.3660615924,-0.2136515826,0.8549770189,0.5652153820,-0.1475826604,-0.0225599359,-0.1140302434,0.7507656030,-0.1860059529,-0.1934424104,0.1319487466,-0.0497909336,0.6499279548,-0.0775100940,0.1184946754,0.0671608268,-0.0450255271,-0.1362838474,-0.1272167442,2.2177534921,0.5144580476,0.3239218077,2.1163033113,0.7785671477,-0.1343419407,0.2545675693,0.0373929250,0.1116742381,0.1094217652,0.2168788342,1.0073654442,0.1178705370,-0.1700188871,0.8059698499,0.0983233531,0.1480934667,Control
GSM481009,1.3902106136,0.0090992673,1.2235246010,-0.2221027830,-0.5304901632,-0.0643638791,-0.1119067686,0.0401734581,-0.1609090430,-0.1474369138,1.5107410217,-0.0309298296,-0.1679242924,-0.2645483151,-0.0701619858,-0.6997014994,-0.1603771230,0.3198145073,0.2836709722,0.0271944239,-0.0436125312,0.5311269546,-0.0632457147,0.0940232579,1.1992714527,0.1300447506,-0.1882186270,0.1643922160,-0.1903751139,4.3183623736,-0.2187034739,0.0801497781,-0.1133339490,-0.0495799313,-0.0462979846,0.0029147466,0.0398184088,0.0034916969,-0.0644516430,-0.2179624480,0.1871386923,0.0177018771,-0.0901544579,-0.0063402062,1.0848854843,0.0963637462,-0.1110775308,-0.0714761219,0.0167885122,0.6857075765,-0.1588782636,0.9079339206,-0.1709369321,0.0777826897,-0.2152282806,1.0652584763,0.1330134161,-0.2006205878,0.0475240742,-0.1326731132,0.6407201064,-0.1921464403,-0.3770019180,-0.1039528186,-0.0564494453,0.5374596214,-0.2969532732,-0.0667561732,-0.0671638349,-0.0156089387,-0.2045191481,-0.2116173692,2.4043171181,0.3649525480,0.2284698233,3.5971682007,1.6214433508,-0.2246656532,0.2149216744,-0.2061781287,-0.0293535427,0.3058357786,0.7449432140,0.7954004976,0.1511905935,-0.0295767914,0.4565215988,-0.0399955878,0.1593798589,Control
GSM481010,2.0745816080,-0.0684199479,1.6142568788,-0.0826418620,-0.1427419860,-0.0658617180,-0.1023215371,-0.0325646656,-0.1331816476,-0.0668376056,2.1446268768,-0.1154214119,0.0112067629,-0.0556879276,-0.0141225423,-0.1901009050,-0.1105630766,0.5225571647,0.2702621902,0.3894727149,0.0074624186,0.8074283614,-0.0712672847,-0.0586077322,1.1242328914,-0.0695298609,-0.0176842679,0.4432552999,-0.1386340567,3.3643968930,-0.1180396151,0.3795346036,-0.0843633267,0.0307434421,-0.0454618105,-0.0910400445,0.0691193044,0.3024578020,-0.0886893127,0.0786894351,0.4820131672,-0.0505535309,-0.0694078648,0.5517817824,1.1796001625,0.4554799689,-0.1110575356,-0.1004565911,0.3294801914,1.0205671414,-0.0418006871,1.2446082401,-0.1497621014,0.2026415417,-0.1580358376,0.9906432647,0.1028323452,0.1394052154,0.0934505015,0.0717115692,0.6950195148,-0.1968281549,-0.1226250704,0.0572932465,-0.1245253923,0.9199044052,-0.1193458939,0.0969995707,-0.1355257319,-0.0470906174,-0.1486345653,-0.1241913679,1.7255782448,0.8187650086,0.2955627781,2.7537122732,1.6981487054,-0.1117280959,0.1342469619,-0.1354799901,-0.0537760363,0.4233123806,2.3180541471,0.9637234745,0.1124529357,-0.1323017489,0.6226517661,-0.0862014233,0.1730222242,Control
GSM481011,1.3869857415,-0.1117484839,1.7538485396,-0.0956947950,-0.2387535038,0.0216814171,-0.0054285352,0.0336051123,-0.1336470678,-0.1147235118,2.0027076426,-0.0999279920,0.1040994005,-0.0876986351,-0.0798447153,-0.2560145806,-0.0984074723,0.1902626987,0.5232400709,0.4362756894,0.0076343456,0.2880847052,-0.1270894704,0.0161052629,1.1887414394,0.1500712974,0.0231933705,0.8301466071,-0.0422124959,3.3131939630,-0.1016532183,-0.0012647021,-0.1004063062,0.0386896549,-0.0255628578,-0.0355500011,-0.0429983039,0.2794735105,-0.0862044912,0.0320544018,0.1834911427,0.0254426051,-0.0523704112,0.5540227326,1.4021780086,1.1205443897,-0.0856690468,-0.0474574255,-0.0045204812,1.3057676964,-0.0925793906,1.8131147660,-0.0596934228,0.1280203500,-0.1854750667,1.1185304743,0.0909884693,-0.1642856863,0.1236094152,-0.0506209224,1.0001277401,-0.1980685641,-0.1230427814,0.1518366067,-0.0241704029,0.2766887071,-0.0705502943,0.2893847838,-0.0788217499,-0.0020189215,-0.0996091509,-0.0800677596,1.5310905046,1.0389030471,0.4018056045,2.9758513370,1.1798393836,-0.1537395460,0.5044067154,-0.0959955952,0.1746339873,0.2350564673,1.1891984760,1.0418782898,0.0990217981,-0.0329076232,0.6010661466,-0.0234309099,0.0507006467,Control
