@relation data

@attribute id string
@attribute 10747 numeric
@attribute 1675 numeric
@attribute 1828 numeric
@attribute 2204 numeric
@attribute 2213 numeric
@attribute 2266 numeric
@attribute 2357 numeric
@attribute 2358 numeric
@attribute 2359 numeric
@attribute 3075 numeric
@attribute 3108 numeric
@attribute 3109 numeric
@attribute 3111 numeric
@attribute 3112 numeric
@attribute 3113 numeric
@attribute 3115 numeric
@attribute 3117 numeric
@attribute 3119 numeric
@attribute 3122 numeric
@attribute 3123 numeric
@attribute 3383 numeric
@attribute 3426 numeric
@attribute 3586 numeric
@attribute 3683 numeric
@attribute 3684 numeric
@attribute 3689 numeric
@attribute 3858 numeric
@attribute 4153 numeric
@attribute 5340 numeric
@attribute 5648 numeric
@attribute 5724 numeric
@attribute 629 numeric
@attribute 6403 numeric
@attribute 6404 numeric
@attribute 712 numeric
@attribute 713 numeric
@attribute 714 numeric
@attribute 715 numeric
@attribute 716 numeric
@attribute 717 numeric
@attribute 718 numeric
@attribute 719 numeric
@attribute 727 numeric
@attribute 728 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,-0.0893269815,0.4036939579,-0.1296647965,-0.0793589124,-0.1128402543,0.0336981885,-0.0920382971,-0.0938534298,-0.0289969041,-0.1410958260,0.0626108013,-0.0021598573,-0.0444646151,0.1910638078,0.0322430879,0.0734804541,-0.0575062146,-0.1060773984,-0.1346518659,-0.0876011369,-0.1035979016,0.2273826478,-0.2551962770,-0.1629247241,-0.0646153320,0.0159100612,2.2531670992,-0.2190184577,-0.0365531985,-0.0990093698,0.0295342779,0.0214807420,-0.1138486331,-0.1131605474,-0.0976442384,-0.0454081683,-0.0437934828,-0.0096250619,-0.1304290168,-0.0747257081,0.8278927778,0.0242466503,0.2909683453,-0.0818683576,BRCA
GSM480985,-0.0778630277,-0.0649934511,-0.1192124330,-0.1342044134,-0.0980658331,-0.1039856565,-0.0678983514,-0.0623157245,-0.1401642199,-0.0891387567,0.6915450320,0.1251381343,-0.0231436351,0.2698293427,-0.0650405677,0.0428558186,-0.1290383934,0.1628512691,0.0374173649,-0.1197701725,0.5833301749,1.8577093704,-0.2261143029,-0.1544825037,-0.1047203513,0.4165791678,1.8552157652,-0.0118988757,-0.0948844489,-0.1130596082,-0.0936589178,0.4686561711,-0.1547061069,-0.0702999876,-0.1023476910,-0.0550792462,-0.0452966946,0.2675418221,-0.0097899473,-0.0780995210,1.8315040226,-0.0369529911,0.3096802390,-0.1158257465,BRCA
GSM480986,-0.0503341261,0.1555775159,-0.0376572774,-0.1301156659,-0.0504659953,-0.0985185886,-0.0867849002,-0.1041163704,-0.0757114053,-0.1987440411,0.4945947789,0.1963292633,0.0140152021,0.2892794812,-0.0956911196,0.1620062226,-0.1481252838,0.1136571739,-0.0432058185,-0.1058928922,0.0910193258,0.5973593221,-0.1601737868,-0.0598317276,-0.0637634593,0.2119055211,2.3842794634,-0.1856303076,-0.0223698655,-0.1001729551,-0.0010679700,0.3959059936,-0.0896091402,-0.0778731581,-0.1265779347,-0.1176824370,-0.0083324027,0.1801931898,-0.0196407202,-0.0314181925,1.1685674731,0.0452866808,0.0367948461,0.0134036321,BRCA
GSM480987,-0.0467100110,0.4841272064,-0.0382978110,-0.0982126080,-0.0054656485,-0.0734953539,0.1013364425,-0.1184499666,-0.1341941984,0.3068623329,0.0661166904,0.1146925516,-0.0216950949,-0.0708309157,0.1852427243,0.2594022517,-0.1046273241,-0.1178809743,-0.1097697392,-0.1023941331,0.0811703488,-0.0605826578,-0.2000680720,-0.0277132272,-0.1693109225,-0.1507511987,1.9407679467,-0.1020484576,0.0163191410,-0.1135867587,-0.0923504682,-0.0035160393,-0.0830762666,-0.0348431005,-0.0858780350,-0.1398636673,-0.0035615952,0.9259599148,0.4495162415,-0.0780751954,0.3775965802,0.1596735170,0.2965672326,0.6635714470,BRCA
GSM480988,-0.0520712201,-0.0276060584,-0.1300898576,-0.0516296704,-0.0717158681,-0.0722382591,-0.0681886704,-0.1113544273,0.0200748962,-0.0836538196,0.4122418322,0.0454927820,0.0066495671,0.2402783686,-0.0805971442,0.0238832242,-0.0136553543,-0.0180359739,-0.1178864969,-0.0838345339,0.0125506422,0.2610331074,-0.1748360544,-0.0952885697,-0.0186350431,0.1527472083,2.1335781143,-0.1492280957,-0.0291078585,-0.1088605361,-0.0835414014,-0.0170128345,-0.1503732246,-0.0925373696,-0.0923690686,-0.1411193696,-0.0169312344,-0.0165618559,-0.0962182085,0.0562963032,1.5271120535,0.0515531920,0.2417796436,0.0790168349,BRCA
GSM480989,-0.1272560732,0.3960123648,-0.1631530391,-0.0645261379,0.0028768714,-0.0443032894,-0.0662149077,-0.0743556214,0.1165892766,-0.1343105817,0.8770841099,0.1130909237,-0.0627682461,0.5084585080,-0.0473541224,0.0141822898,-0.0902577417,0.2084253303,-0.1505416402,0.0919470743,0.1448837195,0.4051630084,-0.2916233484,-0.0876169978,-0.0350942307,0.2589396170,2.2135350487,-0.2098856206,-0.0372760201,-0.1026988891,0.0282243394,0.1265253301,-0.0572108633,-0.1665010977,-0.0385395422,-0.0505662713,0.0030125228,0.1080318262,-0.1303395995,0.0152135714,1.7690416786,0.0365528322,-0.0280618510,-0.0916107416,BRCA
GSM480990,-0.0822622582,0.2617028852,-0.1307863817,-0.1222901871,-0.0370647031,-0.0118424829,-0.0263114181,-0.0732902082,-0.0002907879,-0.0829255841,0.1208910512,0.1960860100,0.0098015560,0.0771852141,0.0482923948,0.1855409761,-0.0054088302,-0.0469217674,0.0769794038,0.0021974898,0.0809441500,0.0492543282,-0.1563080516,-0.0603801500,-0.0722914216,0.0421455834,2.1290945851,-0.1924281686,-0.0506522504,-0.1093312985,-0.0354455684,0.1357124216,-0.0600925009,0.0215686023,-0.0441175239,-0.0738812136,-0.0577879403,0.0655208114,-0.1133310158,0.0199839941,1.3251033657,0.1059639750,0.0043650316,0.0056644366,Control
GSM480991,-0.0400263639,0.3770860608,-0.0625547939,-0.0860221274,-0.0302126615,0.0338303222,-0.0209771846,-0.1264348168,-0.0435750924,-0.1264791929,0.8700902536,0.2280225680,-0.0335729512,0.2943344935,0.0232491174,0.0698537100,-0.0889617601,0.7456210894,-0.0470037273,0.0457426893,0.4397473894,0.4270922346,-0.1673274888,-0.0431565059,0.0377825897,0.2775288068,2.9749888508,-0.1776543783,0.0257030815,-0.1111553375,-0.0153840022,0.4461156087,-0.1155560841,-0.0082303320,0.0022260549,-0.1031896050,0.0007301160,0.0182633484,-0.0696551127,0.0331795253,1.6375737222,0.0488654564,-0.0375853611,0.2458300644,Control
GSM480992,-0.0682155463,0.4586090882,-0.0678061485,-0.0732132925,-0.0798499438,0.0068018640,-0.0713108831,-0.0640197296,-0.0180053752,-0.1698109704,0.3343284855,0.1347692112,0.0117455605,0.1602105837,0.0454827089,-0.0322465841,-0.0244123454,-0.0797030918,-0.0839464270,-0.0198893765,-0.0112701706,0.0142965216,-0.1863134343,-0.0750062975,0.0071480778,0.2887557880,2.7961942290,-0.2227567680,-0.0355633598,-0.0990660072,0.0041532588,0.1892209372,-0.0242750157,-0.0967804776,-0.0332857417,-0.1084414386,-0.0160611587,0.1280271867,-0.0878744121,0.0051475023,1.4677773779,0.0467043833,0.0076417342,0.0736249704,Control
GSM480993,-0.0473894537,0.3127432673,-0.0997209654,-0.1412777026,-0.0883154576,-0.0714208433,-0.0262550026,-0.0944343356,-0.0398019002,-0.1427203540,0.5518651867,0.0842804099,-0.0596483520,0.2476261285,0.1215528380,0.1667407294,-0.0892533154,0.9970571118,-0.0267558961,-0.0672223516,0.0740493629,0.2464373659,-0.0972517151,-0.0977074247,-0.1424441524,0.1604505838,2.4024857323,-0.1175146134,-0.0184198795,-0.0999917000,-0.0238642192,0.1998303237,-0.0761097056,-0.0977416994,-0.0914440821,-0.0934126654,0.0128239214,0.0810368140,-0.0080362258,-0.0176598683,1.6169113333,0.0081441134,0.1603763796,0.0592390646,Control
