@relation data

@attribute id string
@attribute 10681 numeric
@attribute 107 numeric
@attribute 108 numeric
@attribute 109 numeric
@attribute 10991 numeric
@attribute 111 numeric
@attribute 112 numeric
@attribute 11261 numeric
@attribute 113 numeric
@attribute 114 numeric
@attribute 115 numeric
@attribute 116443 numeric
@attribute 116444 numeric
@attribute 156 numeric
@attribute 157 numeric
@attribute 1742 numeric
@attribute 196883 numeric
@attribute 22941 numeric
@attribute 23236 numeric
@attribute 246213 numeric
@attribute 26279 numeric
@attribute 27165 numeric
@attribute 2744 numeric
@attribute 2752 numeric
@attribute 2770 numeric
@attribute 2771 numeric
@attribute 2773 numeric
@attribute 2775 numeric
@attribute 2776 numeric
@attribute 2778 numeric
@attribute 2782 numeric
@attribute 2783 numeric
@attribute 2784 numeric
@attribute 2785 numeric
@attribute 2786 numeric
@attribute 2788 numeric
@attribute 2791 numeric
@attribute 2792 numeric
@attribute 2793 numeric
@attribute 2890 numeric
@attribute 2891 numeric
@attribute 2892 numeric
@attribute 2893 numeric
@attribute 2898 numeric
@attribute 2899 numeric
@attribute 2900 numeric
@attribute 2901 numeric
@attribute 2902 numeric
@attribute 2903 numeric
@attribute 2904 numeric
@attribute 2905 numeric
@attribute 2906 numeric
@attribute 2911 numeric
@attribute 2912 numeric
@attribute 2913 numeric
@attribute 2914 numeric
@attribute 2915 numeric
@attribute 2916 numeric
@attribute 2917 numeric
@attribute 2918 numeric
@attribute 30814 numeric
@attribute 3708 numeric
@attribute 3709 numeric
@attribute 3710 numeric
@attribute 3760 numeric
@attribute 50487 numeric
@attribute 50944 numeric
@attribute 51764 numeric
@attribute 5319 numeric
@attribute 5320 numeric
@attribute 5321 numeric
@attribute 5322 numeric
@attribute 5330 numeric
@attribute 5331 numeric
@attribute 5332 numeric
@attribute 5337 numeric
@attribute 5338 numeric
@attribute 54331 numeric
@attribute 54407 numeric
@attribute 5530 numeric
@attribute 5532 numeric
@attribute 5533 numeric
@attribute 5534 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5582 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 55970 numeric
@attribute 5613 numeric
@attribute 57030 numeric
@attribute 57084 numeric
@attribute 59345 numeric
@attribute 63928 numeric
@attribute 64600 numeric
@attribute 6505 numeric
@attribute 6506 numeric
@attribute 6507 numeric
@attribute 6511 numeric
@attribute 6512 numeric
@attribute 7220 numeric
@attribute 773 numeric
@attribute 775 numeric
@attribute 776 numeric
@attribute 81539 numeric
@attribute 81579 numeric
@attribute 8398 numeric
@attribute 84647 numeric
@attribute 85358 numeric
@attribute 8681 numeric
@attribute 9229 numeric
@attribute 94235 numeric
@attribute 9454 numeric
@attribute 9455 numeric
@attribute 9456 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.0798089453,-0.0680557761,-0.0785590173,0.7727496513,-0.1516904627,-0.1577812994,0.3797550982,0.7714346136,0.5154408196,-0.0726066500,0.1941818817,-0.0650977943,-0.1365757739,0.0613674166,0.0335722956,0.1665452991,-0.0095319855,0.5333823287,0.4097788456,-0.1628232106,-0.1308020603,0.0564222516,0.6879529299,0.7885742456,0.9581370279,0.2980682768,1.6708331763,-0.0385881871,0.5726595125,1.1579167798,0.7260348580,0.4609933963,0.0313797501,0.0069233231,-0.1135279069,-0.1004975033,0.1466962866,-0.1126273656,0.0373789289,-0.1189617532,-0.1057068686,-0.0878230903,-0.1500293526,-0.1069397751,-0.1280991893,-0.2342373829,-0.0728367136,-0.1505823830,-0.0754578801,-0.0192656675,0.0364585096,-0.2124075075,-0.0916047048,-0.0305406646,0.2146836274,-0.1735142747,-0.1141170166,-0.0627124459,-0.1071205154,-0.1115520272,-0.1347588014,0.1313168648,0.1067213277,0.5609436097,-0.1084673629,0.1775570724,-0.1485611410,-0.1072939529,-0.0692120709,0.0252815856,0.4649290608,-0.1550159959,-0.0776044747,1.6300333739,0.0394911230,0.1259317763,0.2181753710,-0.0862014922,3.2428562183,1.1392389064,1.3485143633,0.9049248654,0.5655952376,0.5931362181,0.6055969648,-0.0123531642,0.1474579691,-0.1072664774,-0.0825690696,0.5276523813,0.4586358647,1.4999495165,0.9930449004,-0.0567467631,0.0150122981,0.7363625108,-0.1348413536,-0.1908973019,0.3352699990,-0.0726019741,0.4415940394,-0.1359518535,-0.0788330093,0.4175275240,-0.0484405750,-0.1203116075,-0.0989742001,2.2648347851,1.1452264407,0.0381532877,-0.0939727227,-0.0216483764,0.1745285649,-0.1324286175,-0.0889600241,0.2407281360,1.2426739252,0.5188426034,BRCA
GSM480985,0.0826668575,-0.1146877620,-0.1466375627,0.5223725109,-0.1963401473,-0.1766650246,0.4228589949,0.8597149872,0.3467999483,-0.1656008608,0.2055798990,-0.0931088928,-0.1796580194,0.0616458725,0.1972548610,0.1851502992,-0.0878300879,1.1453446547,0.7330552477,-0.1748304380,-0.1633702948,0.0318350454,0.7644824283,1.0997253167,0.9909502640,0.3047061024,1.2345138497,-0.0672319856,0.6760796893,1.3204932428,0.6644044377,0.2952377253,0.0823840736,-0.0457163846,-0.1205803433,-0.1089069453,0.7772403410,-0.1372473919,0.0545901309,-0.1287743736,0.0240851168,-0.0782820407,-0.1717130259,-0.1348898671,-0.1314178727,-0.2125546688,-0.0947317764,-0.1157428850,-0.0203434413,-0.0500140645,0.0295304598,-0.2090418982,-0.1374636242,-0.0929024530,0.1340922237,-0.1045751986,-0.0872575622,-0.0840267901,-0.0873720552,-0.1516954398,-0.1858438792,0.4415400387,0.5849629343,0.3553600297,-0.1539389659,0.1968964171,-0.1694527451,-0.1532745592,-0.1087060317,-0.0403548065,0.5753227008,-0.1288519075,-0.0930615631,1.0536758155,-0.0840634818,0.2222447299,0.3984574054,-0.0875385542,2.9833676724,1.0624773818,1.2292638585,0.8493034308,0.4722626175,0.7376574537,0.7695002645,-0.1038192192,0.0900841358,-0.0931613796,-0.0522140021,0.4521202200,0.5649788797,1.8644070503,1.1653226431,-0.0688171912,-0.1101439316,0.4920368270,-0.1474278699,-0.1585804079,0.1960010604,-0.0759999011,0.4555832010,0.1115985337,-0.0879037390,1.2180374362,0.0733538507,-0.1314508866,-0.0963025578,1.8579146985,0.7300716419,0.1266848337,-0.0914744142,0.0412339936,0.3294028115,-0.1420697893,-0.1309516296,0.1478760325,1.4935370452,0.2859995709,BRCA
GSM480986,0.1311043079,-0.0866454035,-0.1313444398,0.6232914684,-0.1451717048,-0.1350317207,0.1785444665,0.8397588544,0.5399395962,-0.1195620130,0.1296261391,-0.1153385919,-0.1760569199,0.0565127540,0.1597091387,0.0373472180,0.0055539080,0.6694169445,0.5153439700,-0.1160999956,-0.1176880921,0.0676437850,0.8092909971,1.1071077928,1.1200479176,0.3719062484,1.4959124994,-0.0172120397,0.5903858004,1.3325283364,0.6901387549,0.3422224569,0.0011673622,-0.0624810754,-0.0875566416,-0.1140261693,0.0591031552,-0.0677840849,-0.0889708259,-0.0995415323,-0.0902023388,-0.0782341801,-0.1381295376,-0.0761567545,-0.1136994808,-0.1370470609,-0.0635473953,-0.1420936314,0.0294416636,-0.0183347330,0.0145375388,-0.1795135874,-0.1015002006,-0.0096127207,-0.0663631604,-0.1624571604,-0.1156969661,-0.0475103403,-0.1257142975,-0.1147531411,-0.1426732093,0.2835222208,0.1536485495,0.6212419597,-0.0967050023,0.1914317616,-0.1396486022,-0.0778376792,-0.0928383326,-0.0611857715,0.4623138313,-0.1167053968,-0.0521149571,1.4571645670,0.0685284909,0.1510642664,0.1932115100,-0.0920514730,3.1168243243,1.1325124873,1.4755984701,0.6729391185,0.5177595145,0.6712817949,0.7078176651,-0.0887387330,0.1559347632,-0.1167993353,-0.0710934066,0.5276161861,0.5706250406,1.6156421010,0.9547375822,-0.0711301229,-0.1306814834,0.8650141478,-0.1310103294,-0.1876272273,0.3092010555,-0.0871767768,0.4501848185,-0.0039742491,-0.0708749164,0.6340694825,-0.0124151879,-0.0977729428,-0.0699778495,2.1849357669,1.2307780730,0.0289571715,-0.0944506390,0.0009074266,0.1878795014,-0.1140277798,-0.0372388086,0.2469478891,1.4305111037,0.4767667798,BRCA
GSM480987,0.0622019586,0.0948443130,-0.0932495861,0.9581980763,-0.1617403759,-0.1124067577,0.0528845680,0.6984377671,0.8650637666,-0.1120932270,0.1242048581,-0.1323211658,-0.0965271071,0.0246040256,0.1196388635,0.1237357168,0.2631349051,-0.0256699996,0.1668422063,-0.0513265741,-0.1645482877,-0.0690542175,0.3543531300,1.1229457474,1.4479325302,0.3169702389,1.2553548241,-0.0118605190,0.6081153182,1.2904711387,0.7412058433,0.2116768266,0.1327404538,-0.0773168238,-0.1215972648,-0.1148385397,2.7066964706,-0.0742860082,0.0348619162,-0.0716288448,-0.1308166077,0.1477903988,-0.1401504259,-0.0886086091,-0.1356889803,-0.2273495321,-0.1095014111,-0.1389292797,0.0160529329,-0.0567495614,0.0301300406,-0.0009821425,-0.0543699809,-0.0359868231,0.0232639051,-0.0834542910,-0.1561384355,-0.0758052368,-0.0952265427,-0.0987159168,-0.1564467188,0.3327935711,-0.0104492808,0.3998152808,-0.0881615850,0.1067250141,-0.1360589958,-0.1143018794,-0.0453715307,-0.0638511606,0.0518714578,-0.1067179610,-0.1041722893,0.9919344300,0.0007446416,-0.0163439327,0.0163941771,0.3232544249,3.8467334143,0.7104099762,1.6084967972,0.9346764925,0.4873980932,0.4481176670,1.0939444790,-0.0234222412,0.0835026311,-0.1432857454,-0.0616863377,0.4570317386,0.5260457562,1.7940059026,0.2135299446,-0.0510828924,-0.0037819474,0.9243028046,-0.1119046295,-0.1317001768,0.0970391565,-0.0316355400,0.6073688326,-0.0865326460,-0.1112090180,1.0652855184,0.0382031941,-0.0535309027,-0.0852457030,2.6267848438,0.6115066399,-0.0108663554,-0.0674739266,0.0588753649,-0.0291044030,-0.0890711944,-0.1600573949,0.1153531723,0.2945795379,0.3245593946,BRCA
GSM480988,0.1375192484,-0.1114876393,-0.0557560889,0.3484778570,-0.1192869606,-0.0759397257,0.2434777927,0.8607449488,0.2204383947,-0.0361867587,0.1508974081,0.0306100978,-0.1819953370,0.0194978538,0.1381177662,0.0792691462,0.0293470489,0.8980939438,0.4406262552,-0.1706183760,-0.1630984694,0.2504433668,0.6910725139,0.7661634073,0.7840176249,0.1900400466,1.2965172852,-0.0596770411,0.4102926908,1.4781041429,0.5931581249,0.0215888636,0.1052846566,-0.0282164784,-0.0825194422,-0.0999999979,-0.0600983379,-0.1394877574,-0.0426573925,-0.0650744193,-0.0325215318,-0.0565929220,-0.1000051503,-0.1447988310,-0.0225490663,-0.1349787982,-0.0640856158,-0.1350362458,-0.0800450467,-0.0110762134,-0.0086869514,-0.1859210652,-0.1008589073,-0.0036192976,0.3007601276,-0.1551386684,-0.0799968216,-0.0811454294,-0.0212496174,-0.0945617952,-0.1585323161,0.1991312819,0.2297151421,0.5623337450,-0.0938029768,0.2933101654,-0.0810738229,-0.1443745749,-0.0905275040,0.0497683862,0.4471929131,-0.0916173798,-0.0521348746,1.0592323652,0.0395486050,0.2451317272,0.0793868326,-0.0541173976,3.1382611256,1.0280710610,1.3750535183,0.7414630045,0.1617906544,0.3137383716,0.5631931945,-0.0202760463,0.0817065693,-0.0806064152,-0.0384889170,0.4923907940,0.4829891018,1.2631580537,0.7728505326,-0.0123547841,-0.0607000835,0.6169386619,-0.1084911532,-0.1180592581,0.1782208239,-0.0824772020,0.6502430127,-0.0515695167,-0.0660874581,0.5224284842,-0.0419790439,-0.0822903132,-0.0242554143,1.7730750347,1.2192751382,0.0771683031,-0.0970073136,-0.0056998310,0.3824695014,-0.1123603495,-0.1318603578,0.0434357806,1.2402722309,0.3392209867,BRCA
GSM480989,0.1395655114,-0.0620193510,-0.0467369777,1.0119184052,-0.2541664467,-0.1447008381,0.2998246142,1.0229797038,0.3220232484,-0.0685872297,0.2054151728,-0.0651686506,-0.1343121584,-0.0124492099,-0.0141855664,0.2458340079,-0.1595958304,0.8149749416,0.1935005427,-0.1610100896,-0.2095764414,0.0246971188,0.4444297865,1.1952749605,0.4984121071,0.4542093934,0.9037719321,-0.1098449463,0.5169472916,1.3912816293,0.7107484369,0.4922151650,0.0310324050,-0.0245108759,-0.1035838998,-0.0584708151,-0.1600497482,-0.2168419232,-0.0442354612,-0.0548027214,-0.1140418602,-0.0573807171,-0.1755770770,-0.0724096879,-0.2085225936,-0.3237041666,-0.1042792729,-0.1920192803,0.0461123774,0.0548789222,0.1042212602,-0.2459162741,-0.1681367158,0.0010159635,0.1194893635,-0.2007721532,-0.0970981673,-0.0445447042,-0.0760905385,-0.1267936777,-0.2244989387,0.2200210720,0.0458035868,0.4976210030,-0.1029213505,0.5070958574,-0.1882664924,-0.2324207872,-0.1293772552,0.0892012249,0.0851336450,-0.1360183945,-0.1177975059,1.6992731094,-0.0830072642,0.0289337283,0.1779847840,0.0358164425,2.5194933231,0.8617932616,1.4386271053,0.5870933372,0.4391528262,0.9056678476,0.3538124809,0.0047141360,0.0811992555,-0.1211765001,-0.1123442115,0.4168803811,0.8519349658,1.1070811011,0.8033357407,-0.0336404522,-0.0444549330,0.3556060205,-0.0811708468,-0.2381484006,0.1668989417,0.0035955286,0.1865971034,-0.1076312634,-0.0765324335,0.2035672587,-0.0790176572,-0.0790640901,-0.0560463325,1.6615261318,0.9678320248,0.0016130909,-0.1266324983,0.0471914686,0.0964685533,-0.1612455087,-0.1777083731,0.1661671994,2.0002623464,0.1333886620,BRCA
GSM480990,0.0819088728,-0.0744136228,-0.0817924930,1.0164559484,-0.2273295269,-0.1368300982,0.1709839052,0.8392681946,0.5393573991,-0.1056272242,0.2828586080,-0.0701453212,-0.1975220580,0.0427824349,0.1915122486,0.2119237644,-0.0106996141,0.2675741332,0.0480474158,-0.0884691836,-0.1961200461,0.0120239981,0.6063650150,1.1422580908,1.2059587278,0.6375199349,1.3057659769,-0.0504726552,0.5721652171,1.4284008093,0.8782710590,0.5025454419,0.0722035417,-0.0313524033,-0.0925484677,-0.1273939656,0.4092192144,-0.1018510503,-0.0283261156,-0.0741489506,-0.1340680596,-0.0680713484,-0.1179290985,-0.0945500056,-0.0854035899,-0.2354039532,-0.0865601961,-0.1500345451,-0.0147949093,-0.0182855369,-0.0218555795,-0.1758436667,-0.1523869622,-0.0090266840,0.1923378743,-0.0146120840,-0.0911356945,0.0035045999,-0.1283161045,-0.1097386983,-0.1642219100,0.1628782986,0.0021861719,0.5061100200,-0.0994331319,0.2884922469,-0.1762980114,0.0065605761,-0.0395780219,0.0689168425,0.0535681572,-0.0898634362,-0.0345598439,1.9801055864,-0.1134931392,0.0492130012,0.0875241920,0.0663741883,3.4722197056,0.9861059069,1.2886391192,0.5830522417,0.4347083518,0.8428640298,0.7935236208,-0.0195084080,0.1371517299,-0.1211324487,-0.0606057024,0.4040678319,0.5468216389,1.3161279748,0.5710339894,-0.0363621299,-0.0325317364,0.7182087007,-0.1053477980,-0.1509928071,0.0716720986,-0.0711715612,0.1812460886,-0.1645652397,-0.0469035626,0.7348325261,-0.0690977746,-0.0893763078,-0.1065901060,1.9450264433,0.7456460687,0.0907412291,-0.0644726796,0.2066493192,0.0420042299,-0.0987577951,-0.0808738950,0.3634266854,0.7260981306,0.2641118026,Control
GSM480991,0.1006723062,-0.0467888096,-0.0623631008,0.4249343571,-0.2141317610,-0.1120446003,0.2858755783,0.9410596814,0.5548712921,-0.1251052238,0.2768006893,-0.0356884607,-0.2054209939,0.0358211818,0.0179121173,0.1213872813,-0.0189355184,0.6971469029,0.2907817717,-0.1546065453,-0.1503309552,-0.0015521856,0.7714438242,1.3781427961,0.8869519606,0.4446749834,1.2026453590,-0.0534065351,0.6132513040,1.4307339596,0.7888649646,0.5062835034,-0.0499887214,0.0187707844,-0.1110699204,-0.0938462643,-0.0797904123,-0.1039781785,-0.0162116344,-0.0886032136,-0.1649963296,-0.0625367364,-0.1425649745,-0.0927376037,-0.1509837577,-0.2098693201,-0.0545817708,-0.1862277094,-0.0516968131,-0.0447101730,0.0439284059,-0.2541372158,-0.1160025901,0.0076040065,0.0419830005,-0.1432928610,-0.0841684302,-0.0144452740,-0.0892215533,-0.0930201464,-0.1530424226,0.2311761151,0.1075655196,0.7279821927,-0.0974673196,0.2061829277,-0.1379612677,-0.0443711671,-0.0974779120,0.0170060712,0.3006239996,-0.1325406850,-0.0434485409,1.5307328514,-0.0085634497,0.0450446508,0.2226377079,0.0453277426,2.9098292223,1.0007687234,1.3283271537,0.6608008562,0.3957455124,0.7147501284,0.6564376624,-0.0500267771,0.0569693500,-0.0960165404,-0.0531655469,0.5071865046,0.6482640730,1.4828155484,0.7389248726,-0.0275067586,-0.0560386729,0.5407913685,-0.1263488267,-0.1555784853,0.2825929638,-0.0307651288,0.3267615250,-0.0801134976,-0.0798052689,0.5127074339,-0.0352333166,-0.0855096179,-0.0575679550,1.7476701636,1.1582878667,0.0888705028,-0.0359721972,0.1060042402,0.1965026405,-0.1124143514,-0.0904390580,0.2726912375,1.6740394864,0.3044459177,Control
GSM480992,0.0885527289,-0.0848685851,-0.1067906695,0.8758288564,-0.2381038960,-0.1194200918,0.5049739010,0.9758864265,0.4127616239,-0.0951718734,0.4200474990,-0.0912178908,-0.1147356197,0.0810610809,-0.0298525277,0.2280438674,0.0041698367,0.6815385327,0.0814318765,-0.0140426388,-0.0807515533,-0.0555899561,0.6296331289,1.3404002363,0.8968451944,0.4867185676,1.0801601244,-0.0462475456,0.4795048717,1.5164660945,0.7672556795,0.6768512727,0.0298872434,-0.0393678868,-0.1060098494,-0.1138909129,-0.0873010754,-0.1357910544,0.0018078210,-0.0981577248,-0.1126769885,-0.0596054570,-0.1320523696,-0.1298307803,-0.1287491859,-0.2350117804,-0.1163641160,-0.1645202101,-0.0048636670,-0.0401170705,0.0399397690,-0.2211485713,-0.1483381317,-0.0157075739,0.0857074892,-0.2068480632,-0.0552022004,0.0041978794,-0.0516945550,-0.1049095580,-0.1702371733,0.0994592431,0.0161160152,0.7308892569,-0.0840096098,0.2007235593,-0.0991133622,0.0178685737,-0.0784324081,-0.0428917559,0.0649529850,-0.1171101684,-0.0266702802,1.8464471474,-0.0424288371,0.0517022698,0.2308788326,-0.0904213050,2.9368306489,1.0355044920,1.4482076389,0.4972681324,0.4195187698,1.1381731691,0.5008515699,0.0557855016,0.1225340664,-0.1356904655,-0.0742785615,0.4130200728,0.9082788116,0.8826477632,0.8443388831,-0.0073117245,-0.0467735865,0.5452613432,-0.0713407049,-0.2370605347,0.0795976930,-0.0125441216,0.2353248108,-0.0928625302,-0.0831935343,0.2275946283,-0.0023046669,-0.0923992682,-0.1025028604,1.8093512646,1.0597993181,0.1023189561,-0.1020730189,0.2208741106,0.4621570739,-0.0928591086,-0.0972539801,0.3521347950,1.4452954993,0.2831067876,Control
GSM480993,0.1116843061,-0.0384183934,-0.1120296282,0.7973100805,-0.1573903718,-0.1578653891,0.2520091683,0.8986200048,0.4410814088,-0.0471520076,0.3209931134,-0.0663504568,-0.1572351126,0.0427927107,0.0565666008,0.1730288758,-0.0442055219,0.6949446181,0.2383615070,-0.0726573152,-0.0912148149,0.1145954085,0.5561323376,1.2013911734,0.9020118648,0.4554820714,1.2183062536,-0.0642143741,0.5834782023,1.3899838875,0.7363728955,0.4144046013,0.0388465096,-0.0594869954,-0.1183751102,-0.0490935803,0.0096267843,-0.0948902335,0.0077307280,-0.1233562875,-0.1076846812,-0.0835757837,-0.0930643304,-0.0709204828,-0.1002276326,-0.2610974198,-0.0037741846,-0.1053195155,-0.0645106739,-0.0630610927,-0.0232858544,-0.1751255267,-0.1113111010,-0.0219784608,-0.1707589436,-0.1236886627,-0.0815788737,-0.0694553459,-0.0970143434,-0.0741776539,-0.1093270703,0.1916949626,0.1179360291,0.7271375300,-0.1466446378,0.1502779570,-0.1588545043,-0.1602199334,-0.1271151884,-0.0462477463,0.1574272978,-0.1147723211,-0.0896386958,1.4765024371,0.0611034877,0.0950189573,0.1120100428,-0.0759411633,3.0266805887,1.0264566022,1.5829170607,0.7091649962,0.5504608139,0.8387103804,0.5521481080,-0.0571271274,0.1051260916,-0.1144585606,-0.1054423138,0.4741801064,0.7940912880,1.3067279573,1.0441827782,-0.0453858177,-0.0820548049,0.7518640363,-0.0537399848,-0.2043673582,0.3522421680,-0.0578398887,0.4311537920,-0.0842560461,-0.0939201686,0.5388387438,0.0136240125,-0.1131873764,-0.0685464153,2.1970435104,1.1964946893,0.1047748183,-0.1019331116,0.1128509147,0.1647578252,-0.1022559567,-0.1367339711,0.2946020684,1.7832153473,0.3648077374,Control
