@relation data

@attribute id string
@attribute 10000 numeric
@attribute 11213 numeric
@attribute 11261 numeric
@attribute 1147 numeric
@attribute 1676 numeric
@attribute 1677 numeric
@attribute 2021 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 23533 numeric
@attribute 317 numeric
@attribute 329 numeric
@attribute 330 numeric
@attribute 331 numeric
@attribute 355 numeric
@attribute 3551 numeric
@attribute 3552 numeric
@attribute 3553 numeric
@attribute 3554 numeric
@attribute 3556 numeric
@attribute 356 numeric
@attribute 3562 numeric
@attribute 3654 numeric
@attribute 3656 numeric
@attribute 4615 numeric
@attribute 472 numeric
@attribute 4790 numeric
@attribute 4792 numeric
@attribute 4803 numeric
@attribute 4914 numeric
@attribute 51135 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 54205 numeric
@attribute 5530 numeric
@attribute 5532 numeric
@attribute 5533 numeric
@attribute 5534 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5573 numeric
@attribute 5575 numeric
@attribute 5576 numeric
@attribute 5613 numeric
@attribute 572 numeric
@attribute 581 numeric
@attribute 596 numeric
@attribute 5970 numeric
@attribute 598 numeric
@attribute 637 numeric
@attribute 63928 numeric
@attribute 7124 numeric
@attribute 7132 numeric
@attribute 7157 numeric
@attribute 7186 numeric
@attribute 823 numeric
@attribute 824 numeric
@attribute 836 numeric
@attribute 839 numeric
@attribute 840 numeric
@attribute 841 numeric
@attribute 842 numeric
@attribute 843 numeric
@attribute 8503 numeric
@attribute 8717 numeric
@attribute 8737 numeric
@attribute 8743 numeric
@attribute 8772 numeric
@attribute 8793 numeric
@attribute 8794 numeric
@attribute 8795 numeric
@attribute 8797 numeric
@attribute 8837 numeric
@attribute 9020 numeric
@attribute 9131 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.6797332095,0.1084526867,0.8611027989,0.2841429040,0.6567379836,0.4271916688,1.0429436003,2.3584245311,0.3070585448,-0.0131690648,0.1030333459,0.5681630423,-0.1151553402,0.4236805755,0.2668822305,0.2679063242,0.1661164924,0.4983481401,0.9742537492,0.1029382700,-0.0072285445,-0.0178495133,1.3582962865,0.1045658121,1.6197582881,-0.0661986022,0.0372776528,0.8098630121,0.3680018091,-0.1747343264,0.0010604149,0.3417825494,-0.1444193100,0.8497827404,-0.0743738270,0.0027666772,1.1555331424,-0.0182527169,0.6486776985,1.4788247029,1.0400522820,0.1612316305,0.9091838176,0.8322542454,-0.0220457165,1.5804264784,0.1835977883,0.0708837804,0.0696381372,0.3923970497,0.7895966098,-0.0618729870,1.2157194917,0.0871318146,0.6887301476,-0.1447931698,-0.1203307158,1.4667636421,0.9853307140,-0.0815773857,1.3080145917,1.5702710054,0.0052920096,0.4137211830,0.5470014745,0.1048994176,0.3441887239,-0.0064779885,-0.0795126762,1.0991232922,0.1502289322,-0.1282253968,1.1454639601,0.9353066368,-0.0773547562,1.1674721982,0.5663754909,0.3946563084,-0.0869741337,0.0156343900,BRCA
GSM481003,0.3007907103,0.0045182362,0.8260841547,0.2877502063,0.9652459709,0.7775049358,1.4641355673,2.5114432043,0.3973698837,-0.0067144994,0.1110656509,0.4862309729,0.0782197570,0.4317625276,0.0943974674,0.4162924297,0.2313655682,1.0770822940,0.5958689200,0.0671650214,-0.1151960538,-0.0765174750,1.6018303342,0.7297925861,1.9719548359,-0.1056909030,0.0608519517,1.4016762564,0.2977324581,-0.1846113332,-0.0124293140,0.1791957579,-0.1042557524,1.4233998538,-0.0506758328,0.0220997693,1.4443705760,0.1319214864,0.5260021543,1.4940092098,0.8106030215,0.1265427291,0.9189770192,0.6319902162,0.0102665505,1.4306810153,0.2775854540,0.0839032548,0.3544240996,0.8256779464,1.1044230957,-0.0646676839,1.5458108518,0.2027870905,0.7906400810,-0.1587073663,0.3678463830,1.3210169064,0.9925875762,0.0369979428,1.8928991543,1.7338746871,0.0413504756,0.7060568912,0.6720979764,0.1321838536,0.7539005348,-0.0000994813,0.1190332978,1.2488890655,0.0927192407,0.3719748261,1.3959826067,0.9308475525,-0.1514042468,1.1896560479,0.5572360409,0.4604086661,-0.0357208771,0.0474606926,BRCA
GSM481004,0.4733082638,0.2770941833,0.8845133396,0.3929689074,0.9907437571,0.2368152252,0.9364736527,2.2194539971,0.4676012300,-0.0146582856,0.0268829770,0.1898745984,-0.0223855249,0.4053465152,0.0639764964,0.4565757285,0.4731824256,2.5220021768,0.8160913169,-0.0247188833,-0.0492128852,-0.0381071386,1.6827038777,0.8647014069,2.0826415886,-0.0821350421,0.1890115326,1.3433312625,0.4250780939,-0.2144304077,-0.0288742959,0.1934292825,-0.0326631340,1.4479867770,-0.1540841441,0.0015714503,1.2018412555,0.0181169579,0.5568734760,1.5397735213,1.2435202534,0.1383806468,0.6950635329,0.6800325786,-0.0396932616,1.3028280862,0.4924258457,0.0900657546,-0.0129986513,0.5918967704,0.4883667428,-0.0883470983,1.4715695732,0.0731631404,1.0386877479,-0.0972555234,-0.0368083989,1.4022095196,0.8802483742,0.0960737533,1.5651547586,1.7312438213,0.0227122911,0.5954682015,0.5435008611,0.0914597162,0.5294298967,0.0499261181,0.1043470586,1.2252235113,0.1418394002,-0.0596923572,1.4400380619,1.0682750038,-0.0854552429,1.2871998267,0.3523355551,0.4613454718,-0.0263448778,0.0593012043,BRCA
GSM481005,0.7983672971,-0.0043277247,0.8255034942,0.7559128657,0.6355714482,0.5410236554,1.0336423368,2.3890128664,0.4302809539,0.0304015636,0.1940816199,0.9316530046,-0.0770504565,0.5334855918,0.5774546972,0.3903404364,0.1596501422,0.5863126215,0.5047849688,0.0740606116,-0.0388775236,0.0504073964,1.3759988721,0.3704746398,1.8920790091,-0.0263808509,0.0661443981,0.7793831442,0.8258913127,-0.1696848749,0.3720061620,0.2936143763,-0.0949890131,1.0055721670,-0.1223234448,0.3289049813,0.9524374414,0.1081913242,0.8398691173,1.6021617843,1.1356134855,0.3057993211,0.7765841372,1.2306991819,-0.0333261071,1.7659622869,0.2887021348,0.0123217801,0.0699015529,0.5596565347,1.0273913688,-0.0833753531,1.2129281088,0.1140465466,0.7332842213,-0.1152613652,-0.1027448054,1.3140131507,0.9015575944,-0.0153414088,1.3570049291,1.4583385696,0.1452049680,0.4556981718,0.3544646166,0.1227475022,0.4136187493,0.0269903768,0.0457376592,1.0535859416,0.1484226488,-0.0834746774,1.2396340239,1.7809230832,-0.0506385198,1.0606739779,0.3563172465,0.5493073225,-0.0220388942,0.0433132400,BRCA
GSM481006,0.6102282105,0.0205837997,0.8436095273,0.5505344721,0.6762053416,0.5691636287,1.4163627692,2.7993582883,0.4174783649,0.0247047886,0.0576291601,0.7725394369,0.0507335691,0.4399774132,0.3577389630,0.2354427614,-0.0282404839,0.4520055540,1.0806472635,0.0235649934,-0.0263599712,-0.0354233446,1.4395066746,0.7858111441,1.6438614859,-0.0131001265,0.1223146532,1.0869957842,0.2627044822,-0.1832060911,-0.0003746613,0.2433270854,-0.0674328190,1.3385462081,-0.0515387084,0.2390861619,1.1112498336,0.0367047245,0.6594483865,1.5006651944,1.0245994510,0.3482065284,1.0743387982,0.9264100611,-0.0789564253,1.9199747352,0.4230002210,0.0664586208,0.2576344930,0.4886666650,0.8656490569,-0.0787858003,1.3122026393,0.1918322109,0.5348292987,-0.1569815902,-0.0591356744,1.1998099668,1.3752852871,-0.0463810288,1.4081178092,1.5009236618,0.0978846997,0.5816822311,0.9203133194,0.1767319650,0.5213412684,0.0225465108,0.1659671659,0.8621735083,0.1076701371,0.1952458235,1.1236223613,0.8443966531,-0.1066208704,1.0853338932,0.4698832383,0.4692782080,0.0114785338,0.0499246441,BRCA
GSM481007,0.3836162349,0.0385970574,0.8502483182,0.2756707471,0.8456355448,0.6257671566,1.6160931917,2.4604020782,0.2757121727,0.0693962222,0.0884708629,0.5044142506,0.0713757331,0.4550139852,0.0829495256,0.2572633833,0.0713577823,0.3051382034,1.0442474703,0.0215354058,0.0419518193,-0.1021307824,1.4693711392,1.1094023064,1.7544682556,-0.0317684311,0.0016019143,1.3999506757,0.1905497794,-0.1365150868,-0.0786241875,0.1014056848,-0.0381952070,1.4767880777,-0.1263724936,0.1471414633,1.4279245571,0.0379549713,0.4920493394,1.1625167250,1.0916134130,0.2404658702,0.9259418572,0.7558958770,0.0370700779,1.4966602238,0.1037381588,-0.0151180974,0.1321595838,0.9255183645,0.9085509542,-0.0395099294,1.4910032429,0.1788453258,0.8986499582,-0.0530207068,0.1398046748,1.5900844355,1.2977375326,0.1268612003,1.8933438296,1.2195374586,0.0586705186,0.2173313741,0.9262292235,0.1683203725,0.7313789074,0.0001815175,0.0523188741,0.9311149749,0.0681875506,0.6190081456,1.3381449249,0.8966612873,-0.0669076062,1.0645730355,0.8653598267,0.1118762767,0.1004429882,-0.0385675238,BRCA
GSM481008,0.5217626055,0.2055967519,0.7475578486,0.9329660580,0.9488343467,0.5740240522,1.6967592370,2.1300801171,0.4476290999,-0.0033952392,0.3583017097,0.4789551298,-0.0053516436,0.5070646895,0.1062172761,0.3088421996,1.0422426972,3.7100130320,0.1960139611,0.2150414039,-0.0779219265,-0.0274456507,1.2875107631,0.9977699332,1.6684907476,-0.0287524567,0.2086261566,1.2762110606,0.0193564333,-0.1285786398,0.0643475656,0.1758980179,-0.0852505426,1.1338950680,-0.0720937303,0.0879067641,1.1462765579,0.0158213981,0.7504032691,1.5366616944,0.8087446459,0.2826632336,0.9102283842,0.7458980968,0.0274709704,1.3636300043,0.2674738216,0.1533503204,0.1268309088,1.0612640086,0.9423102802,-0.0483734958,1.3571830794,0.0997079746,0.8953086573,-0.1261704511,-0.0821399172,1.2373752406,0.9878225434,0.3151042461,1.5226526659,1.5650419061,0.0279587975,0.3943970685,0.5166528075,0.2110551038,0.4864576326,0.0193326599,0.0282589524,1.3610299529,0.0933854235,-0.0424767471,1.3797544043,0.9147618901,-0.1415943518,1.2882454568,0.2147425574,0.2001410015,0.2346038541,0.0508190641,Control
GSM481009,0.5489170128,0.0599662385,0.6688206773,0.4141671401,0.4324776653,0.0933806742,0.2325760683,1.7882246540,0.1436777954,-0.0460119554,0.0577980618,0.7043801173,-0.1305474826,0.4049951039,0.3526260266,0.1725846681,0.0095844022,0.3269794668,0.8982515966,0.0929011669,-0.1702981595,0.1083741087,1.0581297616,0.1039347460,1.4121935302,-0.0741165462,0.0623427681,0.6739098801,-0.1264328993,-0.3624040733,0.0831366837,0.2437746771,-0.0950082633,0.4174557194,-0.1321362915,0.1336468826,0.6547553167,-0.0419632214,0.6549914120,1.4563478480,0.4472229415,0.1498070048,0.6558841348,0.8545450949,0.0046873059,1.8241724720,-0.0853712003,-0.0314247598,-0.0978849678,-0.0767497015,0.5673530965,-0.1458780054,0.9630623995,0.0380890368,0.2611433211,-0.1344264271,-0.1245508698,1.0942457432,0.9829903326,-0.4913612215,0.7362443342,1.5366736947,-0.0766929161,0.5341628007,0.4724040300,0.2052960319,0.3737636758,-0.0737737967,0.0289410084,0.5619953670,0.0010559037,0.0144388925,0.7153020533,0.7276877964,-0.3131299153,1.1498214635,-0.0364983041,0.1667075575,-0.0646528106,-0.0368051070,Control
GSM481010,0.6249280034,0.1484746940,0.7652878618,0.8322192047,0.8570031879,0.3326625368,1.4972009991,2.1086231072,0.3798376370,0.0036142197,0.1383740484,1.0772349456,0.0433095896,0.4139087255,0.2218772557,0.3174347172,0.4967245454,1.3842930889,0.9215106960,0.2447610466,-0.0221168976,-0.0778213033,1.3806106646,0.4831022171,1.7936493554,-0.0522969667,0.1809599443,1.1876550054,0.5218429157,-0.1443649510,0.1684411286,0.2892597577,0.0721562371,1.1752510060,-0.0223426086,0.1319778106,1.1194783820,0.2049654462,0.7335124992,1.3844987064,1.0618852462,0.3126156600,0.6685453986,1.0751941698,-0.0846129696,1.8411717293,0.4025551735,0.0782325012,0.0711872429,0.7550900512,0.8686887410,-0.0879259115,1.2152642781,0.0602844359,0.8465682827,-0.1212306364,-0.0689478631,1.2312859525,0.7534921082,-0.1288154235,1.3746481937,1.6194998765,0.1088690767,0.6977833167,0.5923628490,0.0754469297,0.3622522485,0.0235196726,0.2118905579,1.1540054709,0.2645242032,0.4432143136,1.3444891074,1.0391662078,-0.0741450872,1.1100221166,0.1913179628,0.4466109948,0.0612938021,0.0317505584,Control
GSM481011,0.3773361022,0.0572590084,0.7990937517,0.2562781054,0.9243046698,0.4183264731,1.5359102423,2.7272794777,0.4895673924,0.0986143788,0.0393868066,0.4869244780,-0.0420718441,0.3688377453,0.2600723965,0.2600992171,0.1365389772,0.0802930284,0.5540936148,-0.0469126958,-0.0394266611,-0.1111286889,1.4644612165,0.2747519518,1.9562136729,-0.0514790472,0.0443784665,1.0963865406,0.7672940524,-0.2897583519,0.0234519974,0.2223992294,-0.1192103243,0.9093435548,-0.0940577877,0.0018939260,1.3710955015,0.0471237373,0.4358141350,1.4936494496,0.7789269015,0.1755088156,0.8796043668,0.7629880970,0.0440684883,1.3068219577,0.3510860135,0.0081781969,-0.0120833156,0.8490704160,0.8156974314,-0.0457399186,1.4994342731,0.0944211634,0.5948791403,-0.0789207903,-0.0423061008,1.2472988190,0.9952894231,-0.0234986019,1.7356401120,1.4662110086,-0.0036057916,0.3974827927,0.2007519566,0.0645896237,0.5318953696,-0.0662813277,-0.0562693753,1.4445699183,0.1111272328,-0.0992656249,1.3676190143,0.7576547213,-0.0037421076,1.2261578285,0.1277517480,0.3790538642,0.0021628746,0.0099986020,Control
