@relation data

@attribute id string
@attribute 10165 numeric
@attribute 10762 numeric
@attribute 11097 numeric
@attribute 11181 numeric
@attribute 129401 numeric
@attribute 1468 numeric
@attribute 178 numeric
@attribute 2023 numeric
@attribute 2026 numeric
@attribute 2027 numeric
@attribute 2203 numeric
@attribute 221823 numeric
@attribute 226 numeric
@attribute 229 numeric
@attribute 22934 numeric
@attribute 230 numeric
@attribute 23165 numeric
@attribute 23225 numeric
@attribute 23279 numeric
@attribute 23511 numeric
@attribute 2538 numeric
@attribute 2539 numeric
@attribute 2542 numeric
@attribute 25796 numeric
@attribute 2582 numeric
@attribute 2584 numeric
@attribute 2592 numeric
@attribute 2597 numeric
@attribute 2632 numeric
@attribute 26330 numeric
@attribute 2645 numeric
@attribute 2646 numeric
@attribute 2805 numeric
@attribute 2806 numeric
@attribute 2821 numeric
@attribute 2992 numeric
@attribute 2997 numeric
@attribute 2998 numeric
@attribute 3098 numeric
@attribute 3099 numeric
@attribute 3101 numeric
@attribute 348995 numeric
@attribute 3795 numeric
@attribute 3938 numeric
@attribute 4190 numeric
@attribute 4191 numeric
@attribute 4927 numeric
@attribute 4928 numeric
@attribute 5091 numeric
@attribute 5105 numeric
@attribute 5106 numeric
@attribute 5207 numeric
@attribute 5208 numeric
@attribute 5209 numeric
@attribute 5210 numeric
@attribute 5211 numeric
@attribute 5213 numeric
@attribute 5214 numeric
@attribute 5224 numeric
@attribute 5230 numeric
@attribute 5236 numeric
@attribute 5255 numeric
@attribute 5256 numeric
@attribute 5257 numeric
@attribute 5260 numeric
@attribute 5261 numeric
@attribute 5313 numeric
@attribute 5315 numeric
@attribute 53371 numeric
@attribute 55276 numeric
@attribute 55746 numeric
@attribute 5631 numeric
@attribute 5634 numeric
@attribute 57122 numeric
@attribute 5834 numeric
@attribute 5836 numeric
@attribute 5837 numeric
@attribute 5903 numeric
@attribute 6120 numeric
@attribute 6476 numeric
@attribute 6513 numeric
@attribute 6514 numeric
@attribute 6515 numeric
@attribute 6517 numeric
@attribute 6518 numeric
@attribute 6523 numeric
@attribute 6576 numeric
@attribute 6888 numeric
@attribute 7086 numeric
@attribute 7167 numeric
@attribute 7175 numeric
@attribute 7360 numeric
@attribute 79023 numeric
@attribute 79902 numeric
@attribute 801 numeric
@attribute 8021 numeric
@attribute 805 numeric
@attribute 808 numeric
@attribute 8086 numeric
@attribute 81929 numeric
@attribute 8402 numeric
@attribute 8480 numeric
@attribute 8604 numeric
@attribute 8789 numeric
@attribute 8908 numeric
@attribute 8972 numeric
@attribute 9631 numeric
@attribute 9688 numeric
@attribute 9818 numeric
@attribute 9972 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.7752437489,0.4899455309,0.8025336055,-0.1837415141,1.0520923548,0.4059451969,1.6282920440,1.1540563426,1.4770269913,-0.1143981450,-0.0691138696,-0.1132747215,3.1191021204,-0.1004817850,1.4869704312,0.8104996549,0.9790288194,0.6899368121,0.9026345282,0.3684030536,-0.0784885340,0.2927487712,0.3698681252,0.8865124414,0.1655610604,-0.0383430443,0.0454230418,3.3569518727,2.9104219014,-0.1493900672,-0.1242674589,-0.1065542122,0.7768369568,2.5969748497,1.1574663612,1.9806074502,0.8800389208,-0.1756566464,1.3994206257,1.7011339678,-0.1480660112,0.7302590771,0.0771303572,-0.0320503111,1.3800994138,1.8093232736,1.5253196360,0.7909886523,0.0773411354,-0.1444264617,0.9376104511,-0.1417844107,0.4699186207,3.0937554572,0.5190832701,0.4608132554,1.6823871507,2.1811593638,-0.1377829202,2.4528030482,2.1000959609,0.3873432372,0.1440184546,0.3543899164,-0.2550323360,0.6911630669,0.1637492007,1.2124351915,0.4461162236,1.2118067468,0.4754831513,0.6112834727,2.4846351281,2.5620279180,2.6348616481,0.7525099729,-0.1497650635,1.2697496667,1.7843918079,-0.1578359697,1.3464175017,-0.1055313117,-0.0210551180,-0.1520311560,-0.1483683890,0.4473815295,0.6588945687,2.6132357781,1.4613693301,1.0061979023,0.8881405729,1.7137481179,1.0847723121,1.7725182475,1.5891594400,0.3414848109,0.9537983259,2.1997757852,0.2932295016,1.9272642836,1.0995463539,1.5733707614,0.8426680101,-0.1115180363,-0.0496088175,-0.0654144233,1.0942583308,1.9006769914,1.1677160359,0.4972714678,BRCA
GSM480985,0.4841176725,0.3209908083,0.7899544011,-0.1660593679,0.5999261141,0.0015632012,1.4212826689,0.9892546585,1.1891173498,-0.0348445209,0.1039610561,-0.1708675006,2.8172023893,-0.1190508436,1.1347839071,1.1119598416,0.8449234596,0.4797835061,0.3769728733,0.1872565681,-0.0786857502,0.2359148110,0.2636172424,0.8341083203,0.0728419700,-0.0031639541,0.0962247992,3.2649053733,2.8797172971,-0.0903156561,-0.1258860016,0.0192423118,0.5491488435,2.4047347307,0.8091977908,2.1344113945,0.6232933140,-0.1153316148,1.3098771902,1.3442627093,-0.1439106563,0.7941040839,0.0016247630,-0.0200506869,1.5971224382,1.2419778732,1.2684743941,0.5284117226,0.1644645732,-0.1927850867,0.6580576253,-0.1452084794,0.4710485845,3.1987189454,0.3793049705,0.6562312139,1.5224550367,2.0769849486,-0.0767881525,2.0595349175,2.2909064160,0.2490339096,0.1415158003,0.6899332174,-0.2917020073,0.7656731569,0.1821799505,1.2593281625,0.3337536132,0.8670244665,0.4203461343,0.2474482852,2.1589468452,1.8590886791,2.7335090786,0.9504363752,-0.2017123239,1.1120309131,1.5996485980,-0.1535533930,0.7513453467,-0.1650814256,0.2554119076,-0.1374936132,-0.1572736896,1.3274019467,0.6574177740,2.6562132041,1.4384952225,0.7876512851,0.7980979091,2.2795595788,0.7446152211,1.3996164949,1.2845784730,0.1817586680,0.9828057632,1.9199515841,0.2457146933,1.3572577246,0.7216123287,1.3429538292,0.9893406663,-0.0920141229,-0.0709445898,-0.0985181612,0.6886551158,1.2444984571,0.8040189062,0.3756342870,BRCA
GSM480986,0.8781414077,0.5144213329,0.6092003303,-0.1425810719,0.9434039399,0.3500057970,1.5144040320,1.2265099656,1.2240091974,-0.0169130189,0.0670729885,-0.1256728746,3.1729900839,-0.1122202069,1.2596782214,1.3892087210,0.9667765086,0.3431033431,0.6600834293,0.2663877588,-0.0731760619,0.5889435998,0.3452502190,0.8314548634,0.0901774135,-0.0244878191,0.0803399828,3.7341542243,3.1892195278,-0.1119092240,-0.0910298228,-0.0733605867,0.7696635052,3.0418111483,1.1176056136,2.4035109878,1.1490174381,-0.1332036292,1.6515836384,1.8043109128,-0.1370047250,0.9862888256,0.0461965507,-0.1048403268,1.3298391514,2.0394658408,1.2953370094,0.8413109845,0.2019341409,-0.1530094652,0.6324311237,-0.1256008816,0.3849032834,3.3293409082,0.7578100929,0.7415232734,1.5664965882,2.4997676479,-0.1016126425,2.7481482083,2.5644266208,0.3422156592,0.1961503486,0.3476941294,-0.2962618373,0.7158358879,0.0966888740,1.1911504927,0.3676353578,1.1603958395,0.4071509692,0.7559976101,2.3888755242,2.2887325682,2.3968094438,0.6328846561,-0.0623496073,0.8680856632,1.6424894959,-0.0947286166,1.5701801711,-0.1818330122,0.0610372621,-0.0801955923,-0.1142826745,0.9506301231,0.7431227563,2.6419827939,1.4247115108,1.1751203536,0.5540504726,1.9031595468,0.9023940156,1.6873053685,1.6418533209,0.2735908890,0.7694473286,2.1900971755,0.3267470447,1.8090917643,1.1087770123,1.7406961901,0.7810675783,-0.1279156161,-0.1135699079,0.1507060917,1.1981142461,1.8644245863,0.9770701648,0.3576157473,BRCA
GSM480987,0.7305583248,0.4756588642,0.4331952077,-0.1837464163,0.6746583796,-0.1026921274,0.7924847470,1.2667937372,1.2003767714,-0.0841759911,-0.1258200759,-0.2192346566,3.0307256580,-0.1362416810,1.4942900471,0.4193452911,0.7314085239,0.0085328299,0.4986517626,0.2858136211,-0.0398672999,0.5263288467,0.0780205196,0.8182042395,0.0487226189,-0.0918898902,0.0585313091,3.6346909207,3.7347769737,-0.1404926991,0.0194667790,-0.0432108904,0.9765144884,2.7002402940,0.9951029609,1.8672693672,0.4763215855,-0.0969563892,1.4759236767,1.6637811182,-0.1325641309,0.8838460347,0.0178381483,-0.0906124614,1.0459910839,1.9707023876,1.2237848221,0.5981645194,-0.0700598642,-0.0867086934,1.1945999551,-0.1750976512,0.1733124284,3.2338553269,0.2841628347,0.4356939420,1.9207103552,2.0673179230,-0.0581494030,2.4801952812,2.1161691348,0.1834237688,0.0320354344,0.0616856080,-0.1822459947,0.4597345051,0.0097332111,0.7729866667,0.3425380510,0.6631150356,0.3766436594,0.6933063067,2.4268957642,2.2926479181,1.5755798409,0.7962575388,-0.1195369796,0.5817610253,1.5801793118,-0.1168272884,0.5868319288,-0.1377538507,1.8452195076,-0.1326161029,-0.1142707413,0.0696773789,0.5409081527,2.6038894918,1.0680730022,1.0250765123,0.2872325689,1.1022062469,0.7593178876,1.6172707303,1.3375803794,0.2320962109,0.6854064385,1.7749855086,0.1665232545,1.9836852131,0.9801192880,1.9729779246,0.5908532096,-0.0662233863,0.1407868877,-0.1602461254,1.0364601911,2.0359585796,1.0548824731,0.3201931257,BRCA
GSM480988,0.7283735699,0.5040328691,0.4507192669,-0.1223575131,0.9564199784,0.1218645458,1.5684895714,0.9353813466,1.0350123030,-0.0436900057,0.2617143734,-0.1335624339,2.6860279888,-0.0852625747,1.0098292498,1.4752345087,1.1624832315,0.3379816800,0.7316907225,0.1746661196,-0.0510585851,0.6866289174,0.4213497012,0.4611055935,0.0990711911,-0.0265886866,0.0260993107,2.8867309490,2.9741156102,-0.1503134316,-0.0952093873,-0.0651416366,0.9264586287,3.0337750910,1.0425981658,2.0483867625,1.2145387605,-0.1585679801,2.3745053726,1.4660367218,-0.1056502893,0.8510179381,0.0233269358,-0.0101833000,1.3926703650,1.9627060518,1.6813288630,0.7880356329,0.0617751969,-0.0916519680,0.7069095158,-0.1267963599,0.3327508624,3.3426210880,0.6619650228,0.6102328022,1.6181857957,2.6309204763,-0.0163911235,2.5994263617,2.4778852198,0.5477549808,0.1963387873,0.3589403529,-0.1796490997,0.4873358525,0.0375145020,0.9312757205,0.2598672854,1.0023379406,0.4961164197,0.4525653827,2.6907457777,1.8298926553,2.1030567959,0.6559251074,-0.1136670599,0.8539893320,1.4253396816,-0.1309487490,1.3603920108,-0.1115934091,0.0411580949,-0.1383585218,-0.1059023080,1.2572363405,0.6198862393,2.7915244632,1.3435860280,1.1771253664,0.5273030028,1.7822790258,1.0191732168,1.8396926300,1.4518957679,0.3155866897,0.8568994044,2.2009519134,0.0784844844,1.5446772821,1.0844462096,1.6725406502,0.9270768945,-0.0921725004,-0.1037818683,-0.0775864710,1.3504983186,1.6184079913,0.6414931819,0.1854534280,BRCA
GSM480989,0.7650318016,0.2515059077,0.2878968191,-0.1319290597,0.2786281444,0.3718222213,0.5213851978,1.3584975356,1.8733662440,-0.0927954214,0.3805141867,-0.2304424647,3.7068023680,-0.0405919630,1.0028325284,2.0836580592,0.6236715474,0.5833824877,0.5280406712,0.2732863293,0.0095998632,0.6401455137,0.3668384319,1.1416761812,0.2047403085,0.0386351276,0.1439808892,4.1127762797,2.9859909217,-0.1527719293,-0.0005144539,-0.0954097302,0.8011272412,3.1330703897,1.2955676043,2.2532869178,1.0472242758,-0.2227816099,1.5326526310,1.7733178045,-0.1354447571,0.5967798695,0.0502131411,-0.0320391207,0.9073754744,2.1274054347,0.9306071563,0.4615591537,0.3210572358,-0.0624024301,0.9352218139,-0.2014268915,0.2918639932,3.7055528693,0.9326477847,0.7433620111,1.4731965326,2.7389387290,-0.1135746031,3.2133402771,2.9022392698,0.2018289186,0.1375677007,0.1676861787,-0.4042240183,0.6317989156,0.0825043132,1.1754339944,0.1682821758,0.3692548704,0.3463664977,0.3914916685,2.2717930608,1.3265355958,3.1710336804,0.6630678256,-0.1946766595,0.4970077554,0.9867040947,-0.0924208666,1.7297552293,-0.1471520423,0.0389991302,-0.0412789477,-0.1704657951,1.9052394698,1.0316090387,3.0787899758,1.5730212079,1.3883722507,0.2597217747,1.2709925399,0.6315251452,1.7930940537,1.5590544180,0.3307590806,0.7983118814,2.9188919440,0.3105335636,1.4989452720,1.3315748596,1.8053516249,0.3624213039,-0.1591452546,-0.0472886484,-0.0345129753,0.7900690103,2.1433293523,0.6250937043,0.2868868260,BRCA
GSM480990,0.6667042025,0.3663991575,0.2567484271,-0.1328993880,0.4454658264,0.2637286318,1.0107811359,1.2902029069,0.7312256614,-0.0589349617,0.4365825751,-0.1450260281,3.6642830071,-0.0880344504,0.8864234471,0.7687268687,0.5934648400,0.1810319527,0.4196051169,0.2868407922,-0.0116545651,0.4658369653,0.1895659198,1.1508938047,0.0657948322,0.0471457858,0.0418655300,4.0299192270,2.7287946806,-0.1348014611,-0.0437816894,-0.0659185914,0.6278177781,3.4345294637,1.4479907993,1.8206640978,0.9230995736,-0.1865082860,1.6475055946,1.7035346558,-0.1071262657,0.5345657226,-0.0025071472,-0.0420922173,0.7899052416,2.1929190234,0.7941773206,0.4168597883,0.3500844124,-0.1691237926,1.0199502715,-0.1539241340,0.2124590095,3.8149700431,0.5195826526,0.6646611701,1.6591785439,2.5505403279,-0.0157638356,2.0443916720,2.4185049138,0.1407260795,0.0500234758,0.1315017005,-0.3136874437,0.6600002684,0.0356109999,1.2384746735,0.1865623486,0.8339975891,0.3176912965,0.4878234222,2.2684968312,1.7735032969,3.0830310435,0.5738123786,-0.2434898136,0.6544796128,1.3246043418,-0.1503340628,1.9028176201,-0.2040856596,0.7803306626,-0.1000015383,-0.0589803249,0.4180539406,0.9247852963,2.6358089580,1.5734835994,1.1889467905,0.3550588907,1.1996379613,0.6770358148,1.5929139627,1.4453520321,0.3354887767,0.6829452796,2.5856389926,0.3472459912,1.5356153959,1.5276953854,1.3790800394,0.5116995126,-0.1214070126,-0.0841117563,0.0710854187,0.6197933665,2.1964491989,0.8004929145,0.2576270442,Control
GSM480991,0.7306777344,0.3685883262,0.3352320662,-0.0305267686,0.5029890854,0.2854862927,1.2108168207,1.1943576631,0.8049711057,-0.0913220812,0.6979058134,-0.0917387233,3.3511493803,0.0187055081,0.9264966878,0.9393220113,0.6033780656,0.2632443212,0.4026509775,0.2965048943,-0.0304352747,0.5851406577,0.2659070184,1.1203307942,0.1337803179,0.0425803772,0.1098819711,3.5006267230,3.2292598619,-0.0731718656,-0.0791121414,-0.0226376143,0.7227592406,3.1577889920,1.1540018956,2.4216815033,1.1645184531,-0.1008395714,1.6430448198,1.6775755478,-0.1468512447,0.7777325424,0.1038814277,-0.0416575251,1.0238928092,2.1187055112,1.0513600351,0.4981267733,0.2504915756,-0.1218489380,0.8585999242,-0.1328258199,0.4201692762,3.4244513777,0.6647858409,0.7867336054,1.4498729409,2.5239834256,-0.0643736766,2.6388060668,2.5110006861,0.2532083157,0.0847416197,0.3199149534,-0.2572101950,0.7587580719,-0.0017519026,1.0837592061,0.2289351204,0.8646111682,0.3597656103,0.4498696585,1.9890851443,1.5388040409,3.0968045891,0.6190517810,-0.1434804169,0.6270802238,1.1942215247,-0.0848750929,1.5302052647,-0.1884087293,0.1197434692,-0.2055335632,-0.1374669923,1.8907400334,0.8317356307,2.8253633977,1.4881890384,1.2527781763,0.2713266311,1.6022588639,0.6241490858,1.2705404720,1.5451146222,0.2419609862,0.7246558555,2.3986895680,0.2648514968,1.5389606075,1.1916794891,1.5989998545,0.5798827882,-0.0757742637,-0.0861796175,0.0117957852,0.6278897970,1.6539879311,0.6209978864,0.1586463004,Control
GSM480992,0.7232732411,0.3552881419,0.3066152192,-0.1546234407,0.4407250004,0.5032216228,0.8885529934,1.3129814466,0.9358635689,-0.0106469618,0.6483646356,-0.1415865074,4.0008762477,-0.1052813891,1.0874592347,1.3573195999,0.6688444043,0.5385330186,0.2964485517,0.3125823943,-0.0300554221,0.9096546438,0.3107650651,1.2746148477,0.1261609972,0.0637648547,0.1504622752,4.2335794767,3.0634179909,-0.0931469454,-0.0514066756,-0.0605471972,0.6307045531,3.4128646853,1.4153915515,2.0590241948,1.4960931240,-0.1738737124,1.8549194104,1.6706130355,-0.1097586988,0.6642244395,0.0514600753,-0.0950192852,0.8901482484,2.3114977999,0.9289087177,0.5204037031,0.6409874708,-0.0546786810,0.9904718334,-0.1978659131,0.2263130796,3.5782756804,0.7507210554,0.8926648379,1.4949450009,2.7886193726,-0.0659236095,2.3291698586,2.9159775046,0.1699085075,0.1271233572,0.2092101147,-0.3287750233,0.8117806949,0.0948297891,1.1784894812,0.2128063798,0.6539650171,0.2997363796,0.3728629646,2.2068051362,1.4609698521,3.2102820278,0.7232120477,-0.1170005084,0.6391996745,1.0998855343,-0.0959355834,2.0403656530,-0.1704958764,0.0938376564,-0.1633972467,-0.0652350487,1.0365559381,1.2266542513,2.6773764822,1.9088826257,1.3005413837,0.3485739969,0.9822485969,0.5102666020,1.3486973049,1.4246134289,0.3442658012,0.7415068230,2.6897532866,0.5017346553,1.3852293123,1.3227176582,1.5279809683,0.4234856284,-0.0948739736,-0.0758050986,-0.0050661030,0.5969751815,2.0108780094,0.4366950640,0.2093612051,Control
GSM480993,0.9405920828,0.3950321178,0.3677166989,-0.1236262871,0.7420407823,0.4599588482,1.0787939959,1.2059193881,1.5582664870,-0.1311150084,0.4405312035,-0.1520186144,3.3487095834,-0.1080132356,1.3715015649,1.6362959810,0.9003113795,0.7873379532,0.5397679249,0.3433874613,-0.0383233076,0.5466666858,0.4979933112,1.0851245491,0.0978320141,0.0177027015,0.0944544755,3.9189611273,3.0844080712,-0.1876187269,-0.0899998086,-0.0272463961,0.8724870043,3.1817195413,1.2571051989,2.5244372885,1.2023147569,-0.1446855561,1.9034907849,1.8064600663,-0.1340181460,0.8608841755,0.0785624915,-0.0592144627,1.2874530945,2.1363390982,1.0976969004,0.7333630248,0.3881648176,-0.1323098540,1.0226243456,-0.0819883886,0.3327328570,3.1475992467,0.6820447637,0.9109335344,1.7650410084,2.7210100094,-0.0033562295,2.8261593364,2.6456631024,0.3733730900,0.1685671199,0.3158224287,-0.1337416920,0.6697554700,0.0762583770,0.9992275332,0.3543627792,0.8987807321,0.3972872659,0.8353069931,2.5806787013,1.7947998842,2.5091520845,0.6513340759,-0.1345058078,0.5857965611,1.4381700504,-0.0709904536,1.5635050104,-0.1534194058,0.5405712345,-0.1625273310,-0.0949023525,1.2783369686,0.8922949433,2.6629278660,1.4800139748,1.1868843715,0.2722776126,1.4723144622,0.9428212035,1.5577344969,1.5856227239,0.2897538714,0.8005855027,2.4490207491,0.3084160125,1.6705465861,1.2510732338,1.7083129882,0.5519662279,-0.1611804952,-0.0532123620,-0.0626661312,1.1722488850,1.9973433444,0.9661113581,0.3327972405,Control
