@relation data

@attribute id string
@attribute 1026 numeric
@attribute 1452 numeric
@attribute 1453 numeric
@attribute 1647 numeric
@attribute 1728 numeric
@attribute 2033 numeric
@attribute 207 numeric
@attribute 2274 numeric
@attribute 3090 numeric
@attribute 3091 numeric
@attribute 3303 numeric
@attribute 3320 numeric
@attribute 3486 numeric
@attribute 4193 numeric
@attribute 472 numeric
@attribute 4793 numeric
@attribute 5243 numeric
@attribute 5599 numeric
@attribute 581 numeric
@attribute 6872 numeric
@attribute 7157 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,3.3594499677,0.7749692683,0.7693158464,2.2282689957,1.0064785160,1.5206031688,2.3584245311,2.4569796059,0.4390004522,2.0535067381,3.3360325097,3.6576530137,3.9663889109,-0.0354759898,-0.0661986022,0.4748031217,-0.1182301397,0.6904673187,0.7895966098,-0.1583751188,0.9853307140,BRCA
GSM481003,3.0403829142,0.5022556961,0.9270227291,2.5227255374,1.5513008101,1.5765347331,2.5114432043,2.6062666576,0.3077633821,1.6731327406,3.7385061980,3.2723402183,3.1463496314,-0.0666174864,-0.1056909030,0.6189834172,-0.0029987112,0.6729280780,1.1044230957,-0.0973149922,0.9925875762,BRCA
GSM481004,3.0274459125,0.5846829968,1.0995267555,2.2065015881,1.6475895007,1.4211680973,2.2194539971,2.6040159597,0.3948334452,1.9183078184,3.5415028036,3.2242570717,3.3775626123,-0.0436277898,-0.0821350421,0.5926850402,-0.0872113240,0.6871232500,0.4883667428,-0.1153269707,0.8802483742,BRCA
GSM481005,3.2873637975,0.8952178020,1.0284580922,2.4416533410,1.1961676357,1.5339801088,2.3890128664,2.6700874434,0.4124452598,2.2060089959,3.3680374623,3.6397311690,4.2742031514,-0.0388047886,-0.0263808509,0.5579776450,-0.0558681942,0.8086081992,1.0273913688,-0.1056181231,0.9015575944,BRCA
GSM481006,3.2162807881,0.7858931990,0.7724465803,2.7716638297,1.3880891624,1.9997731411,2.7993582883,2.5193066464,0.4858096064,2.1499884225,3.5637452900,3.5692172050,4.1233930289,0.0404348410,-0.0131001265,0.5536829033,-0.0560336806,0.7695189350,0.8656490569,-0.0899926591,1.3752852871,BRCA
GSM481007,3.1362124086,0.4159057388,0.4520211312,2.7513282745,0.9827144047,1.4547199384,2.4604020782,2.6510574288,0.3531420606,2.0488469944,4.0088908971,3.2556382020,2.2763588057,-0.0409890643,-0.0317684311,0.8652860147,-0.0485295597,0.3326362380,0.9085509542,-0.1482739324,1.2977375326,BRCA
GSM481008,2.8834402039,0.5904208655,0.9891898446,1.7389485090,1.3066232035,1.5937150419,2.1300801171,2.2179123031,0.7940103679,1.7780412394,3.3265556395,3.6774912677,0.5378816250,-0.0201522052,-0.0287524567,0.7326664201,0.0409507371,0.7429268004,0.9423102802,-0.0448968701,0.9878225434,Control
GSM481009,3.1617967563,0.6226818040,0.2031548033,1.9796646386,1.6755580357,1.3526445291,1.7882246540,2.5327016380,0.2503450791,2.2950423185,3.9816480276,4.1336198647,4.0323480069,-0.0891779845,-0.0741165462,0.3036365448,-0.0858060950,0.6203827706,0.5673530965,-0.2176044459,0.9829903326,Control
GSM481010,2.8992610497,0.8328421336,0.9171681664,2.2337571234,1.8967426960,1.6499485337,2.1086231072,2.5721553430,0.3495368225,2.1540872872,3.1308566926,3.7574702897,3.3141512126,-0.0505959386,-0.0522969667,0.5544574002,0.0314245705,0.8636795770,0.8686887410,-0.0432222268,0.7534921082,Control
GSM481011,3.6372286978,0.4575096548,0.9789002165,2.6004650294,1.7237709407,1.0696674976,2.7272794777,2.8558636770,0.6674098424,1.6922105924,3.7609323560,3.2908608913,4.1469171197,-0.0865562696,-0.0514790472,0.6543434733,-0.0660184239,0.4733123278,0.8156974314,-0.1380161169,0.9952894231,Control
GSM481012,3.1253992766,0.6635484235,0.8485687860,2.4064094275,2.0152675618,1.7425010057,1.8813959094,2.4401931630,0.5741155323,1.9185199694,3.1376349627,3.7383345763,3.0753681286,-0.0180556478,-0.0600952140,0.5687570125,-0.0625616137,0.6613713608,0.7185526043,-0.0979987621,0.8725762112,Control
GSM481013,2.6682964415,0.4298538201,0.9550792390,2.1278450938,1.4627313993,1.4858982488,2.6179897917,2.3399992981,0.8916515550,1.5988966472,3.6527179180,3.7888167700,0.3042362518,-0.0471014409,-0.0336836739,0.8574417103,-0.0491688939,0.5985774544,1.1471262296,-0.0033864109,1.3992428302,Control
GSM481014,3.2114973665,0.8945074444,0.3728927049,2.9123298376,0.9155955159,1.5772262514,2.0626784828,1.9591980642,0.4010756967,1.9528082685,3.1621062756,3.7592797283,1.2460232658,0.0069465442,0.0231110066,0.9643645211,0.1287204750,0.7970564698,1.3270182870,0.0197728054,1.0247983021,BRCA
GSM481015,3.6075988710,0.6066845675,1.0799226741,1.8262575567,3.0483712067,1.6954124608,2.7202442222,2.6456689171,0.5453738006,1.6952869721,3.5531160832,3.1530690193,0.7780333748,-0.0056533028,-0.0129703451,0.8059404604,-0.0941290931,0.7398309259,1.2028775202,-0.0615822235,1.2436508052,BRCA
GSM481016,2.9940343796,0.7821337625,0.8810598291,1.8941188306,2.0043066524,1.4582582964,2.0178352594,2.3082851503,0.3823319549,1.8849126807,3.2284983395,3.7419708570,2.2263592259,-0.1041934511,-0.0307458420,0.6165529263,-0.0369547712,0.7996053263,0.9103207662,-0.0715729102,0.7893344704,BRCA
GSM481017,2.4443219974,1.1302765287,0.5383616576,2.4450072199,1.2593818592,1.7544407136,1.3314801619,2.3618153598,0.2362287338,2.2367593349,2.3927213624,4.0070033073,3.6344107836,-0.0077759603,0.0540303805,0.4232373714,-0.0091119359,0.9651721663,0.7321537730,-0.1762047377,0.5631712906,BRCA
GSM481018,3.3114707096,0.4447565597,0.6104105430,2.0620936007,2.5395686410,1.1853656675,2.3386700948,1.6330123346,0.3538219551,1.1887919071,1.1583630220,2.9231585660,4.1723300666,-0.0960641892,-0.0797911159,0.6835330098,-0.1008975486,0.4124614440,0.7690533123,-0.0946590148,1.3061695902,BRCA
GSM481019,3.0739026516,0.7858460806,1.5023451224,2.6380962134,1.8633851761,1.5947603248,2.3733375204,1.9891916911,0.3348614937,2.0592702232,3.0294187515,3.4732871053,3.7211972923,-0.0218625244,-0.0548910358,0.6846282528,-0.0467824983,0.6351509259,1.5309901725,-0.0795644690,0.8534259407,BRCA
