@relation thedata

@attribute 1072 real
@attribute 5147 real
@attribute 596 real
@attribute 836 real
@attribute 841 real
@attribute 8837 real
@attribute DependentVariable {BRCA,Control}

@data
12.5506675,8.730589968,8.4944607845,7.931813168,5.6639776582,11.98737426,Control
12.5801856,8.183475504,7.97569312475,8.1988449165,5.8528914586,12.5292244,BRCA
12.67483341,8.595072003,7.84053328475,8.03923302,5.7897319854,11.86027624,BRCA
12.73346456,8.773239058,7.5957045875,8.049352819,5.6257131728,12.50251243,Control
12.90048482,8.969617568,7.8450723755,8.040914571,5.7767472574,12.26224618,BRCA
12.64577331,8.477749287,7.89616385625,8.276164252,6.1557894346,11.64430934,BRCA
13.07861622,8.675799285,7.264331835,8.3070644095,5.645039366,12.89557628,BRCA
12.73346456,9.442757511,8.05261194825,8.3666695385,6.1264922834,11.28307404,Control
12.83574159,9.093306057,7.87109163775,8.288078818,5.8838277246,11.75034492,BRCA
12.64987931,8.390557125,8.23267903825,7.806017873,5.7581840748,12.5617021,BRCA
12.6255337,8.698323652,7.66150020625,8.021098551,5.3816807882,11.30927755,BRCA
12.73839215,8.919415413,7.69919135975,8.158617651,6.0308489854,11.86370244,Control
12.71973005,9.158168561,8.09596774125,8.264536249,5.9638642464,11.85228967,Control
12.72471214,9.175874557,8.2876995905,7.961727034,6.0564723368,11.32122928,BRCA
12.41466417,9.249149683,7.76711974975,8.3844099225,5.9408978668,11.54164129,BRCA
13.01183005,9.32491247,7.94296329425,8.1522695415,5.9484693628,11.16916418,BRCA
12.62816419,9.018965929,8.49738614725,8.071465941,5.7945629282,10.91211486,BRCA
12.80568549,9.507299682,8.0343733815,8.4046207015,5.8306412028,10.84277875,BRCA
12.5850741,8.986873881,8.36146716375,8.161427938,5.884185454,10.49079602,BRCA
13.78053775,10.54782505,6.96857569025,9.1174736295,5.3899325582,7.00736687,BRCA
