@relation thedata

@attribute 11019 real
@attribute 51601 real
@attribute DependentVariable {BRCA,Control}

@data
7.9239039265,8.18185050133,Control
8.2388709415,8.15107455833,BRCA
8.756114572,8.320780629,BRCA
8.303488198,7.49753854033,Control
9.0146978215,8.24818832733,BRCA
7.5278613875,7.78551816533,BRCA
8.7095739025,6.28000654033,BRCA
8.34784432,8.40761621267,Control
9.1409751655,8.21593068167,BRCA
8.6400458295,7.92319154533,BRCA
8.1057419915,7.990633157,BRCA
8.0384248345,8.32793394367,Control
8.2699588485,8.16128827433,Control
6.499627922,8.60229888867,BRCA
7.0843313495,7.90542457133,BRCA
7.410963534,8.52193107733,BRCA
6.6929756865,8.63310079933,BRCA
7.2276672325,8.517938224,BRCA
6.9693968045,8.814672509,BRCA
6.757854421,8.46799032,BRCA
