@relation thedata

@attribute 2194 real
@attribute 27349 real
@attribute 31 real
@attribute 32 real
@attribute 54995 real
@attribute 55301 real
@attribute DependentVariable {BRCA,Control}

@data
12.83735302,7.022549577,8.48871590367,13.06098469,6.991411655,6.099511534,Control
12.45159499,6.881299748,8.67259838967,12.96993872,6.908275894,5.865245331,BRCA
11.87062298,6.79317108,8.424084698,11.32233677,7.537647698,6.306978182,BRCA
13.77694807,6.75844254,8.60830344433,12.75033439,7.501680221,5.833276737,Control
13.85629375,6.7482623635,8.28073113733,12.85738045,7.800157538,11.50205123,BRCA
13.21954598,6.859714006,8.62960386567,12.29746809,6.401268335,6.093819614,BRCA
13.25616376,6.2709136205,8.72042838867,11.1007545,6.203793958,6.825598426,BRCA
12.53965448,6.8356296445,8.25503639033,11.85977947,7.608663497,6.622202397,Control
13.23871974,7.3345380685,8.744333241,11.3345919,7.698046754,6.313659102,BRCA
11.80338054,6.7592099565,8.72327961667,13.14374197,7.305699546,6.054637553,BRCA
12.93579034,7.535304821,8.70894793967,12.86342169,7.324363122,6.200757025,BRCA
13.63244094,7.1293243405,9.05346241,12.75620088,7.414391646,5.921252584,Control
14.02134875,6.883933449,9.063043869,13.50703833,6.944861739,5.862210374,Control
13.91249272,7.1044073885,8.680448457,13.32746778,7.702624864,5.900390609,BRCA
14.66423422,7.1956472655,9.03802882633,12.45547628,7.729163775,6.147312423,BRCA
13.40512953,7.2913217245,8.931470138,11.92672973,8.004488927,6.415999972,BRCA
13.24869779,7.0975815965,8.46285897833,11.94944384,7.90439547,6.176777159,BRCA
14.5376428,7.40875587,8.86597183767,12.18956987,8.402480371,6.20007038,BRCA
13.73376056,7.506199225,8.47686505467,11.72497433,7.904500844,6.180213143,BRCA
10.83520192,7.521937518,8.058374725,12.49390804,7.982196629,6.329397776,BRCA
